dt,open,high,low,close,volume
2010-01-04 09:45:00,30.36,30.44,30.23,30.24,132796
2010-01-04 10:00:00,30.2466,30.31,30.19,30.2,188875
2010-01-04 10:15:00,30.2,30.3,30.19,30.2973,266622
2010-01-04 10:30:00,30.3,30.37,30.28,30.37,310234
2010-01-04 10:45:00,30.3682,30.4,30.3225,30.38,379167
2010-01-04 11:00:00,30.38,30.46,30.36,30.46,421734
2010-01-04 11:15:00,30.46,30.5,30.42,30.4582,493462
2010-01-04 11:30:00,30.4518,30.51,30.425,30.45,587470
2010-01-04 11:45:00,30.45,30.48,30.43,30.45,651409
2010-01-04 12:00:00,30.44,30.445,30.36,30.3605,738534
2010-01-04 12:15:00,30.37,30.42,30.3,30.33,869370
2010-01-04 12:30:00,30.34,30.375,30.33,30.35,899657
2010-01-04 12:45:00,30.35,30.39,30.345,30.38,933684
2010-01-04 13:00:00,30.39,30.39,30.38,30.38,973104
2010-01-04 13:15:00,30.385,30.385,30.26,30.26,1056973
2010-01-04 13:30:00,30.26,30.27,30.17,30.18,1170745
2010-01-04 13:45:00,30.17,30.18,30.13,30.13,1241665
2010-01-04 14:00:00,30.13,30.14,30.09,30.1,1316450
2010-01-04 14:15:00,30.1,30.14,30.09,30.14,1370308
2010-01-04 14:30:00,30.1328,30.15,30.12,30.15,1434408
2010-01-04 14:45:00,30.15,30.26,30.145,30.26,1531867
2010-01-04 15:00:00,30.27,30.3,30.23,30.23,1604977
2010-01-04 15:15:00,30.24,30.3,30.23,30.29,1692132
2010-01-04 15:30:00,30.3,30.31,30.25,30.31,1789152
2010-01-04 15:45:00,30.31,30.35,30.29,30.35,1942292
2010-01-04 16:00:00,30.35,30.42,30.34,30.4,2323723
2010-01-05 09:45:00,30.48,30.57,30.38,30.38,144687
2010-01-05 10:00:00,30.37,30.41,30.16,30.16,242742
2010-01-05 10:15:00,30.17,30.36,30.14,30.34,338651
2010-01-05 10:30:00,30.34,30.41,30.28,30.39,439198
2010-01-05 10:45:00,30.39,30.5,30.36,30.5,524552
2010-01-05 11:00:00,30.5,30.51,30.43,30.475,645003
2010-01-05 11:15:00,30.48,30.5,30.43,30.43,765494
2010-01-05 11:30:00,30.43,30.439,30.31,30.32,834959
2010-01-05 11:45:00,30.33,30.37,30.285,30.37,972092
2010-01-05 12:00:00,30.37,30.455,30.36,30.41,1148949
2010-01-05 12:15:00,30.42,30.52,30.41,30.46,1250816
2010-01-05 12:30:00,30.46,30.49,30.4,30.413,1347827
2010-01-05 12:45:00,30.41,30.58,30.38,30.57,1975088
2010-01-05 13:00:00,30.57,30.61,30.5,30.605,2085403
2010-01-05 13:15:00,30.6,30.63,30.56,30.58,2239952
2010-01-05 13:30:00,30.58,30.6,30.5713,30.6,2366152
2010-01-05 13:45:00,30.595,30.76,30.595,30.755,2595707
2010-01-05 14:00:00,30.75,30.85,30.74,30.85,2807789
2010-01-05 14:15:00,30.845,30.87,30.84,30.84,2959631
2010-01-05 14:30:00,30.845,30.85,30.74,30.7575,3089795
2010-01-05 14:45:00,30.75,30.8,30.75,30.8,3256443
2010-01-05 15:00:00,30.8,30.81,30.78,30.8,3568409
2010-01-05 15:15:00,30.8,30.83,30.8,30.825,3769509
2010-01-05 15:30:00,30.83,30.84,30.8,30.805,4135136
2010-01-05 15:45:00,30.8,30.94,30.8,30.89,4575793
2010-01-05 16:00:00,30.89,30.97,30.87,30.9,5000558
2010-01-06 09:45:00,30.9,30.98,30.69,30.71,177910
2010-01-06 10:00:00,30.73,30.87,30.7,30.795,395938
2010-01-06 10:15:00,30.79,30.8,30.74,30.75,574448
2010-01-06 10:30:00,30.7525,30.79,30.75,30.78,674116
2010-01-06 10:45:00,30.78,30.82,30.7799,30.815,810391
2010-01-06 11:00:00,30.82,30.88,30.81,30.87,874448
