dt,open,high,low,close,volume
2010-01-04 09:45:00,39.1,39.29,38.92,39.06,93378
2010-01-04 10:00:00,39.07,39.18,39.07,39.12,234304
2010-01-04 10:15:00,39.12,39.15,39.03,39.08,293478
2010-01-04 10:30:00,39.08,39.21,39.06,39.18,335376
2010-01-04 10:45:00,39.19,39.205,39.105,39.135,359746
2010-01-04 11:00:00,39.16,39.24,39.12,39.15,416848
2010-01-04 11:15:00,39.15,39.26,39.14,39.23,461298
2010-01-04 11:30:00,39.23,39.31,39.21,39.3,548184
2010-01-04 11:45:00,39.31,39.43,39.305,39.39,640193
2010-01-04 12:00:00,39.39,39.52,39.35,39.48,688505
2010-01-04 12:15:00,39.48,39.57,39.48,39.56,742372
2010-01-04 12:30:00,39.56,39.62,39.55,39.61,788716
2010-01-04 12:45:00,39.61,39.69,39.6,39.69,847514
2010-01-04 13:00:00,39.69,39.78,39.68,39.76,939633
2010-01-04 13:15:00,39.76,39.8,39.74,39.77,1005296
2010-01-04 13:30:00,39.77,39.87,39.77,39.84,1060465
2010-01-04 13:45:00,39.83,39.83,39.7714,39.81,1140411
2010-01-04 14:00:00,39.81,39.82,39.77,39.8,1215836
2010-01-04 14:15:00,39.79,39.86,39.79,39.86,1294991
2010-01-04 14:30:00,39.86,39.87,39.79,39.87,1396695
2010-01-04 14:45:00,39.87,39.8798,39.81,39.85,1468266
2010-01-04 15:00:00,39.845,39.88,39.82,39.83,1517279
2010-01-04 15:15:00,39.82,39.97,39.81,39.89,1627279
2010-01-04 15:30:00,39.88,39.9,39.83,39.83,1701329
2010-01-04 15:45:00,39.8375,39.87,39.79,39.79,1817538
2010-01-04 16:00:00,39.79,39.89,39.79,39.89,2053107
2010-01-05 09:45:00,39.77,39.97,39.73,39.88,58077
2010-01-05 10:00:00,39.88,39.94,39.78,39.78,150718
2010-01-05 10:15:00,39.76,40.07,39.73,40.06,258805
2010-01-05 10:30:00,40.06,40.2,40.0,40.14,435117
2010-01-05 10:45:00,40.14,40.37,40.12,40.36,539998
2010-01-05 11:00:00,40.36,40.38,40.26,40.34,584071
2010-01-05 11:15:00,40.343,40.39,40.32,40.38,621444
2010-01-05 11:30:00,40.38,40.41,40.34,40.4,672381
2010-01-05 11:45:00,40.4,40.42,40.32,40.42,705817
2010-01-05 12:00:00,40.42,40.43,40.39,40.41,760246
2010-01-05 12:15:00,40.41,40.52,40.39,40.52,790146
2010-01-05 12:30:00,40.51,40.53,40.48,40.51,822400
2010-01-05 12:45:00,40.51,40.53,40.49,40.52,857124
2010-01-05 13:00:00,40.51,40.54,40.49,40.51,952944
2010-01-05 13:15:00,40.51,40.52,40.49,40.51,1031938
2010-01-05 13:30:00,40.51,40.55,40.49,40.54,1157022
2010-01-05 13:45:00,40.53,40.53,40.45,40.52,1242580
2010-01-05 14:00:00,40.52,40.52,40.48,40.49,1337272
2010-01-05 14:15:00,40.49,40.5199,40.48,40.5,1423978
2010-01-05 14:30:00,40.5,40.52,40.45,40.47,1648248
2010-01-05 14:45:00,40.47,40.5,40.47,40.48,1712817
2010-01-05 15:00:00,40.49,40.5,40.46,40.48,1785469
2010-01-05 15:15:00,40.48,40.54,40.475,40.49,1868741
2010-01-05 15:30:00,40.49,40.57,40.48,40.55,1942033
2010-01-05 15:45:00,40.55,40.69,40.54,40.59,2087094
2010-01-05 16:00:00,40.59,40.81,40.59,40.8,2512867
2010-01-06 09:45:00,41.37,41.38,40.88,40.89,169962
2010-01-06 10:00:00,40.9,41.18,40.86,41.15,395229
2010-01-06 10:15:00,41.15,41.31,41.14,41.275,585074
2010-01-06 10:30:00,41.27,41.37,41.22,41.306,756637
2010-01-06 10:45:00,41.3,41.46,41.28,41.41,962102
2010-01-06 11:00:00,41.4,41.5,41.32,41.495,1036259
2010-01-06 11:15:00,41.5,41.53,41.47,41.51,1121495
2010-01-06 11:30:00,41.5,41.51,41.41,41.44,1231366
2010-01-06 11:45:00,41.44,41.49,41.43,41.48,1302168
2010-01-06 12:00:00,41.48,41.54,41.43,41.53,1427021
2010-01-06 12:15:00,41.54,41.55,41.36,41.39,1507667
2010-01-06 12:30:00,41.4,41.48,41.4,41.42,1573204
2010-01-06 12:45:00,41.44,41.45,41.39,41.43,1593574
2010-01-06 13:00:00,41.439,41.47,41.37,41.4,1628769
2010-01-06 13:15:00,41.41,41.46,41.39,41.42,1658417
2010-01-06 13:30:00,41.41,41.46,41.39,41.45,1721377
2010-01-06 13:45:00,41.45,41.48,41.39,41.4065,1820524
2010-01-06 14:00:00,41.41,41.44,41.38,41.41,2020145
2010-01-06 14:15:00,41.41,41.45,41.4,41.41,2122129
2010-01-06 14:30:00,41.42,41.44,41.39,41.42,2214875
2010-01-06 14:45:00,41.43,41.43,41.39,41.4001,2324942
2010-01-06 15:00:00,41.4,41.45,41.39,41.42,2413933
2010-01-06 15:15:00,41.42,41.44,41.395,41.4,2493830
2010-01-06 15:30:00,41.41,41.42,41.39,41.41,2709259
2010-01-06 15:45:00,41.4,41.43,41.395,41.4,2971343
2010-01-06 16:00:00,41.4,41.43,41.35,41.395,3433973
2010-01-07 09:45:00,41.3,41.75,41.1,41.72,127691
2010-01-07 10:00:00,41.72,41.95,41.63,41.68,321398
2010-01-07 10:15:00,41.68,41.68,41.41,41.41,403379
2010-01-07 10:30:00,41.405,41.5,41.28,41.38,505483
2010-01-07 10:45:00,41.39,41.4,41.33,41.37,576166
2010-01-07 11:00:00,41.39,41.43,41.33,41.35,683791
2010-01-07 11:15:00,41.35,41.49,41.3,41.465,958770
2010-01-07 11:30:00,41.47,41.47,41.37,41.395,1052204
2010-01-07 11:45:00,41.4,41.43,41.3,41.4,1120706
2010-01-07 12:00:00,41.41,41.45,41.3901,41.43,1217708
2010-01-07 12:15:00,41.43,41.49,41.36,41.48,1358284
2010-01-07 12:30:00,41.49,41.54,41.36,41.4,1408957
2010-01-07 12:45:00,41.39,41.475,41.35,41.39,1503503
2010-01-07 13:00:00,41.3725,41.41,41.365,41.4,1528417
2010-01-07 13:15:00,41.4,41.41,41.37,41.4,1573041
2010-01-07 13:30:00,41.41,41.43,41.39,41.39,1617445
2010-01-07 13:45:00,41.395,41.41,41.34,41.405,1730190
2010-01-07 14:00:00,41.41,41.48,41.39,41.4,1800347
2010-01-07 14:15:00,41.41,41.49,41.39,41.43,2000986
2010-01-07 14:30:00,41.45,41.46,41.39,41.41,2055321
2010-01-07 14:45:00,41.41,41.65,41.4,41.59,2236652
2010-01-07 15:00:00,41.59,41.67,41.55,41.57,2278614
2010-01-07 15:15:00,41.58,41.58,41.4,41.55,2346805
2010-01-07 15:30:00,41.55,41.68,41.52,41.6,2433729
2010-01-07 15:45:00,41.6,41.69,41.59,41.68,2536027
2010-01-07 16:00:00,41.68,41.74,41.64,41.68,2789080
2010-01-08 09:45:00,41.38,41.87,41.3419,41.72,143625
2010-01-08 10:00:00,41.74,41.88,41.7,41.8,251466
2010-01-08 10:15:00,41.8,41.83,41.64,41.655,362782
2010-01-08 10:30:00,41.65,41.78,41.65,41.75,425374
2010-01-08 10:45:00,41.77,41.82,41.71,41.7497,479165
2010-01-08 11:00:00,41.73,41.75,41.63,41.73,546806
2010-01-08 11:15:00,41.73,41.74,41.63,41.7,613450
2010-01-08 11:30:00,41.69,41.74,41.65,41.67,640675
2010-01-08 11:45:00,41.67,41.68,41.6,41.6,696086
2010-01-08 12:00:00,41.601,41.69,41.57,41.63,764302
2010-01-08 12:15:00,41.61,41.66,41.6,41.61,795239
2010-01-08 12:30:00,41.6,41.62,41.55,41.61,851042
2010-01-08 12:45:00,41.6,41.64,41.58,41.64,885590
2010-01-08 13:00:00,41.64,41.655,41.6,41.615,933266
2010-01-08 13:15:00,41.6,41.635,41.58,41.59,976640
2010-01-08 13:30:00,41.59,41.61,41.56,41.61,999091
2010-01-08 13:45:00,41.6,41.73,41.59,41.59,1073950
2010-01-08 14:00:00,41.6,41.62,41.48,41.48,1106146
2010-01-08 14:15:00,41.48,41.5,41.43,41.49,1125486
2010-01-08 14:30:00,41.5,41.52,41.46,41.51,1153981
2010-01-08 14:45:00,41.52,41.63,41.5,41.53,1201763
2010-01-08 15:00:00,41.53,41.6,41.51,41.6,1226555
2010-01-08 15:15:00,41.58,41.69,41.58,41.69,1259870
2010-01-08 15:30:00,41.69,41.69,41.6,41.62,1282391
2010-01-08 15:45:00,41.62,41.85,41.55,41.83,1357061
2010-01-08 16:00:00,41.83,41.9,41.78,41.88,1418078
2010-01-11 09:45:00,41.98,42.58,41.91,42.42,89411
2010-01-11 10:00:00,42.378,42.9,42.24,42.62,332957
2010-01-11 10:15:00,42.62,42.64,42.4,42.53,455953
2010-01-11 10:30:00,42.54,42.81,42.48,42.8,522217
2010-01-11 10:45:00,42.8,42.96,42.74,42.94,623457
2010-01-11 11:00:00,42.95,42.98,42.67,42.67,1098300
2010-01-11 11:15:00,42.67,42.71,42.52,42.68,1767012
2010-01-11 11:30:00,42.7,42.755,42.58,42.62,1823269
2010-01-11 11:45:00,42.63,42.72,42.61,42.65,1872496
2010-01-11 12:00:00,42.635,42.68,42.54,42.6398,1923343
2010-01-11 12:15:00,42.62,42.62,42.41,42.41,1977186
2010-01-11 12:30:00,42.415,42.43,42.3,42.3,2012583
2010-01-11 12:45:00,42.301,42.5,42.3,42.4985,2149310
2010-01-11 13:00:00,42.5,42.68,42.45,42.67,2213912
2010-01-11 13:15:00,42.66,42.67,42.49,42.49,2261019
2010-01-11 13:30:00,42.49,42.52,42.48,42.5,2315090
2010-01-11 13:45:00,42.5,42.54,42.47,42.5,2387735
2010-01-11 14:00:00,42.51,42.56,42.48,42.48,2502864
2010-01-11 14:15:00,42.49,42.54,42.48,42.53,2565188
2010-01-11 14:30:00,42.54,42.6,42.49,42.58,2755878
2010-01-11 14:45:00,42.57,42.58,42.46,42.46,2848489
2010-01-11 15:00:00,42.46,42.53,42.44,42.48,2900290
2010-01-11 15:15:00,42.48,42.52,42.45,42.45,2985072
2010-01-11 15:30:00,42.46,42.49,42.33,42.41,3126833
2010-01-11 15:45:00,42.41,42.48,42.38,42.42,3234913
2010-01-11 16:00:00,42.43,42.43,42.35,42.39,3478323
2010-01-12 09:45:00,42.06,42.43,42.06,42.18,112259
2010-01-12 10:00:00,42.22,42.26,42.04,42.06,187899
2010-01-12 10:15:00,42.06,42.11,42.04,42.07,272579
2010-01-12 10:30:00,42.08,42.15,42.01,42.07,435866
2010-01-12 10:45:00,42.07,42.14,42.01,42.06,581435
2010-01-12 11:00:00,42.06,42.09,42.04,42.07,702865
2010-01-12 11:15:00,42.07,42.09,41.93,41.97,781000
2010-01-12 11:30:00,41.97,42.06,41.95,41.99,891555
2010-01-12 11:45:00,41.99,42.03,41.98,42.01,1067545
2010-01-12 12:00:00,42.01,42.01,41.93,41.96,1193101
2010-01-12 12:15:00,41.97,42.01,41.81,41.82,1432819
2010-01-12 12:30:00,41.82,41.83,41.5499,41.62,1490907
2010-01-12 12:45:00,41.6,41.6,41.48,41.57,1515318
2010-01-12 13:00:00,41.57,41.58,41.46,41.47,1538302
2010-01-12 13:15:00,41.47,41.53,41.38,41.4,1561021
2010-01-12 13:30:00,41.4,41.43,41.32,41.4,1590661
2010-01-12 13:45:00,41.4,41.5,41.4,41.45,1639206
2010-01-12 14:00:00,41.44,41.59,41.4325,41.51,1709734
2010-01-12 14:15:00,41.51,41.55,41.45,41.54,1793100
2010-01-12 14:30:00,41.54,41.58,41.51,41.57,1823010
2010-01-12 14:45:00,41.57,41.62,41.51,41.53,1880442
2010-01-12 15:00:00,41.54,41.75,41.53,41.69,1940117
2010-01-12 15:15:00,41.7,41.7,41.58,41.58,2001393
2010-01-12 15:30:00,41.58,41.65,41.54,41.65,2099237
2010-01-12 15:45:00,41.655,41.66,41.53,41.59,2297163
2010-01-12 16:00:00,41.61,41.7,41.58,41.66,2563395
2010-01-13 09:45:00,41.91,42.01,41.67,41.67,111141
2010-01-13 10:00:00,41.65,41.85,41.57,41.61,305882
2010-01-13 10:15:00,41.61,41.84,41.61,41.66,344852
2010-01-13 10:30:00,41.66,41.66,41.42,41.53,473870
2010-01-13 10:45:00,41.52,41.71,41.48,41.7,533544
2010-01-13 11:00:00,41.7,41.755,41.61,41.65,584457
2010-01-13 11:15:00,41.65,41.74,41.625,41.625,632005
2010-01-13 11:30:00,41.63,41.71,41.56,41.6,793622
2010-01-13 11:45:00,41.62,41.71,41.55,41.62,970345
2010-01-13 12:00:00,41.61,41.65,41.58,41.62,1021468
2010-01-13 12:15:00,41.62,41.78,41.6,41.71,1116740
2010-01-13 12:30:00,41.7,41.76,41.7,41.73,1157686
2010-01-13 12:45:00,41.74,41.9,41.71,41.81,1196329
2010-01-13 13:00:00,41.81,41.83,41.69,41.69,1255543
2010-01-13 13:15:00,41.67,41.74,41.54,41.74,1285063
2010-01-13 13:30:00,41.732,41.75,41.67,41.75,1301057
2010-01-13 13:45:00,41.75,41.87,41.74,41.83,1353565
2010-01-13 14:00:00,41.83,41.89,41.77,41.775,1410705
2010-01-13 14:15:00,41.78,41.92,41.78,41.84,1471962
2010-01-13 14:30:00,41.85,41.92,41.82,41.88,1507718
2010-01-13 14:45:00,41.88,41.96,41.87,41.905,1582915
2010-01-13 15:00:00,41.9,42.115,41.88,42.09,1659030
2010-01-13 15:15:00,42.1,42.1,41.95,42.0,1935063
2010-01-13 15:30:00,42.0,42.19,41.98,42.19,2110444
2010-01-13 15:45:00,42.18,42.25,42.15,42.15,2463435
2010-01-13 16:00:00,42.15,42.28,42.15,42.21,2823161
2010-01-14 09:45:00,41.99,42.1,41.81,42.06,44348
2010-01-14 10:00:00,42.06,42.1899,41.95,42.04,91306
2010-01-14 10:15:00,42.06,42.14,42.03,42.12,230884
2010-01-14 10:30:00,42.12,42.12,42.0,42.0,336975
2010-01-14 10:45:00,42.02,42.05,41.86,41.88,471817
2010-01-14 11:00:00,41.875,41.92,41.77,41.78,517490
2010-01-14 11:15:00,41.78,41.81,41.61,41.66,605511
2010-01-14 11:30:00,41.65,41.67,41.59,41.66,700610
2010-01-14 11:45:00,41.66,41.76,41.65,41.72,772606
2010-01-14 12:00:00,41.72,41.75,41.69,41.72,786899
2010-01-14 12:15:00,41.7399,41.76,41.7399,41.75,808521
2010-01-14 12:30:00,41.75,41.87,41.732,41.87,822743
2010-01-14 12:45:00,41.87,41.95,41.855,41.89,842344
2010-01-14 13:00:00,41.895,41.945,41.895,41.93,885158
2010-01-14 13:15:00,41.94,41.94,41.89,41.92,922714
2010-01-14 13:30:00,41.92,41.92,41.82,41.845,937944
2010-01-14 13:45:00,41.85,41.995,41.85,41.93,974653
2010-01-14 14:00:00,41.92,42.0,41.87,41.99,1019332
2010-01-14 14:15:00,41.99,42.02,41.97,41.98,1043378
2010-01-14 14:30:00,41.98,41.99,41.96,41.985,1057706
2010-01-14 14:45:00,41.97,42.0,41.91,41.97,1101510
2010-01-14 15:00:00,41.97,42.0,41.95,41.98,1136263
2010-01-14 15:15:00,41.98,42.1,41.98,42.01,1216238
2010-01-14 15:30:00,42.01,42.15,41.99,42.02,1284085
2010-01-14 15:45:00,42.0201,42.09,41.97,42.09,1351959
2010-01-14 16:00:00,42.09,42.12,41.95,42.01,1535469
2010-01-15 09:45:00,41.8,41.85,41.48,41.595,298761
2010-01-15 10:00:00,41.59,41.66,41.51,41.57,344739
2010-01-15 10:15:00,41.56,41.6,41.46,41.53,424267
2010-01-15 10:30:00,41.52,41.7,41.45,41.67,589046
2010-01-15 10:45:00,41.65,41.698,41.58,41.63,647128
2010-01-15 11:00:00,41.63,41.71,41.59,41.71,681403
2010-01-15 11:15:00,41.7,41.72,41.58,41.65,726748
2010-01-15 11:30:00,41.64,41.645,41.58,41.6,765450
2010-01-15 11:45:00,41.6,41.66,41.51,41.53,807609
2010-01-15 12:00:00,41.5301,41.61,41.53,41.6,830464
2010-01-15 12:15:00,41.6,41.75,41.54,41.73,894595
2010-01-15 12:30:00,41.75,41.75,41.62,41.62,936297
2010-01-15 12:45:00,41.62,41.71,41.62,41.68,988376
2010-01-15 13:00:00,41.68,41.73,41.65,41.7,1048332
2010-01-15 13:15:00,41.72,41.75,41.68,41.71,1085432
2010-01-15 13:30:00,41.7094,41.75,41.68,41.73,1129442
