dt,open,high,low,close,volume
2010-01-04 09:45:00,136.15,136.4,135.12,135.6,736575
2010-01-04 10:00:00,135.57,136.61,135.55,136.18,1197899
2010-01-04 10:15:00,136.15,136.29,134.36,134.8665,1876289
2010-01-04 10:30:00,134.845,134.99,134.0862,134.88,2444787
2010-01-04 10:45:00,134.94,135.07,134.2,134.38,2808892
2010-01-04 11:00:00,134.4,134.8,133.83,133.9199,3194354
2010-01-04 11:15:00,133.92,134.18,133.85,134.031,3457644
2010-01-04 11:30:00,134.05,134.08,133.46,133.56,3861183
2010-01-04 11:45:00,133.5344,134.14,133.5344,134.015,4071684
2010-01-04 12:00:00,133.9802,134.33,133.88,134.1,4279776
2010-01-04 12:15:00,134.1,134.15,133.79,133.91,4464133
2010-01-04 12:30:00,133.92,134.15,133.83,133.97,4593595
2010-01-04 12:45:00,133.977,134.09,133.82,133.9019,4688100
2010-01-04 13:00:00,133.89,134.035,133.69,133.8524,4813654
2010-01-04 13:15:00,133.85,134.01,133.56,133.6805,4973476
2010-01-04 13:30:00,133.69,134.04,133.58,133.61,5107197
2010-01-04 13:45:00,133.62,133.76,133.52,133.65,5306405
2010-01-04 14:00:00,133.65,133.75,133.37,133.5,5463440
2010-01-04 14:15:00,133.498,133.5,133.2,133.29,5653500
2010-01-04 14:30:00,133.27,133.6497,133.14,133.64,5875736
2010-01-04 14:45:00,133.62,133.88,133.41,133.86,6051269
2010-01-04 15:00:00,133.86,133.87,133.56,133.65,6172445
2010-01-04 15:15:00,133.645,133.9,133.62,133.69,6344469
2010-01-04 15:30:00,133.7,133.81,133.48,133.65,6534683
2010-01-04 15:45:00,133.6587,133.94,133.65,133.73,6781014
2010-01-04 16:00:00,133.73,134.0,133.54,133.88,7300644
2010-01-05 09:45:00,133.43,133.43,131.81,132.74,779340
2010-01-05 10:00:00,132.74,134.099,132.44,133.9,1589068
2010-01-05 10:15:00,133.84,134.82,133.45,134.57,2447899
2010-01-05 10:30:00,134.58,135.23,134.57,134.81,2971105
