dt,open,high,low,close,volume
2010-01-04 09:45:00,40.81,40.94,40.46,40.535,615588
2010-01-04 10:00:00,40.56,40.66,40.53,40.56,905278
2010-01-04 10:15:00,40.56,40.62,40.39,40.5,1337793
2010-01-04 10:30:00,40.51,40.54,40.45,40.53,1609377
2010-01-04 10:45:00,40.54,40.57,40.5,40.56,1823551
2010-01-04 11:00:00,40.57,40.68,40.54,40.57,2040365
2010-01-04 11:15:00,40.57,40.66,40.565,40.64,2211146
2010-01-04 11:30:00,40.64,40.74,40.59,40.73,2363857
2010-01-04 11:45:00,40.73,40.97,40.72,40.95,2589891
2010-01-04 12:00:00,40.94,41.1,40.94,41.0175,2880582
2010-01-04 12:15:00,41.02,41.061,40.963,40.99,3037116
2010-01-04 12:30:00,40.9906,41.0,40.89,40.9,3217533
2010-01-04 12:45:00,40.8901,40.99,40.86,40.98,3348283
2010-01-04 13:00:00,40.98,41.0101,40.9,40.91,3467050
2010-01-04 13:15:00,40.911,40.912,40.85,40.86,3568017
2010-01-04 13:30:00,40.86,40.96,40.855,40.9,3675041
2010-01-04 13:45:00,40.91,40.91,40.85,40.85,3790824
2010-01-04 14:00:00,40.86,40.86,40.71,40.71,3970085
2010-01-04 14:15:00,40.71,40.8,40.71,40.79,4130082
2010-01-04 14:30:00,40.795,40.8,40.71,40.79,4286840
2010-01-04 14:45:00,40.79,40.94,40.785,40.9375,4475840
2010-01-04 15:00:00,40.94,41.01,40.92,40.94,4721796
2010-01-04 15:15:00,40.94,41.03,40.91,40.98,4918121
2010-01-04 15:30:00,40.98,40.98,40.92,40.945,5105767
2010-01-04 15:45:00,40.945,40.95,40.85,40.85,5314094
2010-01-04 16:00:00,40.85,41.03,40.84,40.94,6156314
2010-01-05 09:45:00,40.83,40.98,40.73,40.91,421207
2010-01-05 10:00:00,40.9,40.93,40.82,40.82,842783
2010-01-05 10:15:00,40.82,40.96,40.75,40.88,1190995
2010-01-05 10:30:00,40.8715,41.16,40.87,41.13,1613723
2010-01-05 10:45:00,41.14,41.23,41.01,41.08,2162732
2010-01-05 11:00:00,41.09,41.1,40.899,40.98,3551581
2010-01-05 11:15:00,40.97,41.15,40.96,41.02,3735904
2010-01-05 11:30:00,41.01,41.06,40.87,40.8719,4105813
2010-01-05 11:45:00,40.87,40.89,40.79,40.81,4873983
2010-01-05 12:00:00,40.81,40.9,40.8,40.84,5140342
2010-01-05 12:15:00,40.85,40.93,40.83,40.85,5353778
2010-01-05 12:30:00,40.85,40.85,40.76,40.77,5474644
2010-01-05 12:45:00,40.77,40.78,40.54,40.73,5886570
2010-01-05 13:00:00,40.73,40.74,40.51,40.5301,6324172
2010-01-05 13:15:00,40.53,40.62,40.47,40.555,6566541
2010-01-05 13:30:00,40.55,40.57,40.42,40.45,6704369
2010-01-05 13:45:00,40.44,40.62,40.44,40.61,6877256
2010-01-05 14:00:00,40.61,40.615,40.43,40.53,7053419
2010-01-05 14:15:00,40.53,40.58,40.43,40.44,7183245
2010-01-05 14:30:00,40.44,40.54,40.37,40.53,7362384
2010-01-05 14:45:00,40.52,40.58,40.49,40.55,7563572
2010-01-05 15:00:00,40.55,40.65,40.52,40.52,7807681
2010-01-05 15:15:00,40.52,40.57,40.45,40.45,8072845
2010-01-05 15:30:00,40.45,40.68,40.41,40.67,8380353
2010-01-05 15:45:00,40.64,40.84,40.615,40.755,8828755
2010-01-05 16:00:00,40.76,40.87,40.75,40.79,9611894
2010-01-06 09:45:00,41.23,41.4,41.17,41.3,769877
2010-01-06 10:00:00,41.31,41.56,41.29,41.54,1528096
2010-01-06 10:15:00,41.54,41.67,41.48,41.61,1993108
2010-01-06 10:30:00,41.62,41.63,41.54,41.585,2287111
2010-01-06 10:45:00,41.58,41.62,41.37,41.46,2621762
2010-01-06 11:00:00,41.47,41.51,41.425,41.506,2812563
2010-01-06 11:15:00,41.51,41.57,41.47,41.48,2983344
2010-01-06 11:30:00,41.48,41.5,41.33,41.3952,3226506
2010-01-06 11:45:00,41.4,41.54,41.37,41.4801,3535826
2010-01-06 12:00:00,41.49,41.5,41.32,41.32,3781602
2010-01-06 12:15:00,41.3226,41.36,41.18,41.21,3996166
2010-01-06 12:30:00,41.2,41.28,41.19,41.28,4179163
2010-01-06 12:45:00,41.28,41.315,41.2,41.3,4329721
2010-01-06 13:00:00,41.2901,41.365,41.24,41.36,4467034
2010-01-06 13:15:00,41.37,41.4299,41.3199,41.4001,4639827
2010-01-06 13:30:00,41.41,41.46,41.39,41.4,4743661
2010-01-06 13:45:00,41.39,41.465,41.33,41.33,4892805
2010-01-06 14:00:00,41.34,41.35,41.24,41.31,5064118
2010-01-06 14:15:00,41.3199,41.5,41.31,41.47,5327174
2010-01-06 14:30:00,41.47,41.52,41.43,41.46,5517448
2010-01-06 14:45:00,41.455,41.53,41.44,41.46,5744701
2010-01-06 15:00:00,41.46,41.515,41.43,41.48,5949452
2010-01-06 15:15:00,41.47,41.56,41.395,41.48,6419189
2010-01-06 15:30:00,41.48,41.5,41.37,41.49,6761353
2010-01-06 15:45:00,41.48,41.565,41.46,41.46,7240684
2010-01-06 16:00:00,41.47,41.53,41.37,41.49,8135263
2010-01-07 09:45:00,41.26,41.52,41.2,41.34,389005
2010-01-07 10:00:00,41.34,41.4,41.12,41.15,675881
2010-01-07 10:15:00,41.135,41.25,41.12,41.16,898975
2010-01-07 10:30:00,41.16,41.28,41.11,41.16,1089068
2010-01-07 10:45:00,41.16,41.3,41.15,41.28,1292382
2010-01-07 11:00:00,41.28,41.53,41.28,41.475,1748468
2010-01-07 11:15:00,41.475,41.49,41.34,41.4,1924227
2010-01-07 11:30:00,41.41,41.43,41.35,41.39,2137441
2010-01-07 11:45:00,41.39,41.41,41.31,41.33,2461869
2010-01-07 12:00:00,41.33,41.41,41.32,41.39,2572787
2010-01-07 12:15:00,41.39,41.46,41.37,41.4,2707624
2010-01-07 12:30:00,41.4,41.5,41.39,41.43,2898521
2010-01-07 12:45:00,41.43,41.68,41.415,41.582,3295022
2010-01-07 13:00:00,41.58,41.72,41.57,41.71,3483929
2010-01-07 13:15:00,41.7,41.73,41.59,41.68,3670467
