dt,open,high,low,close,volume
2010-01-04 09:45:00,58.99,58.99,58.66,58.71,446369
2010-01-04 10:00:00,58.71,58.8,58.39,58.4,808937
2010-01-04 10:15:00,58.4,58.4,57.89,58.01,1116409
2010-01-04 10:30:00,58.0,58.01,57.64,57.8,1362705
2010-01-04 10:45:00,57.8,58.0,57.78,57.97,1559590
2010-01-04 11:00:00,57.97,58.01,57.89,57.96,1756233
2010-01-04 11:15:00,57.96,58.04,57.88,57.9,2145729
2010-01-04 11:30:00,57.91,58.02,57.9,58.0,2328636
2010-01-04 11:45:00,58.0,58.03,57.895,57.9899,2575023
2010-01-04 12:00:00,57.987,58.1,57.95,58.03,3113286
2010-01-04 12:15:00,58.04,58.2483,58.04,58.1999,3423703
2010-01-04 12:30:00,58.2,58.2,58.11,58.15,3490010
2010-01-04 12:45:00,58.16,58.2,58.15,58.19,3571181
2010-01-04 13:00:00,58.19,58.21,58.11,58.14,3693700
2010-01-04 13:15:00,58.14,58.15,58.11,58.13,3822191
2010-01-04 13:30:00,58.13,58.14,58.11,58.13,3936580
2010-01-04 13:45:00,58.12,58.14,58.05,58.105,4040674
2010-01-04 14:00:00,58.11,58.11,57.97,58.05,4212749
2010-01-04 14:15:00,58.05,58.118,58.04,58.08,4298789
2010-01-04 14:30:00,58.08,58.1,58.06,58.07,4387470
2010-01-04 14:45:00,58.08,58.16,58.06,58.155,4568411
2010-01-04 15:00:00,58.15,58.2,58.15,58.16,4870288
2010-01-04 15:15:00,58.17,58.22,58.14,58.21,5035061
2010-01-04 15:30:00,58.21,58.26,58.15,58.19,5300366
2010-01-04 15:45:00,58.2,58.25,58.17,58.25,5553542
2010-01-04 16:00:00,58.25,58.28,58.22,58.24,5995160
2010-01-05 09:45:00,58.31,58.31,58.1,58.19,164655
2010-01-05 10:00:00,58.19,58.19,57.8,57.815,323532
2010-01-05 10:15:00,57.805,58.1399,57.75,58.12,417785
2010-01-05 10:30:00,58.13,58.27,58.12,58.2005,610418
2010-01-05 10:45:00,58.21,58.22,58.08,58.19,689200
2010-01-05 11:00:00,58.18,58.19,58.03,58.06,845638
2010-01-05 11:15:00,58.05,58.18,58.04,58.09,978960
2010-01-05 11:30:00,58.08,58.09,58.01,58.02,1096460
2010-01-05 11:45:00,58.02,58.09,57.97,58.05,1169087
2010-01-05 12:00:00,58.05,58.05,57.93,57.95,1232180
2010-01-05 12:15:00,57.95,57.99,57.91,57.93,1291766
2010-01-05 12:30:00,57.94,57.94,57.85,57.85,1352072
2010-01-05 12:45:00,57.86,57.96,57.855,57.92,1388370
2010-01-05 13:00:00,57.92,57.99,57.9,57.98,1502684
2010-01-05 13:15:00,57.985,58.0,57.82,57.8392,1568720
2010-01-05 13:30:00,57.831,57.87,57.77,57.775,1607066
2010-01-05 13:45:00,57.77,57.81,57.71,57.79,1934680
2010-01-05 14:00:00,57.79,57.81,57.72,57.78,1980426
2010-01-05 14:15:00,57.788,57.83,57.72,57.78,2097375
2010-01-05 14:30:00,57.78,57.89,57.76,57.89,2191782
2010-01-05 14:45:00,57.885,57.93,57.86,57.92,2267718
2010-01-05 15:00:00,57.915,57.99,57.89,57.975,2334179
2010-01-05 15:15:00,57.955,58.0,57.89,57.99,2421529
2010-01-05 15:30:00,57.99,58.0,57.9,57.9,2487552
2010-01-05 15:45:00,57.91,58.0,57.905,57.92,2671752
