dt,open,high,low,close,volume
2010-01-04 09:45:00,39.37,39.43,39.0,39.41,264521
2010-01-04 10:00:00,39.42,39.5,39.25,39.32,402791
2010-01-04 10:15:00,39.32,39.35,39.145,39.26,605045
2010-01-04 10:30:00,39.27,39.3,39.17,39.29,730134
2010-01-04 10:45:00,39.3,39.38,39.23,39.38,787031
2010-01-04 11:00:00,39.38,39.4,39.32,39.37,879937
2010-01-04 11:15:00,39.38,39.47,39.37,39.44,1000309
2010-01-04 11:30:00,39.44,39.45,39.31,39.31,1127615
2010-01-04 11:45:00,39.32,39.33,39.27,39.29,1206975
2010-01-04 12:00:00,39.29,39.35,39.25,39.26,1299686
2010-01-04 12:15:00,39.27,39.34,39.25,39.34,1378061
2010-01-04 12:30:00,39.3332,39.35,39.28,39.3,1431197
2010-01-04 12:45:00,39.31,39.37,39.3001,39.32,1482827
2010-01-04 13:00:00,39.3103,39.33,39.24,39.33,1547727
2010-01-04 13:15:00,39.33,39.33,39.24,39.24,1607444
2010-01-04 13:30:00,39.24,39.25,39.161,39.18,1651309
2010-01-04 13:45:00,39.18,39.18,39.11,39.13,1713434
2010-01-04 14:00:00,39.14,39.15,39.04,39.07,1766956
2010-01-04 14:15:00,39.07,39.09,39.02,39.04,1819567
2010-01-04 14:30:00,39.04,39.08,39.0,39.08,1909518
2010-01-04 14:45:00,39.08,39.15,39.08,39.13,2011556
2010-01-04 15:00:00,39.13,39.17,39.11,39.12,2068823
2010-01-04 15:15:00,39.13,39.15,39.11,39.14,2130607
2010-01-04 15:30:00,39.141,39.2101,39.11,39.1195,2319574
2010-01-04 15:45:00,39.12,39.12,39.0,39.04,2468402
2010-01-04 16:00:00,39.04,39.06,39.0,39.03,2867800
2010-01-05 09:45:00,38.97,39.11,38.79,38.81,187305
2010-01-05 10:00:00,38.8,38.845,38.66,38.66,416407
2010-01-05 10:15:00,38.66,38.69,38.51,38.6,781738
2010-01-05 10:30:00,38.5999,38.61,38.4,38.4,1182052
2010-01-05 10:45:00,38.405,38.59,38.4,38.535,1489295
