dt,open,high,low,close,volume
2017-01-12 10:00:00,40.0,42.5,40.0,42.5,36100
2017-01-12 10:15:00,45.0,45.0,42.5,45.0,52100
2017-01-12 10:45:00,43.75,43.87,43.5375,43.5375,53045
2017-01-12 11:30:00,43.25,44.0,43.25,44.0,80524
2017-01-12 11:45:00,45.0,45.0,45.0,45.0,90035
2017-01-12 12:00:00,45.0,45.0,45.0,45.0,92035
2017-01-12 13:45:00,46.0,46.0,46.0,46.0,92325
2017-01-12 14:00:00,47.0,47.0,47.0,47.0,92551
2017-01-12 15:45:00,45.0,45.0,45.0,45.0,297615
2017-01-12 16:00:00,47.35,47.5,45.0,47.5,318965
2017-01-13 09:45:00,45.51,46.61,45.0,45.7,1600
2017-01-13 10:00:00,45.74,45.76,45.67,45.7386,2400
2017-01-13 10:15:00,45.565,46.37,45.51,45.51,8336
2017-01-13 10:30:00,45.5,47.33,45.5,45.5,92812
2017-01-13 10:45:00,45.5,45.53,45.5,45.5,94137
2017-01-13 11:00:00,45.45,45.45,45.45,45.45,94257
2017-01-13 11:15:00,46.09,46.095,46.09,46.09,95442
2017-01-13 11:45:00,46.1,46.1,46.1,46.1,95542
2017-01-13 12:30:00,46.1,46.1,46.1,46.1,95642
2017-01-13 12:45:00,46.1,46.1406,46.0,46.0,98942
2017-01-13 13:00:00,46.1,46.1,46.1,46.1,99042
2017-01-13 13:15:00,46.01,46.1,46.01,46.1,99842
2017-01-13 13:30:00,46.1,46.1,46.1,46.1,100242
2017-01-13 13:45:00,46.1,46.1,46.02,46.1,103432
2017-01-13 14:00:00,46.02,46.1,45.97,46.1,108617
2017-01-13 14:15:00,46.1,46.1,45.97,46.1,111367
2017-01-13 14:30:00,46.1,46.1,46.0,46.095,113032
2017-01-13 14:45:00,46.095,46.1,45.99,46.1,114132
2017-01-13 15:00:00,46.1,46.1,45.99,46.0,120232
2017-01-13 15:15:00,46.1,46.1,45.94,46.0,130220
2017-01-13 15:30:00,46.0,46.0,45.9,46.0,144340
2017-01-13 15:45:00,45.9,45.9,45.4,45.4,169119
2017-01-13 16:00:00,45.4175,45.4175,45.4175,45.4175,169219
2017-01-17 09:45:00,46.0,46.0,45.75,45.75,11203
2017-01-17 10:00:00,45.7499,45.75,45.0,45.0,20364
2017-01-17 10:15:00,44.63,45.5,44.62,45.49,44657
2017-01-17 10:30:00,45.07,45.5,45.07,45.48,48657
2017-01-17 10:45:00,45.47,45.5,45.25,45.45,53607
2017-01-17 11:00:00,45.46,45.5,45.46,45.5,55207
2017-01-17 11:15:00,45.49,45.5,45.49,45.5,57057
2017-01-17 11:30:00,45.5,45.5,45.13,45.49,90857
2017-01-17 11:45:00,45.5,45.5,45.13,45.48,93857
2017-01-17 12:00:00,45.49,45.5,45.17,45.17,98257
2017-01-17 12:15:00,45.48,45.5,45.26,45.5,100357
2017-01-17 12:30:00,45.5,45.5,45.48,45.5,102057
2017-01-17 12:45:00,45.5,45.5,45.15,45.15,109957
2017-01-17 13:00:00,45.23,45.25,45.05,45.07,113857
2017-01-17 13:15:00,45.0,45.25,45.0,45.24,119094
2017-01-17 13:30:00,45.25,45.25,45.0,45.24,121194
2017-01-17 13:45:00,45.24,45.25,44.97,45.1,138467
2017-01-17 14:00:00,45.17,45.17,44.5,44.5,146458
2017-01-17 14:15:00,44.5,44.5,44.5,44.5,148058
2017-01-17 14:30:00,44.5,44.595,44.13,44.5,158289
2017-01-17 14:45:00,44.5,45.0,43.61,44.9999,350389
2017-01-17 15:00:00,44.56,45.0,44.55,44.9999,354189
2017-01-17 15:15:00,45.0,45.0,44.76,44.76,578627
2017-01-17 15:30:00,44.75,44.75,44.5,44.5,580027
2017-01-17 15:45:00,44.5,44.51,44.06,44.4799,591252
2017-01-17 16:00:00,44.35,44.5,44.02,44.5,641456
2017-01-18 09:45:00,44.42,44.82,44.12,44.25,9794
2017-01-18 10:00:00,44.35,44.5,44.0,44.36,31494
2017-01-18 10:15:00,44.36,44.47,43.9,43.9,36094
2017-01-18 10:30:00,44.1,44.1,43.3514,43.3514,37794
2017-01-18 10:45:00,44.1,44.25,43.73,44.03,43094
2017-01-18 11:00:00,44.04,44.25,43.85,44.0,180789
2017-01-18 11:15:00,44.25,44.25,44.18,44.25,215844
2017-01-18 11:45:00,44.25,44.25,44.25,44.25,218444
2017-01-18 12:15:00,44.25,44.25,44.25,44.25,222744
2017-01-18 13:00:00,44.25,44.25,44.25,44.25,234044
2017-01-18 13:15:00,44.25,44.25,44.25,44.25,238844
2017-01-18 13:45:00,44.25,44.25,44.0,44.25,1372333
2017-01-18 15:00:00,44.27,44.3,44.1505,44.1505,1377833
2017-01-18 15:15:00,44.27,44.27,44.234,44.234,1378443
2017-01-18 16:00:00,44.05,44.06,44.05,44.05,1379140
2017-01-19 10:00:00,45.22,45.22,43.33,44.0,3039
2017-01-19 10:30:00,43.87,44.31,43.5,43.705,26623
2017-01-19 10:45:00,44.0,44.0945,43.51,43.98,29441
2017-01-19 11:00:00,44.195,44.21,43.65,43.981,80989
2017-01-19 11:15:00,44.57,44.57,44.0,44.319,98092
2017-01-19 11:30:00,44.4275,44.5,44.37,44.43,105818
2017-01-19 11:45:00,44.425,44.5,44.2,44.2,116238
2017-01-19 12:00:00,44.2,44.22,44.05,44.2,118202
2017-01-19 12:15:00,44.075,44.3,43.62,43.96,142864
2017-01-19 12:30:00,43.75,44.09,43.6,44.0,172424
2017-01-19 12:45:00,43.98,44.07,43.98,43.985,173707
2017-01-19 13:00:00,44.0,44.17,43.92,44.17,176636
2017-01-19 13:15:00,44.25,44.25,44.25,44.25,177136
2017-01-19 13:45:00,44.25,44.28,44.1525,44.25,183532
2017-01-19 14:00:00,44.0,44.0,43.995,43.995,201700
2017-01-19 14:15:00,44.0,44.18,44.0,44.05,206300
2017-01-19 14:30:00,44.045,44.12,43.83,44.07,216627
2017-01-19 14:45:00,43.86,43.86,43.86,43.86,216760
2017-01-19 15:00:00,44.0,44.01,43.76,43.76,243835
2017-01-19 15:15:00,43.85,43.85,43.85,43.85,243957
2017-01-19 15:30:00,43.855,43.95,43.16,43.26,275380
2017-01-19 15:45:00,43.6303,43.75,43.38,43.54,335420
2017-01-19 16:00:00,43.5,43.5,43.16,43.32,372346
2017-01-20 09:45:00,43.17,43.17,43.17,43.17,575
2017-01-20 10:00:00,43.75,43.75,43.675,43.675,50916
2017-01-20 10:15:00,43.96,43.96,43.67,43.851,52114
2017-01-20 11:15:00,43.82,44.0,43.82,43.86,115520
2017-01-20 11:30:00,43.85,44.0,43.84,44.0,118230
2017-01-20 11:45:00,43.99,43.99,43.805,43.9,122877
2017-01-20 12:00:00,44.03,44.08,43.91,43.96,142747
2017-01-20 12:15:00,44.06,44.08,43.96,43.98,171722
2017-01-20 12:30:00,44.09,44.25,43.9,44.02,431026
2017-01-20 12:45:00,44.0,44.0,43.9,43.95,665526
