dt,open,high,low,close,volume
2010-01-04 09:45:00,51.86,52.11,51.82,52.1,23768
2010-01-04 10:00:00,52.09,52.2,52.07,52.07,40528
2010-01-04 10:15:00,52.09,52.18,52.06,52.17,63528
2010-01-04 10:30:00,52.18,52.5,52.17,52.5,91506
2010-01-04 10:45:00,52.5,52.54,52.4,52.52,113423
2010-01-04 11:00:00,52.5,52.52,52.35,52.35,136784
2010-01-04 11:15:00,52.36,52.41,52.35,52.41,147120
2010-01-04 11:30:00,52.43,52.43,52.36,52.38,160333
2010-01-04 11:45:00,52.37,52.41,52.37,52.38,172583
2010-01-04 12:00:00,52.38,52.43,52.38,52.41,183273
2010-01-04 12:15:00,52.39,52.43,52.36,52.4,196818
2010-01-04 12:30:00,52.38,52.38,52.34,52.35,206890
2010-01-04 12:45:00,52.35,52.4,52.35,52.36,217706
2010-01-04 13:00:00,52.36,52.3699,52.285,52.29,234501
2010-01-04 13:15:00,52.31,52.34,52.28,52.295,261331
2010-01-04 13:30:00,52.3,52.37,52.29,52.37,315181
2010-01-04 13:45:00,52.37,52.38,52.3,52.305,324136
2010-01-04 14:00:00,52.31,52.35,52.27,52.295,349435
2010-01-04 14:15:00,52.31,52.33,52.28,52.329,358874
2010-01-04 14:30:00,52.33,52.36,52.29,52.35,377037
2010-01-04 14:45:00,52.35,52.39,52.33,52.37,411943
2010-01-04 15:00:00,52.36,52.41,52.36,52.4,436370
2010-01-04 15:15:00,52.4,52.4,52.33,52.34,462521
2010-01-04 15:30:00,52.34,52.44,52.34,52.425,491601
2010-01-04 15:45:00,52.43,52.44,52.37,52.385,535021
2010-01-04 16:00:00,52.39,52.55,52.38,52.53,600674
2010-01-05 09:45:00,52.33,52.38,52.04,52.11,22659
2010-01-05 10:00:00,52.11,52.19,52.0,52.0,50585
2010-01-05 10:15:00,52.01,52.15,51.98,52.12,95744
2010-01-05 10:30:00,52.12,52.1301,52.045,52.045,116643
2010-01-05 10:45:00,52.04,52.1,52.0304,52.08,140875
2010-01-05 11:00:00,52.08,52.23,52.02,52.18,177198
2010-01-05 11:15:00,52.16,52.16,52.06,52.08,208294
2010-01-05 11:30:00,52.07,52.09,52.03,52.04,241260
2010-01-05 11:45:00,52.06,52.06,51.94,51.95,265663
2010-01-05 12:00:00,51.95,51.97,51.83,51.86,280363
2010-01-05 12:15:00,51.87,51.87,51.82,51.84,304927
2010-01-05 12:30:00,51.8402,51.87,51.79,51.86,325427
2010-01-05 12:45:00,51.87,51.94,51.86,51.935,350758
2010-01-05 13:00:00,51.93,51.94,51.865,51.91,364534
2010-01-05 13:15:00,51.91,51.91,51.8,51.82,380634
2010-01-05 13:30:00,51.82,51.86,51.76,51.845,401734
2010-01-05 13:45:00,51.85,51.87,51.775,51.81,424140
2010-01-05 14:00:00,51.81,51.85,51.75,51.82,462522
2010-01-05 14:15:00,51.83,51.86,51.83,51.84,494063
2010-01-05 14:30:00,51.83,51.88,51.78,51.87,515563
2010-01-05 14:45:00,51.86,51.87,51.83,51.87,535963
2010-01-05 15:00:00,51.865,51.91,51.84,51.84,559563
2010-01-05 15:15:00,51.85,51.93,51.83,51.8601,593621
2010-01-05 15:30:00,51.86,51.94,51.84,51.87,629203
2010-01-05 15:45:00,51.87,51.91,51.83,51.83,671374
2010-01-05 16:00:00,51.85,51.94,51.83,51.92,741077
2010-01-06 09:45:00,51.92,52.12,51.77,52.12,7050
2010-01-06 10:00:00,52.09,52.09,52.0,52.06,18204
2010-01-06 10:15:00,52.08,52.114,51.92,51.94,37813
2010-01-06 10:30:00,51.94,51.97,51.82,51.84,55581
2010-01-06 10:45:00,51.81,51.84,51.64,51.73,126732
2010-01-06 11:00:00,51.75,51.83,51.72,51.83,147673
2010-01-06 11:15:00,51.8296,51.95,51.8296,51.88,151973
2010-01-06 11:30:00,51.88,51.9499,51.87,51.92,157073
2010-01-06 11:45:00,51.92,52.03,51.89,52.02,167300
2010-01-06 12:00:00,52.02,52.03,51.93,51.96,176099
2010-01-06 12:15:00,51.96,52.0,51.8975,51.92,183502
2010-01-06 12:30:00,51.92,51.97,51.91,51.91,189951
2010-01-06 12:45:00,51.92,51.97,51.91,51.9465,194719
2010-01-06 13:00:00,51.932,51.98,51.9106,51.9699,199535
2010-01-06 13:15:00,51.99,52.02,51.91,51.98,223119
2010-01-06 13:30:00,51.995,51.995,51.94,51.95,237615
2010-01-06 13:45:00,51.96,51.98,51.86,51.87,244294
2010-01-06 14:00:00,51.88,51.88,51.77,51.77,254967
2010-01-06 14:15:00,51.78,51.85,51.76,51.76,271621
2010-01-06 14:30:00,51.765,51.89,51.75,51.86,302521
2010-01-06 14:45:00,51.865,51.92,51.86,51.875,317221
2010-01-06 15:00:00,51.88,51.89,51.865,51.87,345123
