dt,open,high,low,close,volume
2010-01-04 09:45:00,32.04,32.37,32.03,32.36,632190
2010-01-04 10:00:00,32.36,32.46,32.24,32.46,1043697
2010-01-04 10:15:00,32.46,32.49,32.33,32.37,1516414
2010-01-04 10:30:00,32.37,32.46,32.3,32.43,1750083
2010-01-04 10:45:00,32.42,32.49,32.41,32.47,1993935
2010-01-04 11:00:00,32.47,32.48,32.35,32.37,2190538
2010-01-04 11:15:00,32.35,32.448,32.31,32.32,2394684
2010-01-04 11:30:00,32.32,32.36,32.26,32.36,2707898
2010-01-04 11:45:00,32.36,32.36,32.26,32.32,2916298
2010-01-04 12:00:00,32.31,32.36,32.26,32.3324,3055220
2010-01-04 12:15:00,32.33,32.36,32.31,32.36,3173483
2010-01-04 12:30:00,32.36,32.39,32.35,32.3765,3317421
2010-01-04 12:45:00,32.37,32.373,32.305,32.32,3404132
2010-01-04 13:00:00,32.32,32.35,32.15,32.21,3678129
2010-01-04 13:15:00,32.21,32.25,32.2,32.243,3750458
2010-01-04 13:30:00,32.2499,32.28,32.15,32.2,3918145
2010-01-04 13:45:00,32.2,32.27,32.193,32.2501,3993490
2010-01-04 14:00:00,32.26,32.27,32.2,32.2,4100545
2010-01-04 14:15:00,32.21,32.23,32.2,32.21,4202120
2010-01-04 14:30:00,32.22,32.28,32.2,32.2775,4339872
2010-01-04 14:45:00,32.28,32.32,32.27,32.32,4441963
2010-01-04 15:00:00,32.32,32.34,32.26,32.2602,4514369
2010-01-04 15:15:00,32.26,32.34,32.25,32.27,4784330
2010-01-04 15:30:00,32.27,32.28,32.23,32.23,4925707
2010-01-04 15:45:00,32.23,32.24,32.15,32.17,5267494
2010-01-04 16:00:00,32.17,32.25,32.16,32.24,5674294
2010-01-05 09:45:00,32.3,32.4,31.91,31.929,331913
2010-01-05 10:00:00,31.92,32.3,31.91,32.17,628821
2010-01-05 10:15:00,32.17,32.35,32.12,32.34,1052871
2010-01-05 10:30:00,32.34,32.39,32.24,32.25,1362518
2010-01-05 10:45:00,32.24,32.28,32.16,32.17,1550562
2010-01-05 11:00:00,32.17,32.18,32.01,32.045,1701073
2010-01-05 11:15:00,32.05,32.05,31.82,31.82,2023573
2010-01-05 11:30:00,31.8298,31.84,31.75,31.795,2336581
2010-01-05 11:45:00,31.79,31.88,31.78,31.88,2490817
2010-01-05 12:00:00,31.88,31.91,31.84,31.87,2580126
