dt,open,high,low,close,volume
2010-01-04 09:45:00,83.76,84.36,83.65,83.67,112237
2010-01-04 10:00:00,83.67,83.83,83.096,83.18,155347
2010-01-04 10:15:00,83.24,83.35,82.85,83.01,196303
2010-01-04 10:30:00,83.02,83.61,82.94,83.48,241660
2010-01-04 10:45:00,83.59,83.62,83.24,83.4,262779
2010-01-04 11:00:00,83.4,83.75,83.36,83.71,281421
2010-01-04 11:15:00,83.74,84.06,83.74,84.05,287350
2010-01-04 11:30:00,84.04,84.1649,84.03,84.12,297323
2010-01-04 11:45:00,84.15,84.26,83.95,84.2312,332503
2010-01-04 12:00:00,84.23,84.25,84.17,84.25,344036
2010-01-04 12:15:00,84.26,84.41,84.15,84.15,378979
2010-01-04 12:30:00,84.18,84.1801,84.0,84.0,387679
2010-01-04 12:45:00,84.01,84.02,83.85,83.96,411126
2010-01-04 13:00:00,83.93,84.08,83.93,84.08,419883
2010-01-04 13:15:00,84.09,84.13,83.86,83.91,434873
2010-01-04 13:30:00,83.9,83.92,83.76,83.85,448453
2010-01-04 13:45:00,83.81,83.8911,83.73,83.89,463419
2010-01-04 14:00:00,83.92,83.95,83.8625,83.94,472062
2010-01-04 14:15:00,83.92,83.97,83.9,83.9028,479660
2010-01-04 14:30:00,83.91,84.03,83.91,84.0,490868
2010-01-04 14:45:00,84.01,84.04,84.0,84.02,497076
2010-01-04 15:00:00,84.02,84.08,83.97,83.99,527761
2010-01-04 15:15:00,84.0,84.07,83.89,83.9,537602
2010-01-04 15:30:00,83.91,84.02,83.89,84.0,564903
2010-01-04 15:45:00,84.0,84.22,83.89,84.22,620409
2010-01-04 16:00:00,84.22,84.36,84.15,84.27,716996
2010-01-05 09:45:00,85.5,86.42,85.0,85.45,163695
2010-01-05 10:00:00,85.44,86.2,85.31,86.06,270388
2010-01-05 10:15:00,86.06,86.29,85.95,86.12,396427
2010-01-05 10:30:00,86.12,86.35,85.83,86.2901,440721
2010-01-05 10:45:00,86.35,86.78,86.27,86.77,488521
2010-01-05 11:00:00,86.71,86.74,86.27,86.3101,562593
2010-01-05 11:15:00,86.3,86.35,85.93,86.18,611616
2010-01-05 11:30:00,86.19,86.32,86.1,86.32,631148
2010-01-05 11:45:00,86.305,86.4094,86.2,86.39,656405
2010-01-05 12:00:00,86.4,86.6,86.34,86.6,671414
2010-01-05 12:15:00,86.58,87.03,86.57,86.95,705102
2010-01-05 12:30:00,86.95,87.02,86.77,86.9,726104
2010-01-05 12:45:00,86.9,87.03,86.81,87.03,741969
2010-01-05 13:00:00,87.03,87.3,87.0,87.21,786244
2010-01-05 13:15:00,87.2,87.36,87.19,87.33,809116
2010-01-05 13:30:00,87.39,87.46,87.29,87.44,826464
2010-01-05 13:45:00,87.41,88.24,87.39,88.055,887530
2010-01-05 14:00:00,88.04,88.69,88.04,88.5997,964531
2010-01-05 14:15:00,88.59,88.85,88.36,88.8,1025466
2010-01-05 14:30:00,88.8025,89.18,88.6,88.62,1153661
2010-01-05 14:45:00,88.62,88.68,88.48,88.64,1205260
2010-01-05 15:00:00,88.67,88.93,88.63,88.89,1292782
2010-01-05 15:15:00,88.88,89.1,88.54,88.6,1417844
2010-01-05 15:30:00,88.61,88.98,88.56,88.98,1512913
2010-01-05 15:45:00,88.98,89.2,88.93,89.18,1610518
2010-01-05 16:00:00,89.18,89.38,88.98,89.24,1796994
2010-01-06 09:45:00,90.0,90.69,89.5,90.58,203571
2010-01-06 10:00:00,90.55,90.63,89.77,90.11,305649
2010-01-06 10:15:00,90.14,90.29,89.4,89.51,434884
2010-01-06 10:30:00,89.5,90.2,89.49,90.12,498240
2010-01-06 10:45:00,90.08,90.3,89.95,90.3,536569
2010-01-06 11:00:00,90.3,90.75,90.22,90.7399,578971
2010-01-06 11:15:00,90.74,91.1,90.71,91.09,639259
2010-01-06 11:30:00,91.08,91.49,90.87,91.0,714952
2010-01-06 11:45:00,91.0,91.05,90.46,90.64,753368
2010-01-06 12:00:00,90.64,90.65,90.25,90.4,792375
2010-01-06 12:15:00,90.4,90.7,90.28,90.3001,821129
2010-01-06 12:30:00,90.35,90.53,89.71,89.79,868247
2010-01-06 12:45:00,89.89,89.89,89.5909,89.65,893733
2010-01-06 13:00:00,89.65,89.69,89.4,89.57,928194
2010-01-06 13:15:00,89.54,89.72,89.06,89.17,1025343
2010-01-06 13:30:00,89.18,89.57,89.1512,89.57,1084140
2010-01-06 13:45:00,89.56,89.65,89.45,89.45,1121759
2010-01-06 14:00:00,89.45,89.71,89.37,89.54,1146351
2010-01-06 14:15:00,89.55,89.89,89.5,89.8,1176306
2010-01-06 14:30:00,89.78,90.14,89.7301,90.14,1212628
2010-01-06 14:45:00,90.125,90.17,89.95,89.98,1295192
2010-01-06 15:00:00,90.0,90.27,90.0,90.15,1344350
2010-01-06 15:15:00,90.13,90.16,89.97,90.03,1387652
2010-01-06 15:30:00,90.02,90.14,90.0,90.13,1428608
2010-01-06 15:45:00,90.12,90.22,90.0,90.03,1479715
2010-01-06 16:00:00,90.03,90.35,89.95,90.18,1669166
2010-01-07 09:45:00,89.41,90.1,89.41,89.81,30233
2010-01-07 10:00:00,89.82,89.88,89.18,89.3,57129
2010-01-07 10:15:00,89.26,89.31,89.0,89.035,97644
2010-01-07 10:30:00,89.025,89.25,88.94,89.11,153048
2010-01-07 10:45:00,89.14,89.1576,88.92,89.09,177952
2010-01-07 11:00:00,89.06,89.35,89.0,89.29,209013
2010-01-07 11:15:00,89.22,89.8056,89.22,89.77,232481
2010-01-07 11:30:00,89.75,90.08,89.66,90.0,254582
2010-01-07 11:45:00,89.99,90.0525,89.96,89.99,272630
2010-01-07 12:00:00,89.99,90.05,89.97,89.97,286559
2010-01-07 12:15:00,89.97,90.02,89.72,89.72,297587
2010-01-07 12:30:00,89.7,89.93,89.7,89.93,310737
2010-01-07 12:45:00,89.935,90.08,89.805,89.86,332148
2010-01-07 13:00:00,89.88,89.985,89.87,89.95,341065
2010-01-07 13:15:00,89.88,90.4794,89.85,90.4794,379960
2010-01-07 13:30:00,90.44,90.48,90.17,90.4,394918
2010-01-07 13:45:00,90.4,90.63,90.4,90.605,411114
2010-01-07 14:00:00,90.59,90.67,90.495,90.67,426838
2010-01-07 14:15:00,90.64,90.7625,90.63,90.73,441769
2010-01-07 14:30:00,90.73,90.83,90.63,90.81,472002
2010-01-07 14:45:00,90.82,90.94,90.76,90.84,493808
2010-01-07 15:00:00,90.83,90.96,90.83,90.9,515083
2010-01-07 15:15:00,90.89,91.0,90.68,90.72,573950
2010-01-07 15:30:00,90.725,90.76,90.62,90.7,606423
2010-01-07 15:45:00,90.68,90.84,90.68,90.78,648626
2010-01-07 16:00:00,90.77,90.8152,90.56,90.71,719327
2010-01-08 09:45:00,90.31,90.65,89.87,90.02,11435
2010-01-08 10:00:00,89.99,90.13,89.69,89.96,29580
2010-01-08 10:15:00,89.96,90.16,89.38,89.49,107016
2010-01-08 10:30:00,89.56,89.9697,89.55,89.7799,120597
2010-01-08 10:45:00,89.77,89.91,89.58,89.8395,164426
2010-01-08 11:00:00,89.82,89.9999,89.595,89.94,196987
2010-01-08 11:15:00,90.0,90.0,89.8,89.8,231899
2010-01-08 11:30:00,89.8,89.96,89.76,89.855,263496
2010-01-08 11:45:00,89.87,89.89,89.72,89.82,276507
2010-01-08 12:00:00,89.81,89.83,89.72,89.78,284642
2010-01-08 12:15:00,89.8,89.86,89.74,89.82,295208
2010-01-08 12:30:00,89.8,89.87,89.76,89.81,324931
2010-01-08 12:45:00,89.85,89.85,89.7,89.73,331381
2010-01-08 13:00:00,89.73,89.82,89.66,89.81,340481
2010-01-08 13:15:00,89.809,89.965,89.8,89.95,385434
2010-01-08 13:30:00,89.95,89.95,89.79,89.7907,424930
2010-01-08 13:45:00,89.82,90.0,89.82,89.96,452010
2010-01-08 14:00:00,89.94,89.95,89.76,89.8,463405
2010-01-08 14:15:00,89.8,90.0,89.8,89.89,485767
2010-01-08 14:30:00,89.89,89.96,89.85,89.92,495150
2010-01-08 14:45:00,89.925,90.0,89.8,89.82,507555
2010-01-08 15:00:00,89.8302,89.91,89.77,89.91,521871
2010-01-08 15:15:00,89.92,90.04,89.92,90.029,536433
2010-01-08 15:30:00,90.035,90.09,90.0,90.0,555367
2010-01-08 15:45:00,90.035,90.46,90.03,90.46,607957
2010-01-08 16:00:00,90.45,90.56,90.29,90.56,688924
2010-01-11 09:45:00,90.19,90.96,89.75,89.75,54813
2010-01-11 10:00:00,89.74,89.74,88.98,89.0,143631
2010-01-11 10:15:00,89.0,89.04,87.9,88.0,217674
2010-01-11 10:30:00,88.01,88.53,87.81,88.41,282259
2010-01-11 10:45:00,88.41,89.1,88.41,89.0,356363
2010-01-11 11:00:00,88.995,89.06,88.72,89.06,394378
2010-01-11 11:15:00,89.0,89.12,88.4,88.55,433290
2010-01-11 11:30:00,88.54,88.76,88.54,88.68,512672
2010-01-11 11:45:00,88.645,88.78,88.62,88.65,531206
2010-01-11 12:00:00,88.62,88.71,88.5,88.66,608401
2010-01-11 12:15:00,88.6601,88.79,88.66,88.665,628969
2010-01-11 12:30:00,88.69,88.77,88.67,88.7,702881
2010-01-11 12:45:00,88.735,88.81,88.66,88.81,768891
2010-01-11 13:00:00,88.81,88.86,88.57,88.66,786576
2010-01-11 13:15:00,88.63,88.63,88.3,88.325,801882
2010-01-11 13:30:00,88.32,88.33,88.15,88.15,817889
2010-01-11 13:45:00,88.14,88.57,88.05,88.52,872807
2010-01-11 14:00:00,88.55,88.68,88.49,88.51,937864
2010-01-11 14:15:00,88.49,88.52,88.36,88.39,959664
