dt,open,high,low,close,volume
2010-01-04 09:45:00,60.58,60.86,60.44,60.8,13232
2010-01-04 10:00:00,60.82,61.02,60.58,60.735,38098
2010-01-04 10:15:00,60.75,60.97,60.71,60.96,71859
2010-01-04 10:30:00,60.95,61.11,60.95,61.11,107859
2010-01-04 10:45:00,61.16,61.28,61.09,61.2,182700
2010-01-04 11:00:00,61.2,61.24,61.12,61.2,200300
2010-01-04 11:15:00,61.19,61.24,61.18,61.2,218525
2010-01-04 11:30:00,61.19,61.26,61.17,61.26,237619
2010-01-04 11:45:00,61.255,61.34,61.22,61.25,257235
2010-01-04 12:00:00,61.2418,61.32,61.23,61.32,282383
2010-01-04 12:15:00,61.31,61.32,61.29,61.32,296292
2010-01-04 12:30:00,61.31,61.33,61.28,61.29,308043
2010-01-04 12:45:00,61.25,61.29,61.224,61.24,317943
2010-01-04 13:00:00,61.25,61.25,61.216,61.24,331269
2010-01-04 13:15:00,61.24,61.27,61.22,61.22,337581
2010-01-04 13:30:00,61.2,61.21,61.16,61.19,345824
2010-01-04 13:45:00,61.18,61.18,61.09,61.12,358194
2010-01-04 14:00:00,61.12,61.17,61.1,61.11,366990
2010-01-04 14:15:00,61.08,61.08,61.02,61.03,373038
2010-01-04 14:30:00,61.026,61.075,61.02,61.0675,377790
2010-01-04 14:45:00,61.07,61.07,60.98,61.0,387893
2010-01-04 15:00:00,60.995,61.01,60.97,60.98,404621
2010-01-04 15:15:00,61.01,61.23,60.98,61.2,436307
2010-01-04 15:30:00,61.2,61.2,61.15,61.17,449695
2010-01-04 15:45:00,61.18,61.31,61.17,61.3,481512
2010-01-04 16:00:00,61.31,61.36,61.26,61.29,544030
2010-01-05 09:45:00,61.2,61.7,60.77,60.8,14995
2010-01-05 10:00:00,60.85,60.86,60.6,60.67,25333
2010-01-05 10:15:00,60.59,60.8,60.58,60.58,37678
2010-01-05 10:30:00,60.6,60.68,60.52,60.65,63378
2010-01-05 10:45:00,60.67,60.72,60.56,60.64,89268
2010-01-05 11:00:00,60.64,60.64,60.47,60.53,114374
2010-01-05 11:15:00,60.53,60.76,60.53,60.71,156000
2010-01-05 11:30:00,60.72,60.75,60.6,60.635,185590
2010-01-05 11:45:00,60.65,60.68,60.53,60.65,209524
2010-01-05 12:00:00,60.62,60.86,60.54,60.86,248510
2010-01-05 12:15:00,60.85,60.95,60.79,60.84,269826
2010-01-05 12:30:00,60.84,60.85,60.68,60.73,281121
2010-01-05 12:45:00,60.77,60.78,60.59,60.62,308240
2010-01-05 13:00:00,60.62,60.62,60.37,60.46,319880
2010-01-05 13:15:00,60.46,60.48,60.36,60.36,331783
2010-01-05 13:30:00,60.36,60.37,60.05,60.26,348683
2010-01-05 13:45:00,60.27,60.34,60.23,60.3,363826
2010-01-05 14:00:00,60.31,60.31,60.19,60.23,369852
2010-01-05 14:15:00,60.23,60.29,60.22,60.29,379652
2010-01-05 14:30:00,60.29,60.43,60.27,60.42,386602
2010-01-05 14:45:00,60.43,60.43,60.35,60.35,391940
2010-01-05 15:00:00,60.3535,60.39,60.35,60.38,398374
2010-01-05 15:15:00,60.42,60.48,60.41,60.46,410784
2010-01-05 15:30:00,60.46,60.535,60.43,60.45,427515
2010-01-05 15:45:00,60.44,60.58,60.44,60.58,450494
2010-01-05 16:00:00,60.58,60.63,60.51,60.56,474161
2010-01-06 09:45:00,60.59,60.88,60.25,60.43,16700
2010-01-06 10:00:00,60.48,60.62,60.42,60.59,39901
2010-01-06 10:15:00,60.6,60.76,60.6,60.7,66557
2010-01-06 10:30:00,60.69,60.74,60.58,60.61,82207
2010-01-06 10:45:00,60.58,60.63,60.51,60.59,99542
2010-01-06 11:00:00,60.58,60.6,60.46,60.5,109942
2010-01-06 11:15:00,60.5,60.58,60.47,60.5,145542
2010-01-06 11:30:00,60.51,60.53,60.33,60.33,155742
2010-01-06 11:45:00,60.33,60.37,60.14,60.16,167230
2010-01-06 12:00:00,60.16,60.32,60.11,60.27,181228
2010-01-06 12:15:00,60.27,60.41,60.23,60.4,205186
2010-01-06 12:30:00,60.4,60.54,60.39,60.5,223886
2010-01-06 12:45:00,60.5,60.53,60.46,60.4799,249407
2010-01-06 13:00:00,60.4725,60.48,60.43,60.44,267003
2010-01-06 13:15:00,60.45,60.45,60.44,60.4499,279903
