dt,open,high,low,close,volume
2010-01-04 09:45:00,15.85,16.2,15.84,16.04,565235
2010-01-04 10:00:00,16.04,16.24,16.04,16.21,883433
2010-01-04 10:15:00,16.21,16.25,16.09,16.125,1332110
2010-01-04 10:30:00,16.12,16.13,16.1,16.11,1471504
2010-01-04 10:45:00,16.1,16.17,16.1,16.17,1717010
2010-01-04 11:00:00,16.17,16.178,16.14,16.14,1808539
2010-01-04 11:15:00,16.14,16.22,16.14,16.18,1945165
2010-01-04 11:30:00,16.19,16.21,16.18,16.195,2127629
2010-01-04 11:45:00,16.19,16.22,16.185,16.21,2382906
2010-01-04 12:00:00,16.2,16.21,16.18,16.195,2538167
2010-01-04 12:15:00,16.2,16.2,16.17,16.17,2587806
2010-01-04 12:30:00,16.175,16.18,16.16,16.17,2639370
2010-01-04 12:45:00,16.164,16.19,16.16,16.19,2685782
2010-01-04 13:00:00,16.18,16.22,16.18,16.2,2965923
2010-01-04 13:15:00,16.2,16.2,16.19,16.19,2986129
2010-01-04 13:30:00,16.1913,16.21,16.19,16.21,3162271
2010-01-04 13:45:00,16.2,16.21,16.16,16.1601,3427430
2010-01-04 14:00:00,16.16,16.17,16.12,16.125,3504302
2010-01-04 14:15:00,16.125,16.13,16.09,16.11,3595206
2010-01-04 14:30:00,16.11,16.12,16.105,16.12,3632729
2010-01-04 14:45:00,16.12,16.14,16.11,16.1206,3699087
2010-01-04 15:00:00,16.12,16.14,16.11,16.1209,3853174
2010-01-04 15:15:00,16.1207,16.13,16.09,16.115,4083819
2010-01-04 15:30:00,16.115,16.12,16.09,16.11,4368272
2010-01-04 15:45:00,16.12,16.14,16.08,16.08,4498039
2010-01-04 16:00:00,16.08,16.09,16.03,16.06,5226143
2010-01-05 09:45:00,16.0,16.09,15.9,15.95,306424
2010-01-05 10:00:00,15.96,16.01,15.89,15.89,488428
2010-01-05 10:15:00,15.89,15.95,15.85,15.93,811305
2010-01-05 10:30:00,15.9301,16.02,15.91,15.99,924956
2010-01-05 10:45:00,16.0,16.0,15.93,15.93,1127623
2010-01-05 11:00:00,15.9235,15.94,15.87,15.9,1339475
2010-01-05 11:15:00,15.901,15.94,15.88,15.88,1445069
2010-01-05 11:30:00,15.89,15.92,15.87,15.87,1647305
2010-01-05 11:45:00,15.87,15.88,15.86,15.88,1794472
2010-01-05 12:00:00,15.88,15.91,15.87,15.89,1954980
2010-01-05 12:15:00,15.89,15.92,15.87,15.87,2111706
2010-01-05 12:30:00,15.88,15.91,15.85,15.86,2517721
2010-01-05 12:45:00,15.86,15.95,15.855,15.87,2885896
2010-01-05 13:00:00,15.88,15.8898,15.87,15.8898,2944353
2010-01-05 13:15:00,15.88,15.9,15.83,15.84,3185279
2010-01-05 13:30:00,15.84,15.84,15.75,15.75,3661516
2010-01-05 13:45:00,15.75,15.79,15.74,15.79,4028276
2010-01-05 14:00:00,15.79,15.83,15.77,15.82,4249868
2010-01-05 14:15:00,15.83,15.88,15.82,15.88,4379862
2010-01-05 14:30:00,15.87,15.93,15.85,15.93,4609629
2010-01-05 14:45:00,15.93,15.95,15.9,15.95,4723693
2010-01-05 15:00:00,15.94,15.98,15.94,15.97,4907452
2010-01-05 15:15:00,15.98,16.01,15.95,15.95,5384034
2010-01-05 15:30:00,15.95,15.99,15.95,15.97,5550387
2010-01-05 15:45:00,15.96,16.01,15.96,15.98,5765586
2010-01-05 16:00:00,15.97,15.98,15.92,15.93,6143484
2010-01-06 09:45:00,15.95,16.01,15.81,15.8699,477637
2010-01-06 10:00:00,15.86,15.86,15.79,15.8,768711
2010-01-06 10:15:00,15.8,15.84,15.77,15.83,1019368
2010-01-06 10:30:00,15.83,15.87,15.82,15.8475,1112338
2010-01-06 10:45:00,15.84,15.85,15.79,15.8385,1286355
2010-01-06 11:00:00,15.84,15.84,15.8081,15.83,1466174
2010-01-06 11:15:00,15.84,15.845,15.81,15.82,1595550
2010-01-06 11:30:00,15.82,15.84,15.8,15.84,1659067
2010-01-06 11:45:00,15.84,15.85,15.82,15.84,1788759
2010-01-06 12:00:00,15.83,15.8401,15.83,15.8398,1843016
2010-01-06 12:15:00,15.84,15.84,15.8,15.81,1970429
2010-01-06 12:30:00,15.801,15.82,15.79,15.8,2250246
2010-01-06 12:45:00,15.79,15.8201,15.79,15.8075,2352240
2010-01-06 13:00:00,15.81,15.83,15.8,15.83,2451931
2010-01-06 13:15:00,15.825,15.8526,15.81,15.84,2811491
2010-01-06 13:30:00,15.84,15.84,15.79,15.8,3005796
2010-01-06 13:45:00,15.8,15.82,15.78,15.811,3193974
2010-01-06 14:00:00,15.82,15.82,15.79,15.79,3426996
2010-01-06 14:15:00,15.79,15.83,15.78,15.82,3577365
2010-01-06 14:30:00,15.83,15.84,15.8,15.84,3748429
2010-01-06 14:45:00,15.83,15.89,15.82,15.8601,4042478
2010-01-06 15:00:00,15.86,15.87,15.83,15.85,4144324
2010-01-06 15:15:00,15.847,15.86,15.82,15.84,4349249
2010-01-06 15:30:00,15.84,15.87,15.83,15.8535,4755503
2010-01-06 15:45:00,15.86,15.88,15.85,15.85,5205034
2010-01-06 16:00:00,15.84,15.86,15.8,15.85,5677258
2010-01-07 09:45:00,15.78,15.87,15.77,15.82,334971
2010-01-07 10:00:00,15.82,15.87,15.8,15.87,625882
2010-01-07 10:15:00,15.88,15.97,15.87,15.97,774567
2010-01-07 10:30:00,15.97,16.03,15.965,16.01,1280642
2010-01-07 10:45:00,16.01,16.07,16.01,16.06,1469068
2010-01-07 11:00:00,16.07,16.17,16.065,16.16,1762388
2010-01-07 11:15:00,16.16,16.19,16.11,16.13,2048524
2010-01-07 11:30:00,16.13,16.19,16.12,16.19,2311863
2010-01-07 11:45:00,16.19,16.21,16.18,16.2,2456257
2010-01-07 12:00:00,16.2,16.2,16.16,16.18,2509600
2010-01-07 12:15:00,16.18,16.2,16.17,16.17,2643404
2010-01-07 12:30:00,16.175,16.205,16.17,16.205,2827550
2010-01-07 12:45:00,16.195,16.22,16.17,16.22,2957984
2010-01-07 13:00:00,16.22,16.27,16.2,16.27,3322871
2010-01-07 13:15:00,16.27,16.27,16.22,16.24,3733943
2010-01-07 13:30:00,16.23,16.24,16.19,16.19,3957332
2010-01-07 13:45:00,16.195,16.22,16.18,16.2,4117288
2010-01-07 14:00:00,16.2,16.2,16.17,16.17,4205492
2010-01-07 14:15:00,16.1726,16.2,16.16,16.19,4293431
2010-01-07 14:30:00,16.19,16.2,16.17,16.18,4381708
2010-01-07 14:45:00,16.175,16.2,16.17,16.2,4528652
2010-01-07 15:00:00,16.2,16.2,16.18,16.2,4633642
2010-01-07 15:15:00,16.2,16.2,16.16,16.18,4810816
2010-01-07 15:30:00,16.18,16.2,16.18,16.1801,5015787
2010-01-07 15:45:00,16.19,16.205,16.18,16.2,5508054
2010-01-07 16:00:00,16.2,16.22,16.18,16.21,6154219
2010-01-08 09:45:00,16.17,16.22,16.07,16.13,258035
2010-01-08 10:00:00,16.13,16.22,16.13,16.21,356347
2010-01-08 10:15:00,16.21,16.27,16.18,16.2,695550
2010-01-08 10:30:00,16.19,16.2,16.13,16.13,892950
2010-01-08 10:45:00,16.13,16.135,16.02,16.02,1134743
2010-01-08 11:00:00,16.02,16.08,16.0,16.08,1270830
2010-01-08 11:15:00,16.08,16.09,16.02,16.09,1331177
2010-01-08 11:30:00,16.09,16.18,16.08,16.155,1457838
2010-01-08 11:45:00,16.16,16.18,16.14,16.15,1684328
2010-01-08 12:00:00,16.16,16.18,16.13,16.17,1728459
2010-01-08 12:15:00,16.17,16.18,16.16,16.18,1781019
2010-01-08 12:30:00,16.18,16.19,16.16,16.168,1810404
2010-01-08 12:45:00,16.1687,16.17,16.15,16.16,1837599
2010-01-08 13:00:00,16.17,16.19,16.15,16.185,1903925
2010-01-08 13:15:00,16.19,16.2,16.18,16.185,1970196
2010-01-08 13:30:00,16.1887,16.19,16.1204,16.125,2026444
2010-01-08 13:45:00,16.13,16.18,16.12,16.135,2085447
2010-01-08 14:00:00,16.14,16.15,16.12,16.12,2132794
2010-01-08 14:15:00,16.1235,16.13,16.1,16.13,2197178
2010-01-08 14:30:00,16.13,16.13,16.1,16.105,2285508
2010-01-08 14:45:00,16.11,16.12,16.08,16.08,2348523
2010-01-08 15:00:00,16.08,16.14,16.08,16.12,2555944
2010-01-08 15:15:00,16.11,16.16,16.08,16.16,2694301
2010-01-08 15:30:00,16.16,16.16,16.1,16.13,2843075
2010-01-08 15:45:00,16.14,16.16,16.13,16.16,2968400
2010-01-08 16:00:00,16.16,16.17,16.13,16.17,3298663
2010-01-11 09:45:00,16.16,16.23,16.12,16.2,435021
2010-01-11 10:00:00,16.2,16.21,16.12,16.125,1303071
2010-01-11 10:15:00,16.13,16.17,16.1,16.1396,1686778
2010-01-11 10:30:00,16.139,16.19,16.09,16.175,1956718
2010-01-11 10:45:00,16.18,16.19,16.14,16.14,2035930
2010-01-11 11:00:00,16.1396,16.16,16.13,16.16,2114754
2010-01-11 11:15:00,16.16,16.16,16.06,16.1,2323051
2010-01-11 11:30:00,16.1,16.1196,16.07,16.07,2495239
