dt,open,high,low,close,volume
2010-01-04 09:45:00,15.67,15.78,15.61,15.78,437805
2010-01-04 10:00:00,15.78,15.78,15.715,15.78,916493
2010-01-04 10:15:00,15.77,15.81,15.765,15.79,1604085
2010-01-04 10:30:00,15.79,15.8,15.76,15.78,2046712
2010-01-04 10:45:00,15.79,15.8,15.76,15.7605,2238043
2010-01-04 11:00:00,15.76,15.82,15.74,15.82,2596984
2010-01-04 11:15:00,15.81,15.82,15.8,15.82,2757510
2010-01-04 11:30:00,15.81,15.82,15.795,15.8,2865195
2010-01-04 11:45:00,15.8,15.86,15.8,15.845,3151134
2010-01-04 12:00:00,15.8495,15.86,15.83,15.86,3305020
2010-01-04 12:15:00,15.85,15.86,15.79,15.8,3403198
2010-01-04 12:30:00,15.79,15.8,15.79,15.79,3440861
2010-01-04 12:45:00,15.79,15.8,15.75,15.75,3540060
2010-01-04 13:00:00,15.75,15.76,15.74,15.76,3641682
2010-01-04 13:15:00,15.76,15.78,15.74,15.749,3756636
2010-01-04 13:30:00,15.75,15.8,15.74,15.8,3878492
2010-01-04 13:45:00,15.79,15.8,15.79,15.79,3907985
2010-01-04 14:00:00,15.79,15.8,15.77,15.77,3979337
2010-01-04 14:15:00,15.7795,15.78,15.77,15.77,4012070
2010-01-04 14:30:00,15.77,15.7725,15.75,15.75,4085976
2010-01-04 14:45:00,15.75,15.79,15.75,15.78,4180396
2010-01-04 15:00:00,15.78,15.79,15.76,15.765,4271856
2010-01-04 15:15:00,15.76,15.77,15.75,15.75,4366155
2010-01-04 15:30:00,15.75,15.76,15.75,15.76,4505246
2010-01-04 15:45:00,15.76,15.77,15.75,15.76,5077720
2010-01-04 16:00:00,15.77,15.81,15.76,15.79,5683927
2010-01-05 09:45:00,15.89,15.89,15.71,15.8,137061
2010-01-05 10:00:00,15.81,15.84,15.79,15.8,515719
2010-01-05 10:15:00,15.8,15.88,15.79,15.84,774538
2010-01-05 10:30:00,15.84,15.87,15.79,15.83,1000970
2010-01-05 10:45:00,15.82,15.83,15.8,15.8,1074717
2010-01-05 11:00:00,15.81,15.81,15.77,15.77,1150046
2010-01-05 11:15:00,15.77,15.78,15.7,15.71,1395551
2010-01-05 11:30:00,15.71,15.79,15.71,15.79,1550083
2010-01-05 11:45:00,15.79,15.8,15.76,15.8,1648310
2010-01-05 12:00:00,15.8,15.84,15.79,15.84,1714010
2010-01-05 12:15:00,15.83,15.84,15.74,15.76,1788008
2010-01-05 12:30:00,15.75,15.78,15.75,15.78,1852325
2010-01-05 12:45:00,15.78,15.8,15.73,15.73,1947560
2010-01-05 13:00:00,15.73,15.74,15.64,15.72,2092436
2010-01-05 13:15:00,15.72,15.74,15.7,15.73,2246728
2010-01-05 13:30:00,15.73,15.775,15.7,15.7,2370690
2010-01-05 13:45:00,15.71,15.72,15.7,15.72,2425501
2010-01-05 14:00:00,15.71,15.72,15.67,15.67,2478631
2010-01-05 14:15:00,15.68,15.75,15.67,15.72,2600318
2010-01-05 14:30:00,15.72,15.73,15.7,15.7,2678790
2010-01-05 14:45:00,15.7075,15.75,15.7,15.745,2750714
2010-01-05 15:00:00,15.74,15.75,15.74,15.75,2790218
2010-01-05 15:15:00,15.75,15.78,15.74,15.77,2883459
2010-01-05 15:30:00,15.78,15.78,15.74,15.74,3004345
2010-01-05 15:45:00,15.745,15.78,15.74,15.78,3137573
2010-01-05 16:00:00,15.77,15.86,15.73,15.73,4199162
2010-01-06 09:45:00,15.74,15.82,15.7,15.755,138200
2010-01-06 10:00:00,15.75,15.79,15.73,15.77,327733
2010-01-06 10:15:00,15.76,15.84,15.73,15.775,1924561
2010-01-06 10:30:00,15.77,15.83,15.75,15.7673,2198262
2010-01-06 10:45:00,15.76,15.78,15.73,15.74,2330135
