dt,open,high,low,close,volume
2010-01-04 09:45:00,21.4,21.67,21.28,21.64,23444
2010-01-04 10:00:00,21.67,21.715,21.5,21.52,31744
2010-01-04 10:15:00,21.53,21.615,21.41,21.45,38344
2010-01-04 10:30:00,21.45,21.56,21.44,21.56,45644
2010-01-04 10:45:00,21.57,21.71,21.57,21.68,50582
2010-01-04 11:00:00,21.695,21.75,21.66,21.68,57882
2010-01-04 11:15:00,21.685,21.72,21.65,21.65,61382
2010-01-04 11:30:00,21.64,21.69,21.6,21.67,67882
2010-01-04 11:45:00,21.67,21.73,21.58,21.68,77882
2010-01-04 12:00:00,21.69,21.69,21.61,21.63,92082
2010-01-04 12:15:00,21.63,21.68,21.59,21.61,100026
2010-01-04 12:30:00,21.61,21.65,21.59,21.61,115058
2010-01-04 12:45:00,21.61,21.67,21.605,21.63,157758
2010-01-04 13:00:00,21.63,21.68,21.6,21.63,180405
2010-01-04 13:15:00,21.65,21.65,21.59,21.62,205593
2010-01-04 13:30:00,21.62,21.72,21.6,21.71,219969
2010-01-04 13:45:00,21.7,21.71,21.64,21.64,223169
2010-01-04 14:00:00,21.66,21.66,21.62,21.63,225269
2010-01-04 14:15:00,21.63,21.65,21.6,21.6,230468
2010-01-04 14:30:00,21.62,21.65,21.56,21.65,233968
2010-01-04 14:45:00,21.64,21.67,21.63,21.67,237782
2010-01-04 15:00:00,21.67,21.72,21.57,21.61,244579
2010-01-04 15:15:00,21.6,21.66,21.58,21.62,254988
2010-01-04 15:30:00,21.63,21.65,21.62,21.65,261188
2010-01-04 15:45:00,21.645,21.7,21.645,21.69,277674
2010-01-04 16:00:00,21.68,21.71,21.64,21.66,308924
2010-01-05 09:45:00,21.74,21.8,21.23,21.29,19790
2010-01-05 10:00:00,21.31,21.66,21.27,21.48,42125
2010-01-05 10:15:00,21.45,21.53,21.39,21.39,44825
2010-01-05 10:30:00,21.42,21.56,21.41,21.53,48536
2010-01-05 10:45:00,21.53,21.56,21.39,21.56,54536
2010-01-05 11:00:00,21.54,21.555,21.43,21.43,57016
2010-01-05 11:15:00,21.43,21.45,21.38,21.4,63161
2010-01-05 11:30:00,21.4,21.4,21.35,21.37,67761
