dt,open,high,low,close,volume
2010-01-04 09:45:00,38.66,38.94,38.6,38.65,289248
2010-01-04 10:00:00,38.65,38.9,38.65,38.76,645209
2010-01-04 10:15:00,38.76,38.88,38.55,38.67,828681
2010-01-04 10:30:00,38.67,38.81,38.66,38.78,903181
2010-01-04 10:45:00,38.78,38.83,38.68,38.7203,1010749
2010-01-04 11:00:00,38.73,38.8,38.67,38.75,1091263
2010-01-04 11:15:00,38.76,38.84,38.75,38.82,1188665
2010-01-04 11:30:00,38.83,38.86,38.77,38.86,1253244
2010-01-04 11:45:00,38.8501,38.98,38.85,38.9105,1335756
2010-01-04 12:00:00,38.92,39.09,38.9,39.06,1569008
2010-01-04 12:15:00,39.06,39.1,38.97,38.9905,1663565
2010-01-04 12:30:00,38.9925,39.01,38.98,38.9999,1753922
2010-01-04 12:45:00,39.0,39.02,38.95,38.95,1836059
2010-01-04 13:00:00,38.95,38.98,38.85,38.88,2079420
2010-01-04 13:15:00,38.88,38.88,38.8,38.8,2161786
2010-01-04 13:30:00,38.8,38.92,38.78,38.9,2266527
2010-01-04 13:45:00,38.91,38.92,38.88,38.91,2363515
2010-01-04 14:00:00,38.91,38.92,38.755,38.77,2429358
2010-01-04 14:15:00,38.77,38.85,38.74,38.85,2476651
2010-01-04 14:30:00,38.84,38.85,38.74,38.85,2544415
2010-01-04 14:45:00,38.84,38.93,38.84,38.885,2621798
2010-01-04 15:00:00,38.89,38.95,38.85,38.92,2743557
2010-01-04 15:15:00,38.93,38.99,38.92,38.975,2925978
2010-01-04 15:30:00,38.97,39.055,38.94,39.05,3086606
2010-01-04 15:45:00,39.06,39.07,39.01,39.03,3534789
2010-01-04 16:00:00,39.03,39.14,39.02,39.08,4254806
2010-01-05 09:45:00,39.63,40.48,39.62,40.36,1136006
2010-01-05 10:00:00,40.3575,40.43,40.08,40.08,1829029
2010-01-05 10:15:00,40.12,40.23,40.02,40.18,2285356
2010-01-05 10:30:00,40.21,40.22,40.05,40.08,2531406
2010-01-05 10:45:00,40.08,40.4,39.94,40.38,2897822
2010-01-05 11:00:00,40.39,40.59,40.38,40.52,3364566
2010-01-05 11:15:00,40.51,40.52,40.24,40.24,3592032
2010-01-05 11:30:00,40.25,40.25,40.06,40.09,3729306
2010-01-05 11:45:00,40.09,40.23,40.04,40.1799,3819306
2010-01-05 12:00:00,40.16,40.27,40.15,40.23,4077928
2010-01-05 12:15:00,40.23,40.37,40.19,40.35,4168028
2010-01-05 12:30:00,40.36,40.36,40.11,40.16,4247686
2010-01-05 12:45:00,40.16,40.16,40.0,40.09,4368512
2010-01-05 13:00:00,40.11,40.11,39.88,39.99,4562912
2010-01-05 13:15:00,39.99,40.015,39.84,39.88,4768555
2010-01-05 13:30:00,39.89,39.9,39.73,39.7689,4872615
2010-01-05 13:45:00,39.77,39.84,39.68,39.84,5016219
2010-01-05 14:00:00,39.83,39.89,39.79,39.8201,5101128
2010-01-05 14:15:00,39.83,39.87,39.69,39.7,5183260
2010-01-05 14:30:00,39.69,39.79,39.63,39.74,5314470
2010-01-05 14:45:00,39.74,40.05,39.74,40.04,5451954
2010-01-05 15:00:00,40.04,40.19,40.03,40.17,5640806
2010-01-05 15:15:00,40.16,40.38,40.15,40.38,5841878
2010-01-05 15:30:00,40.37,40.56,40.35,40.42,6307663
2010-01-05 15:45:00,40.42,40.56,40.38,40.55,6894511
2010-01-05 16:00:00,40.56,40.63,40.5375,40.59,7761060
2010-01-06 09:45:00,40.35,40.76,40.2,40.29,264300
2010-01-06 10:00:00,40.3,40.64,40.29,40.6,558485
2010-01-06 10:15:00,40.61,40.89,40.58,40.81,783401
2010-01-06 10:30:00,40.83,40.88,40.73,40.7999,1027557
2010-01-06 10:45:00,40.79,40.88,40.73,40.77,1175351
2010-01-06 11:00:00,40.78,40.78,40.67,40.69,1262205
2010-01-06 11:15:00,40.7,40.73,40.485,40.54,1448002
2010-01-06 11:30:00,40.54,40.7,40.54,40.64,1562324
2010-01-06 11:45:00,40.65,40.83,40.61,40.81,1706055
2010-01-06 12:00:00,40.8,40.81,40.55,40.57,1896645
2010-01-06 12:15:00,40.57,40.71,40.57,40.63,2018300
2010-01-06 12:30:00,40.64,40.65,40.54,40.63,2097605
2010-01-06 12:45:00,40.62,40.67,40.61,40.64,2150309
2010-01-06 13:00:00,40.65,40.74,40.62,40.74,2206547
2010-01-06 13:15:00,40.75,40.78,40.7,40.75,2288952
2010-01-06 13:30:00,40.76,40.86,40.76,40.825,2356834
