dt,open,high,low,close,volume
2015-11-16 13:00:00,30.5,30.75,30.5,30.75,200
2015-11-16 14:30:00,31.5,31.5,31.5,31.5,400
2015-11-16 15:45:00,32.0,32.0,32.0,32.0,80500
2015-11-16 16:00:00,32.9,32.9,31.9,31.9,80700
2015-11-17 09:45:00,32.19,32.19,32.19,32.19,91500
2015-11-17 10:00:00,32.67,32.67,32.67,32.67,91600
2015-11-17 10:15:00,32.5,32.5,32.5,32.5,141588
2015-11-17 11:00:00,32.95,32.95,32.95,32.95,141688
2015-11-17 11:30:00,33.15,33.15,33.15,33.15,142688
2015-11-17 12:15:00,33.44,33.44,33.44,33.44,142888
2015-11-17 12:30:00,33.37,33.37,32.5,32.5,144588
2015-11-17 13:45:00,32.975,32.975,32.975,32.975,144688
2015-11-18 10:15:00,33.0,33.0,33.0,33.0,18200
2015-11-18 11:15:00,33.0,33.0,33.0,33.0,18600
2015-11-18 14:00:00,33.28,33.28,33.02,33.02,18900
2015-11-19 10:45:00,33.19,33.19,33.0,33.0,400
2015-11-19 11:00:00,33.07,33.08,33.0,33.05,5800
2015-11-19 12:00:00,33.1,33.1,33.1,33.1,257400
2015-11-19 13:15:00,33.1,33.1,33.07,33.07,280600
2015-11-19 13:30:00,33.0,33.0,33.0,33.0,284000
2015-11-19 13:45:00,32.64,33.0,32.64,33.0,289200
2015-11-19 14:00:00,33.0,33.0,33.0,33.0,304000
2015-11-19 14:15:00,32.825,32.825,32.785,32.785,304300
2015-11-19 14:30:00,32.75,32.86,32.75,32.86,315000
2015-11-19 15:00:00,32.5,32.5,32.5,32.5,315100
2015-11-19 15:30:00,32.5,32.5,32.5,32.5,315200
2015-11-19 16:00:00,32.54,32.54,32.5,32.5,454126
2015-11-20 09:45:00,32.99,32.99,32.86,32.9,1400
2015-11-20 10:00:00,32.79,32.79,32.61,32.61,2000
2015-11-20 11:15:00,32.7,32.7,32.7,32.7,2100
2015-11-20 11:45:00,32.7,32.72,32.7,32.7,11700
2015-11-20 12:00:00,32.7,32.7,32.6,32.64,13100
2015-11-20 12:15:00,32.6,32.6,32.41,32.41,24700
2015-11-20 12:30:00,32.385,32.385,32.385,32.385,24800
2015-11-20 13:15:00,32.37,32.37,32.37,32.37,24900
2015-11-20 13:30:00,32.355,32.365,32.35,32.35,25300
2015-11-20 13:45:00,32.34,32.34,32.11,32.15,28500
2015-11-20 14:30:00,32.11,32.22,32.11,32.2,30200
2015-11-20 14:45:00,32.2,32.2,32.2,32.2,40100
2015-11-20 15:00:00,32.2,32.2,32.11,32.11,40400
2015-11-20 15:15:00,32.1,32.11,32.1,32.11,50800
2015-11-20 15:30:00,32.06,32.06,32.06,32.06,50900
2015-11-20 15:45:00,32.2,32.24,32.2,32.2,57950
2015-11-20 16:00:00,32.2,32.2,32.2,32.2,58090
2015-11-23 14:00:00,32.5,32.56,32.5,32.5,7700
2015-11-23 14:15:00,32.5,32.5,32.25,32.35,11885
2015-11-23 14:30:00,32.375,32.375,32.25,32.25,12785
2015-11-23 14:45:00,32.25,32.4,32.25,32.4,14285
2015-11-23 15:00:00,32.4,32.59,32.4,32.4,15685
2015-11-23 15:15:00,32.4,32.4,32.4,32.4,16785
2015-11-23 15:30:00,32.4,32.4,32.35,32.35,17685
2015-11-23 15:45:00,32.4,32.4,32.4,32.4,18985
2015-11-23 16:00:00,32.4,32.55,32.4,32.45,23885
2015-11-24 10:30:00,32.78,32.79,32.5,32.5,11300
2015-11-24 10:45:00,32.5,32.57,31.48,32.45,29101
2015-11-24 11:00:00,32.29,32.29,32.29,32.29,29201
2015-11-24 11:15:00,32.22,32.22,32.135,32.135,29801
2015-11-24 11:30:00,32.11,32.21,32.11,32.195,30401
2015-11-24 11:45:00,32.22,32.27,32.22,32.27,31078
2015-11-24 12:00:00,32.2,32.26,32.15,32.15,35816
2015-11-24 12:30:00,32.15,32.22,32.15,32.15,36116
2015-11-24 12:45:00,32.15,32.18,32.0,32.0,38016
2015-11-24 13:00:00,32.0,32.06,31.935,31.935,39716
2015-11-24 13:15:00,31.95,32.01,31.95,32.0,41516
2015-11-24 13:30:00,32.01,32.07,32.005,32.07,42616
2015-11-24 13:45:00,32.07,32.22,32.07,32.15,49216
2015-11-24 14:00:00,32.17,32.29,32.17,32.25,49914
2015-11-24 14:15:00,32.2,32.35,32.2,32.35,50514
2015-11-24 14:30:00,32.26,32.35,32.24,32.24,51314
2015-11-24 14:45:00,32.225,32.41,32.22,32.41,54214
2015-11-24 15:00:00,32.27,32.5,32.2,32.32,79722
2015-11-24 15:15:00,32.31,32.35,32.2,32.26,82719
2015-11-24 15:30:00,32.19,32.25,32.06,32.06,84019
2015-11-24 15:45:00,32.04,32.04,31.97,31.97,85319
2015-11-24 16:00:00,31.99,31.99,31.97,31.98,88519
2015-11-25 09:45:00,32.01,32.01,31.485,31.485,1300
2015-11-25 10:00:00,31.09,31.09,30.5,30.56,3100
2015-11-25 10:15:00,30.83,31.0,30.25,30.64,10400
2015-11-25 10:30:00,30.74,30.84,30.38,30.7,32000
2015-11-25 10:45:00,30.7,30.8,30.5,30.62,80800
2015-11-25 11:00:00,30.62,30.7,30.57,30.66,85500
2015-11-25 11:15:00,30.67,30.7,30.52,30.7,118200
2015-11-25 11:30:00,30.69,30.8,30.53,30.8,121700
2015-11-25 11:45:00,30.7,30.8,30.68,30.72,1246948
2015-11-25 12:00:00,30.8,30.84,30.7,30.84,1248648
2015-11-25 12:15:00,30.84,30.87,30.84,30.87,1250348
2015-11-25 12:30:00,30.87,30.89,30.85,30.89,1251248
2015-11-25 12:45:00,30.85,30.89,30.83,30.83,1254748
2015-11-25 13:00:00,30.82,30.88,30.8,30.83,1263432
2015-11-25 13:15:00,30.84,30.93,30.78,30.88,1324932
2015-11-25 13:30:00,30.88,30.89,30.7,30.7,1353799
2015-11-25 13:45:00,30.72,30.86,30.72,30.8,1362599
2015-11-25 14:00:00,30.86,30.92,30.69,30.85,1447099
2015-11-25 14:15:00,30.88,30.88,30.7,30.81,1517999
2015-11-25 14:30:00,30.83,30.86,30.71,30.8,1552099
2015-11-25 14:45:00,30.8,30.94,30.6735,30.885,1614599
2015-11-25 15:00:00,30.82,30.9,30.6,30.81,1676499
2015-11-25 15:15:00,30.795,30.9,30.75,30.8,1763999
2015-11-25 15:30:00,30.8505,30.9,30.71,30.8,1880849
2015-11-25 15:45:00,30.78,30.85,30.68,30.79,1997431
2015-11-25 16:00:00,30.75,30.88,30.0,30.39,2005448
2015-11-27 09:45:00,29.11,30.99,29.08,30.01,2866871
2015-11-27 10:00:00,30.03,30.73,29.99,30.43,2958721
2015-11-27 10:15:00,30.42,30.62,30.291,30.49,3089221
2015-11-27 10:30:00,30.43,30.545,30.23,30.32,3205886
2015-11-27 10:45:00,30.33,30.78,30.32,30.5,3345275
