dt,open,high,low,close,volume
2010-01-04 09:45:00,45.96,46.47,45.64,46.24,310521
2010-01-04 10:00:00,46.25,46.39,46.11,46.2,429238
2010-01-04 10:15:00,46.2001,46.21,46.03,46.17,577957
2010-01-04 10:30:00,46.1775,46.27,46.07,46.27,655547
2010-01-04 10:45:00,46.26,46.44,46.22,46.44,733120
2010-01-04 11:00:00,46.44,46.57,46.41,46.48,825477
2010-01-04 11:15:00,46.48,46.56,46.475,46.52,865910
2010-01-04 11:30:00,46.525,46.53,46.35,46.36,1006888
2010-01-04 11:45:00,46.36,46.5,46.3575,46.47,1045563
2010-01-04 12:00:00,46.47,46.47,46.369,46.41,1078392
2010-01-04 12:15:00,46.42,46.46,46.39,46.46,1113788
2010-01-04 12:30:00,46.47,46.5,46.4101,46.465,1152570
2010-01-04 12:45:00,46.46,46.465,46.4,46.4101,1188591
2010-01-04 13:00:00,46.41,46.44,46.4,46.44,1243614
2010-01-04 13:15:00,46.45,46.49,46.44,46.49,1296904
2010-01-04 13:30:00,46.49,46.59,46.48,46.59,1387244
2010-01-04 13:45:00,46.5899,46.59,46.4,46.4078,1450945
2010-01-04 14:00:00,46.4,46.43,46.37,46.43,1512485
2010-01-04 14:15:00,46.42,46.47,46.42,46.47,1565024
2010-01-04 14:30:00,46.46,46.53,46.46,46.5,1619348
2010-01-04 14:45:00,46.5,46.555,46.495,46.55,1664605
2010-01-04 15:00:00,46.545,46.57,46.54,46.54,1724938
2010-01-04 15:15:00,46.545,46.61,46.54,46.58,1860227
2010-01-04 15:30:00,46.58,46.64,46.58,46.64,1952059
2010-01-04 15:45:00,46.63,46.67,46.62,46.65,2167440
2010-01-04 16:00:00,46.64,46.8,46.64,46.8,2641319
2010-01-05 09:45:00,46.82,46.99,46.35,46.4,261957
2010-01-05 10:00:00,46.4,46.52,46.35,46.42,652360
2010-01-05 10:15:00,46.41,46.47,46.27,46.4,741167
2010-01-05 10:30:00,46.4,46.69,46.34,46.624,892695
2010-01-05 10:45:00,46.62,46.73,46.56,46.62,1043303
2010-01-05 11:00:00,46.62,46.84,46.58,46.84,1298386
2010-01-05 11:15:00,46.83,47.0,46.78,46.94,1454049
2010-01-05 11:30:00,46.94,47.02,46.9,46.92,1645879
2010-01-05 11:45:00,46.92,47.07,46.89,47.04,1769797
2010-01-05 12:00:00,47.04,47.2,47.01,47.19,1907701
2010-01-05 12:15:00,47.2,47.3499,47.19,47.3499,2049882
2010-01-05 12:30:00,47.35,47.47,47.33,47.42,2180069
2010-01-05 12:45:00,47.43,47.46,47.36,47.42,2332204
2010-01-05 13:00:00,47.42,47.5,47.34,47.49,2511675
2010-01-05 13:15:00,47.495,47.54,47.44,47.48,2663021
2010-01-05 13:30:00,47.49,47.61,47.48,47.55,2850396
2010-01-05 13:45:00,47.56,47.65,47.5199,47.595,3005210
2010-01-05 14:00:00,47.585,47.6,47.46,47.47,3086822
2010-01-05 14:15:00,47.465,47.49,47.35,47.35,3172367
2010-01-05 14:30:00,47.35,47.4,47.26,47.28,3276622
2010-01-05 14:45:00,47.28,47.35,47.27,47.35,3343693
2010-01-05 15:00:00,47.34,47.41,47.34,47.4081,3413635
2010-01-05 15:15:00,47.405,47.42,47.31,47.31,3513721
2010-01-05 15:30:00,47.31,47.32,47.28,47.315,3612759
2010-01-05 15:45:00,47.315,47.47,47.3,47.39,3744923
2010-01-05 16:00:00,47.4,47.47,47.33,47.33,4097987
2010-01-06 09:45:00,47.53,47.75,47.12,47.2,174302
2010-01-06 10:00:00,47.2,47.27,47.06,47.24,310011
