dt,open,high,low,close,volume
2010-01-04 09:45:00,26.12,26.39,25.77,26.055,79609
2010-01-04 10:00:00,26.06,26.1,25.98,26.055,186337
2010-01-04 10:15:00,26.06,26.11,26.04,26.04,244788
2010-01-04 10:30:00,26.04,26.05,25.99,26.045,281570
2010-01-04 10:45:00,26.05,26.12,26.04,26.11,319684
2010-01-04 11:00:00,26.115,26.14,26.07,26.1,379222
2010-01-04 11:15:00,26.11,26.14,26.11,26.13,413081
2010-01-04 11:30:00,26.12,26.17,26.11,26.14,483958
2010-01-04 11:45:00,26.14,26.25,26.12,26.24,514678
2010-01-04 12:00:00,26.23,26.25,26.23,26.23,531474
2010-01-04 12:15:00,26.24,26.27,26.23,26.27,547644
2010-01-04 12:30:00,26.27,26.28,26.2635,26.28,772683
2010-01-04 12:45:00,26.28,26.41,26.27,26.41,822720
2010-01-04 13:00:00,26.41,26.45,26.41,26.4175,858792
2010-01-04 13:15:00,26.42,26.51,26.41,26.51,889846
2010-01-04 13:30:00,26.5,26.5,26.38,26.38,987271
2010-01-04 13:45:00,26.38,26.39,26.3065,26.35,1048151
2010-01-04 14:00:00,26.35,26.36,26.321,26.35,1080412
2010-01-04 14:15:00,26.35,26.35,26.34,26.35,1110525
2010-01-04 14:30:00,26.35,26.3598,26.33,26.35,1142559
2010-01-04 14:45:00,26.35,26.36,26.34,26.35,1187008
2010-01-04 15:00:00,26.35,26.42,26.34,26.35,1273594
2010-01-04 15:15:00,26.34,26.41,26.33,26.41,1329507
2010-01-04 15:30:00,26.41,26.42,26.4,26.42,1368962
2010-01-04 15:45:00,26.42,26.45,26.41,26.44,1500889
2010-01-04 16:00:00,26.44,26.46,26.41,26.42,1728989
2010-01-05 09:45:00,26.43,26.47,26.2998,26.46,73111
2010-01-05 10:00:00,26.45,26.55,26.43,26.51,226764
2010-01-05 10:15:00,26.49,26.62,26.46,26.5,303949
2010-01-05 10:30:00,26.501,26.51,26.41,26.51,329573
2010-01-05 10:45:00,26.505,26.51,26.45,26.49,410843
2010-01-05 11:00:00,26.49,26.49,26.44,26.47,421223
2010-01-05 11:15:00,26.47,26.48,26.435,26.44,434273
2010-01-05 11:30:00,26.42,26.42,26.35,26.35,446151
2010-01-05 11:45:00,26.37,26.4,26.31,26.4,476555
2010-01-05 12:00:00,26.39,26.43,26.39,26.425,496942
2010-01-05 12:15:00,26.43,26.51,26.42,26.49,568592
2010-01-05 12:30:00,26.5,26.51,26.43,26.48,595892
2010-01-05 12:45:00,26.48,26.5025,26.48,26.5,626293
2010-01-05 13:00:00,26.5,26.51,26.43,26.49,653061
2010-01-05 13:15:00,26.5,26.525,26.425,26.48,694077
2010-01-05 13:30:00,26.48,26.485,26.375,26.38,792717
2010-01-05 13:45:00,26.4,26.44,26.38,26.42,855246
2010-01-05 14:00:00,26.415,26.45,26.375,26.39,893265
2010-01-05 14:15:00,26.39,26.4,26.36,26.37,914467
2010-01-05 14:30:00,26.37,26.39,26.29,26.33,973517
2010-01-05 14:45:00,26.33,26.37,26.325,26.35,1175770
2010-01-05 15:00:00,26.35,26.36,26.3,26.305,1230417
2010-01-05 15:15:00,26.3,26.35,26.3,26.31,1319217
2010-01-05 15:30:00,26.315,26.37,26.31,26.325,1371427
2010-01-05 15:45:00,26.32,26.37,26.31,26.32,1444729
2010-01-05 16:00:00,26.325,26.37,26.32,26.34,1509083
2010-01-06 09:45:00,26.21,26.51,26.19,26.48,83595
