dt,open,high,low,close,volume
2010-01-04 09:45:00,24.52,24.77,24.38,24.63,55915
2010-01-04 10:00:00,24.66,24.73,24.53,24.54,87199
2010-01-04 10:15:00,24.54,24.61,24.47,24.59,130305
2010-01-04 10:30:00,24.6,24.625,24.47,24.625,162619
2010-01-04 10:45:00,24.62,24.73,24.59,24.7,193121
2010-01-04 11:00:00,24.71,24.73,24.68,24.6898,207180
2010-01-04 11:15:00,24.68,24.75,24.66,24.731,235629
2010-01-04 11:30:00,24.73,24.75,24.68,24.73,247844
2010-01-04 11:45:00,24.73,24.85,24.73,24.85,275118
2010-01-04 12:00:00,24.85,24.85,24.79,24.81,306132
2010-01-04 12:15:00,24.8,24.85,24.79,24.83,319839
2010-01-04 12:30:00,24.8399,24.89,24.82,24.88,346471
2010-01-04 12:45:00,24.88,24.92,24.88,24.92,361431
2010-01-04 13:00:00,24.92,24.95,24.91,24.95,381216
2010-01-04 13:15:00,24.95,24.99,24.95,24.98,408212
2010-01-04 13:30:00,24.97,25.035,24.97,25.03,437588
2010-01-04 13:45:00,25.03,25.04,24.98,24.99,471702
2010-01-04 14:00:00,25.0,25.02,24.98,25.0,501976
2010-01-04 14:15:00,24.995,25.04,24.99,25.02,538172
2010-01-04 14:30:00,25.02,25.03,25.01,25.03,558674
2010-01-04 14:45:00,25.03,25.07,25.02,25.04,601659
2010-01-04 15:00:00,25.05,25.085,25.045,25.06,633629
2010-01-04 15:15:00,25.06,25.15,25.06,25.14,712456
2010-01-04 15:30:00,25.13,25.16,25.13,25.15,756121
2010-01-04 15:45:00,25.141,25.17,25.12,25.14,831053
2010-01-04 16:00:00,25.14,25.21,25.14,25.17,959247
2010-01-05 09:45:00,25.33,25.45,25.19,25.23,44274
2010-01-05 10:00:00,25.23,25.32,25.07,25.07,74684
2010-01-05 10:15:00,25.06,25.25,25.04,25.24,109958
2010-01-05 10:30:00,25.26,25.3,25.23,25.25,142888
2010-01-05 10:45:00,25.24,25.27,25.2,25.26,167414
2010-01-05 11:00:00,25.26,25.26,25.2,25.25,205893
2010-01-05 11:15:00,25.255,25.28,25.21,25.21,251459
2010-01-05 11:30:00,25.22,25.26,25.16,25.2199,286499
2010-01-05 11:45:00,25.215,25.22,25.125,25.16,300499
2010-01-05 12:00:00,25.16,25.17,25.135,25.15,316539
2010-01-05 12:15:00,25.1401,25.15,25.1,25.1,363866
2010-01-05 12:30:00,25.09,25.09,25.02,25.03,394822
2010-01-05 12:45:00,25.02,25.04,24.96,24.96,445163
2010-01-05 13:00:00,24.96,24.96,24.9,24.915,475694
2010-01-05 13:15:00,24.91,24.95,24.91,24.95,536538
2010-01-05 13:30:00,24.94,24.96,24.94,24.94,560438
2010-01-05 13:45:00,24.94,24.95,24.87,24.87,641354
2010-01-05 14:00:00,24.87,24.87,24.655,24.69,692296
2010-01-05 14:15:00,24.69,24.69,24.64,24.69,734403
2010-01-05 14:30:00,24.69,24.75,24.67,24.75,796887
2010-01-05 14:45:00,24.755,24.83,24.755,24.83,848485
2010-01-05 15:00:00,24.83,24.875,24.8,24.85,914536
2010-01-05 15:15:00,24.85,24.89,24.84,24.86,1085180
2010-01-05 15:30:00,24.86,24.87,24.84,24.86,1144564
2010-01-05 15:45:00,24.86,24.91,24.85,24.85,1246363
2010-01-05 16:00:00,24.85,24.87,24.79,24.81,1392275
2010-01-06 09:45:00,24.88,25.02,24.79,24.99,51885
2010-01-06 10:00:00,24.97,25.08,24.9001,24.99,81919
