dt,open,high,low,close,volume
2010-01-04 09:45:00,22.55,22.87,22.4,22.84,63160
2010-01-04 10:00:00,22.84,23.02,22.76,22.9,108836
2010-01-04 10:15:00,22.88,22.98,22.835,22.97,126526
2010-01-04 10:30:00,22.98,23.015,22.96,23.0,142586
2010-01-04 10:45:00,23.0,23.0,22.985,23.0,147011
2010-01-04 11:00:00,22.9925,23.08,22.9925,23.06,161098
2010-01-04 11:15:00,23.07,23.2,23.06,23.2,174897
2010-01-04 11:30:00,23.22,23.335,23.2,23.3,204750
2010-01-04 11:45:00,23.3,23.39,23.27,23.39,253221
2010-01-04 12:00:00,23.4,23.4,23.38,23.3899,259326
2010-01-04 12:15:00,23.385,23.385,23.2001,23.2001,285294
2010-01-04 12:30:00,23.23,23.24,23.14,23.14,292794
2010-01-04 12:45:00,23.14,23.145,22.98,22.987,303690
2010-01-04 13:00:00,22.98,22.98,22.86,22.97,310590
2010-01-04 13:15:00,22.9899,23.03,22.95,22.97,320090
2010-01-04 13:30:00,22.97,22.99,22.9303,22.98,326540
2010-01-04 13:45:00,22.983,23.01,22.95,22.99,339190
2010-01-04 14:00:00,22.99,23.01,22.97,22.975,345885
2010-01-04 14:15:00,22.973,23.02,22.96,23.02,351635
2010-01-04 14:30:00,23.037,23.037,22.96,23.01,356385
2010-01-04 14:45:00,23.02,23.04,23.01,23.025,362585
2010-01-04 15:00:00,23.01,23.0282,23.01,23.02,366592
2010-01-04 15:15:00,23.0,23.05,22.98,23.03,372923
2010-01-04 15:30:00,23.03,23.1,23.03,23.09,386505
2010-01-04 15:45:00,23.09,23.1,23.06,23.07,397236
2010-01-04 16:00:00,23.07,23.11,23.02,23.02,423501
2010-01-05 09:45:00,23.0,23.13,23.0,23.13,4500
2010-01-05 10:00:00,23.13,23.2,23.075,23.09,21777
2010-01-05 10:15:00,23.05,23.055,22.96,23.0,30617
2010-01-05 10:30:00,22.99,23.03,22.985,23.03,60861
2010-01-05 10:45:00,23.02,23.0399,23.0,23.03,66311
2010-01-05 11:00:00,23.03,23.1,23.0,23.1,73939
2010-01-05 11:15:00,23.115,23.2348,23.115,23.22,86739
2010-01-05 11:30:00,23.22,23.235,23.22,23.22,90382
2010-01-05 11:45:00,23.2201,23.24,23.17,23.22,141527
2010-01-05 12:00:00,23.22,23.25,23.17,23.19,154283
2010-01-05 12:15:00,23.2,23.2,23.14,23.14,159364
2010-01-05 12:30:00,23.14,23.2,23.1,23.2,175804
2010-01-05 12:45:00,23.19,23.2,23.17,23.18,180504
2010-01-05 13:00:00,23.18,23.19,23.15,23.16,185104
2010-01-05 13:15:00,23.18,23.2,23.14,23.15,199829
2010-01-05 13:30:00,23.14,23.2,23.14,23.2,204469
2010-01-05 13:45:00,23.2,23.2,23.18,23.19,210044
2010-01-05 14:00:00,23.2,23.21,23.18,23.19,228197
2010-01-05 14:15:00,23.19,23.21,23.19,23.2,231797
2010-01-05 14:30:00,23.2,23.22,23.19,23.22,233697
2010-01-05 14:45:00,23.2182,23.25,23.2,23.23,238547
2010-01-05 15:00:00,23.22,23.25,23.21,23.23,246601
