dt,open,high,low,close,volume
2010-01-04 09:45:00,30.72,31.25,30.7,31.03,136334
2010-01-04 10:00:00,31.03,31.17,30.96,31.03,192661
2010-01-04 10:15:00,31.03,31.05,30.89,30.94,244918
2010-01-04 10:30:00,30.95,30.99,30.88,30.885,302234
2010-01-04 10:45:00,30.8875,30.93,30.875,30.93,332912
2010-01-04 11:00:00,30.925,30.93,30.77,30.7713,370993
2010-01-04 11:15:00,30.78,30.94,30.75,30.88,471143
2010-01-04 11:30:00,30.87,31.0,30.8,30.92,545131
2010-01-04 11:45:00,30.92,31.06,30.91,30.95,625669
2010-01-04 12:00:00,30.96,30.97,30.86,30.86,642518
2010-01-04 12:15:00,30.87,30.87,30.78,30.8,666139
2010-01-04 12:30:00,30.79,30.8,30.76,30.77,682316
2010-01-04 12:45:00,30.78,30.81,30.76,30.78,701817
2010-01-04 13:00:00,30.78,30.78,30.705,30.71,716755
2010-01-04 13:15:00,30.71,30.89,30.7,30.83,758312
2010-01-04 13:30:00,30.83,30.84,30.74,30.75,777973
2010-01-04 13:45:00,30.74,30.78,30.71,30.76,806275
2010-01-04 14:00:00,30.76,30.78,30.69,30.73,849779
2010-01-04 14:15:00,30.73,30.79,30.7,30.77,886251
2010-01-04 14:30:00,30.78,30.86,30.77,30.85,926815
2010-01-04 14:45:00,30.85,30.88,30.83,30.85,972960
2010-01-04 15:00:00,30.85,30.86,30.8,30.8,994511
2010-01-04 15:15:00,30.81,30.87,30.79,30.84,1024211
2010-01-04 15:30:00,30.85,30.9,30.8,30.89,1080134
2010-01-04 15:45:00,30.9,30.92,30.86,30.87,1124205
2010-01-04 16:00:00,30.87,31.0,30.86,31.0,1389851
2010-01-05 09:45:00,30.64,31.23,30.64,31.08,46485
2010-01-05 10:00:00,31.1,31.18,31.05,31.09,69919
2010-01-05 10:15:00,31.085,31.2,31.07,31.19,107292
2010-01-05 10:30:00,31.2,31.27,31.16,31.27,140886
2010-01-05 10:45:00,31.26,31.28,31.21,31.25,187774
2010-01-05 11:00:00,31.25,31.33,31.23,31.29,219089
2010-01-05 11:15:00,31.29,31.35,31.27,31.28,234499
2010-01-05 11:30:00,31.27,31.33,31.25,31.26,256813
2010-01-05 11:45:00,31.27,31.34,31.21,31.34,285681
2010-01-05 12:00:00,31.335,31.35,31.28,31.3,368701
2010-01-05 12:15:00,31.3001,31.51,31.3,31.51,454561
2010-01-05 12:30:00,31.5,31.57,31.5,31.56,475961
2010-01-05 12:45:00,31.56,31.63,31.55,31.63,505967
2010-01-05 13:00:00,31.63,31.72,31.6,31.71,541304
2010-01-05 13:15:00,31.7195,31.75,31.68,31.71,597414
2010-01-05 13:30:00,31.71,31.76,31.7,31.72,652852
2010-01-05 13:45:00,31.73,31.79,31.69,31.77,684004
2010-01-05 14:00:00,31.78,31.8125,31.76,31.81,718990
2010-01-05 14:15:00,31.8199,31.84,31.78,31.79,748352
2010-01-05 14:30:00,31.7899,31.91,31.75,31.9,838134
2010-01-05 14:45:00,31.91,32.12,31.91,32.12,929439
2010-01-05 15:00:00,32.12,32.3,32.11,32.195,1048138
2010-01-05 15:15:00,32.2,32.23,32.11,32.13,1151327
2010-01-05 15:30:00,32.14,32.14,32.06,32.11,1266926
2010-01-05 15:45:00,32.12,32.36,32.1,32.3,1413671
2010-01-05 16:00:00,32.29,32.3,32.19,32.22,1601869
2010-01-06 09:45:00,32.5,32.5,32.1,32.41,58712
2010-01-06 10:00:00,32.415,32.68,32.34,32.6,172284
2010-01-06 10:15:00,32.59,32.64,32.5,32.6,252081
2010-01-06 10:30:00,32.6,32.64,32.55,32.58,320956
2010-01-06 10:45:00,32.58,32.59,32.42,32.46,378275
2010-01-06 11:00:00,32.46,32.6,32.4,32.57,425790
2010-01-06 11:15:00,32.57,32.76,32.56,32.71,527802
2010-01-06 11:30:00,32.71,32.75,32.5801,32.6,573102
2010-01-06 11:45:00,32.6,32.64,32.57,32.59,617092
2010-01-06 12:00:00,32.6,32.7,32.595,32.69,718447
2010-01-06 12:15:00,32.69,32.71,32.59,32.61,762612
2010-01-06 12:30:00,32.61,32.65,32.53,32.58,818616
2010-01-06 12:45:00,32.58,32.65,32.57,32.6,863516
2010-01-06 13:00:00,32.6,32.62,32.52,32.55,894740
2010-01-06 13:15:00,32.56,32.66,32.55,32.63,947579
2010-01-06 13:30:00,32.64,32.65,32.6,32.61,979475
2010-01-06 13:45:00,32.61,32.7,32.59,32.66,1041509
2010-01-06 14:00:00,32.6875,32.7,32.58,32.6,1109209
2010-01-06 14:15:00,32.59,32.72,32.59,32.7,1174556
2010-01-06 14:30:00,32.69,32.7,32.61,32.7,1226290
2010-01-06 14:45:00,32.705,32.79,32.7,32.735,1302970
2010-01-06 15:00:00,32.74,32.78,32.73,32.745,1391471
2010-01-06 15:15:00,32.745,32.75,32.71,32.75,1446687
2010-01-06 15:30:00,32.74,32.8,32.74,32.78,1543537
2010-01-06 15:45:00,32.7875,32.7875,32.62,32.6325,1666700
2010-01-06 16:00:00,32.6325,32.73,32.63,32.7,1859950
2010-01-07 09:45:00,32.53,32.76,32.53,32.72,40759
2010-01-07 10:00:00,32.72,32.73,32.67,32.7,102071
2010-01-07 10:15:00,32.71,32.72,32.64,32.67,115192
2010-01-07 10:30:00,32.67,32.69,32.62,32.63,132439
2010-01-07 10:45:00,32.62,32.69,32.58,32.58,176174
2010-01-07 11:00:00,32.58,32.74,32.58,32.735,206330
2010-01-07 11:15:00,32.7399,32.89,32.73,32.88,243668
2010-01-07 11:30:00,32.87,32.98,32.84,32.945,286453
2010-01-07 11:45:00,32.94,32.95,32.83,32.84,347977
2010-01-07 12:00:00,32.84,32.9055,32.615,32.65,400909
2010-01-07 12:15:00,32.64,32.67,32.55,32.57,426635
2010-01-07 12:30:00,32.55,32.62,32.55,32.62,457274
2010-01-07 12:45:00,32.63,32.66,32.55,32.57,483320
2010-01-07 13:00:00,32.57,32.65,32.54,32.6,507403
2010-01-07 13:15:00,32.6,32.69,32.54,32.69,543635
2010-01-07 13:30:00,32.69,32.72,32.64,32.71,595383
2010-01-07 13:45:00,32.71,32.75,32.68,32.7,617603
2010-01-07 14:00:00,32.7,32.76,32.68,32.72,647048
2010-01-07 14:15:00,32.71,32.71,32.68,32.69,663447
2010-01-07 14:30:00,32.68,32.69,32.64,32.655,685801
2010-01-07 14:45:00,32.65,32.78,32.65,32.77,714817
2010-01-07 15:00:00,32.77,32.82,32.7,32.71,766001
2010-01-07 15:15:00,32.707,32.76,32.65,32.66,844365
2010-01-07 15:30:00,32.68,32.71,32.65,32.66,885612
2010-01-07 15:45:00,32.65,32.71,32.65,32.7,946043
2010-01-07 16:00:00,32.6999,32.74,32.67,32.69,1181129
2010-01-08 09:45:00,32.59,32.69,32.46,32.52,49701
2010-01-08 10:00:00,32.52,32.63,32.48,32.63,102896
2010-01-08 10:15:00,32.63,32.69,32.55,32.6,126793
2010-01-08 10:30:00,32.6,32.71,32.55,32.68,158413
2010-01-08 10:45:00,32.67,32.73,32.62,32.6895,201277
2010-01-08 11:00:00,32.68,32.72,32.67,32.72,223595
