dt,open,high,low,close,volume
2010-01-04 09:45:00,43.9,44.1,43.89,44.05,54140
2010-01-04 10:00:00,44.05,44.22,43.97,44.03,94277
2010-01-04 10:15:00,44.08,44.12,43.99,44.03,154520
2010-01-04 10:30:00,44.03,44.03,43.81,43.96,208841
2010-01-04 10:45:00,43.97,44.01,43.93,43.96,262418
2010-01-04 11:00:00,43.97,43.97,43.87,43.89,421436
2010-01-04 11:15:00,43.895,43.9,43.76,43.8,463077
2010-01-04 11:30:00,43.79,43.845,43.76,43.83,542084
2010-01-04 11:45:00,43.82,43.9,43.82,43.85,582156
2010-01-04 12:00:00,43.86,43.87,43.78,43.81,600828
2010-01-04 12:15:00,43.8,43.8,43.69,43.71,618645
2010-01-04 12:30:00,43.7,43.75,43.7,43.75,635794
2010-01-04 12:45:00,43.74,43.78,43.67,43.67,654629
2010-01-04 13:00:00,43.67,43.68,43.625,43.66,676362
2010-01-04 13:15:00,43.67,43.73,43.67,43.7,703490
2010-01-04 13:30:00,43.7,43.72,43.7,43.72,728914
2010-01-04 13:45:00,43.72,43.72,43.65,43.66,754371
2010-01-04 14:00:00,43.67,43.69,43.54,43.55,797483
2010-01-04 14:15:00,43.55,43.56,43.54,43.55,826709
2010-01-04 14:30:00,43.56,43.56,43.49,43.51,863983
2010-01-04 14:45:00,43.52,43.62,43.511,43.61,906714
2010-01-04 15:00:00,43.61,43.62,43.59,43.5999,947065
2010-01-04 15:15:00,43.6,43.6,43.54,43.54,1001883
2010-01-04 15:30:00,43.5425,43.55,43.45,43.45,1044549
2010-01-04 15:45:00,43.45,43.52,43.44,43.5,1150519
2010-01-04 16:00:00,43.5,43.61,43.5,43.56,1326979
2010-01-05 09:45:00,43.41,43.71,43.41,43.68,72123
2010-01-05 10:00:00,43.69,43.79,43.41,43.43,127051
2010-01-05 10:15:00,43.42,43.55,43.35,43.47,171113
2010-01-05 10:30:00,43.47,43.47,43.28,43.39,224653
2010-01-05 10:45:00,43.37,43.42,43.31,43.4,356819
2010-01-05 11:00:00,43.4,43.4,43.21,43.24,647037
2010-01-05 11:15:00,43.24,43.26,43.22,43.225,700372
2010-01-05 11:30:00,43.225,43.23,43.17,43.175,775968
2010-01-05 11:45:00,43.18,43.2,43.16,43.1999,808851
2010-01-05 12:00:00,43.1999,43.24,43.1705,43.18,835615
2010-01-05 12:15:00,43.18,43.2,43.125,43.125,863365
2010-01-05 12:30:00,43.13,43.13,43.07,43.08,901084
2010-01-05 12:45:00,43.081,43.13,43.0,43.01,952358
2010-01-05 13:00:00,43.0,43.0,42.82,42.88,1014002
2010-01-05 13:15:00,42.88,42.929,42.875,42.9099,1071639
2010-01-05 13:30:00,42.905,42.92,42.84,42.865,1128201
2010-01-05 13:45:00,42.865,42.88,42.82,42.86,1188699
2010-01-05 14:00:00,42.86,42.86,42.82,42.83,1235770
2010-01-05 14:15:00,42.83,42.84,42.81,42.819,1288439
2010-01-05 14:30:00,42.81,42.81,42.77,42.8,1340680
2010-01-05 14:45:00,42.8,42.8,42.745,42.76,1394110
2010-01-05 15:00:00,42.75,42.8,42.75,42.8,1449195
2010-01-05 15:15:00,42.8,42.95,42.79,42.945,1617249
2010-01-05 15:30:00,42.96,42.97,42.83,42.8575,1690963
2010-01-05 15:45:00,42.8599,43.04,42.85,43.02,1779948
2010-01-05 16:00:00,43.03,43.105,43.01,43.01,1944411
2010-01-06 09:45:00,43.05,43.26,43.05,43.09,49064
2010-01-06 10:00:00,43.09,43.15,43.02,43.14,86507
2010-01-06 10:15:00,43.13,43.2,43.06,43.165,175715
2010-01-06 10:30:00,43.165,43.265,43.14,43.18,241238
2010-01-06 10:45:00,43.17,43.19,43.1,43.1,284483
2010-01-06 11:00:00,43.1,43.18,43.08,43.125,336229
2010-01-06 11:15:00,43.11,43.13,43.11,43.13,361826
2010-01-06 11:30:00,43.13,43.24,43.12,43.215,417385
2010-01-06 11:45:00,43.21,43.26,43.19,43.2425,471898
2010-01-06 12:00:00,43.2425,43.26,43.19,43.2,540705
2010-01-06 12:15:00,43.21,43.265,43.2,43.25,583699
2010-01-06 12:30:00,43.25,43.38,43.25,43.36,610224
2010-01-06 12:45:00,43.361,43.54,43.36,43.52,656525
2010-01-06 13:00:00,43.511,43.55,43.5,43.55,683940
2010-01-06 13:15:00,43.54,43.565,43.47,43.5,737862
2010-01-06 13:30:00,43.51,43.56,43.5,43.54,767889
2010-01-06 13:45:00,43.53,43.54,43.46,43.51,817396
2010-01-06 14:00:00,43.5,43.59,43.5,43.57,873946
2010-01-06 14:15:00,43.57,43.6,43.44,43.495,905401
2010-01-06 14:30:00,43.49,43.49,43.3,43.3203,929421
2010-01-06 14:45:00,43.32,43.38,43.31,43.37,963284
2010-01-06 15:00:00,43.37,43.39,43.295,43.33,985319
2010-01-06 15:15:00,43.33,43.33,43.22,43.26,1023226
2010-01-06 15:30:00,43.2501,43.3,43.22,43.295,1060516
2010-01-06 15:45:00,43.28,43.31,43.24,43.25,1129521
2010-01-06 16:00:00,43.24,43.3,43.18,43.24,1431441
2010-01-07 09:45:00,43.22,43.31,42.79,42.84,66425
2010-01-07 10:00:00,42.84,42.88,42.61,42.75,143996
2010-01-07 10:15:00,42.74,42.87,42.72,42.75,190357
2010-01-07 10:30:00,42.76,42.87,42.73,42.74,244345
2010-01-07 10:45:00,42.75,42.86,42.73,42.82,298042
2010-01-07 11:00:00,42.835,42.91,42.81,42.87,361982
2010-01-07 11:15:00,42.87,42.93,42.865,42.9,412909
2010-01-07 11:30:00,42.9,42.92,42.87,42.87,447748
2010-01-07 11:45:00,42.87,42.95,42.87,42.95,485925
2010-01-07 12:00:00,42.95,43.0,42.95,42.99,520684
2010-01-07 12:15:00,42.99,43.0,42.88,42.88,546731
2010-01-07 12:30:00,42.87,42.91,42.85,42.87,652428
2010-01-07 12:45:00,42.86,42.91,42.78,42.83,677498
2010-01-07 13:00:00,42.84,42.85,42.79,42.79,701107
2010-01-07 13:15:00,42.78,42.83,42.78,42.83,716447
2010-01-07 13:30:00,42.84,42.855,42.81,42.83,745694
