dt,open,high,low,close,volume
2010-01-04 09:45:00,75.37,75.71,74.85,75.71,578623
2010-01-04 10:00:00,75.7095,76.09,75.65,75.89,806111
2010-01-04 10:15:00,75.9,75.99,75.77,75.98,899405
2010-01-04 10:30:00,75.95,76.66,75.94,76.636,1097870
2010-01-04 10:45:00,76.63,76.68,76.38,76.54,1282295
2010-01-04 11:00:00,76.53,76.79,76.48,76.61,1484982
2010-01-04 11:15:00,76.61,76.73,76.36,76.46,1638951
2010-01-04 11:30:00,76.47,76.6042,76.29,76.4,1797039
2010-01-04 11:45:00,76.38,76.5,76.32,76.47,1929476
2010-01-04 12:00:00,76.47,76.52,76.34,76.35,2046306
2010-01-04 12:15:00,76.35,76.47,76.25,76.37,2177347
2010-01-04 12:30:00,76.36,76.46,76.26,76.43,2318179
2010-01-04 12:45:00,76.41,76.5,76.31,76.48,2412947
2010-01-04 13:00:00,76.49,76.6,76.42,76.4701,2491965
2010-01-04 13:15:00,76.48,76.49,76.42,76.46,2565481
2010-01-04 13:30:00,76.46,76.63,76.42,76.59,2627436
2010-01-04 13:45:00,76.59,76.71,76.495,76.7,2740872
2010-01-04 14:00:00,76.71,76.75,76.55,76.6,2889149
2010-01-04 14:15:00,76.58,76.71,76.5,76.65,2992822
2010-01-04 14:30:00,76.63,76.648,76.5,76.54,3137476
2010-01-04 14:45:00,76.54,76.7,76.51,76.63,3221524
2010-01-04 15:00:00,76.64,76.68,76.56,76.57,3313538
2010-01-04 15:15:00,76.56,76.615,76.51,76.61,3421337
2010-01-04 15:30:00,76.595,76.647,76.51,76.56,3533412
2010-01-04 15:45:00,76.55,76.58,76.51,76.53,3707545
2010-01-04 16:00:00,76.53,76.63,76.49,76.6,4052147
2010-01-05 09:45:00,76.8,76.8,76.0,76.32,319430
2010-01-05 10:00:00,76.3,76.72,76.2,76.4,448555
2010-01-05 10:15:00,76.4,76.45,76.21,76.32,620800
2010-01-05 10:30:00,76.34,76.49,76.21,76.29,745707
2010-01-05 10:45:00,76.31,76.68,76.2713,76.66,947487
2010-01-05 11:00:00,76.66,76.7,76.61,76.625,1098349
2010-01-05 11:15:00,76.63,76.6978,76.55,76.6,1244093
2010-01-05 11:30:00,76.6,76.69,76.53,76.53,1390698
2010-01-05 11:45:00,76.54,76.59,76.45,76.5,1664938
2010-01-05 12:00:00,76.54,76.62,76.49,76.575,1827047
2010-01-05 12:15:00,76.57,76.58,76.44,76.57,1973237
2010-01-05 12:30:00,76.56,76.62,76.53,76.5401,2087429
2010-01-05 12:45:00,76.55,76.55,76.27,76.38,2208749
2010-01-05 13:00:00,76.37,76.38,76.25,76.355,2311275
2010-01-05 13:15:00,76.3578,76.36,76.2,76.24,2412543
2010-01-05 13:30:00,76.24,76.28,76.07,76.09,2496504
2010-01-05 13:45:00,76.09,76.27,76.02,76.25,2586575
2010-01-05 14:00:00,76.24,76.24,76.01,76.1,2685264
2010-01-05 14:15:00,76.0975,76.24,76.02,76.055,2768945
2010-01-05 14:30:00,76.04,76.12,75.88,76.09,2863807
