dt,open,high,low,close,volume
2010-01-04 09:45:00,43.15,43.17,42.73,42.9501,261930
2010-01-04 10:00:00,42.96,43.18,42.96,43.13,529931
2010-01-04 10:15:00,43.14,43.21,43.04,43.1774,627026
2010-01-04 10:30:00,43.17,43.345,43.14,43.3,710486
2010-01-04 10:45:00,43.31,43.34,43.19,43.2,801155
2010-01-04 11:00:00,43.2,43.235,43.07,43.19,1064202
2010-01-04 11:15:00,43.19,43.24,43.18,43.22,1107056
2010-01-04 11:30:00,43.22,43.28,43.19,43.24,1151778
2010-01-04 11:45:00,43.25,43.29,43.22,43.261,1221807
2010-01-04 12:00:00,43.26,43.29,43.21,43.28,1313226
2010-01-04 12:15:00,43.28,43.29,43.22,43.25,1384148
2010-01-04 12:30:00,43.25,43.27,43.22,43.24,1486504
2010-01-04 12:45:00,43.25,43.27,43.21,43.25,1569912
2010-01-04 13:00:00,43.24,43.28,43.22,43.26,1633194
2010-01-04 13:15:00,43.25,43.29,43.231,43.24,1758606
2010-01-04 13:30:00,43.24,43.28,43.22,43.27,1863115
2010-01-04 13:45:00,43.28,43.37,43.26,43.36,2050625
2010-01-04 14:00:00,43.36,43.37,43.29,43.305,2158179
2010-01-04 14:15:00,43.3019,43.36,43.3,43.35,2266451
2010-01-04 14:30:00,43.36,43.39,43.35,43.37,2395442
2010-01-04 14:45:00,43.37,43.38,43.32,43.34,2500515
2010-01-04 15:00:00,43.35,43.38,43.34,43.36,2601387
2010-01-04 15:15:00,43.3589,43.4,43.35,43.375,2717498
2010-01-04 15:30:00,43.37,43.38,43.33,43.35,2874829
2010-01-04 15:45:00,43.3401,43.37,43.31,43.34,3085806
2010-01-04 16:00:00,43.34,43.4,43.31,43.38,3571517
2010-01-05 09:45:00,43.38,43.39,43.13,43.17,133906
2010-01-05 10:00:00,43.16,43.24,43.13,43.14,283123
2010-01-05 10:15:00,43.14,43.32,43.07,43.31,370707
2010-01-05 10:30:00,43.32,43.39,43.24,43.31,448338
2010-01-05 10:45:00,43.31,43.41,43.29,43.4,520318
2010-01-05 11:00:00,43.39,43.4,43.28,43.33,582651
2010-01-05 11:15:00,43.32,43.32,43.275,43.28,664994
2010-01-05 11:30:00,43.2624,43.34,43.235,43.31,776255
2010-01-05 11:45:00,43.31,43.32,43.245,43.28,856308
2010-01-05 12:00:00,43.27,43.27,43.25,43.25,907384
2010-01-05 12:15:00,43.27,43.32,43.25,43.3,960808
2010-01-05 12:30:00,43.31,43.31,43.25,43.285,1013497
2010-01-05 12:45:00,43.3,43.38,43.3,43.3575,1097122
2010-01-05 13:00:00,43.35,43.3699,43.33,43.36,1173371
2010-01-05 13:15:00,43.36,43.37,43.3,43.3099,1235622
2010-01-05 13:30:00,43.31,43.31,43.23,43.2895,1309415
2010-01-05 13:45:00,43.285,43.32,43.25,43.32,1433325
2010-01-05 14:00:00,43.31,43.34,43.25,43.25,1519434
2010-01-05 14:15:00,43.25,43.25,43.14,43.14,1567856
2010-01-05 14:30:00,43.14,43.15,43.1,43.1227,1624151
2010-01-05 14:45:00,43.121,43.22,43.12,43.215,1721488
2010-01-05 15:00:00,43.21,43.28,43.21,43.26,1871209
2010-01-05 15:15:00,43.27,43.29,43.23,43.28,1962164
2010-01-05 15:30:00,43.275,43.36,43.27,43.3,2084639
2010-01-05 15:45:00,43.31,43.4,43.29,43.36,2234706
2010-01-05 16:00:00,43.35,43.43,43.35,43.39,2529248
2010-01-06 09:45:00,43.25,43.48,43.18,43.22,166818
2010-01-06 10:00:00,43.22,43.43,43.21,43.42,274835
2010-01-06 10:15:00,43.41,43.41,43.27,43.295,504610
2010-01-06 10:30:00,43.295,43.33,43.24,43.28,667897
2010-01-06 10:45:00,43.28,43.3,43.16,43.2,813599
2010-01-06 11:00:00,43.2,43.34,43.2,43.34,902005
2010-01-06 11:15:00,43.34,43.43,43.335,43.4,1023925
2010-01-06 11:30:00,43.4,43.52,43.39,43.499,1199644
2010-01-06 11:45:00,43.4935,43.62,43.49,43.59,1362299
2010-01-06 12:00:00,43.59,43.61,43.53,43.57,1465812
2010-01-06 12:15:00,43.58,43.63,43.48,43.53,1681770
2010-01-06 12:30:00,43.52,43.54,43.46,43.46,1800341
2010-01-06 12:45:00,43.46,43.53,43.455,43.52,1902252
2010-01-06 13:00:00,43.53,43.6,43.5,43.57,2011248
2010-01-06 13:15:00,43.58,43.6,43.56,43.585,2110617
2010-01-06 13:30:00,43.585,43.65,43.57,43.64,2176363
2010-01-06 13:45:00,43.65,43.69,43.61,43.67,2317196
2010-01-06 14:00:00,43.67,43.74,43.65,43.7,2496237
2010-01-06 14:15:00,43.69,43.75,43.67,43.72,2617330
2010-01-06 14:30:00,43.72,43.74,43.71,43.733,2715510
2010-01-06 14:45:00,43.7373,43.75,43.67,43.7437,2868061
2010-01-06 15:00:00,43.75,43.79,43.73,43.7599,2954375
2010-01-06 15:15:00,43.76,43.81,43.74,43.7511,3134393
2010-01-06 15:30:00,43.76,43.79,43.71,43.75,3323641
2010-01-06 15:45:00,43.75,43.81,43.69,43.75,3555994
2010-01-06 16:00:00,43.75,43.83,43.7,43.8,3998162
2010-01-07 09:45:00,43.6,43.78,43.36,43.505,214404
2010-01-07 10:00:00,43.49,43.53,43.29,43.41,400386
2010-01-07 10:15:00,43.42,43.43,43.31,43.34,517323
2010-01-07 10:30:00,43.33,43.38,43.29,43.36,689731
2010-01-07 10:45:00,43.355,43.39,43.32,43.36,871986
2010-01-07 11:00:00,43.37,43.55,43.365,43.45,1057924
2010-01-07 11:15:00,43.45,43.49,43.402,43.49,1127370
2010-01-07 11:30:00,43.48,43.48,43.43,43.435,1230533
2010-01-07 11:45:00,43.44,43.52,43.42,43.51,1345095
2010-01-07 12:00:00,43.51,43.58,43.49,43.5735,1421649
2010-01-07 12:15:00,43.57,43.61,43.52,43.57,1514485
2010-01-07 12:30:00,43.5789,43.7,43.5789,43.64,1602404
2010-01-07 12:45:00,43.64,43.69,43.57,43.59,1686804
2010-01-07 13:00:00,43.59,43.685,43.59,43.645,1813768
2010-01-07 13:15:00,43.6489,43.6489,43.58,43.6399,1880293
2010-01-07 13:30:00,43.6373,43.75,43.6373,43.75,1962023
2010-01-07 13:45:00,43.75,43.75,43.69,43.7,2031416
2010-01-07 14:00:00,43.7,43.72,43.66,43.69,2103239
2010-01-07 14:15:00,43.69,43.73,43.66,43.715,2187290
2010-01-07 14:30:00,43.7173,43.74,43.7,43.7192,2269647
2010-01-07 14:45:00,43.72,43.82,43.71,43.78,2353218
2010-01-07 15:00:00,43.78,43.84,43.77,43.813,2445644
2010-01-07 15:15:00,43.8,43.81,43.65,43.7395,2576383
2010-01-07 15:30:00,43.7327,43.81,43.7,43.73,2651800
2010-01-07 15:45:00,43.74,43.77,43.73,43.77,2728054
2010-01-07 16:00:00,43.77,43.83,43.73,43.79,2978314
2010-01-08 09:45:00,43.73,43.8,43.42,43.55,139862
2010-01-08 10:00:00,43.55,43.78,43.512,43.7625,1116668
2010-01-08 10:15:00,43.765,43.77,43.61,43.64,1242908
2010-01-08 10:30:00,43.64,43.75,43.635,43.73,1334042
2010-01-08 10:45:00,43.73,43.8,43.71,43.75,1398574
2010-01-08 11:00:00,43.75,43.77,43.73,43.77,1451287
2010-01-08 11:15:00,43.77,43.83,43.75,43.81,1488575
2010-01-08 11:30:00,43.8,43.93,43.79,43.895,1567718
2010-01-08 11:45:00,43.91,43.91,43.77,43.85,1643962
2010-01-08 12:00:00,43.85,43.88,43.81,43.86,1687946
2010-01-08 12:15:00,43.86,43.861,43.75,43.75,1734857
2010-01-08 12:30:00,43.7576,43.84,43.74,43.83,1778165
2010-01-08 12:45:00,43.83,43.86,43.78,43.85,1852611
2010-01-08 13:00:00,43.86,43.86,43.8,43.81,1936529
2010-01-08 13:15:00,43.81,43.94,43.8,43.94,2002966
2010-01-08 13:30:00,43.94,43.95,43.88,43.9,2064822
2010-01-08 13:45:00,43.9,43.97,43.89,43.903,2155956
2010-01-08 14:00:00,43.91,43.93,43.87,43.88,2237695
2010-01-08 14:15:00,43.87,43.92,43.86,43.8995,2311438
2010-01-08 14:30:00,43.9,43.9,43.83,43.869,2399482
2010-01-08 14:45:00,43.865,43.87,43.77,43.77,2490093
2010-01-08 15:00:00,43.778,43.81,43.76,43.79,2598048
2010-01-08 15:15:00,43.78,43.79,43.73,43.785,2720783
2010-01-08 15:30:00,43.789,43.9,43.78,43.9,2820181
2010-01-08 15:45:00,43.9,44.02,43.86,44.0199,2998501
2010-01-08 16:00:00,44.01,44.09,44.0,44.03,3307104
2010-01-11 09:45:00,44.23,44.44,44.1,44.2599,136504
2010-01-11 10:00:00,44.23,44.36,44.23,44.2619,245034
2010-01-11 10:15:00,44.265,44.3,44.01,44.08,424241
2010-01-11 10:30:00,44.08,44.25,44.075,44.24,502563
2010-01-11 10:45:00,44.24,44.31,44.2,44.3,609850
2010-01-11 11:00:00,44.3,44.4,44.29,44.35,708160
2010-01-11 11:15:00,44.36,44.36,44.29,44.35,864293
2010-01-11 11:30:00,44.34,44.43,44.33,44.4,970294
2010-01-11 11:45:00,44.4,44.47,44.385,44.43,1064087
2010-01-11 12:00:00,44.43,44.51,44.41,44.485,1163900
2010-01-11 12:15:00,44.5,44.55,44.465,44.55,1261319
2010-01-11 12:30:00,44.55,44.63,44.52,44.62,1363701
2010-01-11 12:45:00,44.623,44.69,44.62,44.65,1479320
2010-01-11 13:00:00,44.65,44.655,44.59,44.62,1615060
2010-01-11 13:15:00,44.61,44.64,44.57,44.61,1688660
2010-01-11 13:30:00,44.605,44.66,44.6,44.62,1758321
2010-01-11 13:45:00,44.61,44.67,44.6,44.64,1853984
2010-01-11 14:00:00,44.65,44.72,44.63,44.67,1938106
2010-01-11 14:15:00,44.67,44.75,44.66,44.75,2056592
2010-01-11 14:30:00,44.74,44.76,44.72,44.73,2153223
2010-01-11 14:45:00,44.73,44.74,44.64,44.64,2269806
2010-01-11 15:00:00,44.63,44.73,44.62,44.7101,2366953
2010-01-11 15:15:00,44.71,44.89,44.69,44.71,2633483
2010-01-11 15:30:00,44.72,44.83,44.71,44.8,2794172
2010-01-11 15:45:00,44.79,44.82,44.71,44.735,2946989
2010-01-11 16:00:00,44.74,44.76,44.66,44.74,3249044
2010-01-12 09:45:00,44.45,44.51,44.17,44.35,199325
2010-01-12 10:00:00,44.35,44.47,44.2,44.45,331217
2010-01-12 10:15:00,44.45,44.64,44.44,44.6,454663
2010-01-12 10:30:00,44.6,44.66,44.49,44.645,563890
2010-01-12 10:45:00,44.645,44.69,44.59,44.685,746412
2010-01-12 11:00:00,44.69,44.72,44.631,44.65,924568
2010-01-12 11:15:00,44.65,44.67,44.6,44.605,1039482
2010-01-12 11:30:00,44.605,44.74,44.6,44.73,1155592
2010-01-12 11:45:00,44.74,44.76,44.645,44.71,1326174
2010-01-12 12:00:00,44.7,44.71,44.62,44.63,1431340
2010-01-12 12:15:00,44.62,44.69,44.59,44.6325,1544940
2010-01-12 12:30:00,44.63,44.63,44.585,44.63,1755542
2010-01-12 12:45:00,44.62,44.64,44.5,44.51,1911225
2010-01-12 13:00:00,44.5,44.51,44.345,44.36,2003735
2010-01-12 13:15:00,44.355,44.49,44.35,44.48,2097650
2010-01-12 13:30:00,44.47,44.52,44.42,44.5105,2217998
2010-01-12 13:45:00,44.52,44.55,44.39,44.39,2299621
2010-01-12 14:00:00,44.381,44.45,44.35,44.43,2358290
2010-01-12 14:15:00,44.44,44.46,44.39,44.45,2469926
2010-01-12 14:30:00,44.45,44.49,44.43,44.48,2546838
2010-01-12 14:45:00,44.48,44.53,44.45,44.49,2671336
2010-01-12 15:00:00,44.48,44.55,44.46,44.53,3406305
2010-01-12 15:15:00,44.52,44.565,44.485,44.5,3541913
2010-01-12 15:30:00,44.49,44.49,44.37,44.4205,3710367
2010-01-12 15:45:00,44.42,44.44,44.32,44.44,3913777
2010-01-12 16:00:00,44.4399,44.505,44.43,44.48,4220746
2010-01-13 09:45:00,44.64,44.65,44.46,44.475,133472
2010-01-13 10:00:00,44.4725,44.58,44.47,44.47,235896
2010-01-13 10:15:00,44.49,44.5178,44.44,44.47,426738
2010-01-13 10:30:00,44.47,44.515,44.45,44.51,574778
2010-01-13 10:45:00,44.5,44.55,44.45,44.45,649994
2010-01-13 11:00:00,44.46,44.53,44.45,44.51,790582
2010-01-13 11:15:00,44.52,44.53,44.47,44.52,921195
2010-01-13 11:30:00,44.51,44.69,44.49,44.57,1082358
2010-01-13 11:45:00,44.58,44.59,44.47,44.5127,1145407
2010-01-13 12:00:00,44.51,44.61,44.5,44.54,1221038
2010-01-13 12:15:00,44.56,44.61,44.4825,44.49,1283553
2010-01-13 12:30:00,44.48,44.57,44.48,44.539,1422372
2010-01-13 12:45:00,44.53,44.62,44.5,44.57,1494129
2010-01-13 13:00:00,44.58,44.6,44.48,44.48,1774188
2010-01-13 13:15:00,44.47,44.49,44.43,44.485,1825293
2010-01-13 13:30:00,44.49,44.51,44.41,44.49,1865694
2010-01-13 13:45:00,44.5,44.52,44.46,44.47,1919801
2010-01-13 14:00:00,44.46,44.475,44.36,44.39,2000228
2010-01-13 14:15:00,44.4,44.49,44.395,44.437,2085233
2010-01-13 14:30:00,44.431,44.54,44.425,44.52,2212011
2010-01-13 14:45:00,44.52,44.56,44.4619,44.551,2326382
2010-01-13 15:00:00,44.55,44.55,44.49,44.55,2422627
2010-01-13 15:15:00,44.55,44.55,44.46,44.49,2597366
2010-01-13 15:30:00,44.5,44.53,44.43,44.495,2740424
2010-01-13 15:45:00,44.4901,44.63,44.49,44.535,2917691
2010-01-13 16:00:00,44.53,44.6,44.51,44.53,3383847
2010-01-14 09:45:00,44.52,44.52,44.21,44.39,105224
2010-01-14 10:00:00,44.4,44.55,44.37,44.5,261814
2010-01-14 10:15:00,44.5,44.65,44.48,44.64,397969
2010-01-14 10:30:00,44.65,44.69,44.6,44.65,562204
2010-01-14 10:45:00,44.6429,44.72,44.64,44.66,663841
2010-01-14 11:00:00,44.66,44.75,44.62,44.632,872380
2010-01-14 11:15:00,44.635,44.75,44.62,44.75,1007011
2010-01-14 11:30:00,44.74,44.75,44.65,44.734,1077820
2010-01-14 11:45:00,44.734,44.77,44.72,44.72,1146208
2010-01-14 12:00:00,44.7197,44.77,44.69,44.7591,1244255
2010-01-14 12:15:00,44.76,44.77,44.74,44.77,1327323
2010-01-14 12:30:00,44.76,44.79,44.71,44.77,1487533
2010-01-14 12:45:00,44.77,44.82,44.7398,44.802,1673309
2010-01-14 13:00:00,44.81,44.86,44.76,44.8,1900478
2010-01-14 13:15:00,44.8,44.81,44.71,44.7127,1976540
2010-01-14 13:30:00,44.71,44.79,44.7,44.76,2086571
2010-01-14 13:45:00,44.76,44.78,44.75,44.76,2165715
2010-01-14 14:00:00,44.75,44.79,44.73,44.75,2340142
2010-01-14 14:15:00,44.75,44.83,44.75,44.8,2455145
2010-01-14 14:30:00,44.8,44.85,44.8,44.83,2588070
2010-01-14 14:45:00,44.8327,44.84,44.78,44.79,2701304
2010-01-14 15:00:00,44.7899,45.0,44.78,44.8706,3531621
2010-01-14 15:15:00,44.8776,44.94,44.83,44.94,3874679
2010-01-14 15:30:00,44.93,44.96,44.9,44.92,4052860
2010-01-14 15:45:00,44.91,44.94,44.89,44.9,4355080
2010-01-14 16:00:00,44.905,45.0,44.9,44.95,4961722
2010-01-15 09:45:00,44.8,45.55,44.53,44.59,1042092
2010-01-15 10:00:00,44.58,44.7,44.49,44.57,1277612
2010-01-15 10:15:00,44.55,44.6,44.37,44.55,1518574
2010-01-15 10:30:00,44.51,44.52,44.25,44.3,1663528
2010-01-15 10:45:00,44.29,44.35,44.16,44.26,1896870
2010-01-15 11:00:00,44.25,44.36,44.22,44.33,2084023
2010-01-15 11:15:00,44.32,44.32,44.2,44.26,2214988
2010-01-15 11:30:00,44.26,44.3,44.24,44.27,2290370
2010-01-15 11:45:00,44.27,44.418,44.26,44.41,2420856
2010-01-15 12:00:00,44.41,44.47,44.3,44.338,2533703
2010-01-15 12:15:00,44.34,44.395,44.32,44.33,2613279
2010-01-15 12:30:00,44.34,44.37,44.2,44.21,2701732
2010-01-15 12:45:00,44.21,44.31,44.2,44.23,2796540
2010-01-15 13:00:00,44.24,44.33,44.23,44.3,2908748
2010-01-15 13:15:00,44.3,44.33,44.25,44.25,2971355
2010-01-15 13:30:00,44.26,44.35,44.26,44.33,3058193
2010-01-15 13:45:00,44.3201,44.35,44.27,44.3227,3154515
2010-01-15 14:00:00,44.3224,44.35,44.27,44.31,3216448
2010-01-15 14:15:00,44.32,44.38,44.31,44.37,3263327
2010-01-15 14:30:00,44.37,44.38,44.155,44.17,3403313
2010-01-15 14:45:00,44.16,44.24,44.145,44.19,3550537
2010-01-15 15:00:00,44.19,44.24,44.14,44.2199,3679620
2010-01-15 15:15:00,44.22,44.3373,44.21,44.29,3784649
2010-01-15 15:30:00,44.297,44.3,44.23,44.27,3880201
2010-01-15 15:45:00,44.275,44.325,44.25,44.285,4044993
2010-01-15 16:00:00,44.28,44.31,44.25,44.28,4348101
2010-01-19 09:45:00,44.3,44.39,44.1,44.26,268035
2010-01-19 10:00:00,44.26,44.5,44.26,44.3858,357669
2010-01-19 10:15:00,44.39,44.47,44.31,44.44,544450
2010-01-19 10:30:00,44.44,44.54,44.39,44.45,734790
2010-01-19 10:45:00,44.46,44.52,44.43,44.49,849834
2010-01-19 11:00:00,44.49,44.56,44.47,44.5,943560
2010-01-19 11:15:00,44.5169,44.57,44.5,44.54,1114211
2010-01-19 11:30:00,44.55,44.55,44.44,44.4921,1208602
2010-01-19 11:45:00,44.5,44.55,44.38,44.38,1280379
2010-01-19 12:00:00,44.38,44.385,44.23,44.27,1431781
2010-01-19 12:15:00,44.27,44.36,44.26,44.28,1523721
