dt,open,high,low,close,volume
2010-01-04 09:45:00,87.67,88.25,87.2,88.22,25908
2010-01-04 10:00:00,88.23,88.4,88.0,88.1,33894
2010-01-04 10:15:00,88.0,88.02,87.63,87.78,47986
2010-01-04 10:30:00,87.76,87.76,87.15,87.58,72886
2010-01-04 10:45:00,87.58,87.81,87.51,87.76,79187
2010-01-04 11:00:00,87.79,88.0,87.79,87.971,86882
2010-01-04 11:15:00,87.95,88.03,87.91,87.91,99466
2010-01-04 11:30:00,87.91,87.91,87.7,87.7,103691
2010-01-04 11:45:00,87.66,87.7,87.49,87.7,114866
2010-01-04 12:00:00,87.675,87.82,87.57,87.72,126163
2010-01-04 12:15:00,87.75,87.75,87.54,87.61,136705
2010-01-04 12:30:00,87.63,87.7,87.53,87.59,143292
2010-01-04 12:45:00,87.55,87.58,87.43,87.47,151521
2010-01-04 13:00:00,87.47,87.49,87.36,87.38,155521
2010-01-04 13:15:00,87.35,87.39,87.3,87.39,160021
2010-01-04 13:30:00,87.41,87.46,87.3,87.35,163921
2010-01-04 13:45:00,87.32,87.34,87.23,87.34,168871
2010-01-04 14:00:00,87.29,87.3199,87.14,87.2,175125
2010-01-04 14:15:00,87.19,87.29,87.17,87.23,185888
2010-01-04 14:30:00,87.19,87.3,87.17,87.21,190688
2010-01-04 14:45:00,87.22,87.4,87.22,87.4,194388
2010-01-04 15:00:00,87.41,87.46,87.38,87.39,199438
2010-01-04 15:15:00,87.385,87.48,87.36,87.45,206938
2010-01-04 15:30:00,87.47,87.54,87.3919,87.3919,213374
2010-01-04 15:45:00,87.4,87.45,87.34,87.36,224646
2010-01-04 16:00:00,87.35,87.44,87.22,87.39,243773
2010-01-05 09:45:00,87.2,87.64,87.15,87.64,6400
2010-01-05 10:00:00,87.61,87.65,87.23,87.23,14579
2010-01-05 10:15:00,87.22,87.34,87.18,87.33,22784
2010-01-05 10:30:00,87.35,87.7,87.35,87.7,29784
2010-01-05 10:45:00,87.7,87.8899,87.68,87.8899,37984
2010-01-05 11:00:00,87.89,87.89,87.69,87.85,43372
2010-01-05 11:15:00,87.83,87.96,87.83,87.95,49872
2010-01-05 11:30:00,87.94,88.1,87.88,88.065,58072
2010-01-05 11:45:00,88.08,88.08,87.88,87.88,63302
2010-01-05 12:00:00,87.85,87.97,87.81,87.97,70725
2010-01-05 12:15:00,87.98,88.04,87.98,88.04,76925
2010-01-05 12:30:00,88.04,88.07,88.04,88.04,79230
2010-01-05 12:45:00,88.02,88.065,88.0,88.06,85297
2010-01-05 13:00:00,88.06,88.09,87.85,87.98,96007
2010-01-05 13:15:00,87.99,88.09,87.96,87.9876,102407
