dt,open,high,low,close,volume
2012-05-18 11:45:00,42.05,45.0,38.2,40.0,146947076
2012-05-18 12:00:00,40.01,40.5,38.0,38.85,216316278
2012-05-18 12:15:00,38.86,40.5,38.82,40.28,252018658
2012-05-18 12:30:00,40.28,41.95,38.01,41.6506,276986295
2012-05-18 12:45:00,41.66,41.95,40.51,40.8799,295684997
2012-05-18 13:00:00,40.8799,41.51,40.25,41.01,311245421
2012-05-18 13:15:00,41.0,41.57,40.62,41.1799,324005196
2012-05-18 13:30:00,41.18,41.3,40.8,40.96,332672138
2012-05-18 13:45:00,40.95,41.85,40.92,41.32,348774985
2012-05-18 14:00:00,41.32,42.0,40.13,40.17,376187185
2012-05-18 14:15:00,40.15,41.25,40.0,40.163,391101555
2012-05-18 14:30:00,40.17,42.0,40.05,40.09,406933140
2012-05-18 14:45:00,40.09,40.19,40.0,40.0187,426186496
2012-05-18 15:00:00,40.0199,40.35,38.0,39.13,449890370
2012-05-18 15:15:00,39.13,39.19,38.2,38.5668,470386660
2012-05-18 15:30:00,38.55,40.25,38.05,38.11,488625691
2012-05-18 15:45:00,38.11,38.15,38.0,38.01,522964321
2012-05-18 16:00:00,38.01,38.43,38.0,38.182,564019721
2012-05-21 09:45:00,36.53,36.66,33.91,34.38,51961182
2012-05-21 10:00:00,34.38,34.48,33.0,33.755,71525228
2012-05-21 10:15:00,33.755,34.24,33.19,34.12,82360140
2012-05-21 10:30:00,34.12,34.16,33.5,33.919,88446864
2012-05-21 10:45:00,33.93,34.1,33.55,33.6,92566193
2012-05-21 11:00:00,33.62,33.98,33.5,33.73,96264156
2012-05-21 11:15:00,33.729,33.9,33.53,33.841,99223829
2012-05-21 11:30:00,33.85,34.4,33.6,33.6892,103692980
2012-05-21 11:45:00,33.69,33.9,33.6,33.7699,105639873
2012-05-21 12:00:00,33.7692,33.8,33.55,33.7392,107639551
2012-05-21 12:15:00,33.74,33.9,33.65,33.661,109726495
2012-05-21 12:30:00,33.6608,34.0,33.5,34.0,112335346
2012-05-21 12:45:00,34.0,34.25,33.8,34.05,115699092
2012-05-21 13:00:00,34.05,34.19,33.9,34.16,117323588
2012-05-21 13:15:00,34.15,34.58,34.1,34.35,121442448
2012-05-21 13:30:00,34.35,35.05,34.34,34.8,126722524
2012-05-21 13:45:00,34.7999,34.84,34.56,34.635,128558029
2012-05-21 14:00:00,34.64,34.98,34.6242,34.745,131040527
2012-05-21 14:15:00,34.741,34.78,34.45,34.551,133323914
2012-05-21 14:30:00,34.56,34.8,34.5,34.69,134976782
2012-05-21 14:45:00,34.69,34.74,34.25,34.25,137342128
2012-05-21 15:00:00,34.259,34.62,34.12,34.55,139569885
2012-05-21 15:15:00,34.55,34.58,34.25,34.41,141671380
2012-05-21 15:30:00,34.42,34.49,34.27,34.28,143924756
2012-05-21 15:45:00,34.28,34.29,33.99,34.06,149357438
2012-05-21 16:00:00,34.06,34.28,33.9,34.0255,165887688
2012-05-22 09:45:00,32.66,32.96,30.98,32.06,23546523
2012-05-22 10:00:00,32.0403,32.34,31.6,31.87,30495378
2012-05-22 10:15:00,31.87,32.1,31.41,31.97,35829574
2012-05-22 10:30:00,31.96,32.65,31.92,32.31,41040280
2012-05-22 10:45:00,32.31,32.53,32.18,32.359,44113281
2012-05-22 11:00:00,32.36,32.97,32.35,32.8766,48284186
2012-05-22 11:15:00,32.87,33.43,32.76,32.91,53299182
2012-05-22 11:30:00,32.93,33.33,32.81,33.271,55544007
2012-05-22 11:45:00,33.286,33.59,33.0,33.08,58561592
2012-05-22 12:00:00,33.07,33.19,32.75,32.9399,60400841
2012-05-22 12:15:00,32.94,33.15,32.12,32.47,64500471
2012-05-22 12:30:00,32.4797,32.72,32.45,32.68,65782356
2012-05-22 12:45:00,32.68,32.855,32.56,32.74,67120844
2012-05-22 13:00:00,32.7401,32.83,32.5,32.51,68119439
2012-05-22 13:15:00,32.5129,32.56,32.2,32.32,69945932
2012-05-22 13:30:00,32.32,32.41,32.2,32.23,70940612
2012-05-22 13:45:00,32.235,32.38,32.1,32.2995,72272584
2012-05-22 14:00:00,32.2999,32.3217,32.0,32.01,74362417
2012-05-22 14:15:00,32.0,32.15,31.76,31.79,76779843
2012-05-22 14:30:00,31.79,31.94,31.64,31.7,78258494
2012-05-22 14:45:00,31.7,31.75,31.49,31.75,80795918
2012-05-22 15:00:00,31.75,31.79,31.3,31.6799,82731924
2012-05-22 15:15:00,31.67,31.87,31.25,31.29,84834876
2012-05-22 15:30:00,31.2901,31.8,31.06,31.2203,87923791
2012-05-22 15:45:00,31.23,31.28,30.94,31.04,93926627
2012-05-22 16:00:00,31.04,31.19,30.95,31.11,99875739
2012-05-23 09:45:00,31.37,32.36,31.36,32.07,14872219
2012-05-23 10:00:00,32.07,32.1,31.51,32.01,19630875
2012-05-23 10:15:00,32.0,32.5,31.71,32.0901,24567325
2012-05-23 10:30:00,32.11,32.5,32.0,32.33,27720242
2012-05-23 10:45:00,32.36,32.39,31.99,32.1899,30403520
2012-05-23 11:00:00,32.18,32.4,31.96,32.105,33002925
2012-05-23 11:15:00,32.105,32.15,31.65,31.7783,35674970
2012-05-23 11:30:00,31.77,31.99,31.74,31.981,37074286
2012-05-23 11:45:00,31.99,32.05,31.6,31.63,39009342
2012-05-23 12:00:00,31.63,31.74,31.47,31.65,41930215
2012-05-23 12:15:00,31.621,32.4,31.6203,32.12,44794588
