dt,open,high,low,close,volume
2010-01-04 09:45:00,16.15,16.46,16.15,16.2701,382644
2010-01-04 10:00:00,16.28,16.35,16.2795,16.3,547808
2010-01-04 10:15:00,16.31,16.32,16.24,16.32,648633
2010-01-04 10:30:00,16.3175,16.33,16.29,16.29,727985
2010-01-04 10:45:00,16.3,16.37,16.28,16.36,836549
2010-01-04 11:00:00,16.36,16.365,16.31,16.31,973985
2010-01-04 11:15:00,16.31,16.35,16.3,16.34,1005652
2010-01-04 11:30:00,16.34,16.35,16.34,16.34,1037706
2010-01-04 11:45:00,16.34,16.35,16.33,16.33,1120276
2010-01-04 12:00:00,16.33,16.33,16.3,16.32,1181507
2010-01-04 12:15:00,16.33,16.33,16.29,16.31,1213523
2010-01-04 12:30:00,16.31,16.31,16.29,16.3,1264035
2010-01-04 12:45:00,16.3,16.3,16.27,16.29,1300040
2010-01-04 13:00:00,16.2899,16.29,16.27,16.29,1363510
2010-01-04 13:15:00,16.29,16.3,16.28,16.3,1378975
2010-01-04 13:30:00,16.3,16.31,16.27,16.28,1433029
2010-01-04 13:45:00,16.28,16.29,16.255,16.26,1474520
2010-01-04 14:00:00,16.27,16.27,16.24,16.24,1492262
2010-01-04 14:15:00,16.24,16.25,16.24,16.241,1500445
2010-01-04 14:30:00,16.24,16.25,16.23,16.25,1548459
2010-01-04 14:45:00,16.24,16.27,16.24,16.27,1581616
2010-01-04 15:00:00,16.27,16.28,16.26,16.26,1601787
2010-01-04 15:15:00,16.26,16.28,16.26,16.28,1636404
2010-01-04 15:30:00,16.27,16.28,16.27,16.27,1712674
2010-01-04 15:45:00,16.28,16.31,16.27,16.29,1858246
2010-01-04 16:00:00,16.29,16.31,16.29,16.31,2439052
2010-01-05 09:45:00,16.2,16.28,16.15,16.17,239247
2010-01-05 10:00:00,16.18,16.19,16.11,16.11,330755
2010-01-05 10:15:00,16.12,16.15,16.06,16.13,488904
2010-01-05 10:30:00,16.13,16.15,16.1,16.15,675574
2010-01-05 10:45:00,16.15,16.15,16.14,16.14,737321
2010-01-05 11:00:00,16.14,16.14,16.11,16.13,852256
2010-01-05 11:15:00,16.13,16.17,16.11,16.14,951740
2010-01-05 11:30:00,16.14,16.15,16.11,16.11,1045113
2010-01-05 11:45:00,16.1185,16.13,16.09,16.13,1106296
2010-01-05 12:00:00,16.13,16.17,16.12,16.1427,1217055
2010-01-05 12:15:00,16.14,16.23,16.14,16.23,1289849
2010-01-05 12:30:00,16.23,16.23,16.19,16.19,1343149
2010-01-05 12:45:00,16.2,16.22,16.19,16.21,1403911
2010-01-05 13:00:00,16.21,16.22,16.2,16.205,1431118
2010-01-05 13:15:00,16.21,16.22,16.17,16.18,1521597
2010-01-05 13:30:00,16.18,16.18,16.14,16.15,1583401
2010-01-05 13:45:00,16.15,16.18,16.14,16.14,1641060
2010-01-05 14:00:00,16.14,16.16,16.14,16.15,1669270
2010-01-05 14:15:00,16.15,16.17,16.13,16.14,1744891
2010-01-05 14:30:00,16.14,16.16,16.13,16.15,1807035
2010-01-05 14:45:00,16.16,16.19,16.15,16.18,1879560
2010-01-05 15:00:00,16.18,16.21,16.17,16.21,1916571
2010-01-05 15:15:00,16.21,16.23,16.19,16.19,2002812
2010-01-05 15:30:00,16.2,16.23,16.2,16.22,2069622
2010-01-05 15:45:00,16.22,16.24,16.21,16.21,2182775
2010-01-05 16:00:00,16.21,16.25,16.21,16.25,2323770
2010-01-06 09:45:00,16.19,16.5301,16.19,16.45,286255
2010-01-06 10:00:00,16.46,16.53,16.45,16.45,498961
2010-01-06 10:15:00,16.45,16.53,16.41,16.53,887125
2010-01-06 10:30:00,16.53,16.61,16.51,16.51,1193517
2010-01-06 10:45:00,16.5,16.5,16.42,16.43,1254733
2010-01-06 11:00:00,16.43,16.5,16.43,16.5,1306972
2010-01-06 11:15:00,16.51,16.58,16.51,16.56,1427393
2010-01-06 11:30:00,16.55,16.67,16.55,16.62,1590059
2010-01-06 11:45:00,16.62,16.62,16.595,16.615,1677762
2010-01-06 12:00:00,16.61,16.61,16.52,16.54,1758501
2010-01-06 12:15:00,16.55,16.57,16.5,16.51,1876253
2010-01-06 12:30:00,16.52,16.56,16.51,16.52,1938544
2010-01-06 12:45:00,16.51,16.53,16.49,16.49,1985193
2010-01-06 13:00:00,16.5,16.5,16.46,16.48,2050897
2010-01-06 13:15:00,16.48,16.49,16.42,16.44,2127749
2010-01-06 13:30:00,16.45,16.47,16.42,16.43,2164053
2010-01-06 13:45:00,16.43,16.43,16.4,16.4,2205169
2010-01-06 14:00:00,16.4,16.4,16.34,16.34,2316590
2010-01-06 14:15:00,16.34,16.43,16.34,16.43,2413348
2010-01-06 14:30:00,16.42,16.45,16.4,16.41,2458328
2010-01-06 14:45:00,16.41,16.45,16.39,16.39,2554737
2010-01-06 15:00:00,16.392,16.42,16.37,16.37,2713109
2010-01-06 15:15:00,16.37,16.38,16.35,16.37,2907099
2010-01-06 15:30:00,16.37,16.47,16.37,16.44,3046527
2010-01-06 15:45:00,16.43,16.5,16.41,16.44,3431386
2010-01-06 16:00:00,16.44,16.5,16.43,16.48,3857458
2010-01-07 09:45:00,16.58,16.58,16.43,16.5,132611
2010-01-07 10:00:00,16.51,16.54,16.41,16.45,264203
2010-01-07 10:15:00,16.45,16.5,16.43,16.44,362069
2010-01-07 10:30:00,16.44,16.47,16.4,16.45,511359
2010-01-07 10:45:00,16.45,16.47,16.4,16.47,635578
2010-01-07 11:00:00,16.45,16.48,16.42,16.47,760214
2010-01-07 11:15:00,16.4698,16.47,16.41,16.41,830205
2010-01-07 11:30:00,16.41,16.42,16.32,16.33,993900
2010-01-07 11:45:00,16.33,16.35,16.3,16.31,1097393
2010-01-07 12:00:00,16.3099,16.31,16.25,16.27,1159943
2010-01-07 12:15:00,16.27,16.28,16.22,16.25,1237513
2010-01-07 12:30:00,16.25,16.32,16.242,16.27,1373457
2010-01-07 12:45:00,16.27,16.3,16.23,16.25,1474286
2010-01-07 13:00:00,16.25,16.27,16.21,16.24,1550738
2010-01-07 13:15:00,16.25,16.3,16.24,16.3,1568085
2010-01-07 13:30:00,16.3,16.33,16.29,16.33,1621910
2010-01-07 13:45:00,16.33,16.36,16.32,16.34,1731044
2010-01-07 14:00:00,16.34,16.35,16.31,16.33,1783339
2010-01-07 14:15:00,16.33,16.36,16.31,16.3499,1874417
2010-01-07 14:30:00,16.34,16.34,16.31,16.31,1908698
2010-01-07 14:45:00,16.32,16.37,16.32,16.337,1982229
2010-01-07 15:00:00,16.33,16.3499,16.3,16.31,2018968
2010-01-07 15:15:00,16.31,16.33,16.26,16.32,2097853
2010-01-07 15:30:00,16.32,16.37,16.29,16.36,2238960
2010-01-07 15:45:00,16.36,16.39,16.34,16.39,2473737
2010-01-07 16:00:00,16.39,16.4,16.29,16.35,3294185
2010-01-08 09:45:00,16.41,16.41,16.22,16.24,119817
2010-01-08 10:00:00,16.23,16.27,16.21,16.24,211417
2010-01-08 10:15:00,16.24,16.35,16.22,16.32,334862
2010-01-08 10:30:00,16.32,16.33,16.29,16.2991,459879
2010-01-08 10:45:00,16.3,16.36,16.21,16.21,583306
2010-01-08 11:00:00,16.21,16.3,16.21,16.29,638633
2010-01-08 11:15:00,16.3,16.31,16.27,16.3,670257
2010-01-08 11:30:00,16.2934,16.35,16.2904,16.3219,697215
2010-01-08 11:45:00,16.33,16.33,16.26,16.27,721350
2010-01-08 12:00:00,16.27,16.3,16.24,16.29,758949
2010-01-08 12:15:00,16.29,16.36,16.285,16.34,803366
2010-01-08 12:30:00,16.33,16.37,16.32,16.37,865502
2010-01-08 12:45:00,16.36,16.37,16.34,16.35,887839
2010-01-08 13:00:00,16.35,16.35,16.29,16.33,941776
2010-01-08 13:15:00,16.32,16.35,16.28,16.35,1014490
2010-01-08 13:30:00,16.355,16.355,16.34,16.345,1018490
2010-01-08 13:45:00,16.35,16.39,16.34,16.34,1046576
2010-01-08 14:00:00,16.34,16.35,16.32,16.33,1065076
2010-01-08 14:15:00,16.32,16.37,16.295,16.37,1094247
2010-01-08 14:30:00,16.36,16.39,16.35,16.38,1116838
2010-01-08 14:45:00,16.39,16.41,16.36,16.39,1197990
2010-01-08 15:00:00,16.38,16.3881,16.36,16.37,1210400
2010-01-08 15:15:00,16.365,16.43,16.36,16.43,1304005
2010-01-08 15:30:00,16.43,16.44,16.38,16.42,1411184
2010-01-08 15:45:00,16.42,16.45,16.39,16.44,1481497
2010-01-08 16:00:00,16.45,16.48,16.42,16.43,1608009
2010-01-11 09:45:00,16.59,16.6,16.51,16.54,223278
2010-01-11 10:00:00,16.53,16.55,16.4,16.44,367977
2010-01-11 10:15:00,16.44,16.46,16.43,16.45,451565
2010-01-11 10:30:00,16.44,16.54,16.43,16.53,529045
2010-01-11 10:45:00,16.53,16.56,16.51,16.51,631031
2010-01-11 11:00:00,16.51,16.5199,16.4801,16.4835,670272
2010-01-11 11:15:00,16.48,16.482,16.39,16.4,749849
2010-01-11 11:30:00,16.4,16.45,16.4,16.41,835871
2010-01-11 11:45:00,16.42,16.48,16.42,16.43,912154
2010-01-11 12:00:00,16.4299,16.485,16.4295,16.48,953593
2010-01-11 12:15:00,16.48,16.5,16.48,16.485,991923
2010-01-11 12:30:00,16.47,16.49,16.445,16.445,1024130
2010-01-11 12:45:00,16.45,16.45,16.39,16.39,1061296
2010-01-11 13:00:00,16.39,16.395,16.32,16.36,1140644
2010-01-11 13:15:00,16.36,16.4,16.359,16.4,1187057
2010-01-11 13:30:00,16.39,16.395,16.36,16.39,1221074
2010-01-11 13:45:00,16.38,16.4,16.37,16.4,1264085
2010-01-11 14:00:00,16.4,16.4498,16.39,16.4,1320068
2010-01-11 14:15:00,16.4,16.4,16.39,16.4,1347565
2010-01-11 14:30:00,16.41,16.4399,16.41,16.43,1388886
2010-01-11 14:45:00,16.42,16.46,16.41,16.44,1449155
2010-01-11 15:00:00,16.45,16.46,16.4499,16.45,1471030
2010-01-11 15:15:00,16.45,16.49,16.44,16.49,1546944
2010-01-11 15:30:00,16.49,16.51,16.47,16.49,1624412
2010-01-11 15:45:00,16.48,16.49,16.44,16.46,1892859
2010-01-11 16:00:00,16.46,16.47,16.43,16.45,2056337
2010-01-12 09:45:00,16.49,16.49,16.18,16.18,146422
2010-01-12 10:00:00,16.18,16.21,16.1,16.15,326009
2010-01-12 10:15:00,16.15,16.16,16.09,16.14,376194
2010-01-12 10:30:00,16.14,16.14,16.06,16.1,476939
2010-01-12 10:45:00,16.1,16.15,16.08,16.15,525741
2010-01-12 11:00:00,16.15,16.16,16.12,16.125,560065
2010-01-12 11:15:00,16.125,16.125,16.1,16.1,590244
2010-01-12 11:30:00,16.11,16.11,16.1,16.11,608154
2010-01-12 11:45:00,16.11,16.12,16.06,16.06,639603
2010-01-12 12:00:00,16.06,16.11,16.06,16.09,782683
2010-01-12 12:15:00,16.1,16.1,16.082,16.09,813347
2010-01-12 12:30:00,16.09,16.09,15.94,15.95,897303
2010-01-12 12:45:00,15.95,15.9834,15.92,15.98,966965
2010-01-12 13:00:00,15.98,16.0,15.94,15.97,992607
2010-01-12 13:15:00,15.97,15.97,15.91,15.92,1025293
2010-01-12 13:30:00,15.92,15.92,15.86,15.88,1071528
2010-01-12 13:45:00,15.88,15.92,15.87,15.88,1122501
2010-01-12 14:00:00,15.88,15.93,15.86,15.93,1215546
2010-01-12 14:15:00,15.93,15.93,15.86,15.87,1284842
2010-01-12 14:30:00,15.88,15.9,15.87,15.89,1311053
2010-01-12 14:45:00,15.89,15.9,15.87,15.88,1362154
2010-01-12 15:00:00,15.88,15.91,15.88,15.91,1486576
2010-01-12 15:15:00,15.91,15.92,15.9,15.92,1525081
2010-01-12 15:30:00,15.91,15.92,15.9,15.92,1585538
2010-01-12 15:45:00,15.92,15.93,15.79,15.79,1956670
2010-01-12 16:00:00,15.79,15.89,15.78,15.89,2491064
2010-01-13 09:45:00,16.02,16.03,15.89,15.93,171687
2010-01-13 10:00:00,15.93,15.95,15.87,15.87,307377
2010-01-13 10:15:00,15.87,15.89,15.73,15.75,489422
2010-01-13 10:30:00,15.75,15.79,15.7,15.79,564135
2010-01-13 10:45:00,15.78,15.78,15.74,15.76,628925
2010-01-13 11:00:00,15.77,15.86,15.76,15.848,676508
2010-01-13 11:15:00,15.84,15.85,15.77,15.81,738838
2010-01-13 11:30:00,15.82,15.82,15.77,15.78,842952
2010-01-13 11:45:00,15.78,15.81,15.76,15.7626,960769
2010-01-13 12:00:00,15.7619,15.78,15.76,15.77,1000272
2010-01-13 12:15:00,15.76,15.8,15.76,15.77,1114233
2010-01-13 12:30:00,15.77,15.8,15.76,15.79,1224606
