dt,open,high,low,close,volume
2010-01-04 09:45:00,7.89,7.91,7.86,7.8899,561667
2010-01-04 10:00:00,7.89,7.9,7.88,7.9,701442
2010-01-04 10:15:00,7.9,7.97,7.89,7.93,922673
2010-01-04 10:30:00,7.93,7.94,7.9,7.91,1157408
2010-01-04 10:45:00,7.91,7.92,7.91,7.9199,1208140
2010-01-04 11:00:00,7.91,7.93,7.91,7.92,1273277
2010-01-04 11:15:00,7.924,7.94,7.92,7.94,1384996
2010-01-04 11:30:00,7.93,7.95,7.93,7.94,1520167
2010-01-04 11:45:00,7.94,7.97,7.93,7.97,1671680
2010-01-04 12:00:00,7.965,7.97,7.95,7.97,1768891
2010-01-04 12:15:00,7.96,7.98,7.96,7.971,1873902
2010-01-04 12:30:00,7.9781,7.99,7.97,7.99,1997099
2010-01-04 12:45:00,7.99,8.0,7.98,7.99,2080004
2010-01-04 13:00:00,7.9898,7.99,7.98,7.99,2205096
2010-01-04 13:15:00,7.99,8.0,7.98,8.0,2361377
2010-01-04 13:30:00,8.0,8.0,7.99,7.995,2503705
2010-01-04 13:45:00,7.99,8.0,7.98,7.98,2578191
2010-01-04 14:00:00,7.98,7.99,7.95,7.95,2701464
2010-01-04 14:15:00,7.95,7.96,7.95,7.955,2773315
2010-01-04 14:30:00,7.96,7.96,7.95,7.96,2833555
2010-01-04 14:45:00,7.955,7.96,7.95,7.96,2908549
2010-01-04 15:00:00,7.955,7.96,7.93,7.94,3074884
2010-01-04 15:15:00,7.9395,7.94,7.92,7.93,3184354
2010-01-04 15:30:00,7.9273,7.93,7.92,7.93,3331109
2010-01-04 15:45:00,7.925,7.96,7.92,7.96,3629189
2010-01-04 16:00:00,7.95,7.97,7.95,7.96,3967342
2010-01-05 09:45:00,7.96,8.02,7.92,7.95,201052
2010-01-05 10:00:00,7.9499,7.95,7.92,7.929,285248
2010-01-05 10:15:00,7.92,7.96,7.91,7.96,407466
2010-01-05 10:30:00,7.96,7.98,7.93,7.98,511726
2010-01-05 10:45:00,7.9778,7.98,7.93,7.9376,622831
2010-01-05 11:00:00,7.9379,7.94,7.93,7.94,687219
2010-01-05 11:15:00,7.94,7.94,7.91,7.91,816358
2010-01-05 11:30:00,7.92,7.92,7.9,7.9,888992
2010-01-05 11:45:00,7.9067,7.91,7.88,7.881,1026466
2010-01-05 12:00:00,7.88,7.92,7.88,7.92,1200480
2010-01-05 12:15:00,7.92,7.93,7.89,7.9,1355079
2010-01-05 12:30:00,7.9,7.9,7.89,7.9,1402638
2010-01-05 12:45:00,7.9,7.905,7.89,7.9,1473873
2010-01-05 13:00:00,7.9,7.9,7.89,7.9,1520461
2010-01-05 13:15:00,7.9,7.9,7.88,7.8924,1620816
2010-01-05 13:30:00,7.9,7.91,7.8976,7.9035,1685648
2010-01-05 13:45:00,7.9,7.91,7.88,7.9,1843040
2010-01-05 14:00:00,7.89,7.9,7.89,7.9,1863476
2010-01-05 14:15:00,7.8978,7.905,7.88,7.88,2028996
2010-01-05 14:30:00,7.8894,7.9,7.88,7.8901,2083566
2010-01-05 14:45:00,7.9,7.905,7.89,7.9,2184862
2010-01-05 15:00:00,7.9,7.9,7.88,7.89,2332446
2010-01-05 15:15:00,7.89,7.9,7.86,7.89,2568801
2010-01-05 15:30:00,7.89,7.9,7.87,7.89,2801585
2010-01-05 15:45:00,7.9,7.91,7.89,7.9,3013455
2010-01-05 16:00:00,7.895,7.91,7.89,7.9,3199849
2010-01-06 09:45:00,7.99,7.99,7.85,7.85,116272
2010-01-06 10:00:00,7.86,7.86,7.85,7.8598,150104
2010-01-06 10:15:00,7.85,7.88,7.85,7.88,297336
2010-01-06 10:30:00,7.88,7.89,7.86,7.87,553191
2010-01-06 10:45:00,7.86,7.87,7.83,7.8475,808191
2010-01-06 11:00:00,7.8401,7.87,7.84,7.87,935166
2010-01-06 11:15:00,7.87,7.87,7.85,7.87,1029439
2010-01-06 11:30:00,7.86,7.87,7.85,7.87,1116932
2010-01-06 11:45:00,7.87,7.87,7.835,7.85,1297404
2010-01-06 12:00:00,7.84,7.86,7.84,7.85,1329665
2010-01-06 12:15:00,7.85,7.87,7.83,7.837,1433479
2010-01-06 12:30:00,7.83,7.84,7.81,7.83,1518058
2010-01-06 12:45:00,7.83,7.85,7.82,7.83,1633994
2010-01-06 13:00:00,7.84,7.84,7.82,7.83,1821246
2010-01-06 13:15:00,7.8299,7.83,7.82,7.83,1850303
2010-01-06 13:30:00,7.83,7.84,7.82,7.83,1998705
2010-01-06 13:45:00,7.82,7.84,7.82,7.8394,2098240
2010-01-06 14:00:00,7.84,7.85,7.83,7.85,2144258
2010-01-06 14:15:00,7.85,7.85,7.83,7.83,2240231
2010-01-06 14:30:00,7.84,7.84,7.83,7.83,2332030
2010-01-06 14:45:00,7.83,7.84,7.82,7.84,2564379
2010-01-06 15:00:00,7.84,7.85,7.83,7.84,2820005
2010-01-06 15:15:00,7.83,7.84,7.83,7.84,2854720
2010-01-06 15:30:00,7.84,7.84,7.82,7.83,3093544
2010-01-06 15:45:00,7.83,7.84,7.81,7.81,3323723
2010-01-06 16:00:00,7.81,7.83,7.79,7.82,3778069
2010-01-07 09:45:00,7.81,7.86,7.78,7.81,213478
2010-01-07 10:00:00,7.82,7.85,7.8,7.81,334759
2010-01-07 10:15:00,7.817,7.85,7.81,7.85,410659
2010-01-07 10:30:00,7.8495,7.85,7.8,7.82,669910
2010-01-07 10:45:00,7.82,7.83,7.81,7.8296,869570
2010-01-07 11:00:00,7.83,7.83,7.79,7.81,1122544
2010-01-07 11:15:00,7.8,7.82,7.8,7.82,1252710
2010-01-07 11:30:00,7.82,7.83,7.81,7.82,1310897
2010-01-07 11:45:00,7.83,7.83,7.82,7.83,1357380
2010-01-07 12:00:00,7.83,7.84,7.82,7.83,1406451
2010-01-07 12:15:00,7.84,7.84,7.83,7.83,1465086
2010-01-07 12:30:00,7.83,7.84,7.83,7.84,1518719
2010-01-07 12:45:00,7.84,7.85,7.83,7.84,1615964
2010-01-07 13:00:00,7.85,7.85,7.81,7.81,1756494
2010-01-07 13:15:00,7.81,7.83,7.79,7.7965,2163483
2010-01-07 13:30:00,7.8,7.82,7.79,7.8194,2295563
2010-01-07 13:45:00,7.81,7.83,7.81,7.83,2341832
2010-01-07 14:00:00,7.83,7.84,7.82,7.8371,2386349
2010-01-07 14:15:00,7.835,7.84,7.82,7.83,2513835
2010-01-07 14:30:00,7.8394,7.84,7.83,7.84,2641440
2010-01-07 14:45:00,7.832,7.84,7.82,7.82,2700048
2010-01-07 15:00:00,7.82,7.83,7.8,7.81,3054430
2010-01-07 15:15:00,7.81,7.82,7.8,7.8,3176671
2010-01-07 15:30:00,7.8,7.81,7.78,7.79,3349406
2010-01-07 15:45:00,7.785,7.81,7.77,7.79,3773981
2010-01-07 16:00:00,7.79,7.8004,7.76,7.77,4269238
2010-01-08 09:45:00,7.8,7.83,7.72,7.75,314106
2010-01-08 10:00:00,7.75,7.76,7.71,7.72,465777
2010-01-08 10:15:00,7.72,7.81,7.71,7.73,892652
2010-01-08 10:30:00,7.73,7.73,7.71,7.71,957726
2010-01-08 10:45:00,7.71,7.74,7.7,7.7001,1126954
2010-01-08 11:00:00,7.71,7.74,7.69,7.7219,1295571
2010-01-08 11:15:00,7.73,7.74,7.72,7.72,1374403
2010-01-08 11:30:00,7.73,7.73,7.7,7.7,1437086
2010-01-08 11:45:00,7.71,7.71,7.6701,7.7,1689732
2010-01-08 12:00:00,7.69,7.7,7.64,7.6476,1910060
2010-01-08 12:15:00,7.6401,7.67,7.64,7.6693,2007955
2010-01-08 12:30:00,7.67,7.67,7.65,7.6599,2073758
2010-01-08 12:45:00,7.65,7.66,7.65,7.66,2090824
2010-01-08 13:00:00,7.65,7.66,7.65,7.65,2131536
2010-01-08 13:15:00,7.66,7.66,7.65,7.66,2161778
2010-01-08 13:30:00,7.66,7.66,7.65,7.655,2185563
2010-01-08 13:45:00,7.65,7.66,7.65,7.65,2230560
2010-01-08 14:00:00,7.66,7.66,7.64,7.6499,2379592
2010-01-08 14:15:00,7.65,7.7,7.64,7.66,2619325
2010-01-08 14:30:00,7.67,7.67,7.65,7.65,2694779
2010-01-08 14:45:00,7.64,7.65,7.64,7.64,2725229
2010-01-08 15:00:00,7.65,7.67,7.64,7.66,2818993
2010-01-08 15:15:00,7.66,7.67,7.65,7.65,2869094
2010-01-08 15:30:00,7.65,7.66,7.62,7.63,3017532
2010-01-08 15:45:00,7.62,7.7,7.62,7.68,3347271
2010-01-08 16:00:00,7.6799,7.69,7.67,7.67,3482113
2010-01-11 09:45:00,7.75,7.75,7.69,7.69,108724
2010-01-11 10:00:00,7.68,7.71,7.67,7.6999,187547
2010-01-11 10:15:00,7.69,7.7,7.69,7.7,235640
2010-01-11 10:30:00,7.692,7.7,7.66,7.6604,460145
2010-01-11 10:45:00,7.67,7.68,7.66,7.6685,558740
2010-01-11 11:00:00,7.67,7.67,7.65,7.66,643738
2010-01-11 11:15:00,7.67,7.67,7.65,7.66,721910
2010-01-11 11:30:00,7.66,7.67,7.65,7.668,780866
2010-01-11 11:45:00,7.66,7.67,7.66,7.67,825575
2010-01-11 12:00:00,7.66,7.67,7.66,7.668,878121
2010-01-11 12:15:00,7.66,7.67,7.66,7.67,932794
2010-01-11 12:30:00,7.67,7.67,7.65,7.65,994944
2010-01-11 12:45:00,7.66,7.66,7.65,7.6599,1017226
2010-01-11 13:00:00,7.66,7.67,7.65,7.67,1074750
2010-01-11 13:15:00,7.67,7.67,7.66,7.667,1131885
2010-01-11 13:30:00,7.66,7.67,7.66,7.66,1166296
2010-01-11 13:45:00,7.67,7.67,7.66,7.67,1205357
2010-01-11 14:00:00,7.66,7.67,7.65,7.66,1343273
2010-01-11 14:15:00,7.66,7.66,7.65,7.65,1398349
2010-01-11 14:30:00,7.66,7.66,7.65,7.66,1464437
2010-01-11 14:45:00,7.651,7.66,7.65,7.655,1553211
2010-01-11 15:00:00,7.65,7.66,7.65,7.66,1699316
2010-01-11 15:15:00,7.66,7.67,7.65,7.66,1893914
2010-01-11 15:30:00,7.66,7.66,7.65,7.66,1955600
2010-01-11 15:45:00,7.66,7.68,7.65,7.65,2239232
2010-01-11 16:00:00,7.66,7.67,7.65,7.66,2499437
2010-01-12 09:45:00,7.6,7.68,7.6,7.6525,161350
2010-01-12 10:00:00,7.65,7.65,7.6,7.62,342978
2010-01-12 10:15:00,7.61,7.64,7.58,7.58,561555
2010-01-12 10:30:00,7.58,7.61,7.58,7.5998,702495
2010-01-12 10:45:00,7.6,7.6,7.59,7.59,732779
2010-01-12 11:00:00,7.6,7.6,7.59,7.59,754514
2010-01-12 11:15:00,7.5918,7.6,7.59,7.5999,790895
2010-01-12 11:30:00,7.59,7.6,7.59,7.59,832669
2010-01-12 11:45:00,7.59,7.64,7.59,7.64,1167515
2010-01-12 12:00:00,7.63,7.65,7.61,7.61,1333447
2010-01-12 12:15:00,7.62,7.62,7.59,7.59,1402815
2010-01-12 12:30:00,7.59,7.6,7.59,7.59,1445220
2010-01-12 12:45:00,7.6,7.6,7.59,7.6,1478647
2010-01-12 13:00:00,7.6,7.6,7.59,7.6,1514584
2010-01-12 13:15:00,7.5901,7.6,7.59,7.6,1543654
2010-01-12 13:30:00,7.6,7.6,7.59,7.5994,1562766
2010-01-12 13:45:00,7.59,7.61,7.58,7.58,1722070
2010-01-12 14:00:00,7.58,7.59,7.58,7.59,1758397
2010-01-12 14:15:00,7.58,7.59,7.58,7.58,1785267
2010-01-12 14:30:00,7.58,7.59,7.58,7.59,1848517
2010-01-12 14:45:00,7.58,7.59,7.55,7.55,1966042
2010-01-12 15:00:00,7.56,7.58,7.55,7.57,2082354
2010-01-12 15:15:00,7.57,7.58,7.56,7.56,2146042
2010-01-12 15:30:00,7.56,7.57,7.56,7.56,2201657
2010-01-12 15:45:00,7.5601,7.59,7.56,7.57,2314628
2010-01-12 16:00:00,7.58,7.58,7.57,7.58,2423474
2010-01-13 09:45:00,7.64,7.64,7.56,7.6,118046
2010-01-13 10:00:00,7.6,7.605,7.58,7.58,168763
2010-01-13 10:15:00,7.58,7.59,7.58,7.58,211824
2010-01-13 10:30:00,7.585,7.59,7.58,7.58,236631
2010-01-13 10:45:00,7.58,7.59,7.58,7.59,276328
2010-01-13 11:00:00,7.59,7.59,7.58,7.5894,319127
2010-01-13 11:15:00,7.59,7.59,7.58,7.59,349127
2010-01-13 11:30:00,7.59,7.59,7.58,7.59,407627
2010-01-13 11:45:00,7.58,7.59,7.56,7.57,495872
2010-01-13 12:00:00,7.57,7.59,7.56,7.59,588552
2010-01-13 12:15:00,7.5899,7.6,7.58,7.594,628412
2010-01-13 12:30:00,7.5994,7.6,7.59,7.595,665952
2010-01-13 12:45:00,7.6,7.6,7.58,7.58,706438
2010-01-13 13:00:00,7.58,7.6,7.58,7.59,773706
2010-01-13 13:15:00,7.6,7.6,7.59,7.6,807918
2010-01-13 13:30:00,7.596,7.6,7.57,7.57,857997
2010-01-13 13:45:00,7.57,7.58,7.57,7.57,879470
2010-01-13 14:00:00,7.5712,7.58,7.57,7.5781,910459
2010-01-13 14:15:00,7.57,7.58,7.57,7.57,941101
2010-01-13 14:30:00,7.58,7.58,7.57,7.57,976953
2010-01-13 14:45:00,7.58,7.58,7.57,7.57,1002685
2010-01-13 15:00:00,7.58,7.59,7.57,7.59,1054036
2010-01-13 15:15:00,7.58,7.6,7.58,7.6,1127105
2010-01-13 15:30:00,7.6,7.6,7.59,7.594,1207665
2010-01-13 15:45:00,7.59,7.63,7.59,7.62,1465312
2010-01-13 16:00:00,7.62,7.62,7.61,7.61,1602101
2010-01-14 09:45:00,7.67,7.67,7.6,7.63,75966
2010-01-14 10:00:00,7.638,7.64,7.63,7.63,120477
2010-01-14 10:15:00,7.63,7.67,7.63,7.66,242300
2010-01-14 10:30:00,7.66,7.67,7.65,7.66,289524
2010-01-14 10:45:00,7.65,7.66,7.65,7.6598,335430
2010-01-14 11:00:00,7.655,7.66,7.64,7.65,400472
2010-01-14 11:15:00,7.64,7.66,7.64,7.66,458112
2010-01-14 11:30:00,7.66,7.66,7.64,7.655,524777
2010-01-14 11:45:00,7.66,7.66,7.65,7.66,544478
2010-01-14 12:00:00,7.65,7.66,7.65,7.65,586834
2010-01-14 12:15:00,7.66,7.66,7.65,7.65,608434
2010-01-14 12:30:00,7.66,7.66,7.65,7.655,632923
2010-01-14 12:45:00,7.65,7.67,7.65,7.67,691424
2010-01-14 13:00:00,7.67,7.67,7.65,7.65,739024
2010-01-14 13:15:00,7.65,7.66,7.65,7.65,780507
2010-01-14 13:30:00,7.66,7.66,7.65,7.6519,794761
2010-01-14 13:45:00,7.6505,7.66,7.65,7.66,821139
2010-01-14 14:00:00,7.65,7.66,7.65,7.66,843481
2010-01-14 14:15:00,7.65,7.66,7.65,7.66,872601
2010-01-14 14:30:00,7.65,7.66,7.65,7.66,906860
2010-01-14 14:45:00,7.65,7.66,7.65,7.66,950308
2010-01-14 15:00:00,7.65,7.66,7.65,7.655,1067891
