dt,open,high,low,close,volume
2010-01-04 09:45:00,15.22,15.32,15.15,15.3,7661259
2010-01-04 10:00:00,15.3,15.35,15.26,15.2702,10619218
2010-01-04 10:15:00,15.28,15.32,15.26,15.2701,13429754
2010-01-04 10:30:00,15.28,15.32,15.26,15.32,15042700
2010-01-04 10:45:00,15.311,15.41,15.31,15.41,19012279
2010-01-04 11:00:00,15.4099,15.455,15.4,15.44,22171735
2010-01-04 11:15:00,15.438,15.46,15.43,15.445,23473003
2010-01-04 11:30:00,15.45,15.5,15.44,15.5,25976868
2010-01-04 11:45:00,15.495,15.54,15.48,15.54,29101590
2010-01-04 12:00:00,15.535,15.55,15.52,15.55,31990767
2010-01-04 12:15:00,15.54,15.55,15.52,15.52,34069369
2010-01-04 12:30:00,15.5201,15.59,15.51,15.585,36468081
2010-01-04 12:45:00,15.58,15.62,15.57,15.61,38906184
2010-01-04 13:00:00,15.618,15.64,15.59,15.5901,40687193
2010-01-04 13:15:00,15.5918,15.6,15.58,15.595,41702535
2010-01-04 13:30:00,15.595,15.62,15.59,15.61,42792841
2010-01-04 13:45:00,15.615,15.62,15.59,15.6,44161231
2010-01-04 14:00:00,15.595,15.62,15.56,15.57,46045031
2010-01-04 14:15:00,15.58,15.6,15.55,15.57,47263547
2010-01-04 14:30:00,15.57,15.58,15.53,15.54,48862547
2010-01-04 14:45:00,15.54,15.55,15.53,15.55,49955135
2010-01-04 15:00:00,15.5425,15.58,15.54,15.55,51691688
2010-01-04 15:15:00,15.55,15.57,15.54,15.54,53212220
2010-01-04 15:30:00,15.545,15.55,15.47,15.49,55864793
2010-01-04 15:45:00,15.498,15.5,15.47,15.5,58515606
2010-01-04 16:00:00,15.5,15.5,15.435,15.46,64441840
2010-01-05 09:45:00,15.46,15.59,15.45,15.59,4081727
2010-01-05 10:00:00,15.59,15.67,15.57,15.61,8620458
2010-01-05 10:15:00,15.61,15.66,15.57,15.64,10948068
2010-01-05 10:30:00,15.645,15.65,15.6,15.6001,13818808
2010-01-05 10:45:00,15.6,15.61,15.55,15.5805,16695365
2010-01-05 11:00:00,15.58,15.59,15.52,15.5402,19477217
2010-01-05 11:15:00,15.54,15.56,15.53,15.5499,21928241
2010-01-05 11:30:00,15.55,15.57,15.515,15.523,25139557
2010-01-05 11:45:00,15.52,15.53,15.5,15.505,27442318
2010-01-05 12:00:00,15.51,15.53,15.49,15.5117,29232962
2010-01-05 12:15:00,15.51,15.52,15.5,15.515,30778105
2010-01-05 12:30:00,15.51,15.52,15.4975,15.5,32522918
2010-01-05 12:45:00,15.5,15.51,15.5,15.51,33550235
2010-01-05 13:00:00,15.5,15.51,15.47,15.47,35289172
2010-01-05 13:15:00,15.471,15.48,15.46,15.46,37190132
2010-01-05 13:30:00,15.47,15.5,15.45,15.49,39964317
2010-01-05 13:45:00,15.5,15.52,15.46,15.51,43793821
2010-01-05 14:00:00,15.5101,15.55,15.51,15.53,47122497
2010-01-05 14:15:00,15.5202,15.54,15.49,15.49,48210961
2010-01-05 14:30:00,15.49,15.495,15.46,15.49,49692365
2010-01-05 14:45:00,15.49,15.5,15.48,15.495,50403545
2010-01-05 15:00:00,15.5,15.5,15.47,15.48,51849579
2010-01-05 15:15:00,15.47,15.49,15.46,15.48,53458103
2010-01-05 15:30:00,15.4701,15.51,15.47,15.5,55896120
2010-01-05 15:45:00,15.51,15.55,15.5,15.53,58852005
2010-01-05 16:00:00,15.53,15.54,15.5,15.53,62314418
2010-01-06 09:45:00,15.53,15.62,15.52,15.5598,4222767
2010-01-06 10:00:00,15.55,15.57,15.52,15.54,6496803
2010-01-06 10:15:00,15.538,15.58,15.52,15.5495,9113602
2010-01-06 10:30:00,15.546,15.58,15.54,15.5717,10735998
2010-01-06 10:45:00,15.57,15.58,15.5,15.5,12948106
2010-01-06 11:00:00,15.5,15.52,15.5,15.51,13888227
2010-01-06 11:15:00,15.51,15.55,15.49,15.54,16271707
2010-01-06 11:30:00,15.539,15.57,15.53,15.55,18126550
2010-01-06 11:45:00,15.55,15.59,15.55,15.57,20996859
2010-01-06 12:00:00,15.5701,15.58,15.54,15.55,22365622
2010-01-06 12:15:00,15.555,15.56,15.54,15.54,23372669
2010-01-06 12:30:00,15.55,15.55,15.5,15.5025,24187451
2010-01-06 12:45:00,15.5095,15.52,15.5,15.5,25413564
2010-01-06 13:00:00,15.509,15.52,15.49,15.5,26558128
2010-01-06 13:15:00,15.5,15.53,15.49,15.52,28054857
2010-01-06 13:30:00,15.5235,15.55,15.52,15.53,29409197
2010-01-06 13:45:00,15.52,15.53,15.5,15.5,30752674
2010-01-06 14:00:00,15.508,15.51,15.5,15.505,31463822
2010-01-06 14:15:00,15.502,15.55,15.5,15.55,32996486
2010-01-06 14:30:00,15.55,15.55,15.52,15.52,34151148
