dt,open,high,low,close,volume
2010-03-05 09:45:00,13.7,14.4,13.5,14.0,265382
2010-03-05 10:00:00,13.99,14.12,13.95,14.1,501359
2010-03-05 10:15:00,14.1,14.12,13.91,13.96,832786
2010-03-05 10:30:00,13.961,14.0499,13.93,14.0,899657
2010-03-05 10:45:00,13.97,14.12,13.97,14.0,1020263
2010-03-05 11:00:00,13.99,14.065,13.982,14.04,1080654
2010-03-05 11:15:00,14.04,14.05,13.99,14.01,1117074
2010-03-05 11:30:00,14.01,14.01,13.95,14.0,1294321
2010-03-05 11:45:00,14.0,14.02,13.99,14.0,1462104
2010-03-05 12:00:00,13.99,14.02,13.99,14.0,1537691
2010-03-05 12:15:00,14.0,14.05,13.98,14.0499,1682528
2010-03-05 12:30:00,14.05,14.15,14.0,14.12,1894783
2010-03-05 12:45:00,14.11,14.13,14.05,14.081,1951309
2010-03-05 13:00:00,14.0875,14.18,14.085,14.13,2094540
2010-03-05 13:15:00,14.11,14.12,14.0,14.03,2266138
2010-03-05 13:30:00,14.035,14.07,14.0,14.02,2480560
2010-03-05 13:45:00,14.02,14.08,14.0,14.06,2638890
2010-03-05 14:00:00,14.06,14.08,14.045,14.05,2682198
2010-03-05 14:15:00,14.05,14.07,14.045,14.07,2754678
2010-03-05 14:30:00,14.065,14.13,14.06,14.09,2866993
2010-03-05 14:45:00,14.1,14.15,14.1,14.1,2911633
2010-03-05 15:00:00,14.11,14.14,14.09,14.13,3087624
2010-03-05 15:15:00,14.13,14.17,14.1,14.15,3248925
2010-03-05 15:30:00,14.15,14.2,14.14,14.15,3314818
2010-03-05 15:45:00,14.15,14.17,14.12,14.16,3384957
2010-03-05 16:00:00,14.16,14.21,14.0,14.08,3590662
2010-03-08 09:45:00,14.18,14.18,14.03,14.1,74130
2010-03-08 10:00:00,14.15,14.17,14.05,14.15,138163
2010-03-08 10:15:00,14.15,14.22,14.11,14.14,218473
2010-03-08 10:30:00,14.134,14.16,13.99,14.08,360598
2010-03-08 10:45:00,14.08,14.1,13.91,13.98,465175
