dt,open,high,low,close,volume
2010-01-04 09:45:00,38.3,38.3895,38.05,38.2125,62593
2010-01-04 10:00:00,38.21,38.29,38.17,38.21,105030
2010-01-04 10:15:00,38.24,38.28,38.22,38.24,126603
2010-01-04 10:30:00,38.26,38.32,38.23,38.29,152395
2010-01-04 10:45:00,38.29,38.31,38.27,38.295,168211
2010-01-04 11:00:00,38.31,38.33,38.29,38.3,197975
2010-01-04 11:15:00,38.31,38.36,38.31,38.32,213282
2010-01-04 11:30:00,38.33,38.34,38.29,38.3,231334
2010-01-04 11:45:00,38.3,38.34,38.27,38.33,256341
2010-01-04 12:00:00,38.31,38.35,38.28,38.2854,291579
2010-01-04 12:15:00,38.29,38.29,38.2,38.2,304335
2010-01-04 12:30:00,38.205,38.24,38.2,38.22,326701
2010-01-04 12:45:00,38.22,38.22,38.13,38.14,352164
2010-01-04 13:00:00,38.149,38.15,38.04,38.1,408169
2010-01-04 13:15:00,38.1,38.16,38.09,38.13,442710
2010-01-04 13:30:00,38.139,38.2,38.13,38.191,467664
2010-01-04 13:45:00,38.19,38.2,38.13,38.14,479862
2010-01-04 14:00:00,38.14,38.16,38.09,38.14,503302
2010-01-04 14:15:00,38.14,38.158,38.11,38.12,511872
2010-01-04 14:30:00,38.11,38.12,38.1,38.12,524128
2010-01-04 14:45:00,38.13,38.17,38.12,38.17,546161
2010-01-04 15:00:00,38.17,38.2,38.07,38.0722,586423
2010-01-04 15:15:00,38.0701,38.12,38.07,38.08,605247
2010-01-04 15:30:00,38.09,38.1,38.06,38.069,632776
2010-01-04 15:45:00,38.069,38.11,38.03,38.08,689787
2010-01-04 16:00:00,38.08,38.14,38.08,38.13,783178
2010-01-05 09:45:00,37.96,38.15,37.81,37.84,30997
2010-01-05 10:00:00,37.84,37.91,37.72,37.75,99292
2010-01-05 10:15:00,37.77,37.87,37.67,37.68,164350
2010-01-05 10:30:00,37.69,37.69,37.55,37.555,224773
2010-01-05 10:45:00,37.56,37.62,37.55,37.62,252313
2010-01-05 11:00:00,37.62,37.62,37.59,37.6,279507
2010-01-05 11:15:00,37.6,37.62,37.57,37.6,319591
2010-01-05 11:30:00,37.6,37.66,37.59,37.66,351593
2010-01-05 11:45:00,37.66,37.73,37.65,37.705,450993
2010-01-05 12:00:00,37.69,37.71,37.6701,37.7,459692
2010-01-05 12:15:00,37.705,37.733,37.69,37.7,483299
2010-01-05 12:30:00,37.7,37.7,37.66,37.67,500918
