dt,open,high,low,close,volume
2010-01-04 09:45:00,97.24,97.64,96.2,97.12,94615
2010-01-04 10:00:00,97.13,97.3,97.08,97.22,105204
2010-01-04 10:15:00,97.27,97.59,97.22,97.56,117782
2010-01-04 10:30:00,97.64,97.81,97.55,97.76,125975
2010-01-04 10:45:00,97.82,97.9,97.58,97.7,136570
2010-01-04 11:00:00,97.69,97.76,97.62,97.64,145620
2010-01-04 11:15:00,97.7,97.87,97.67,97.76,158020
2010-01-04 11:30:00,97.77,97.97,97.75,97.97,185489
2010-01-04 11:45:00,97.97,97.97,97.68,97.77,213566
2010-01-04 12:00:00,97.74,97.79,97.63,97.63,234218
2010-01-04 12:15:00,97.66,97.66,97.48,97.49,245288
2010-01-04 12:30:00,97.49,97.54,97.35,97.36,260263
2010-01-04 12:45:00,97.37,97.43,97.29,97.29,266951
2010-01-04 13:00:00,97.3,97.3,97.07,97.11,283885
2010-01-04 13:15:00,97.1,97.1,97.03,97.03,296606
2010-01-04 13:30:00,97.03,97.09,96.95,97.05,312511
2010-01-04 13:45:00,97.05,97.05,96.85,96.89,322426
2010-01-04 14:00:00,96.9,96.98,96.72,96.74,355089
2010-01-04 14:15:00,96.75,96.8,96.68,96.69,381489
2010-01-04 14:30:00,96.64,96.7,96.58,96.69,394467
2010-01-04 14:45:00,96.67,96.85,96.67,96.84,410999
2010-01-04 15:00:00,96.85,96.94,96.82,96.82,425299
2010-01-04 15:15:00,96.81,97.05,96.73,97.03,450686
2010-01-04 15:30:00,97.04,97.17,97.03,97.11,473341
2010-01-04 15:45:00,97.11,97.12,96.96,97.065,493036
2010-01-04 16:00:00,97.06,97.24,97.06,97.22,518015
2010-01-05 09:45:00,96.96,97.49,96.91,96.91,31258
2010-01-05 10:00:00,96.98,97.14,96.68,96.68,51837
2010-01-05 10:15:00,96.68,96.8,96.48,96.585,76840
2010-01-05 10:30:00,96.62,96.7,96.56,96.685,100640
2010-01-05 10:45:00,96.7,96.8,96.66,96.77,120242
2010-01-05 11:00:00,96.77,96.79,96.58,96.63,135399
2010-01-05 11:15:00,96.61,96.66,96.46,96.46,145684
2010-01-05 11:30:00,96.46,96.5,96.37,96.48,170171
2010-01-05 11:45:00,96.48,96.6,96.46,96.52,194842
2010-01-05 12:00:00,96.52,96.58,96.44,96.44,210203
2010-01-05 12:15:00,96.44,96.6,96.43,96.5175,228303
2010-01-05 12:30:00,96.51,96.51,96.29,96.31,248381
2010-01-05 12:45:00,96.31,96.36,96.23,96.23,298889
2010-01-05 13:00:00,96.24,96.25,96.14,96.22,320235
2010-01-05 13:15:00,96.2,96.3,96.15,96.18,335071
2010-01-05 13:30:00,96.16,96.31,96.135,96.31,347814
2010-01-05 13:45:00,96.29,96.62,96.22,96.56,366654
2010-01-05 14:00:00,96.6,96.65,96.47,96.55,377927
2010-01-05 14:15:00,96.57,96.67,96.51,96.53,394407
2010-01-05 14:30:00,96.54,96.74,96.51,96.68,412627
2010-01-05 14:45:00,96.69,96.75,96.63,96.75,427718
2010-01-05 15:00:00,96.72,96.86,96.69,96.825,442995
2010-01-05 15:15:00,96.82,96.88,96.77,96.85,467356
2010-01-05 15:30:00,96.85,96.98,96.85,96.93,492703
2010-01-05 15:45:00,96.93,97.17,96.885,97.13,526095
2010-01-05 16:00:00,97.11,97.28,97.1,97.26,570059
2010-01-06 09:45:00,97.27,97.81,97.27,97.54,18802
2010-01-06 10:00:00,97.55,97.63,97.32,97.48,31137
2010-01-06 10:15:00,97.45,98.04,97.3612,97.73,56734
2010-01-06 10:30:00,97.75,98.02,97.69,97.95,92008
2010-01-06 10:45:00,97.93,98.14,97.83,97.98,137923
2010-01-06 11:00:00,97.98,98.11,97.96,98.08,154972
2010-01-06 11:15:00,98.06,98.25,98.06,98.1,180794
2010-01-06 11:30:00,98.12,98.22,98.03,98.03,202759
2010-01-06 11:45:00,98.03,98.18,98.01,98.13,221363
2010-01-06 12:00:00,98.09,98.13,97.97,98.02,242852
2010-01-06 12:15:00,98.01,98.07,97.94,97.95,263632
2010-01-06 12:30:00,97.96,98.03,97.94,98.0,284764
2010-01-06 12:45:00,98.0,98.05,97.96,98.03,290261
2010-01-06 13:00:00,98.04,98.1,98.03,98.03,296756
2010-01-06 13:15:00,98.03,98.08,97.84,97.84,302356
2010-01-06 13:30:00,97.8498,97.85,97.77,97.79,307622
2010-01-06 13:45:00,97.8,97.86,97.74,97.76,315937
2010-01-06 14:00:00,97.8,97.87,97.6,97.64,325372
2010-01-06 14:15:00,97.68,97.8,97.68,97.71,333282
2010-01-06 14:30:00,97.65,97.82,97.65,97.78,342122
2010-01-06 14:45:00,97.77,97.88,97.71,97.71,355574
2010-01-06 15:00:00,97.74,97.87,97.69,97.75,370403
2010-01-06 15:15:00,97.72,97.76,97.5,97.57,393104
2010-01-06 15:30:00,97.55,97.67,97.5,97.57,421340
2010-01-06 15:45:00,97.57,97.63,97.48,97.485,435400
2010-01-06 16:00:00,97.49,97.65,97.34,97.65,474537
2010-01-07 09:45:00,97.27,97.27,96.71,96.96,30589
2010-01-07 10:00:00,96.91,97.07,96.86,96.98,46596
2010-01-07 10:15:00,97.0,97.2,96.9764,97.11,63665
2010-01-07 10:30:00,97.12,97.63,97.11,97.58,85844
2010-01-07 10:45:00,97.57,97.84,97.55,97.8,115233
2010-01-07 11:00:00,97.83,97.92,97.57,97.71,131588
2010-01-07 11:15:00,97.71,97.84,97.69,97.81,160788
2010-01-07 11:30:00,97.81,97.81,97.57,97.68,176388
2010-01-07 11:45:00,97.69,97.81,97.64,97.75,191090
2010-01-07 12:00:00,97.71,97.93,97.71,97.93,204186
2010-01-07 12:15:00,97.88,97.92,97.75,97.75,217643
2010-01-07 12:30:00,97.76,97.99,97.75,97.96,230167
2010-01-07 12:45:00,97.95,97.99,97.75,97.84,244380
2010-01-07 13:00:00,97.81,97.93,97.8,97.87,259672
2010-01-07 13:15:00,97.87,97.87,97.68,97.83,271670
2010-01-07 13:30:00,97.83,97.99,97.83,97.885,282502
2010-01-07 13:45:00,97.91,97.95,97.7,97.7,292402
2010-01-07 14:00:00,97.7,97.77,97.6,97.63,305290
