dt,open,high,low,close,volume
2010-01-04 09:45:00,24.28,24.72,24.28,24.59,78127
2010-01-04 10:00:00,24.59,24.75,24.5,24.54,171001
2010-01-04 10:15:00,24.55,24.62,24.51,24.61,203114
2010-01-04 10:30:00,24.61,24.65,24.55,24.62,222333
2010-01-04 10:45:00,24.64,24.76,24.63,24.72,264002
2010-01-04 11:00:00,24.72,24.75,24.67,24.72,281202
2010-01-04 11:15:00,24.71,24.76,24.68,24.75,299683
2010-01-04 11:30:00,24.77,24.78,24.66,24.67,343729
2010-01-04 11:45:00,24.67,24.68,24.64,24.65,361124
2010-01-04 12:00:00,24.65,24.75,24.64,24.75,377138
2010-01-04 12:15:00,24.75,24.77,24.72,24.77,393063
2010-01-04 12:30:00,24.77,24.87,24.77,24.86,415163
2010-01-04 12:45:00,24.87,24.88,24.69,24.71,442067
2010-01-04 13:00:00,24.71,24.77,24.71,24.74,473960
2010-01-04 13:15:00,24.73,24.74,24.7,24.72,484560
2010-01-04 13:30:00,24.73,24.75,24.71,24.74,496015
2010-01-04 13:45:00,24.74,24.75,24.71,24.73,509215
2010-01-04 14:00:00,24.73,24.76,24.72,24.75,523115
2010-01-04 14:15:00,24.75,24.75,24.7,24.71,553715
2010-01-04 14:30:00,24.71,24.73,24.68,24.69,569257
2010-01-04 14:45:00,24.69,24.69,24.67,24.68,574857
2010-01-04 15:00:00,24.68,24.68,24.63,24.635,589692
2010-01-04 15:15:00,24.635,24.68,24.61,24.64,624212
2010-01-04 15:30:00,24.64,24.7,24.63,24.69,658208
2010-01-04 15:45:00,24.68,24.71,24.65,24.69,747436
2010-01-04 16:00:00,24.68,24.71,24.64,24.69,871313
2010-01-05 09:45:00,24.72,24.72,24.51,24.69,17191
2010-01-05 10:00:00,24.68,24.8,24.625,24.625,34819
2010-01-05 10:15:00,24.61,24.75,24.53,24.74,48769
2010-01-05 10:30:00,24.74,24.95,24.725,24.94,64617
2010-01-05 10:45:00,24.94,25.07,24.93,25.06,80622
2010-01-05 11:00:00,25.06,25.06,24.95,24.9852,89159
2010-01-05 11:15:00,25.0,25.0,24.93,24.93,97111
2010-01-05 11:30:00,24.935,24.97,24.89,24.96,107996
2010-01-05 11:45:00,24.95,24.95,24.84,24.87,116096
2010-01-05 12:00:00,24.87,24.93,24.87,24.92,122806
2010-01-05 12:15:00,24.92,24.94,24.88,24.94,130806
2010-01-05 12:30:00,24.95,24.99,24.94,24.98,148806
2010-01-05 12:45:00,24.985,25.07,24.98,25.07,163206
2010-01-05 13:00:00,25.06,25.06,24.94,25.0,205706
2010-01-05 13:15:00,25.0,25.01,24.87,24.9,220906
2010-01-05 13:30:00,24.89,25.0,24.89,25.0,238892
2010-01-05 13:45:00,24.99,25.03,24.97,25.03,255897
