dt,open,high,low,close,volume
2010-01-04 09:45:00,23.71,23.71,23.51,23.5618,329802
2010-01-04 10:00:00,23.57,23.65,23.54,23.64,525386
2010-01-04 10:15:00,23.64,23.74,23.58,23.74,1122058
2010-01-04 10:30:00,23.74,23.87,23.71,23.82,1768216
2010-01-04 10:45:00,23.82,23.94,23.78,23.87,2329292
2010-01-04 11:00:00,23.87,23.89,23.84,23.88,2563052
2010-01-04 11:15:00,23.89,23.91,23.86,23.87,2855795
2010-01-04 11:30:00,23.87,23.89,23.82,23.88,3083593
2010-01-04 11:45:00,23.88,23.96,23.86,23.93,3255576
2010-01-04 12:00:00,23.94,23.96,23.89,23.9,3436078
2010-01-04 12:15:00,23.9,23.96,23.88,23.89,3574389
2010-01-04 12:30:00,23.89,23.91,23.88,23.895,3649392
2010-01-04 12:45:00,23.91,23.96,23.9,23.93,3820042
2010-01-04 13:00:00,23.93,23.96,23.92,23.95,4147221
2010-01-04 13:15:00,23.95,23.955,23.92,23.935,4260037
2010-01-04 13:30:00,23.93,23.95,23.9,23.91,4360458
2010-01-04 13:45:00,23.91,23.92,23.83,23.89,4500487
2010-01-04 14:00:00,23.9,23.91,23.83,23.83,4631939
2010-01-04 14:15:00,23.84,23.85,23.8,23.81,4745105
2010-01-04 14:30:00,23.8,23.89,23.8,23.885,4877776
2010-01-04 14:45:00,23.89,23.94,23.88,23.93,4995399
2010-01-04 15:00:00,23.93,23.95,23.88,23.88,5182503
2010-01-04 15:15:00,23.88,23.95,23.88,23.92,5314723
2010-01-04 15:30:00,23.92,23.93,23.85,23.85,5551033
2010-01-04 15:45:00,23.86,23.94,23.85,23.85,5792860
2010-01-04 16:00:00,23.85,23.8896,23.85,23.87,6432775
2010-01-05 09:45:00,23.73,24.27,23.67,24.15,841036
2010-01-05 10:00:00,24.15,24.36,24.14,24.25,1459265
2010-01-05 10:15:00,24.255,25.12,24.24,24.97,3161345
2010-01-05 10:30:00,24.96,25.03,24.79,24.89,3925940
2010-01-05 10:45:00,24.89,25.16,24.84,25.11,4342181
2010-01-05 11:00:00,25.11,25.25,25.06,25.12,4897451
2010-01-05 11:15:00,25.1275,25.19,25.09,25.15,5150519
2010-01-05 11:30:00,25.14,25.24,25.09,25.19,5489079
2010-01-05 11:45:00,25.18,25.23,25.06,25.2,5695999
2010-01-05 12:00:00,25.2,25.23,25.18,25.2101,5994641
2010-01-05 12:15:00,25.215,25.35,25.13,25.32,6470226
2010-01-05 12:30:00,25.33,25.39,25.32,25.35,6705604
2010-01-05 12:45:00,25.35,25.35,25.16,25.26,7124176
2010-01-05 13:00:00,25.26,25.47,25.255,25.43,7505136
2010-01-05 13:15:00,25.43,25.49,25.4,25.46,7669404
2010-01-05 13:30:00,25.455,25.47,25.35,25.435,7814147
2010-01-05 13:45:00,25.4301,25.45,25.28,25.45,7989517
2010-01-05 14:00:00,25.45,25.55,25.42,25.5221,8279878
2010-01-05 14:15:00,25.52,25.54,25.34,25.38,8495171
2010-01-05 14:30:00,25.38,25.38,25.19,25.375,8849181
2010-01-05 14:45:00,25.37,25.43,25.36,25.43,8977179
2010-01-05 15:00:00,25.43,25.58,25.425,25.5794,9340728
2010-01-05 15:15:00,25.5701,25.66,25.4533,25.63,9866153
2010-01-05 15:30:00,25.637,25.6599,25.56,25.595,10324430
2010-01-05 15:45:00,25.6,25.71,25.59,25.645,10920498
2010-01-05 16:00:00,25.65,25.75,25.64,25.7001,11934532
2010-01-06 09:45:00,25.51,25.75,25.09,25.1475,573145
2010-01-06 10:00:00,25.14,25.38,25.11,25.33,1028228
2010-01-06 10:15:00,25.33,25.42,25.16,25.39,1469097
2010-01-06 10:30:00,25.3925,25.4,25.21,25.28,1756507
2010-01-06 10:45:00,25.28,25.3,25.15,25.23,1994495
2010-01-06 11:00:00,25.24,25.29,25.15,25.29,2209469
2010-01-06 11:15:00,25.285,25.34,25.205,25.23,2417671
2010-01-06 11:30:00,25.23,25.44,25.23,25.415,2722310
2010-01-06 11:45:00,25.4118,25.82,25.41,25.7725,3161806
2010-01-06 12:00:00,25.78,25.91,25.7,25.91,3815723
2010-01-06 12:15:00,25.91,25.97,25.74,25.8901,4422213
2010-01-06 12:30:00,25.9,26.15,25.89,26.02,5080342
2010-01-06 12:45:00,26.02,26.12,25.99,26.1099,5460814
2010-01-06 13:00:00,26.11,26.29,26.09,26.27,5750996
2010-01-06 13:15:00,26.28,26.29,26.1,26.15,5985976
2010-01-06 13:30:00,26.15,26.32,26.14,26.3015,6263958
2010-01-06 13:45:00,26.31,26.34,26.23,26.3,6546296
2010-01-06 14:00:00,26.3,26.34,26.15,26.285,6851161
2010-01-06 14:15:00,26.285,26.38,26.22,26.29,7147585
2010-01-06 14:30:00,26.2899,26.3,26.19,26.2994,7795078
2010-01-06 14:45:00,26.29,26.33,26.27,26.32,8144350
2010-01-06 15:00:00,26.33,26.34,26.18,26.28,8439813
2010-01-06 15:15:00,26.28,26.28,26.05,26.12,8793496
2010-01-06 15:30:00,26.1295,26.14,25.97,26.03,9148583
2010-01-06 15:45:00,26.03,26.19,26.03,26.115,9660825
2010-01-06 16:00:00,26.11,26.15,25.98,26.11,10411260
2010-01-07 09:45:00,26.0,26.29,25.82,26.26,520129
2010-01-07 10:00:00,26.26,26.5182,26.25,26.46,1266593
2010-01-07 10:15:00,26.45,26.5199,26.32,26.4599,1692974
2010-01-07 10:30:00,26.45,26.51,26.34,26.4,1979085
2010-01-07 10:45:00,26.4,26.5,26.38,26.49,2161414
2010-01-07 11:00:00,26.48,26.69,26.48,26.555,2398136
2010-01-07 11:15:00,26.55,26.65,26.52,26.65,2525400
2010-01-07 11:30:00,26.65,26.72,26.63,26.7,2693017
2010-01-07 11:45:00,26.69,26.72,26.55,26.63,2971214
2010-01-07 12:00:00,26.64,26.65,26.45,26.49,3133833
2010-01-07 12:15:00,26.49,26.55,26.49,26.49,3192132
2010-01-07 12:30:00,26.5,26.61,26.495,26.5,3423937
2010-01-07 12:45:00,26.5,26.59,26.46,26.5427,3647483
2010-01-07 13:00:00,26.55,26.57,26.52,26.52,3861405
2010-01-07 13:15:00,26.52,26.53,26.44,26.47,4151867
2010-01-07 13:30:00,26.475,26.51,26.47,26.5021,4253777
2010-01-07 13:45:00,26.5095,26.52,26.5,26.52,4377643
2010-01-07 14:00:00,26.52,26.52,26.48,26.505,4487604
2010-01-07 14:15:00,26.505,26.52,26.48,26.48,4601206
2010-01-07 14:30:00,26.49,26.51,26.45,26.46,4842221
2010-01-07 14:45:00,26.45,26.54,26.45,26.54,5137528
2010-01-07 15:00:00,26.54,26.56,26.47,26.472,5373977
2010-01-07 15:15:00,26.47,26.51,26.39,26.5,5786051
2010-01-07 15:30:00,26.5,26.67,26.5,26.58,6061002
2010-01-07 15:45:00,26.5899,26.6,26.53,26.53,6278559
2010-01-07 16:00:00,26.54,26.55,26.47,26.49,6851481
2010-01-08 09:45:00,26.39,26.57,26.04,26.3822,572174
2010-01-08 10:00:00,26.4,26.52,26.35,26.4,779476
2010-01-08 10:15:00,26.409,26.52,26.4,26.4,925794
2010-01-08 10:30:00,26.4,26.47,26.37,26.44,1055942
2010-01-08 10:45:00,26.44,26.46,26.42,26.43,1152842
2010-01-08 11:00:00,26.425,26.43,26.22,26.25,1277374
2010-01-08 11:15:00,26.2511,26.32,26.08,26.12,1488377
2010-01-08 11:30:00,26.11,26.12,26.0,26.06,1705468
2010-01-08 11:45:00,26.06,26.06,25.89,25.9,2027964
2010-01-08 12:00:00,25.89,25.93,25.77,25.82,2326681
2010-01-08 12:15:00,25.82,26.05,25.815,25.89,2580654
2010-01-08 12:30:00,25.89,26.1,25.85,26.1,2743774
2010-01-08 12:45:00,26.1,26.16,26.05,26.15,2898688
2010-01-08 13:00:00,26.16,26.16,26.0,26.01,3022476
2010-01-08 13:15:00,26.01,26.05,25.94,26.0,3215868
2010-01-08 13:30:00,26.0,26.01,25.94,25.94,3317956
2010-01-08 13:45:00,25.94,26.06,25.94,26.04,3444855
2010-01-08 14:00:00,26.0475,26.05,25.93,25.97,3544642
2010-01-08 14:15:00,25.97,26.0,25.915,25.97,3668903
2010-01-08 14:30:00,25.97,25.9875,25.94,25.96,3739254
2010-01-08 14:45:00,25.96,26.07,25.95,26.0,3847406
2010-01-08 15:00:00,25.99,26.05,25.99,26.04,3973670
2010-01-08 15:15:00,26.04,26.16,26.02,26.16,4081745
2010-01-08 15:30:00,26.1599,26.2,26.09,26.09,4272439
2010-01-08 15:45:00,26.099,26.21,26.02,26.21,4652246
2010-01-08 16:00:00,26.205,26.22,26.09,26.2,5049801
2010-01-11 09:45:00,26.42,26.6,26.27,26.3909,317978
2010-01-11 10:00:00,26.4,26.47,26.08,26.17,753607
2010-01-11 10:15:00,26.16,26.28,25.93,26.13,1106710
2010-01-11 10:30:00,26.14,26.3,26.135,26.2499,1242569
2010-01-11 10:45:00,26.24,26.245,26.1,26.24,1398711
2010-01-11 11:00:00,26.23,26.2654,26.15,26.1818,1505697
2010-01-11 11:15:00,26.19,26.23,25.96,25.96,1865460
2010-01-11 11:30:00,25.9501,26.02,25.95,26.0043,2011223
2010-01-11 11:45:00,26.01,26.1,26.0,26.03,2113825
2010-01-11 12:00:00,26.035,26.035,25.96,26.01,2193742
2010-01-11 12:15:00,26.0082,26.01,25.85,25.8816,2399217
2010-01-11 12:30:00,25.88,25.98,25.88,25.9799,2490283
2010-01-11 12:45:00,25.98,26.05,25.9101,26.03,2606089
2010-01-11 13:00:00,26.04,26.095,25.98,26.08,2720869
2010-01-11 13:15:00,26.09,26.12,26.01,26.02,2848900
2010-01-11 13:30:00,26.02,26.03,25.95,25.9601,2939471
2010-01-11 13:45:00,25.9601,25.99,25.92,25.99,3046844
2010-01-11 14:00:00,25.99,26.04,25.97,26.0,3166459
2010-01-11 14:15:00,26.0,26.01,25.96,25.98,3276860
2010-01-11 14:30:00,25.98,26.075,25.96,26.07,3438618
2010-01-11 14:45:00,26.08,26.09,26.04,26.04,3588830
2010-01-11 15:00:00,26.04,26.1,25.94,26.0911,3882708
2010-01-11 15:15:00,26.09,26.155,26.04,26.14,4123051
2010-01-11 15:30:00,26.14,26.185,26.06,26.17,4288102
2010-01-11 15:45:00,26.17,26.21,26.09,26.13,4649970
2010-01-11 16:00:00,26.14,26.18,26.05,26.16,5120980
2010-01-12 09:45:00,28.04,28.59,27.55,28.43,5991856
2010-01-12 10:00:00,28.44,28.56,27.92,28.2299,8710526
2010-01-12 10:15:00,28.21,28.23,27.8,27.87,10272492
2010-01-12 10:30:00,27.87,28.04,27.6,27.83,11601190
2010-01-12 10:45:00,27.83,28.13,27.76,28.11,12422162
2010-01-12 11:00:00,28.12,28.15,27.9,27.99,13174809
2010-01-12 11:15:00,27.99,28.07,27.77,27.88,13980930
2010-01-12 11:30:00,27.89,28.05,27.75,27.949,14348382
2010-01-12 11:45:00,27.95,28.03,27.81,27.85,14703093
2010-01-12 12:00:00,27.8521,28.0,27.84,27.98,15034853
2010-01-12 12:15:00,27.9782,28.01,27.87,27.95,15412097
2010-01-12 12:30:00,27.945,28.01,27.79,27.85,16082019
2010-01-12 12:45:00,27.85,27.87,27.7,27.85,16451060
2010-01-12 13:00:00,27.85,27.87,27.41,27.441,17227233
2010-01-12 13:15:00,27.44,27.58,27.3,27.46,17709570
2010-01-12 13:30:00,27.45,27.46,27.19,27.43,18059054
2010-01-12 13:45:00,27.4218,27.6,27.395,27.585,18330662
2010-01-12 14:00:00,27.585,27.6,27.38,27.405,18739417
2010-01-12 14:15:00,27.41,27.44,27.26,27.28,19052454
2010-01-12 14:30:00,27.28,27.36,27.2,27.36,19783496
2010-01-12 14:45:00,27.35,27.36,27.22,27.26,20000554
2010-01-12 15:00:00,27.26,27.39,27.235,27.3,20284633
2010-01-12 15:15:00,27.3,27.45,27.18,27.415,20792089
2010-01-12 15:30:00,27.42,27.51,27.39,27.44,21113948
2010-01-12 15:45:00,27.43,27.5,27.1,27.175,21973963
2010-01-12 16:00:00,27.18,27.23,27.09,27.13,23329876
2010-01-13 09:45:00,27.23,27.82,27.22,27.6199,861588
2010-01-13 10:00:00,27.62,27.75,27.42,27.54,1439138
2010-01-13 10:15:00,27.54,27.62,27.29,27.4,1931705
2010-01-13 10:30:00,27.42,27.54,27.2,27.3,2311152
2010-01-13 10:45:00,27.3,27.5,27.28,27.46,2490676
2010-01-13 11:00:00,27.4501,27.54,27.37,27.5,2733807
2010-01-13 11:15:00,27.5,27.6,27.45,27.465,2913583
2010-01-13 11:30:00,27.46,27.8,27.39,27.74,3330039
2010-01-13 11:45:00,27.74,27.78,27.71,27.74,3551138
2010-01-13 12:00:00,27.74,27.85,27.6618,27.67,3828294
2010-01-13 12:15:00,27.68,27.9,27.67,27.78,4071171
2010-01-13 12:30:00,27.78,27.92,27.77,27.91,4256333
2010-01-13 12:45:00,27.91,28.05,27.9,27.91,4481316
2010-01-13 13:00:00,27.91,28.06,27.9,27.97,4649760
2010-01-13 13:15:00,27.9799,27.98,27.85,27.9018,4822035
2010-01-13 13:30:00,27.91,27.94,27.77,27.7899,4984132
2010-01-13 13:45:00,27.78,27.84,27.76,27.8171,5135495
2010-01-13 14:00:00,27.82,27.86,27.74,27.77,5263603
2010-01-13 14:15:00,27.78,27.86,27.75,27.81,5469084
2010-01-13 14:30:00,27.81,27.84,27.76,27.78,5572408
2010-01-13 14:45:00,27.773,27.8,27.7,27.75,5732575
2010-01-13 15:00:00,27.7415,27.99,27.7415,27.9882,5889593
2010-01-13 15:15:00,27.99,27.99,27.81,27.83,6059163
2010-01-13 15:30:00,27.838,27.97,27.83,27.97,6292242
2010-01-13 15:45:00,27.97,28.04,27.84,27.86,6843626
2010-01-13 16:00:00,27.86,27.92,27.8,27.83,7510394
2010-01-14 09:45:00,27.69,27.7,27.14,27.41,958224
2010-01-14 10:00:00,27.41,27.45,27.27,27.28,1356907
2010-01-14 10:15:00,27.28,27.41,27.24,27.37,1755815
2010-01-14 10:30:00,27.37,27.42,27.25,27.31,2122205
2010-01-14 10:45:00,27.31,27.4,27.25,27.29,2381719
2010-01-14 11:00:00,27.29,27.3,27.14,27.165,2995211
2010-01-14 11:15:00,27.17,27.18,26.98,26.98,3643679
2010-01-14 11:30:00,26.98,27.08,26.91,27.03,3936913
2010-01-14 11:45:00,27.04,27.23,27.02,27.18,4304753
2010-01-14 12:00:00,27.18,27.23,27.12,27.208,4462297
2010-01-14 12:15:00,27.21,27.23,27.13,27.16,4635694
2010-01-14 12:30:00,27.16,27.178,27.03,27.05,4803363
2010-01-14 12:45:00,27.05,27.28,27.04,27.2695,5045267
2010-01-14 13:00:00,27.2699,27.32,27.18,27.19,5211677
2010-01-14 13:15:00,27.1901,27.34,27.17,27.33,5352940
2010-01-14 13:30:00,27.33,27.5,27.24,27.4801,5581369
2010-01-14 13:45:00,27.48,27.54,27.4,27.5,5918191
2010-01-14 14:00:00,27.49,27.51,27.35,27.35,6228919
2010-01-14 14:15:00,27.35,27.4,27.3,27.33,6524462
2010-01-14 14:30:00,27.33,27.35,27.19,27.255,6707868
2010-01-14 14:45:00,27.25,27.305,27.2,27.23,6938181
2010-01-14 15:00:00,27.23,27.3,27.17,27.22,7266561
2010-01-14 15:15:00,27.22,27.38,27.21,27.33,7650722
2010-01-14 15:30:00,27.32,27.33,27.22,27.28,7995713
2010-01-14 15:45:00,27.28,27.32,27.2,27.2616,8330547
2010-01-14 16:00:00,27.2601,27.32,27.23,27.25,9072324
2010-01-15 09:45:00,27.23,27.25,27.03,27.22,752847
2010-01-15 10:00:00,27.23,27.3,26.91,27.0,1204036
2010-01-15 10:15:00,27.0,27.02,26.76,26.905,1702012
2010-01-15 10:30:00,26.87,26.99,26.83,26.84,1995808
2010-01-15 10:45:00,26.835,26.98,26.8,26.94,2385878
2010-01-15 11:00:00,26.94,26.97,26.85,26.9601,2543641
2010-01-15 11:15:00,26.97,27.08,26.93,26.96,2803610
2010-01-15 11:30:00,26.96,26.99,26.83,26.84,3016713
2010-01-15 11:45:00,26.84,26.88,26.73,26.76,3302233
2010-01-15 12:00:00,26.76,26.8,26.73,26.74,3401421
2010-01-15 12:15:00,26.745,26.79,26.61,26.62,3735259
2010-01-15 12:30:00,26.62,26.76,26.61,26.64,4001809
2010-01-15 12:45:00,26.64,26.68,26.61,26.62,4124299
2010-01-15 13:00:00,26.63,26.64,26.52,26.53,4387705
2010-01-15 13:15:00,26.5275,26.61,26.52,26.5994,4539066
2010-01-15 13:30:00,26.6,26.63,26.54,26.55,4711426
2010-01-15 13:45:00,26.56,26.62,26.55,26.59,4971170
2010-01-15 14:00:00,26.6,26.72,26.59,26.68,5150038
2010-01-15 14:15:00,26.69,26.81,26.68,26.81,5286964
2010-01-15 14:30:00,26.81,26.835,26.73,26.77,5390488
2010-01-15 14:45:00,26.78,26.82,26.74,26.76,5526184
2010-01-15 15:00:00,26.76,26.7995,26.69,26.72,5698727
2010-01-15 15:15:00,26.73,26.825,26.72,26.8099,5908237
2010-01-15 15:30:00,26.8,26.83,26.73,26.74,6112679
2010-01-15 15:45:00,26.74,26.845,26.68,26.74,6547200
2010-01-15 16:00:00,26.74,26.87,26.74,26.79,7483257
2010-01-19 09:45:00,26.65,26.99,26.5,26.99,326791
2010-01-19 10:00:00,26.99,27.08,26.83,26.8599,663930
2010-01-19 10:15:00,26.8599,27.14,26.855,27.09,926521
2010-01-19 10:30:00,27.09,27.3,27.06,27.2225,1170007
2010-01-19 10:45:00,27.2275,27.34,27.16,27.315,1380945
2010-01-19 11:00:00,27.33,27.37,27.19,27.19,1551644
2010-01-19 11:15:00,27.19,27.29,27.13,27.29,1687977
2010-01-19 11:30:00,27.2899,27.2899,27.1,27.11,1795884
2010-01-19 11:45:00,27.1125,27.215,27.08,27.21,1968342
2010-01-19 12:00:00,27.21,27.46,27.2,27.33,2374376
2010-01-19 12:15:00,27.33,27.36,27.19,27.35,2518728
2010-01-19 12:30:00,27.34,27.41,27.28,27.3,2645449
2010-01-19 12:45:00,27.3,27.39,27.295,27.37,2743695
2010-01-19 13:00:00,27.37,27.45,27.36,27.37,2902833
2010-01-19 13:15:00,27.37,27.4,27.28,27.33,3028298
2010-01-19 13:30:00,27.34,27.44,27.335,27.43,3148173
2010-01-19 13:45:00,27.43,27.44,27.37,27.39,3247672
2010-01-19 14:00:00,27.39,27.42,27.32,27.3309,3357739
2010-01-19 14:15:00,27.33,27.37,27.31,27.335,3459252
2010-01-19 14:30:00,27.33,27.37,27.245,27.2501,3638568
2010-01-19 14:45:00,27.26,27.29,27.23,27.28,3757758
2010-01-19 15:00:00,27.285,27.35,27.27,27.34,3860541
2010-01-19 15:15:00,27.34,27.36,27.29,27.33,4009508
2010-01-19 15:30:00,27.33,27.46,27.32,27.46,4242292
2010-01-19 15:45:00,27.445,27.46,27.38,27.41,4480557
2010-01-19 16:00:00,27.4,27.5,27.4,27.46,5118754
2010-01-20 09:45:00,27.09,27.4,27.01,27.28,454908
2010-01-20 10:00:00,27.2,27.3783,27.14,27.2,742904
2010-01-20 10:15:00,27.21,27.34,27.15,27.34,1035214
2010-01-20 10:30:00,27.32,27.45,27.21,27.21,1237838
2010-01-20 10:45:00,27.21,27.29,27.15,27.16,1398932
2010-01-20 11:00:00,27.15,27.15,26.92,26.985,1661215
2010-01-20 11:15:00,26.99,27.04,26.8,26.87,1920381
2010-01-20 11:30:00,26.88,26.97,26.83,26.97,2033725
2010-01-20 11:45:00,26.97,26.98,26.81,26.8299,2160551
2010-01-20 12:00:00,26.82,26.91,26.78,26.89,2293603
2010-01-20 12:15:00,26.89,26.96,26.81,26.96,2379347
2010-01-20 12:30:00,26.97,26.98,26.88,26.94,2448078
2010-01-20 12:45:00,26.945,26.95,26.85,26.925,2541263
2010-01-20 13:00:00,26.925,26.96,26.82,26.87,2658906
2010-01-20 13:15:00,26.88,26.9,26.85,26.855,2725989
2010-01-20 13:30:00,26.8573,26.92,26.83,26.92,2825014
2010-01-20 13:45:00,26.91,27.0,26.9,26.94,2922605
2010-01-20 14:00:00,26.94,26.99,26.94,26.98,2997875
2010-01-20 14:15:00,26.98,27.0,26.96,26.98,3131446
2010-01-20 14:30:00,26.98,26.99,26.95,26.96,3247948
2010-01-20 14:45:00,26.96,27.07,26.93,27.0325,3379561
2010-01-20 15:00:00,27.04,27.11,27.001,27.04,3516227
2010-01-20 15:15:00,27.04,27.0625,26.99,27.004,3657022
2010-01-20 15:30:00,27.0,27.09,26.98,27.0,3794106
2010-01-20 15:45:00,27.0,27.03,26.94,26.99,3971074
2010-01-20 16:00:00,26.98,27.06,26.94,26.96,4443414
2010-01-21 09:45:00,26.96,27.14,26.83,26.92,405765
2010-01-21 10:00:00,26.92,26.94,26.66,26.7,807406
2010-01-21 10:15:00,26.7,26.81,26.66,26.685,1143293
2010-01-21 10:30:00,26.6787,26.6787,26.33,26.34,1679832
2010-01-21 10:45:00,26.34,26.37,26.08,26.2,2374192
2010-01-21 11:00:00,26.19,26.295,26.16,26.1719,2696603
2010-01-21 11:15:00,26.18,26.18,25.92,25.99,3201497
2010-01-21 11:30:00,25.99,26.09,25.9,26.08,3538183
2010-01-21 11:45:00,26.07,26.12,25.56,25.6001,4118199
2010-01-21 12:00:00,25.62,25.7382,25.54,25.631,4791824
2010-01-21 12:15:00,25.64,25.92,25.57,25.79,5485607
2010-01-21 12:30:00,25.8,25.8079,25.61,25.62,6104740
2010-01-21 12:45:00,25.63,25.78,25.625,25.78,6253873
2010-01-21 13:00:00,25.77,25.79,25.66,25.6919,6525556
2010-01-21 13:15:00,25.7,25.71,25.6,25.6,6813808
2010-01-21 13:30:00,25.61,25.73,25.58,25.7237,7078097
2010-01-21 13:45:00,25.73,25.87,25.67,25.77,7313323
2010-01-21 14:00:00,25.77,25.8,25.71,25.74,7473358
2010-01-21 14:15:00,25.74,25.82,25.69,25.735,7761939
2010-01-21 14:30:00,25.73,25.76,25.57,25.76,8370992
2010-01-21 14:45:00,25.76,25.95,25.73,25.9,9076620
2010-01-21 15:00:00,25.91,25.93,25.76,25.85,9237719
2010-01-21 15:15:00,25.85,25.855,25.58,25.6,9662509
2010-01-21 15:30:00,25.6,25.695,25.54,25.62,10126935
2010-01-21 15:45:00,25.63,25.7,25.52,25.645,10900349
2010-01-21 16:00:00,25.64,25.7,25.54,25.57,12346997
2010-01-22 09:45:00,25.55,25.8,24.75,24.79,854051
2010-01-22 10:00:00,24.79,25.16,24.76,24.95,1509045
2010-01-22 10:15:00,24.96,24.9982,24.66,24.7098,1999257
2010-01-22 10:30:00,24.7,24.88,24.63,24.8418,2553696
2010-01-22 10:45:00,24.85,25.02,24.82,25.02,2873533
2010-01-22 11:00:00,25.02,25.17,25.0,25.16,3191577
2010-01-22 11:15:00,25.17,25.3,25.16,25.22,3511755
2010-01-22 11:30:00,25.21,25.29,25.2,25.27,3654828
2010-01-22 11:45:00,25.27,25.35,25.2,25.35,3945363
2010-01-22 12:00:00,25.34,25.46,25.29,25.32,4385140
2010-01-22 12:15:00,25.32,25.38,25.28,25.33,4579760
2010-01-22 12:30:00,25.32,25.43,25.32,25.4,4774533
2010-01-22 12:45:00,25.4,25.55,25.395,25.42,5011756
2010-01-22 13:00:00,25.43,25.43,25.32,25.375,5168772
2010-01-22 13:15:00,25.37,25.38,25.29,25.29,5321970
2010-01-22 13:30:00,25.29,25.29,25.14,25.16,5569061
2010-01-22 13:45:00,25.16,25.19,25.09,25.13,5848911
2010-01-22 14:00:00,25.13,25.2,25.07,25.1,6119565
2010-01-22 14:15:00,25.1,25.17,25.01,25.15,6360972
2010-01-22 14:30:00,25.14,25.2,24.99,25.0,6589666
2010-01-22 14:45:00,25.005,25.07,24.9,24.91,6895667
2010-01-22 15:00:00,24.91,24.94,24.71,24.72,7378668
2010-01-22 15:15:00,24.72,24.81,24.54,24.54,7893663
2010-01-22 15:30:00,24.5499,24.61,24.53,24.59,8326735
2010-01-22 15:45:00,24.59,24.64,24.54,24.56,8798398
2010-01-22 16:00:00,24.56,24.74,24.55,24.62,10254675
2010-01-25 09:45:00,25.13,25.31,25.0,25.17,515664
2010-01-25 10:00:00,25.17,25.18,25.01,25.03,834333
2010-01-25 10:15:00,25.0,25.15,24.67,24.7,1313866
2010-01-25 10:30:00,24.71,24.83,24.7,24.8099,1627202
2010-01-25 10:45:00,24.81,24.81,24.51,24.56,2014362
2010-01-25 11:00:00,24.57,24.64,24.51,24.56,2250657
2010-01-25 11:15:00,24.56,24.62,24.44,24.48,2615345
2010-01-25 11:30:00,24.48,24.62,24.42,24.44,2936607
2010-01-25 11:45:00,24.43,24.48,24.26,24.27,3139671
2010-01-25 12:00:00,24.27,24.54,24.24,24.48,3548619
2010-01-25 12:15:00,24.48,24.6,24.45,24.55,3855142
2010-01-25 12:30:00,24.55,24.59,24.49,24.52,4070255
2010-01-25 12:45:00,24.52,24.57,24.46,24.48,4221185
2010-01-25 13:00:00,24.47,24.62,24.47,24.56,4370457
2010-01-25 13:15:00,24.56,24.63,24.55,24.61,4518146
2010-01-25 13:30:00,24.62,24.72,24.61,24.68,4670218
2010-01-25 13:45:00,24.68,24.705,24.595,24.7,4802241
2010-01-25 14:00:00,24.71,24.71,24.64,24.68,4941077
2010-01-25 14:15:00,24.6735,24.73,24.67,24.675,5080464
2010-01-25 14:30:00,24.6771,24.75,24.61,24.74,5222249
2010-01-25 14:45:00,24.74,24.75,24.72,24.7479,5384827
2010-01-25 15:00:00,24.75,24.97,24.74,24.97,5644747
2010-01-25 15:15:00,24.97,24.98,24.89,24.892,5856332
2010-01-25 15:30:00,24.9,24.94,24.81,24.82,6054738
2010-01-25 15:45:00,24.82,24.83,24.67,24.69,6398565
2010-01-25 16:00:00,24.69,24.72,24.62,24.67,6839161
2010-01-26 09:45:00,24.45,24.75,24.32,24.72,390639
2010-01-26 10:00:00,24.73,24.75,24.57,24.74,623359
2010-01-26 10:15:00,24.73,25.3,24.71,25.1,1140695
2010-01-26 10:30:00,25.11,25.15,24.86,24.95,1417432
2010-01-26 10:45:00,24.95,24.9799,24.75,24.9,1704293
2010-01-26 11:00:00,24.9,24.96,24.83,24.94,1911761
2010-01-26 11:15:00,24.92,25.09,24.89,25.0,2172923
2010-01-26 11:30:00,25.0,25.21,25.0,25.2,2429113
2010-01-26 11:45:00,25.2,25.3,25.1201,25.25,2673423
2010-01-26 12:00:00,25.26,25.26,25.1,25.17,2802631
2010-01-26 12:15:00,25.18,25.25,25.15,25.19,2993481
2010-01-26 12:30:00,25.18,25.19,25.12,25.14,3168246
2010-01-26 12:45:00,25.14,25.28,25.14,25.22,3264011
2010-01-26 13:00:00,25.235,25.28,25.23,25.25,3351363
2010-01-26 13:15:00,25.25,25.26,25.17,25.22,3449909
2010-01-26 13:30:00,25.23,25.23,25.14,25.2,3663465
2010-01-26 13:45:00,25.21,25.29,25.19,25.25,3819124
2010-01-26 14:00:00,25.26,25.27,25.19,25.22,3903647
2010-01-26 14:15:00,25.22,25.24,25.09,25.13,4092146
2010-01-26 14:30:00,25.13,25.15,24.95,24.96,4291916
2010-01-26 14:45:00,24.96,25.01,24.93,24.97,4440770
2010-01-26 15:00:00,24.98,25.03,24.93,24.98,4559294
2010-01-26 15:15:00,24.9706,24.98,24.77,24.79,4724253
2010-01-26 15:30:00,24.79,24.9,24.66,24.68,5068389
2010-01-26 15:45:00,24.69,24.75,24.39,24.39,5592539
2010-01-26 16:00:00,24.38,24.52,24.33,24.43,6200449
