dt,open,high,low,close,volume
2011-03-22 10:00:00,35.72,35.72,35.72,35.72,1600
2011-03-22 10:15:00,35.72,35.72,34.0,35.4,26917
2011-03-22 10:30:00,35.35,36.51,35.25,36.5,49400
2011-03-22 10:45:00,36.5,36.75,36.45,36.75,65700
2011-03-22 11:00:00,36.75,36.75,36.75,36.75,70700
2011-03-22 11:15:00,36.55,36.55,36.5,36.5,70900
2011-03-22 11:30:00,36.51,36.51,36.25,36.5,98217
2011-03-22 11:45:00,36.5,36.5,36.5,36.5,100600
2011-03-22 12:00:00,36.7,36.75,36.5,36.75,104700
2011-03-22 12:15:00,36.5,36.75,36.5,36.55,115789
2011-03-22 12:30:00,36.6,36.75,36.6,36.75,117475
2011-03-22 12:45:00,36.75,37.4,36.75,37.4,129675
2011-03-22 13:00:00,37.4,37.4,37.4,37.4,130475
2011-03-22 13:15:00,37.0,37.0,37.0,37.0,140400
2011-03-22 13:30:00,37.0,37.0,37.0,37.0,155075
2011-03-22 13:45:00,37.23,37.23,37.0,37.0,169675
2011-03-22 14:00:00,37.25,37.51,37.0,37.25,206325
2011-03-22 14:15:00,37.25,37.6,37.25,37.5,236825
2011-03-22 14:30:00,37.5,37.5,37.2,37.2,241825
2011-03-22 14:45:00,37.5,37.5,37.25,37.25,264825
2011-03-22 15:00:00,37.25,37.3,37.25,37.3,270825
2011-03-22 15:30:00,37.3,37.3,37.0,37.0,293125
2011-03-22 15:45:00,37.0,37.0,37.0,37.0,472889
2011-03-22 16:00:00,37.15,37.49,37.15,37.49,490289
2011-03-23 10:00:00,37.07,37.41,37.0,37.41,17266
2011-03-23 10:15:00,37.8,37.8,37.0,37.0,31674
2011-03-23 10:30:00,37.0,37.0,37.0,37.0,32174
2011-03-23 10:45:00,37.05,37.39,37.0,37.05,36374
2011-03-23 11:00:00,37.05,37.05,37.0,37.0,121874
2011-03-23 11:15:00,37.25,37.25,37.25,37.25,129374
2011-03-23 11:30:00,37.25,37.25,37.0,37.15,204344
2011-03-23 11:45:00,37.15,37.25,37.15,37.25,215344
2011-03-23 12:00:00,37.25,37.25,37.15,37.15,222944
2011-03-23 12:15:00,37.25,37.25,37.25,37.25,223144
2011-03-23 12:30:00,37.25,37.25,37.25,37.25,224644
2011-03-23 12:45:00,37.25,37.25,37.15,37.25,230544
2011-03-23 13:00:00,37.25,37.25,37.25,37.25,245544
2011-03-23 13:15:00,37.49,37.49,37.15,37.15,267451
