dt,open,high,low,close,volume
2010-01-04 09:45:00,25.69,25.77,25.28,25.48,247321
2010-01-04 10:00:00,25.5,25.57,25.5,25.54,422869
2010-01-04 10:15:00,25.55,25.62,25.34,25.35,569634
2010-01-04 10:30:00,25.35,25.41,25.29,25.36,707439
2010-01-04 10:45:00,25.355,25.52,25.355,25.52,781396
2010-01-04 11:00:00,25.52,25.65,25.5001,25.58,899342
2010-01-04 11:15:00,25.58,25.59,25.54,25.54,970283
2010-01-04 11:30:00,25.55,25.6,25.52,25.6,1073057
2010-01-04 11:45:00,25.61,25.7,25.59,25.69,1158927
2010-01-04 12:00:00,25.69,25.7,25.58,25.58,1246096
2010-01-04 12:15:00,25.588,25.6,25.53,25.59,1333199
2010-01-04 12:30:00,25.59,25.66,25.58,25.66,1419898
2010-01-04 12:45:00,25.65,25.67,25.6,25.62,1501017
2010-01-04 13:00:00,25.615,25.67,25.605,25.67,1591282
2010-01-04 13:15:00,25.67,25.68,25.66,25.67,1655679
2010-01-04 13:30:00,25.66,25.7,25.65,25.66,1711592
2010-01-04 13:45:00,25.6502,25.67,25.55,25.55,1754497
2010-01-04 14:00:00,25.55,25.56,25.47,25.48,1797611
2010-01-04 14:15:00,25.4701,25.48,25.38,25.3899,1854697
2010-01-04 14:30:00,25.38,25.45,25.35,25.42,1956834
2010-01-04 14:45:00,25.4175,25.47,25.4,25.405,2036923
2010-01-04 15:00:00,25.41,25.42,25.39,25.4,2121602
2010-01-04 15:15:00,25.4,25.42,25.36,25.39,2253755
2010-01-04 15:30:00,25.39,25.41,25.35,25.36,2324730
2010-01-04 15:45:00,25.35,25.44,25.35,25.44,2478682
2010-01-04 16:00:00,25.44,25.49,25.43,25.45,2826199
2010-01-05 09:45:00,25.37,25.53,25.24,25.38,98714
2010-01-05 10:00:00,25.38,25.5,25.35,25.35,227498
2010-01-05 10:15:00,25.35,25.55,25.33,25.55,362991
2010-01-05 10:30:00,25.55,25.68,25.55,25.6699,418195
2010-01-05 10:45:00,25.66,25.7,25.59,25.7,521095
2010-01-05 11:00:00,25.7,25.8,25.7,25.78,637669
2010-01-05 11:15:00,25.78,25.91,25.75,25.755,732201
2010-01-05 11:30:00,25.75,25.8,25.72,25.73,810926
2010-01-05 11:45:00,25.72,25.72,25.61,25.67,881546
2010-01-05 12:00:00,25.67,25.68,25.61,25.64,959361
2010-01-05 12:15:00,25.649,25.73,25.63,25.6901,1023298
2010-01-05 12:30:00,25.7,25.87,25.7,25.85,1111776
2010-01-05 12:45:00,25.845,25.87,25.83,25.84,1200434
