dt,open,high,low,close,volume
2010-01-04 09:45:00,36.99,37.16,36.65,37.06,215114
2010-01-04 10:00:00,37.08,37.16,36.66,36.75,297521
2010-01-04 10:15:00,36.76,36.82,36.45,36.54,380948
2010-01-04 10:30:00,36.55,36.66,36.44,36.65,452297
2010-01-04 10:45:00,36.65,36.84,36.645,36.84,539086
2010-01-04 11:00:00,36.85,36.92,36.77,36.77,598736
2010-01-04 11:15:00,36.76,36.8,36.65,36.65,657764
2010-01-04 11:30:00,36.66,36.726,36.65,36.71,714211
2010-01-04 11:45:00,36.71,36.75,36.66,36.7,792883
2010-01-04 12:00:00,36.7,36.78,36.665,36.7,842026
2010-01-04 12:15:00,36.71,36.73,36.65,36.65,881034
2010-01-04 12:30:00,36.65,36.73,36.65,36.7,917168
2010-01-04 12:45:00,36.7,36.7,36.63,36.64,978789
2010-01-04 13:00:00,36.64,36.65,36.53,36.55,1050856
2010-01-04 13:15:00,36.55,36.57,36.5,36.55,1150164
2010-01-04 13:30:00,36.55,36.61,36.52,36.57,1200912
2010-01-04 13:45:00,36.57,36.57,36.5,36.54,1261499
2010-01-04 14:00:00,36.54,36.6,36.53,36.59,1304035
2010-01-04 14:15:00,36.59,36.63,36.54,36.54,1571186
2010-01-04 14:30:00,36.54,36.58,36.51,36.54,1628045
2010-01-04 14:45:00,36.55,36.61,36.52,36.55,1757282
2010-01-04 15:00:00,36.55,36.58,36.44,36.45,1832987
2010-01-04 15:15:00,36.44,36.53,36.44,36.47,1950867
2010-01-04 15:30:00,36.47,36.53,36.43,36.52,2048216
2010-01-04 15:45:00,36.52,36.65,36.515,36.61,2217193
2010-01-04 16:00:00,36.6,36.68,36.56,36.64,2472115
2010-01-05 09:45:00,36.53,36.68,36.44,36.575,70482
2010-01-05 10:00:00,36.56,36.79,36.5,36.51,279008
2010-01-05 10:15:00,36.51,36.6199,36.45,36.53,339597
2010-01-05 10:30:00,36.545,36.75,36.49,36.68,445954
2010-01-05 10:45:00,36.69,36.74,36.57,36.71,557349
2010-01-05 11:00:00,36.74,36.74,36.49,36.54,685671
2010-01-05 11:15:00,36.535,36.59,36.28,36.28,829990
2010-01-05 11:30:00,36.28,36.3,36.04,36.05,996758
2010-01-05 11:45:00,36.05,36.05,35.66,35.66,1249478
2010-01-05 12:00:00,35.67,35.73,35.56,35.6,1609555
2010-01-05 12:15:00,35.59,35.76,35.59,35.655,1895993
2010-01-05 12:30:00,35.6575,35.68,35.56,35.575,2544116
2010-01-05 12:45:00,35.58,35.58,35.34,35.44,3084098
2010-01-05 13:00:00,35.45,35.55,35.28,35.32,3200577
2010-01-05 13:15:00,35.32,35.34,35.15,35.18,3494648
2010-01-05 13:30:00,35.2,35.269,35.17,35.225,3666996
2010-01-05 13:45:00,35.22,35.43,35.21,35.4,4095967
2010-01-05 14:00:00,35.4,35.48,35.34,35.43,4258629
2010-01-05 14:15:00,35.44,35.66,35.43,35.61,4477825
2010-01-05 14:30:00,35.61,35.77,35.5875,35.77,4646818
2010-01-05 14:45:00,35.76,35.84,35.75,35.79,4732448
2010-01-05 15:00:00,35.7901,36.01,35.7901,35.96,4895217
2010-01-05 15:15:00,35.97,35.97,35.79,35.8,5002930
2010-01-05 15:30:00,35.8,35.8,35.6925,35.73,5120238
2010-01-05 15:45:00,35.73,35.75,35.68,35.72,5312865
2010-01-05 16:00:00,35.72,35.82,35.71,35.82,5606357
2010-01-06 09:45:00,35.77,35.89,35.541,35.555,61958
2010-01-06 10:00:00,35.56,35.89,35.53,35.82,105709
2010-01-06 10:15:00,35.82,35.9799,35.8,35.96,165266
