dt,open,high,low,close,volume
2012-06-12 10:00:00,31.0,31.0,30.4,30.4,300
2012-06-12 10:15:00,30.03,30.03,30.03,30.03,400
2012-06-12 10:30:00,30.52,30.52,30.52,30.52,500
2012-06-12 11:30:00,30.5,30.5,30.5,30.5,2000
2012-06-12 14:30:00,29.9,29.9,29.9,29.9,3000
2012-06-12 15:00:00,29.77,29.98,28.95,28.95,3900
2012-06-12 15:15:00,29.44,29.44,28.87,28.9,4300
2012-06-12 15:30:00,29.0,29.0,29.0,29.0,5600
2012-06-13 09:45:00,28.02,28.02,27.03,27.05,15960
2012-06-13 10:00:00,27.05,27.05,26.75,26.75,23860
2012-06-13 10:15:00,26.4,26.49,26.0,26.1,31860
2012-06-13 10:30:00,26.1,26.11,25.66,25.98,51980
2012-06-13 10:45:00,26.0,26.83,26.0,26.55,70340
2012-06-13 11:00:00,26.56,26.57,26.26,26.52,79580
2012-06-13 11:15:00,26.76,27.15,26.56,27.15,84580
2012-06-13 11:30:00,27.2,27.2,27.0,27.01,125420
2012-06-13 11:45:00,27.09,27.1,27.09,27.1,126280
2012-06-13 12:00:00,27.59,29.8,27.59,27.92,126680
2012-06-13 13:45:00,27.75,27.75,27.75,27.75,127780
2012-06-13 14:45:00,27.25,27.25,27.0,27.0,139030
2012-06-13 15:00:00,26.85,26.99,26.85,26.99,154530
2012-06-13 15:15:00,26.99,26.99,26.98,26.98,160630
2012-06-13 15:30:00,26.96,26.96,26.96,26.96,160830
2012-06-13 15:45:00,26.9,27.05,26.9,26.95,164130
2012-06-13 16:00:00,26.81,26.81,26.76,26.76,171530
2012-06-14 09:45:00,26.0,26.0,26.0,26.0,3200
2012-06-14 10:00:00,26.3,26.52,26.04,26.52,10600
2012-06-14 10:15:00,26.9,27.11,26.85,26.85,13200
2012-06-14 10:45:00,26.51,26.52,26.51,26.51,14700
2012-06-14 11:00:00,26.5,26.5,26.5,26.5,15700
2012-06-14 11:15:00,26.7,26.75,26.7,26.75,16800
2012-06-14 11:45:00,26.76,26.76,26.76,26.76,17200
2012-06-14 14:15:00,27.0,27.0,27.0,27.0,18000
2012-06-14 14:30:00,27.0,27.0,27.0,27.0,22120
2012-06-14 15:00:00,27.01,27.01,27.01,27.01,22220
2012-06-14 15:15:00,27.01,27.02,27.0,27.0,32420
2012-06-14 15:30:00,27.01,27.01,27.01,27.01,32720
2012-06-15 09:45:00,26.51,26.51,26.5,26.5,8700
2012-06-15 10:00:00,26.5,26.5,26.5,26.5,15900
2012-06-15 10:15:00,26.5,26.5,26.5,26.5,18900
2012-06-15 10:30:00,26.5,26.5,26.5,26.5,30900
2012-06-15 10:45:00,26.5,26.5,26.5,26.5,55900
2012-06-15 11:15:00,26.2,26.2,26.2,26.2,57700
2012-06-15 11:30:00,26.2,26.2,26.07,26.09,101303
2012-06-15 11:45:00,26.09,26.09,25.91,25.91,143502
2012-06-15 12:00:00,25.91,25.95,25.91,25.95,146002
2012-06-15 12:15:00,25.87,25.88,25.75,25.88,149802
2012-06-15 12:30:00,25.8,25.8,25.75,25.75,155602
2012-06-15 12:45:00,25.73,25.75,25.66,25.66,168102
2012-06-15 13:00:00,25.65,25.65,25.65,25.65,168302
2012-06-15 13:15:00,25.7,26.14,25.7,26.14,169602
2012-06-15 13:30:00,26.07,26.07,26.0,26.0,169802
2012-06-15 14:00:00,25.75,25.84,25.75,25.75,172332
2012-06-15 14:30:00,26.0,26.0,25.99,25.99,173332
2012-06-15 14:45:00,26.0,26.0,25.99,26.0,175332
2012-06-15 15:45:00,25.95,25.95,25.95,25.95,202032
2012-06-15 16:00:00,25.95,25.95,25.95,25.95,202232
2012-06-18 10:00:00,25.56,25.56,25.5,25.56,2100
2012-06-18 10:15:00,25.57,25.57,25.5,25.5,31700
2012-06-18 10:30:00,25.43,25.43,25.35,25.35,43100
2012-06-18 11:00:00,25.5,25.5,25.5,25.5,55200
2012-06-18 11:15:00,25.5,25.69,25.5,25.69,56300
2012-06-18 11:30:00,25.6,25.6,25.59,25.6,66480
2012-06-18 12:15:00,25.6,25.6,25.6,25.6,67880
2012-06-18 12:30:00,25.45,25.45,25.44,25.44,68480
2012-06-18 12:45:00,25.25,25.25,25.25,25.25,68580
2012-06-18 15:00:00,25.36,25.36,25.36,25.36,68680
2012-06-18 15:15:00,25.36,25.36,25.35,25.35,77380
2012-06-18 15:30:00,25.35,25.35,25.35,25.35,82480
2012-06-18 15:45:00,25.3,25.3,25.2,25.3,114580
2012-06-18 16:00:00,25.15,25.25,25.15,25.25,126480
2012-06-19 09:45:00,25.05,25.15,24.55,24.75,88400
2012-06-19 10:00:00,24.84,25.0,24.75,24.84,164680
2012-06-19 10:15:00,24.83,25.0,24.8,25.0,294638
2012-06-19 10:30:00,24.95,24.95,24.8,24.9,301758
2012-06-19 10:45:00,24.98,25.01,24.91,25.0,305098
2012-06-19 11:00:00,25.01,25.02,25.0,25.01,307758
2012-06-19 11:15:00,25.0,25.2,25.0,25.0,359979
2012-06-19 11:30:00,25.02,25.2,25.0,25.0,366599
2012-06-19 11:45:00,25.02,25.02,25.0,25.0,367599
2012-06-19 12:00:00,25.1,25.15,25.09,25.15,371639
2012-06-19 12:15:00,25.2,25.25,25.2,25.25,422839
2012-06-19 12:30:00,25.29,25.5,25.2,25.5,491639
2012-06-19 12:45:00,25.49,25.5,25.2,25.25,502639
2012-06-19 13:00:00,25.25,25.3,25.25,25.3,507339
2012-06-19 13:15:00,25.25,25.3,25.25,25.25,520639
2012-06-19 13:30:00,25.25,25.35,25.25,25.275,542999
2012-06-19 14:00:00,25.27,25.35,25.25,25.33,548399
2012-06-19 14:15:00,25.33,25.33,25.33,25.33,549999
2012-06-19 14:30:00,25.33,25.4,25.25,25.25,591070
2012-06-19 14:45:00,25.25,25.26,25.25,25.25,626570
2012-06-19 15:00:00,25.25,25.25,25.25,25.25,628270
2012-06-19 15:15:00,25.25,25.25,25.25,25.25,630270
2012-06-19 15:30:00,25.25,25.3,25.25,25.3,632570
2012-06-19 15:45:00,25.31,25.81,25.31,25.6,671670
2012-06-19 16:00:00,25.61,25.7,25.4,25.47,695970
2012-06-20 09:45:00,26.0,26.29,26.0,26.29,26640
2012-06-20 10:00:00,26.2,27.01,26.2,27.01,58680
2012-06-20 10:15:00,26.75,26.94,26.5,26.7,84580
2012-06-20 10:30:00,26.92,27.75,26.92,27.43,114900
2012-06-20 10:45:00,27.26,27.38,27.08,27.09,116620
2012-06-20 11:00:00,27.27,27.5,27.27,27.5,118460
2012-06-20 11:15:00,27.49,27.7,27.49,27.54,120360
2012-06-20 11:30:00,27.5,27.78,27.35,27.35,148140
2012-06-20 11:45:00,27.49,27.49,27.35,27.36,148640
2012-06-20 12:00:00,27.72,27.72,27.7,27.71,148940
2012-06-20 12:15:00,27.65,27.74,27.5,27.5,150140
2012-06-20 12:30:00,27.73,27.73,27.73,27.73,150240
2012-06-20 12:45:00,27.67,27.67,27.545,27.545,150440
2012-06-20 14:15:00,27.595,27.595,27.5,27.5,150940
2012-06-20 14:30:00,27.65,27.65,27.35,27.35,152340
2012-06-20 14:45:00,27.1,27.45,27.1,27.45,153040
2012-06-20 15:00:00,27.45,27.45,27.25,27.25,153640
2012-06-20 15:15:00,27.4,27.4,27.35,27.35,154140
2012-06-20 15:30:00,27.35,27.4,27.35,27.4,157240
2012-06-20 15:45:00,27.4,27.45,27.2,27.45,182240
2012-06-20 16:00:00,27.42,27.45,27.19,27.19,186640
2012-06-21 09:45:00,27.5,27.75,27.5,27.62,1060
2012-06-21 10:00:00,27.71,27.9,27.69,27.69,26642
2012-06-21 10:15:00,27.69,27.7,27.69,27.7,27642
2012-06-21 10:30:00,27.7,27.7,27.7,27.7,132642
2012-06-21 10:45:00,27.6,27.6,27.6,27.6,132842
2012-06-21 11:00:00,27.77,27.95,27.73,27.78,134282
2012-06-21 11:15:00,27.77,28.0,27.61,27.61,139062
2012-06-21 11:30:00,27.76,28.0,27.65,27.71,143822
2012-06-21 11:45:00,27.67,27.73,27.67,27.73,144122
2012-06-21 12:00:00,27.98,28.0,27.98,28.0,144422
2012-06-21 12:15:00,27.97,28.28,27.97,28.22,147582
2012-06-21 12:30:00,28.05,28.36,28.05,28.36,151082
2012-06-21 12:45:00,28.4,28.51,28.03,28.11,157662
2012-06-21 13:00:00,28.11,28.2,28.05,28.2,158864
2012-06-21 13:15:00,28.5,28.51,28.48,28.51,159364
2012-06-21 13:30:00,28.28,28.53,28.25,28.25,166544
2012-06-21 13:45:00,28.25,28.5,28.25,28.45,169644
2012-06-21 14:00:00,28.44,28.45,28.25,28.25,174144
2012-06-21 14:15:00,28.38,28.38,28.27,28.37,177344
2012-06-21 14:30:00,28.38,28.38,28.38,28.38,178744
2012-06-21 14:45:00,28.37,28.38,28.37,28.38,181844
2012-06-21 15:00:00,28.37,28.4,28.37,28.39,184044
2012-06-21 15:15:00,28.39,28.4,28.25,28.27,191844
2012-06-21 15:30:00,28.35,28.35,28.35,28.35,192444
2012-06-21 15:45:00,28.5,28.5,28.27,28.29,196044
2012-06-21 16:00:00,28.375,28.5,28.25,28.25,412844
2012-06-22 09:45:00,28.0,28.25,28.0,28.25,6100
2012-06-22 10:00:00,28.5,28.67,28.25,28.65,18700
2012-06-22 10:15:00,28.5,28.6,28.4,28.6,229400
2012-06-22 10:30:00,28.6,28.7,28.6,28.7,235580
2012-06-22 10:45:00,28.7,28.7,28.58,28.58,241380
2012-06-22 11:00:00,28.55,28.65,28.55,28.65,245380
2012-06-22 11:15:00,28.62,28.75,28.6,28.75,248700
2012-06-22 11:30:00,28.68,28.75,28.6,28.62,254300
2012-06-22 11:45:00,28.75,28.75,28.75,28.75,258300
2012-06-22 12:00:00,28.75,28.75,28.75,28.75,261600
2012-06-22 12:15:00,28.75,28.75,28.75,28.75,265000
2012-06-22 12:30:00,28.75,28.75,28.58,28.75,269600
2012-06-22 12:45:00,28.75,28.75,28.65,28.7,274500
2012-06-22 13:00:00,28.64,28.7,28.6,28.7,279350
2012-06-22 13:15:00,28.7,28.7,28.69,28.7,284300
2012-06-22 13:30:00,28.7,28.73,28.69,28.73,289750
2012-06-22 13:45:00,28.75,29.0,28.75,28.84,300680
2012-06-22 14:00:00,28.84,28.9,28.75,28.88,304480
2012-06-22 14:15:00,28.75,28.88,28.75,28.8,310380
2012-06-22 14:30:00,28.84,28.99,28.82,28.98,315380
2012-06-22 14:45:00,28.99,29.0,28.87,28.95,322030
2012-06-22 15:00:00,28.95,28.95,28.75,28.75,329530
2012-06-22 15:15:00,28.75,28.93,28.74,28.9,336510
2012-06-22 15:30:00,28.85,28.85,28.77,28.85,348030
2012-06-22 15:45:00,28.81,28.85,28.81,28.81,359130
2012-06-22 16:00:00,28.84,28.99,28.7,28.99,384860
2012-06-25 09:45:00,28.63,28.63,28.55,28.62,2700
2012-06-25 10:00:00,28.63,28.79,28.55,28.75,9780
2012-06-25 10:15:00,28.75,28.75,28.58,28.65,28640
2012-06-25 10:30:00,28.67,28.75,28.52,28.52,91560
2012-06-25 10:45:00,28.52,28.65,28.38,28.5,193160
2012-06-25 11:00:00,28.49,28.5,28.04,28.43,253140
2012-06-25 11:15:00,28.42,28.49,28.25,28.35,259420
2012-06-25 11:30:00,28.45,28.48,28.3,28.3,266500
2012-06-25 11:45:00,28.4,28.64,28.32,28.64,552500
2012-06-25 12:00:00,28.6,28.6,28.5,28.5,559700
2012-06-25 12:15:00,28.51,28.6,28.5,28.55,566550
2012-06-25 12:30:00,28.54,28.6,28.5,28.53,572350
2012-06-25 12:45:00,28.53,28.6,28.53,28.56,580350
2012-06-25 13:00:00,28.58,28.58,28.55,28.55,587650
2012-06-25 13:15:00,28.57,28.57,28.52,28.52,593350
2012-06-25 13:30:00,28.55,28.63,28.51,28.63,601550
2012-06-25 13:45:00,28.65,28.74,28.62,28.62,612550
2012-06-25 14:00:00,28.61,28.63,28.61,28.63,617150
2012-06-25 14:15:00,28.63,28.65,28.62,28.63,624650
2012-06-25 14:30:00,28.63,28.65,28.6,28.6,639190
2012-06-25 14:45:00,28.6,28.6,28.59,28.59,644190
2012-06-25 15:00:00,28.59,28.6,28.5,28.5,656090
2012-06-25 15:15:00,28.5,28.6,28.45,28.6,675879
2012-06-25 15:30:00,28.6,28.6,28.38,28.38,711479
2012-06-25 15:45:00,28.3505,28.4,28.31,28.4,760929
2012-06-25 16:00:00,28.4,28.4,28.3,28.3,1137719
2012-06-26 09:45:00,27.95,28.21,27.95,28.04,8496
2012-06-26 10:00:00,28.03,28.1,27.91,27.92,49716
2012-06-26 10:15:00,27.91,27.91,27.63,27.63,128292
2012-06-26 10:30:00,27.75,27.99,27.67,27.88,426161
2012-06-26 10:45:00,27.865,27.9,27.85,27.9,693421
2012-06-26 11:00:00,27.9,28.0,27.89,27.95,709601
2012-06-26 11:15:00,27.95,28.0,27.95,27.97,729642
2012-06-26 11:30:00,27.95,27.97,27.82,27.82,745042
2012-06-26 11:45:00,27.94,28.0,27.93,27.98,1011042
2012-06-26 12:00:00,28.0,28.0,27.875,27.875,1054300
2012-06-26 12:15:00,27.95,28.0,27.95,28.0,1066790
2012-06-26 12:30:00,28.0,28.0,27.875,27.99,1094790
2012-06-26 12:45:00,27.99,28.1,27.99,28.09,1102190
2012-06-26 13:00:00,28.1,28.1,28.0,28.0,1116990
2012-06-26 13:15:00,28.0,28.07,27.99,28.0,1148590
2012-06-26 13:30:00,28.03,28.05,27.99,28.0,1159736
2012-06-26 13:45:00,28.0,28.0,27.99,28.0,1165802
2012-06-26 14:00:00,28.0,28.04,27.88,28.04,1187803
2012-06-26 14:15:00,28.04,28.14,27.95,28.03,1202985
2012-06-26 14:30:00,28.03,28.1,27.99,28.1,1213085
2012-06-26 14:45:00,28.1,28.15,28.0625,28.1,1476285
2012-06-26 15:00:00,28.1,28.15,28.07,28.07,1488079
2012-06-26 15:15:00,28.07,28.07,27.99,28.0,1517651
2012-06-26 15:30:00,28.0,28.0,27.95,27.98,1529423
2012-06-26 15:45:00,27.98,28.0,27.95,28.0,1553157
2012-06-26 16:00:00,28.0,28.0,27.89,27.9,1658609
2012-06-27 09:45:00,28.0,28.0,27.6,27.89,26612
2012-06-27 10:00:00,27.82,27.85,27.65,27.68,92440
2012-06-27 10:15:00,27.68,27.7,27.65,27.7,128460
2012-06-27 10:30:00,27.69,27.74,27.26,27.4,193483
2012-06-27 10:45:00,27.4,27.45,27.1,27.2,325375
2012-06-27 11:00:00,27.2,27.46,27.15,27.4,377316
2012-06-27 11:15:00,27.4,27.5,27.29,27.37,419916
2012-06-27 11:30:00,27.45,27.45,27.22,27.3,476936
2012-06-27 11:45:00,27.35,27.45,27.35,27.39,501836
2012-06-27 12:00:00,27.38,27.47,27.37,27.47,523607
2012-06-27 12:15:00,27.39,27.4,27.37,27.37,553907
2012-06-27 12:30:00,27.38,27.48,27.38,27.4,576350
2012-06-27 12:45:00,27.4,27.43,27.39,27.41,603448
2012-06-27 13:00:00,27.41,27.45,27.4,27.43,681141
2012-06-27 13:15:00,27.43,27.44,27.37,27.4,718844
2012-06-27 13:30:00,27.4,27.45,27.34,27.37,784669
2012-06-27 13:45:00,27.36,27.4,27.24,27.35,844968
2012-06-27 14:00:00,27.35,27.445,27.35,27.42,885668
2012-06-27 14:15:00,27.42,27.42,27.22,27.25,942800
2012-06-27 14:30:00,27.24,27.34,27.24,27.29,1130302
2012-06-27 14:45:00,27.29,27.4,27.29,27.4,1273812
2012-06-27 15:00:00,27.39,27.4,27.39,27.39,1299976
2012-06-27 15:15:00,27.39,27.4,27.39,27.4,1340450
2012-06-27 15:30:00,27.39,27.8,27.39,27.45,1445508
2012-06-27 15:45:00,27.44,27.66,27.23,27.4,1741094
2012-06-27 16:00:00,27.4,27.4,27.39,27.395,2352579
2012-06-28 09:45:00,27.15,27.325,26.8,27.3,91400
2012-06-28 10:00:00,27.21,27.3,27.0,27.16,223370
2012-06-28 10:15:00,27.08,27.14,26.82,26.88,323650
2012-06-28 10:30:00,26.9,27.18,26.9,27.13,522330
2012-06-28 10:45:00,27.13,27.25,27.05,27.1,552510
2012-06-28 11:00:00,27.12,27.15,27.01,27.07,564690
2012-06-28 11:15:00,27.07,27.2,26.87,27.09,618680
2012-06-28 11:30:00,27.06,27.15,26.95,27.05,971894
2012-06-28 11:45:00,27.08,27.19,26.91,26.94,1399854
2012-06-28 12:00:00,26.95,27.07,26.94,27.0,1568012
2012-06-28 12:15:00,27.0,27.04,26.93,26.94,1684712
2012-06-28 12:30:00,26.92,27.0,26.8,26.8,1899832
2012-06-28 12:45:00,26.81,26.83,26.78,26.8,2107332
2012-06-28 13:00:00,26.8,26.8,26.75,26.765,2238532
2012-06-28 13:15:00,26.75,26.7503,26.73,26.75,2379062
2012-06-28 13:30:00,26.75,26.75,26.58,26.6,2523962
2012-06-28 13:45:00,26.6,26.61,26.35,26.525,2607035
2012-06-28 14:00:00,26.53,26.75,26.51,26.65,2690443
2012-06-28 14:15:00,26.67,26.75,26.65,26.69,2999048
2012-06-28 14:30:00,26.69,26.72,26.58,26.6,3314317
2012-06-28 14:45:00,26.6,26.72,26.6,26.65,3598879
2012-06-28 15:00:00,26.645,26.71,26.55,26.695,3796630
2012-06-28 15:15:00,26.7,26.92,26.62,26.92,4304544
2012-06-28 15:30:00,26.92,27.46,26.9,27.46,5151127
2012-06-28 15:45:00,27.42,27.63,27.0,27.5975,5870556
2012-06-28 16:00:00,27.6,27.9,27.28,27.64,7494598
2012-06-29 09:45:00,28.49,28.95,28.31,28.69,288814
2012-06-29 10:00:00,28.69,28.86,28.55,28.702,578759
2012-06-29 10:15:00,28.71,28.94,28.64,28.79,738471
2012-06-29 10:30:00,28.79,28.87,28.72,28.795,963400
2012-06-29 10:45:00,28.795,28.8,28.66,28.67,1129133
2012-06-29 11:00:00,28.66,28.67,28.41,28.48,1255560
2012-06-29 11:15:00,28.48,28.69,28.4,28.491,1544726
2012-06-29 11:30:00,28.5,28.56,28.44,28.56,2035871
