dt,open,high,low,close,volume
2010-01-04 09:45:00,44.43,44.93,44.43,44.82,155446
2010-01-04 10:00:00,44.88,44.98,44.81,44.87,223680
2010-01-04 10:15:00,44.88,44.92,44.8,44.88,265315
2010-01-04 10:30:00,44.88,44.999,44.85,44.999,320778
2010-01-04 10:45:00,44.99,45.16,44.99,45.16,389804
2010-01-04 11:00:00,45.16,45.17,45.06,45.08,507330
2010-01-04 11:15:00,45.08,45.17,45.02,45.14,626476
2010-01-04 11:30:00,45.14,45.15,45.09,45.1,682683
2010-01-04 11:45:00,45.08,45.15,45.03,45.12,748436
2010-01-04 12:00:00,45.11,45.14,45.03,45.04,816912
2010-01-04 12:15:00,45.04,45.14,45.03,45.12,842603
2010-01-04 12:30:00,45.13,45.15,45.1,45.13,882326
2010-01-04 12:45:00,45.13,45.25,45.12,45.25,907710
2010-01-04 13:00:00,45.245,45.315,45.2,45.27,956183
2010-01-04 13:15:00,45.29,45.34,45.28,45.32,1004022
2010-01-04 13:30:00,45.33,45.34,45.32,45.33,1039556
2010-01-04 13:45:00,45.34,45.34,45.3,45.34,1082370
2010-01-04 14:00:00,45.34,45.4,45.31,45.395,1129198
2010-01-04 14:15:00,45.4,45.47,45.38,45.46,1175752
2010-01-04 14:30:00,45.47,45.56,45.46,45.55,1228142
2010-01-04 14:45:00,45.55,45.59,45.51,45.54,1361450
2010-01-04 15:00:00,45.54,45.58,45.495,45.58,1415540
2010-01-04 15:15:00,45.58,45.64,45.51,45.57,1481689
2010-01-04 15:30:00,45.57,45.69,45.51,45.68,1578832
2010-01-04 15:45:00,45.68,45.75,45.67,45.7,1695476
2010-01-04 16:00:00,45.7,45.77,45.61,45.68,1933514
2010-01-05 09:45:00,45.79,46.14,45.59,45.75,94377
2010-01-05 10:00:00,45.73,45.85,45.48,45.48,140515
2010-01-05 10:15:00,45.45,45.64,45.45,45.63,182460
2010-01-05 10:30:00,45.62,45.83,45.62,45.82,236662
2010-01-05 10:45:00,45.83,46.01,45.82,45.98,318677
2010-01-05 11:00:00,45.97,45.99,45.83,45.89,376121
2010-01-05 11:15:00,45.88,46.16,45.81,45.92,471252
2010-01-05 11:30:00,45.94,46.065,45.85,46.03,515646
2010-01-05 11:45:00,46.03,46.03,45.75,45.8599,544999
2010-01-05 12:00:00,45.845,45.88,45.76,45.77,595938
2010-01-05 12:15:00,45.77,45.85,45.76,45.78,631965
2010-01-05 12:30:00,45.78,45.83,45.76,45.77,680384
2010-01-05 12:45:00,45.77,45.82,45.75,45.75,728178
2010-01-05 13:00:00,45.76,45.82,45.71,45.79,758731
2010-01-05 13:15:00,45.78,45.8,45.63,45.63,784754
2010-01-05 13:30:00,45.63,45.63,45.52,45.54,818156
2010-01-05 13:45:00,45.54,45.54,45.42,45.43,850901
2010-01-05 14:00:00,45.43,45.435,45.27,45.39,902769
2010-01-05 14:15:00,45.39,45.53,45.39,45.43,980199
2010-01-05 14:30:00,45.425,45.54,45.42,45.54,1040178
2010-01-05 14:45:00,45.54,45.61,45.54,45.59,1108935
2010-01-05 15:00:00,45.59,45.68,45.5519,45.66,1169451
2010-01-05 15:15:00,45.66,45.89,45.63,45.88,1273293
2010-01-05 15:30:00,45.88,45.91,45.65,45.65,1393200
2010-01-05 15:45:00,45.66,45.67,45.57,45.59,1535357
2010-01-05 16:00:00,45.59,45.67,45.53,45.67,1744812
2010-01-06 09:45:00,45.66,45.77,45.35,45.52,88564
2010-01-06 10:00:00,45.56,45.62,45.41,45.6,139165
2010-01-06 10:15:00,45.61,45.77,45.54,45.67,204353
2010-01-06 10:30:00,45.68,45.85,45.68,45.78,273683
2010-01-06 10:45:00,45.77,45.86,45.69,45.73,329361
2010-01-06 11:00:00,45.73,45.79,45.71,45.79,369241
2010-01-06 11:15:00,45.79,45.85,45.75,45.785,428017
2010-01-06 11:30:00,45.78,46.0,45.775,46.0,472459
2010-01-06 11:45:00,46.01,46.28,45.99,46.27,549386
2010-01-06 12:00:00,46.27,46.34,46.2,46.2,649811
2010-01-06 12:15:00,46.21,46.21,45.87,45.87,693404
2010-01-06 12:30:00,45.87,45.94,45.77,45.77,727656
2010-01-06 12:45:00,45.76,46.065,45.76,46.02,785223
2010-01-06 13:00:00,46.02,46.02,45.94,45.98,812271
2010-01-06 13:15:00,45.98,46.01,45.85,45.85,842457
2010-01-06 13:30:00,45.85,45.94,45.85,45.92,862378
2010-01-06 13:45:00,45.92,45.99,45.89,45.9,903091
2010-01-06 14:00:00,45.9,45.92,45.81,45.86,949712
2010-01-06 14:15:00,45.88,45.98,45.88,45.94,996761
2010-01-06 14:30:00,45.94,46.01,45.915,45.99,1045593
2010-01-06 14:45:00,45.99,46.02,45.95,45.99,1105743
2010-01-06 15:00:00,46.0,46.1,46.0,46.08,1138251
2010-01-06 15:15:00,46.08,46.13,45.98,46.12,1205982
2010-01-06 15:30:00,46.12,46.125,46.03,46.03,1298199
2010-01-06 15:45:00,46.03,46.03,45.9,45.93,1459042
2010-01-06 16:00:00,45.93,46.03,45.9,45.99,1598195
2010-01-07 09:45:00,46.36,47.11,46.25,46.99,205955
2010-01-07 10:00:00,46.99,47.23,46.87,46.96,421752
2010-01-07 10:15:00,46.95,47.13,46.79,47.08,531652
2010-01-07 10:30:00,47.08,47.22,46.88,47.11,693180
2010-01-07 10:45:00,47.13,47.465,47.1,47.46,848651
2010-01-07 11:00:00,47.46,47.88,47.46,47.61,1036149
2010-01-07 11:15:00,47.63,47.74,47.6,47.69,1130449
2010-01-07 11:30:00,47.685,47.81,47.55,47.63,1227896
2010-01-07 11:45:00,47.63,47.64,47.44,47.59,1358907
2010-01-07 12:00:00,47.59,47.75,47.59,47.7,1438788
2010-01-07 12:15:00,47.7,47.8,47.7,47.79,1539000
2010-01-07 12:30:00,47.7875,48.01,47.76,47.97,1671547
2010-01-07 12:45:00,47.98,48.12,47.96,48.1001,1824195
2010-01-07 13:00:00,48.105,48.3,48.1,48.18,1925206
2010-01-07 13:15:00,48.2,48.42,48.18,48.34,2037286
2010-01-07 13:30:00,48.345,48.69,48.34,48.51,2260163
2010-01-07 13:45:00,48.496,48.65,48.45,48.475,2484407
2010-01-07 14:00:00,48.46,48.62,48.46,48.58,2589315
2010-01-07 14:15:00,48.58,48.585,48.32,48.33,2786958
2010-01-07 14:30:00,48.34,48.36,48.19,48.26,2896514
2010-01-07 14:45:00,48.26,48.29,48.23,48.26,2983401
2010-01-07 15:00:00,48.255,48.38,48.23,48.38,3044662
2010-01-07 15:15:00,48.38,48.38,48.19,48.2,3147957
2010-01-07 15:30:00,48.2,48.31,48.14,48.15,3283135
2010-01-07 15:45:00,48.15,48.19,48.11,48.12,3410667
2010-01-07 16:00:00,48.13,48.15,47.99,48.08,3673279
2010-01-08 09:45:00,47.81,47.97,47.48,47.92,202901
2010-01-08 10:00:00,47.925,48.02,47.79,47.8203,414802
2010-01-08 10:15:00,47.83,47.87,47.36,47.39,541673
2010-01-08 10:30:00,47.39,47.48,47.2,47.45,699902
2010-01-08 10:45:00,47.46,47.58,47.4,47.4,782496
2010-01-08 11:00:00,47.41,47.75,47.4,47.7,881537
2010-01-08 11:15:00,47.7,47.72,47.57,47.575,940337
2010-01-08 11:30:00,47.57,47.744,47.57,47.61,1048597
2010-01-08 11:45:00,47.6,47.61,47.51,47.59,1107018
2010-01-08 12:00:00,47.59,47.62,47.56,47.58,1150489
2010-01-08 12:15:00,47.58,47.605,47.52,47.53,1226567
2010-01-08 12:30:00,47.53,47.72,47.51,47.69,1268700
2010-01-08 12:45:00,47.68,47.68,47.53,47.539,1299208
2010-01-08 13:00:00,47.535,47.59,47.5,47.53,1367812
2010-01-08 13:15:00,47.53,47.62,47.48,47.61,1424594
2010-01-08 13:30:00,47.61,47.61,47.49,47.6,1481302
2010-01-08 13:45:00,47.61,47.64,47.58,47.63,1565940
2010-01-08 14:00:00,47.62,47.63,47.53,47.53,1623098
2010-01-08 14:15:00,47.53,47.59,47.49,47.5,1676636
2010-01-08 14:30:00,47.49,47.5,47.41,47.468,1749424
2010-01-08 14:45:00,47.465,47.47,47.255,47.2625,1800667
2010-01-08 15:00:00,47.26,47.43,47.2288,47.43,1879398
2010-01-08 15:15:00,47.41,47.53,47.35,47.53,1944506
2010-01-08 15:30:00,47.53,47.57,47.41,47.57,2019991
2010-01-08 15:45:00,47.5701,47.6,47.47,47.48,2146013
2010-01-08 16:00:00,47.47,47.5,47.42,47.48,2340499
2010-01-11 09:45:00,47.48,47.729,47.23,47.3284,138882
2010-01-11 10:00:00,47.3,47.39,47.19,47.387,201073
2010-01-11 10:15:00,47.38,47.39,46.97,46.97,290791
2010-01-11 10:30:00,46.97,47.16,46.9309,47.07,397849
2010-01-11 10:45:00,47.0625,47.13,47.04,47.13,472690
2010-01-11 11:00:00,47.13,47.21,47.115,47.1565,584218
2010-01-11 11:15:00,47.16,47.16,46.93,46.94,664081
2010-01-11 11:30:00,46.94,46.98,46.81,46.82,740704
2010-01-11 11:45:00,46.84,46.95,46.84,46.88,801586
2010-01-11 12:00:00,46.88,46.91,46.84,46.84,862280
2010-01-11 12:15:00,46.85,46.96,46.845,46.95,933399
2010-01-11 12:30:00,46.9475,46.96,46.9201,46.95,993530
2010-01-11 12:45:00,46.95,46.96,46.87,46.91,1086615
2010-01-11 13:00:00,46.9,46.91,46.71,46.81,1173693
2010-01-11 13:15:00,46.81,46.88,46.78,46.82,1214423
2010-01-11 13:30:00,46.82,46.85,46.77,46.85,1268584
2010-01-11 13:45:00,46.849,47.0,46.82,46.97,1345715
2010-01-11 14:00:00,46.97,47.11,46.96,46.99,1423122
2010-01-11 14:15:00,46.99,47.13,46.9,47.13,1543028
2010-01-11 14:30:00,47.12,47.13,46.89,46.8902,1579098
2010-01-11 14:45:00,46.89,46.92,46.8,46.84,1611220
2010-01-11 15:00:00,46.84,46.88,46.78,46.78,1651257
2010-01-11 15:15:00,46.78,46.99,46.76,46.91,1716066
2010-01-11 15:30:00,46.91,47.06,46.91,46.96,1767626
2010-01-11 15:45:00,46.98,46.99,46.9,46.925,1844420
2010-01-11 16:00:00,46.93,46.97,46.83,46.94,1972530
2010-01-12 09:45:00,46.48,46.78,46.08,46.14,114958
2010-01-12 10:00:00,46.08,46.3925,46.05,46.34,191498
2010-01-12 10:15:00,46.32,46.4175,45.99,46.01,258857
2010-01-12 10:30:00,46.0,46.28,45.94,46.165,337628
2010-01-12 10:45:00,46.17,46.17,45.89,46.06,414632
2010-01-12 11:00:00,46.06,46.15,46.0,46.04,458232
2010-01-12 11:15:00,46.08,46.26,46.04,46.19,519647
2010-01-12 11:30:00,46.19,46.35,46.15,46.3,578664
2010-01-12 11:45:00,46.3054,46.3854,46.285,46.29,614869
2010-01-12 12:00:00,46.29,46.33,46.21,46.2794,658321
2010-01-12 12:15:00,46.26,46.3,46.14,46.21,713297
2010-01-12 12:30:00,46.2,46.21,45.66,45.93,969993
2010-01-12 12:45:00,45.93,46.11,45.92,46.07,1043439
2010-01-12 13:00:00,46.08,46.1,46.0,46.07,1087967
2010-01-12 13:15:00,46.07,46.29,46.07,46.21,1183166
2010-01-12 13:30:00,46.2,46.2,46.06,46.11,1251002
2010-01-12 13:45:00,46.103,46.12,45.75,45.75,1309104
2010-01-12 14:00:00,45.75,45.81,45.62,45.79,1381616
2010-01-12 14:15:00,45.8,46.16,45.78,46.13,1448287
2010-01-12 14:30:00,46.1,46.22,46.1,46.1,1509029
2010-01-12 14:45:00,46.11,46.135,45.925,45.995,1553680
2010-01-12 15:00:00,46.0,46.02,45.84,45.8701,1640333
2010-01-12 15:15:00,45.87,45.96,45.84,45.91,1727236
2010-01-12 15:30:00,45.9101,45.9101,45.8,45.85,1809725
2010-01-12 15:45:00,45.84,46.03,45.84,46.02,2046656
2010-01-12 16:00:00,46.03,46.2,46.03,46.18,2314574
2010-01-13 09:45:00,46.24,46.73,46.24,46.285,105180
2010-01-13 10:00:00,46.29,46.51,46.27,46.27,190593
2010-01-13 10:15:00,46.3,46.33,46.04,46.04,271056
2010-01-13 10:30:00,46.04,46.04,45.57,45.58,349173
2010-01-13 10:45:00,45.56,45.56,45.32,45.43,479317
2010-01-13 11:00:00,45.44,45.56,45.32,45.44,567525
2010-01-13 11:15:00,45.47,45.9,45.415,45.87,711933
2010-01-13 11:30:00,45.88,46.24,45.88,46.17,843511
2010-01-13 11:45:00,46.17,46.21,46.08,46.12,960912
2010-01-13 12:00:00,46.12,46.21,45.955,45.97,1077538
2010-01-13 12:15:00,45.99,46.1485,45.97,46.1375,1109168
2010-01-13 12:30:00,46.13,46.45,46.07,46.3,1153387
2010-01-13 12:45:00,46.3,46.33,46.05,46.24,1220138
