dt,open,high,low,close,volume
2010-01-04 09:45:00,64.71,64.83,64.46,64.74,704784
2010-01-04 10:00:00,64.74,64.87,64.64,64.77,1118302
2010-01-04 10:15:00,64.77,64.96,64.71,64.9401,1695616
2010-01-04 10:30:00,64.95,64.98,64.901,64.97,1998659
2010-01-04 10:45:00,64.97,64.99,64.87,64.8899,2371954
2010-01-04 11:00:00,64.88,64.9,64.82,64.86,2657282
2010-01-04 11:15:00,64.86,64.87,64.7,64.7522,2923716
2010-01-04 11:30:00,64.75,64.82,64.7305,64.8,3156219
2010-01-04 11:45:00,64.8,64.82,64.75,64.8075,3462672
2010-01-04 12:00:00,64.81,64.81,64.75,64.76,3745160
2010-01-04 12:15:00,64.76,64.76,64.67,64.69,4027161
2010-01-04 12:30:00,64.699,64.85,64.68,64.7395,4260053
2010-01-04 12:45:00,64.73,64.81,64.73,64.7522,4400267
2010-01-04 13:00:00,64.75,64.82,64.75,64.805,4599137
2010-01-04 13:15:00,64.8022,64.82,64.77,64.77,4852105
2010-01-04 13:30:00,64.7719,64.9,64.77,64.8371,5281181
2010-01-04 13:45:00,64.83,64.87,64.755,64.87,5475519
2010-01-04 14:00:00,64.86,64.87,64.69,64.7099,5770502
2010-01-04 14:15:00,64.705,64.72,64.69,64.705,5883253
2010-01-04 14:30:00,64.7099,64.75,64.7,64.73,6027698
2010-01-04 14:45:00,64.73,64.84,64.73,64.84,6333857
2010-01-04 15:00:00,64.84,64.88,64.72,64.72,6578478
2010-01-04 15:15:00,64.73,64.82,64.715,64.815,6877404
2010-01-04 15:30:00,64.81,64.87,64.68,64.69,7274860
2010-01-04 15:45:00,64.7,64.73,64.63,64.64,7863561
2010-01-04 16:00:00,64.64,64.72,64.63,64.7027,8952459
2010-01-05 09:45:00,64.45,64.62,64.36,64.44,640272
2010-01-05 10:00:00,64.44,64.51,64.3,64.32,999517
2010-01-05 10:15:00,64.32,64.47,64.24,64.445,1384496
2010-01-05 10:30:00,64.45,64.46,64.37,64.38,2061638
2010-01-05 10:45:00,64.38,64.39,64.27,64.36,2336355
2010-01-05 11:00:00,64.36,64.43,64.34,64.35,2621868
2010-01-05 11:15:00,64.356,64.39,64.34,64.35,2958956
2010-01-05 11:30:00,64.3573,64.36,64.26,64.26,3438131
2010-01-05 11:45:00,64.26,64.3,64.24,64.26,3686077
2010-01-05 12:00:00,64.25,64.27,64.21,64.22,3938252
2010-01-05 12:15:00,64.21,64.22,64.19,64.22,4119469
2010-01-05 12:30:00,64.22,64.22,64.105,64.11,4344337
2010-01-05 12:45:00,64.1102,64.12,64.06,64.06,4504471
2010-01-05 13:00:00,64.0699,64.07,64.02,64.0375,4724396
2010-01-05 13:15:00,64.04,64.07,64.0,64.02,4959861
2010-01-05 13:30:00,64.03,64.03,63.9,63.9,5248824
