dt,open,high,low,close,volume
2010-01-04 09:45:00,52.84,53.79,52.53,53.64,351371
2010-01-04 10:00:00,53.69,53.91,53.6,53.83,532789
2010-01-04 10:15:00,53.84,54.0,53.75,53.9,716452
2010-01-04 10:30:00,53.9,54.05,53.45,54.04,1005709
2010-01-04 10:45:00,54.06,54.44,54.02,54.37,1189490
2010-01-04 11:00:00,54.385,54.6,54.31,54.44,1314818
2010-01-04 11:15:00,54.435,54.93,54.435,54.83,1502133
2010-01-04 11:30:00,54.84,54.84,54.7,54.8,1613258
2010-01-04 11:45:00,54.8,55.4,54.8,55.3,1834336
2010-01-04 12:00:00,55.34,55.43,55.13,55.36,1991234
2010-01-04 12:15:00,55.36,55.4,55.24,55.26,2087968
2010-01-04 12:30:00,55.26,55.27,55.06,55.09,2223271
2010-01-04 12:45:00,55.1,55.18,55.04,55.16,2305583
2010-01-04 13:00:00,55.17,55.37,55.155,55.37,2375274
2010-01-04 13:15:00,55.362,55.41,55.28,55.38,2444389
2010-01-04 13:30:00,55.39,55.45,55.29,55.31,2522906
2010-01-04 13:45:00,55.35,55.398,55.28,55.37,2599756
2010-01-04 14:00:00,55.36,55.41,55.3,55.38,2675271
2010-01-04 14:15:00,55.381,55.39,55.33,55.35,2718124
2010-01-04 14:30:00,55.36,55.4,55.34,55.37,2797357
2010-01-04 14:45:00,55.37,55.64,55.365,55.63,2967438
2010-01-04 15:00:00,55.63,55.64,55.5,55.55,3080772
2010-01-04 15:15:00,55.54,55.7,55.475,55.65,3291475
2010-01-04 15:30:00,55.65,55.8,55.59,55.71,3517038
2010-01-04 15:45:00,55.7112,55.8,55.66,55.74,3825647
2010-01-04 16:00:00,55.74,56.0,55.74,55.96,4321401
2010-01-05 09:45:00,55.81,55.92,55.42,55.5,139695
2010-01-05 10:00:00,55.4672,55.96,55.35,55.62,343616
2010-01-05 10:15:00,55.6,55.93,55.5,55.92,428052
2010-01-05 10:30:00,55.94,56.44,55.77,56.36,629034
2010-01-05 10:45:00,56.345,56.86,56.33,56.69,864802
2010-01-05 11:00:00,56.705,56.705,56.4,56.53,950880
2010-01-05 11:15:00,56.51,56.5851,56.25,56.32,1064979
2010-01-05 11:30:00,56.32,56.48,56.25,56.4,1135607
2010-01-05 11:45:00,56.39,56.4,56.26,56.29,1208677
2010-01-05 12:00:00,56.29,56.425,56.29,56.325,1242964
2010-01-05 12:15:00,56.32,56.61,56.315,56.52,1293503
2010-01-05 12:30:00,56.53,56.63,56.4,56.62,1364123
2010-01-05 12:45:00,56.64,56.76,56.603,56.76,1421510
2010-01-05 13:00:00,56.755,56.85,56.6,56.635,1467123
2010-01-05 13:15:00,56.65,56.7025,56.49,56.56,1517764
2010-01-05 13:30:00,56.55,56.69,56.53,56.6299,1570947
2010-01-05 13:45:00,56.62,56.665,56.51,56.65,1618125
2010-01-05 14:00:00,56.63,56.71,56.5419,56.63,1664545
2010-01-05 14:15:00,56.64,56.71,56.57,56.6,1753479
2010-01-05 14:30:00,56.59,56.6725,56.51,56.56,1844626
2010-01-05 14:45:00,56.56,56.5798,56.3,56.315,1929097
2010-01-05 15:00:00,56.3201,56.52,56.32,56.52,1974742
2010-01-05 15:15:00,56.51,56.64,56.45,56.62,2037560
2010-01-05 15:30:00,56.61,56.64,56.55,56.58,2109247
2010-01-05 15:45:00,56.61,56.9,56.6,56.8,2302665
2010-01-05 16:00:00,56.81,56.99,56.81,56.97,2569178
2010-01-06 09:45:00,56.69,57.56,56.69,57.07,245992
2010-01-06 10:00:00,57.1,57.21,56.42,56.49,417933
2010-01-06 10:15:00,56.5,56.88,56.4,56.56,547789
2010-01-06 10:30:00,56.59,56.77,56.5,56.71,652830
2010-01-06 10:45:00,56.68,56.71,56.251,56.39,805111
2010-01-06 11:00:00,56.39,56.43,56.21,56.43,875934
2010-01-06 11:15:00,56.42,56.46,56.08,56.12,959715
2010-01-06 11:30:00,56.1,56.43,56.07,56.18,1037765
2010-01-06 11:45:00,56.18,56.32,56.13,56.24,1075081
2010-01-06 12:00:00,56.22,56.3112,56.14,56.21,1123881
2010-01-06 12:15:00,56.21,56.44,56.19,56.3,1185759
2010-01-06 12:30:00,56.305,56.335,56.14,56.17,1254092
2010-01-06 12:45:00,56.18,56.51,56.16,56.5,1337434
2010-01-06 13:00:00,56.5,56.85,56.4801,56.82,1420935
2010-01-06 13:15:00,56.83,56.85,56.64,56.66,1478613
2010-01-06 13:30:00,56.67,56.78,56.61,56.76,1534755
2010-01-06 13:45:00,56.77,56.81,56.65,56.74,1587896
2010-01-06 14:00:00,56.7519,56.92,56.7,56.86,1648561
2010-01-06 14:15:00,56.86,56.94,56.66,56.7,1707176
2010-01-06 14:30:00,56.7,56.78,56.58,56.76,1753874
2010-01-06 14:45:00,56.76,57.05,56.76,56.9,1843530
2010-01-06 15:00:00,56.91,57.1,56.83,57.02,1926234
2010-01-06 15:15:00,57.02,57.13,56.9737,57.08,2021284
2010-01-06 15:30:00,57.08,57.14,56.87,56.9,2122487
2010-01-06 15:45:00,56.91,56.92,56.73,56.76,2258464
2010-01-06 16:00:00,56.76,56.8,56.5,56.74,2493371
2010-01-07 09:45:00,56.4,56.74,56.15,56.42,125038
2010-01-07 10:00:00,56.39,56.44,55.95,56.02,250309
2010-01-07 10:15:00,56.0,56.21,55.97,56.1263,344397
2010-01-07 10:30:00,56.13,56.2299,56.05,56.15,411004
2010-01-07 10:45:00,56.14,56.53,56.09,56.49,501877
2010-01-07 11:00:00,56.5,56.88,56.39,56.545,648334
2010-01-07 11:15:00,56.54,56.68,56.46,56.64,740487
2010-01-07 11:30:00,56.64,56.65,56.47,56.49,873742
2010-01-07 11:45:00,56.49,56.65,56.46,56.52,909818
2010-01-07 12:00:00,56.51,56.68,56.49,56.65,951572
2010-01-07 12:15:00,56.64,56.695,56.59,56.66,997294
2010-01-07 12:30:00,56.66,56.96,56.66,56.88,1056458
2010-01-07 12:45:00,56.87,57.0,56.77,56.86,1143925
2010-01-07 13:00:00,56.85,56.88,56.56,56.58,1209107
2010-01-07 13:15:00,56.58,56.59,56.48,56.57,1268460
2010-01-07 13:30:00,56.57,56.77,56.53,56.77,1362191
2010-01-07 13:45:00,56.77,56.92,56.64,56.905,1456490
2010-01-07 14:00:00,56.8825,57.13,56.84,57.11,1579295
2010-01-07 14:15:00,57.12,57.45,57.1,57.4,1721339
2010-01-07 14:30:00,57.39,57.61,57.35,57.53,1863415
2010-01-07 14:45:00,57.53,57.65,57.4,57.47,1943284
2010-01-07 15:00:00,57.49,57.55,57.28,57.33,2044996
2010-01-07 15:15:00,57.35,57.41,57.08,57.41,2125568
2010-01-07 15:30:00,57.4,57.45,57.25,57.39,2181463
2010-01-07 15:45:00,57.3901,57.5,57.39,57.45,2270978
2010-01-07 16:00:00,57.45,57.59,57.4,57.55,2446962
2010-01-08 09:45:00,57.22,57.98,57.22,57.45,152718
2010-01-08 10:00:00,57.42,57.97,57.41,57.92,301478
2010-01-08 10:15:00,57.92,58.3,57.81,58.0325,569459
2010-01-08 10:30:00,58.01,59.09,58.01,59.05,887857
2010-01-08 10:45:00,59.03,59.03,58.78,58.91,1017786
2010-01-08 11:00:00,58.9,59.13,58.8,59.13,1193723
2010-01-08 11:15:00,59.13,59.5,59.09,59.42,1488539
2010-01-08 11:30:00,59.41,59.42,59.15,59.18,1594012
2010-01-08 11:45:00,59.166,59.17,58.88,58.98,1676992
2010-01-08 12:00:00,58.99,59.24,58.99,59.18,1783183
2010-01-08 12:15:00,59.16,59.37,59.05,59.33,1884987
2010-01-08 12:30:00,59.36,59.36,59.19,59.2901,1963983
2010-01-08 12:45:00,59.29,59.45,59.13,59.43,2029777
2010-01-08 13:00:00,59.42,59.445,59.32,59.38,2084962
2010-01-08 13:15:00,59.39,59.45,59.35,59.42,2132273
2010-01-08 13:30:00,59.43,59.58,59.35,59.5,2215316
2010-01-08 13:45:00,59.47,59.79,59.44,59.6408,2310712
2010-01-08 14:00:00,59.68,59.9,59.6,59.6,2415488
2010-01-08 14:15:00,59.64,59.69,59.5701,59.61,2499316
2010-01-08 14:30:00,59.62,59.6838,59.5,59.6,2587471
2010-01-08 14:45:00,59.61,59.7981,59.59,59.6994,2739049
2010-01-08 15:00:00,59.6802,59.6802,59.51,59.56,2830365
2010-01-08 15:15:00,59.56,60.0,59.53,59.9,3051958
2010-01-08 15:30:00,59.91,59.94,59.775,59.805,3177132
2010-01-08 15:45:00,59.805,59.85,59.65,59.73,3425746
2010-01-08 16:00:00,59.73,60.0,59.57,59.76,3878365
2010-01-11 09:45:00,60.39,60.75,59.78,59.87,328631
2010-01-11 10:00:00,59.85,59.99,59.51,59.57,590457
2010-01-11 10:15:00,59.57,59.81,59.33,59.66,825567
2010-01-11 10:30:00,59.66,60.39,59.6,60.39,987246
2010-01-11 10:45:00,60.38,60.73,60.3733,60.61,1168518
2010-01-11 11:00:00,60.57,60.87,60.3901,60.53,1315645
2010-01-11 11:15:00,60.53,60.55,59.2,59.3199,1793227
2010-01-11 11:30:00,59.28,59.45,58.9302,59.07,1965245
2010-01-11 11:45:00,59.12,59.47,59.07,59.26,2049076
2010-01-11 12:00:00,59.29,59.5315,59.17,59.5315,2103443
2010-01-11 12:15:00,59.5,59.84,59.45,59.82,2188244
2010-01-11 12:30:00,59.8,59.84,59.45,59.69,2255654
2010-01-11 12:45:00,59.7,59.89,59.69,59.71,2312800
2010-01-11 13:00:00,59.71,59.72,59.59,59.695,2399586
2010-01-11 13:15:00,59.69,59.71,59.51,59.52,2434420
2010-01-11 13:30:00,59.51,59.64,59.41,59.49,2488848
2010-01-11 13:45:00,59.48,59.55,59.3134,59.3976,2528613
2010-01-11 14:00:00,59.4,59.49,59.25,59.26,2578914
2010-01-11 14:15:00,59.25,59.32,59.12,59.16,2625924
2010-01-11 14:30:00,59.16,59.27,59.06,59.06,2683403
2010-01-11 14:45:00,59.06,59.06,58.93,58.94,2763571
2010-01-11 15:00:00,58.94,59.06,58.93,58.97,2823248
