dt,open,high,low,close,volume
2010-01-04 09:45:00,5.66,5.77,5.65,5.76,981867
2010-01-04 10:00:00,5.76,5.77,5.72,5.75,1750406
2010-01-04 10:15:00,5.75,5.78,5.74,5.76,2358825
2010-01-04 10:30:00,5.77,5.8,5.75,5.8,2866105
2010-01-04 10:45:00,5.8,5.81,5.79,5.81,3313311
2010-01-04 11:00:00,5.8,5.84,5.8,5.83,3642658
2010-01-04 11:15:00,5.83,5.835,5.82,5.83,3866098
2010-01-04 11:30:00,5.82,5.84,5.82,5.84,4362227
2010-01-04 11:45:00,5.84,5.87,5.83,5.86,4862160
2010-01-04 12:00:00,5.855,5.89,5.84,5.885,5403286
2010-01-04 12:15:00,5.89,5.91,5.88,5.895,5827750
2010-01-04 12:30:00,5.9,5.9,5.88,5.88,5987512
2010-01-04 12:45:00,5.89,5.9,5.88,5.89,6236261
2010-01-04 13:00:00,5.89,5.9,5.88,5.88,6398878
2010-01-04 13:15:00,5.881,5.89,5.86,5.89,6772573
2010-01-04 13:30:00,5.89,5.91,5.88,5.91,7111503
2010-01-04 13:45:00,5.905,5.94,5.9,5.91,7669543
2010-01-04 14:00:00,5.9,5.92,5.9,5.92,7853886
2010-01-04 14:15:00,5.92,5.92,5.89,5.9,8141411
2010-01-04 14:30:00,5.9,5.91,5.88,5.91,8688639
2010-01-04 14:45:00,5.91,5.92,5.89,5.91,9309544
2010-01-04 15:00:00,5.91,5.94,5.9,5.93,9998082
2010-01-04 15:15:00,5.93,5.96,5.93,5.93,10793646
2010-01-04 15:30:00,5.93,5.94,5.93,5.94,11233951
2010-01-04 15:45:00,5.94,5.95,5.91,5.95,12487508
2010-01-04 16:00:00,5.95,5.97,5.94,5.95,14264749
2010-01-05 09:45:00,5.88,6.03,5.88,5.98,795046
2010-01-05 10:00:00,5.99,6.04,5.98,6.0,1794765
2010-01-05 10:15:00,5.99,6.06,5.98,6.03,2185485
2010-01-05 10:30:00,6.02,6.04,6.01,6.03,2358773
2010-01-05 10:45:00,6.03,6.06,6.03,6.06,2748369
2010-01-05 11:00:00,6.05,6.06,6.01,6.015,3003500
2010-01-05 11:15:00,6.0185,6.02,5.99,6.0,3415615
2010-01-05 11:30:00,5.99,6.03,5.99,6.02,3923842
2010-01-05 11:45:00,6.0299,6.03,5.99,5.99,4992482
2010-01-05 12:00:00,5.99,6.05,5.99,6.05,5290968
2010-01-05 12:15:00,6.045,6.07,6.03,6.06,5810091
2010-01-05 12:30:00,6.07,6.08,6.05,6.06,6362336
2010-01-05 12:45:00,6.05,6.06,6.03,6.035,6626650
2010-01-05 13:00:00,6.035,6.04,6.01,6.0181,6851024
