dt,open,high,low,close,volume
2010-01-04 09:45:00,36.61,37.26,36.57,37.2,218384
2010-01-04 10:00:00,37.21,37.28,36.94,37.175,422067
2010-01-04 10:15:00,37.19,37.26,37.05,37.11,502475
2010-01-04 10:30:00,37.13,37.21,37.02,37.17,596758
2010-01-04 10:45:00,37.15,37.32,37.14,37.31,682641
2010-01-04 11:00:00,37.31,37.37,37.25,37.27,768409
2010-01-04 11:15:00,37.28,37.34,37.2098,37.23,851533
2010-01-04 11:30:00,37.224,37.32,37.21,37.31,912564
2010-01-04 11:45:00,37.32,37.35,37.25,37.34,986288
2010-01-04 12:00:00,37.333,37.36,37.25,37.25,1051634
2010-01-04 12:15:00,37.27,37.28,37.2,37.26,1107763
2010-01-04 12:30:00,37.25,37.27,37.216,37.25,1167406
2010-01-04 12:45:00,37.2501,37.285,37.22,37.25,1232393
2010-01-04 13:00:00,37.25,37.28,37.15,37.19,1446570
2010-01-04 13:15:00,37.19,37.24,37.17,37.19,1544682
2010-01-04 13:30:00,37.19,37.24,37.17,37.21,1593411
2010-01-04 13:45:00,37.21,37.24,37.19,37.24,1618539
2010-01-04 14:00:00,37.24,37.24,36.98,37.0,1803641
2010-01-04 14:15:00,37.0,37.05,36.99,37.03,1837786
2010-01-04 14:30:00,37.04,37.045,36.97,37.0,1916504
2010-01-04 14:45:00,36.9901,37.06,36.98,37.06,2002517
2010-01-04 15:00:00,37.05,37.07,36.98,36.99,2069675
2010-01-04 15:15:00,36.98,37.04,36.95,36.96,2207956
2010-01-04 15:30:00,36.96,36.99,36.89,36.9,2373868
2010-01-04 15:45:00,36.89,36.94,36.79,36.8,2553987
2010-01-04 16:00:00,36.8,36.93,36.79,36.93,2751322
2010-01-05 09:45:00,36.85,36.93,36.46,36.51,124042
2010-01-05 10:00:00,36.49,36.73,36.48,36.58,248170
2010-01-05 10:15:00,36.54,36.74,36.42,36.7,363712
2010-01-05 10:30:00,36.7,36.9,36.66,36.7915,508215
2010-01-05 10:45:00,36.77,36.92,36.76,36.86,580525
2010-01-05 11:00:00,36.86,36.86,36.64,36.68,633547
2010-01-05 11:15:00,36.67,36.74,36.59,36.59,663129
2010-01-05 11:30:00,36.58,36.58,36.4899,36.57,716599
2010-01-05 11:45:00,36.57,36.6,36.49,36.57,747264
2010-01-05 12:00:00,36.56,36.61,36.55,36.6,762941
2010-01-05 12:15:00,36.59,36.6,36.57,36.6,786493
2010-01-05 12:30:00,36.59,36.63,36.57,36.61,812083
2010-01-05 12:45:00,36.6,36.604,36.49,36.5,848740
2010-01-05 13:00:00,36.49,36.53,36.38,36.5,930508
2010-01-05 13:15:00,36.5,36.5,36.44,36.44,958654
2010-01-05 13:30:00,36.44,36.48,36.41,36.45,999555
2010-01-05 13:45:00,36.445,36.52,36.395,36.5135,1059580
2010-01-05 14:00:00,36.51,36.52,36.39,36.47,1100703
2010-01-05 14:15:00,36.47,36.505,36.41,36.41,1146249
2010-01-05 14:30:00,36.4001,36.435,36.27,36.32,1218303
2010-01-05 14:45:00,36.33,36.36,36.32,36.35,1469016
2010-01-05 15:00:00,36.35,36.5,36.345,36.5,1579015
2010-01-05 15:15:00,36.5,36.57,36.47,36.56,1677779
2010-01-05 15:30:00,36.55,36.555,36.469,36.49,1765495
2010-01-05 15:45:00,36.49,36.56,36.49,36.52,1897458
2010-01-05 16:00:00,36.515,36.5401,36.47,36.5,2070932
2010-01-06 09:45:00,36.4,36.64,36.27,36.57,248356
2010-01-06 10:00:00,36.56,36.65,36.4,36.54,406892
2010-01-06 10:15:00,36.54,36.74,36.5,36.67,586022
2010-01-06 10:30:00,36.69,36.77,36.56,36.68,657133
2010-01-06 10:45:00,36.67,36.7,36.55,36.59,706956
2010-01-06 11:00:00,36.6,36.75,36.6,36.74,733040
2010-01-06 11:15:00,36.7301,36.76,36.73,36.75,817682
2010-01-06 11:30:00,36.75,36.83,36.74,36.82,894948
2010-01-06 11:45:00,36.82,36.82,36.77,36.78,917133
2010-01-06 12:00:00,36.79,36.79,36.66,36.69,989422
2010-01-06 12:15:00,36.69,36.705,36.57,36.595,1113944
2010-01-06 12:30:00,36.6,36.68,36.57,36.57,1238510
2010-01-06 12:45:00,36.57,36.68,36.56,36.68,1284577
2010-01-06 13:00:00,36.69,36.74,36.66,36.67,1312562
2010-01-06 13:15:00,36.68,36.71,36.59,36.6,1341617
2010-01-06 13:30:00,36.605,36.65,36.57,36.58,1359241
2010-01-06 13:45:00,36.59,36.59,36.53,36.53,1404512
2010-01-06 14:00:00,36.53,36.53,36.41,36.44,1449300
2010-01-06 14:15:00,36.43,36.52,36.43,36.48,1510051
2010-01-06 14:30:00,36.47,36.48,36.41,36.45,1546812
2010-01-06 14:45:00,36.47,36.64,36.465,36.57,1670528
2010-01-06 15:00:00,36.58,36.59,36.56,36.59,1699217
2010-01-06 15:15:00,36.58,36.59,36.44,36.47,1759447
2010-01-06 15:30:00,36.4701,36.52,36.405,36.51,1812227
2010-01-06 15:45:00,36.52,36.53,36.37,36.37,1914855
2010-01-06 16:00:00,36.37,36.4,36.27,36.37,2258902
2010-01-07 09:45:00,36.21,36.37,36.11,36.22,88186
2010-01-07 10:00:00,36.21,36.23,35.77,35.78,268086
2010-01-07 10:15:00,35.795,36.22,35.73,36.17,404323
2010-01-07 10:30:00,36.17,36.25,36.04,36.2,464839
2010-01-07 10:45:00,36.2,36.32,36.2,36.32,506882
2010-01-07 11:00:00,36.32,36.49,36.31,36.48,601162
2010-01-07 11:15:00,36.46,36.56,36.45,36.54,668711
2010-01-07 11:30:00,36.535,36.62,36.451,36.46,830445
2010-01-07 11:45:00,36.46,36.51,36.435,36.5,872944
2010-01-07 12:00:00,36.5,36.5,36.38,36.382,945771
2010-01-07 12:15:00,36.38,36.42,36.34,36.42,1007590
2010-01-07 12:30:00,36.41,36.53,36.41,36.49,1058925
2010-01-07 12:45:00,36.49,36.53,36.38,36.43,1097985
2010-01-07 13:00:00,36.42,36.56,36.41,36.4501,1202804
2010-01-07 13:15:00,36.45,36.47,36.4,36.43,1267266
2010-01-07 13:30:00,36.41,36.57,36.4,36.54,1310687
2010-01-07 13:45:00,36.54,36.56,36.52,36.53,1330986
2010-01-07 14:00:00,36.53,36.54,36.49,36.515,1358250
2010-01-07 14:15:00,36.51,36.57,36.48,36.56,1424566
2010-01-07 14:30:00,36.55,36.56,36.48,36.52,1488207
2010-01-07 14:45:00,36.53,36.62,36.52,36.53,1541221
2010-01-07 15:00:00,36.54,36.6,36.49,36.53,1598752
2010-01-07 15:15:00,36.52,36.61,36.45,36.58,1739233
2010-01-07 15:30:00,36.58,36.6,36.52,36.54,1802612
2010-01-07 15:45:00,36.54,36.61,36.53,36.55,1890336
2010-01-07 16:00:00,36.545,36.64,36.48,36.59,2257770
2010-01-08 09:45:00,36.47,36.93,36.34,36.519,117206
2010-01-08 10:00:00,36.49,36.87,36.41,36.87,236086
2010-01-08 10:15:00,36.87,37.16,36.78,36.99,445169
2010-01-08 10:30:00,36.99,37.09,36.92,36.99,513504
2010-01-08 10:45:00,36.97,36.99,36.7,36.71,586494
2010-01-08 11:00:00,36.72,36.89,36.55,36.88,655532
2010-01-08 11:15:00,36.87,36.87,36.64,36.65,723294
2010-01-08 11:30:00,36.66,36.73,36.61,36.63,792527
2010-01-08 11:45:00,36.63,36.64,36.54,36.56,831148
2010-01-08 12:00:00,36.55,36.68,36.55,36.61,881376
