dt,open,high,low,close,volume
2011-02-11 10:00:00,31.7,32.0,31.5,31.8958,15558770
2011-02-11 10:15:00,31.9,32.14,31.7,31.76,22975740
2011-02-11 10:30:00,31.76,31.88,31.7,31.8575,25150770
2011-02-11 10:45:00,31.86,31.95,31.82,31.91,26777371
2011-02-11 11:00:00,31.91,31.95,31.8,31.91,27932768
2011-02-11 11:15:00,31.92,31.96,31.85,31.85,28922349
2011-02-11 11:30:00,31.85,31.86,31.77,31.81,30242615
2011-02-11 11:45:00,31.81,31.83,31.62,31.71,31682013
2011-02-11 12:00:00,31.71,31.8,31.54,31.74,32842197
2011-02-11 12:15:00,31.75,31.77,31.56,31.59,33514642
2011-02-11 12:30:00,31.59,31.73,31.58,31.65,33896475
2011-02-11 12:45:00,31.65,31.76,31.64,31.75,34548842
2011-02-11 13:00:00,31.74,31.75,31.63,31.63,35308468
2011-02-11 13:15:00,31.63,31.63,31.51,31.55,36397911
2011-02-11 13:30:00,31.55,31.6,31.5,31.53,37629468
2011-02-11 13:45:00,31.52,31.62,31.5,31.57,38850507
2011-02-11 14:00:00,31.565,31.57,31.27,31.54,39848876
2011-02-11 14:15:00,31.54,31.54,31.36,31.4,40527579
2011-02-11 14:30:00,31.4,31.47,31.3,31.4,41014170
2011-02-11 14:45:00,31.39,31.405,31.22,31.24,41498007
2011-02-11 15:00:00,31.23,31.29,31.21,31.21,42226455
2011-02-11 15:15:00,31.21,31.21,31.01,31.05,43664909
2011-02-11 15:30:00,31.06,31.08,30.83,31.015,47076304
2011-02-11 15:45:00,31.01,31.26,31.01,31.14,47790578
2011-02-11 16:00:00,31.13,31.24,30.75,31.05,49934578
2011-02-14 09:45:00,31.05,31.3,31.05,31.2,1103014
2011-02-14 10:00:00,31.19,31.21,31.11,31.145,1390253
2011-02-14 10:15:00,31.14,31.25,31.14,31.16,1581342
2011-02-14 10:30:00,31.17,31.25,31.05,31.05,1929328
2011-02-14 10:45:00,31.05,31.12,31.05,31.09,2072847
2011-02-14 11:00:00,31.08,31.1,31.0,31.005,2543476
2011-02-14 11:15:00,31.01,31.11,31.005,31.09,2646793
2011-02-14 11:30:00,31.09,31.15,31.03,31.1,2786170
2011-02-14 11:45:00,31.1,31.11,31.08,31.09,2888212
2011-02-14 12:00:00,31.09,31.15,31.05,31.12,3028454
2011-02-14 12:15:00,31.1,31.12,31.0,31.01,3224005
2011-02-14 12:30:00,31.02,31.06,31.01,31.04,3311700
2011-02-14 12:45:00,31.05,31.06,31.01,31.05,3397260
2011-02-14 13:00:00,31.05,31.05,31.0,31.01,3657651
2011-02-14 13:15:00,31.01,31.05,31.0,31.02,4049756
2011-02-14 13:30:00,31.02,31.02,30.91,30.98,4177822
2011-02-14 13:45:00,30.99,31.01,30.98,31.0,4301265
2011-02-14 14:00:00,31.0,31.03,30.96,30.98,4415859
2011-02-14 14:15:00,30.98,31.02,30.98,31.0,4548258
2011-02-14 14:30:00,31.0,31.01,30.98,30.995,4827645
2011-02-14 14:45:00,30.995,31.0,30.97,30.98,5002121
2011-02-14 15:00:00,30.98,31.0,30.92,30.96,5139184
2011-02-14 15:15:00,30.96,30.97,30.83,30.9,5247539
2011-02-14 15:30:00,30.9,30.96,30.89,30.91,5371438
2011-02-14 15:45:00,30.93,30.97,30.86,30.88,5688704
2011-02-14 16:00:00,30.88,30.91,30.7,30.72,6235559
2011-02-15 09:45:00,30.9,30.95,30.8,30.85,207064
2011-02-15 10:00:00,30.85,30.9,30.75,30.81,442067
2011-02-15 10:15:00,30.82,30.91,30.76,30.8499,641744
2011-02-15 10:30:00,30.848,30.85,30.73,30.7401,839202
2011-02-15 10:45:00,30.74,30.83,30.73,30.78,1012002
2011-02-15 11:00:00,30.77,30.92,30.77,30.905,1150664
2011-02-15 11:15:00,30.9,30.92,30.88,30.88,1301528
2011-02-15 11:30:00,30.88,31.0,30.88,30.91,1435554
2011-02-15 11:45:00,30.925,30.95,30.87,30.95,1524462
2011-02-15 12:00:00,30.947,30.95,30.91,30.95,1587305
2011-02-15 12:15:00,30.95,30.95,30.86,30.89,1733803
2011-02-15 12:30:00,30.88,30.9,30.86,30.9,1807276
2011-02-15 12:45:00,30.9,30.92,30.82,30.85,1982583
2011-02-15 13:00:00,30.88,30.96,30.86,30.94,2249475
2011-02-15 13:15:00,30.95,30.96,30.9,30.95,2341053
2011-02-15 13:30:00,30.95,30.96,30.93,30.96,2406042
2011-02-15 13:45:00,30.955,30.955,30.92,30.945,2508297
2011-02-15 14:00:00,30.95,30.95,30.93,30.94,2582621
2011-02-15 14:15:00,30.94,30.94,30.91,30.93,2701291
2011-02-15 14:30:00,30.93,31.1,30.89,31.08,3012357
2011-02-15 14:45:00,31.08,31.14,31.05,31.11,3126064
2011-02-15 15:00:00,31.105,31.15,31.06,31.105,3246343
2011-02-15 15:15:00,31.105,31.14,31.05,31.14,3327518
2011-02-15 15:30:00,31.14,31.14,31.06,31.08,3433048
2011-02-15 15:45:00,31.087,31.12,31.05,31.11,3599261
2011-02-15 16:00:00,31.11,31.13,30.94,30.94,4123994
2011-02-16 09:45:00,31.05,31.09,30.95,31.05,185237
2011-02-16 10:00:00,31.05,31.17,31.02,31.13,339388
2011-02-16 10:15:00,31.125,31.17,31.1,31.17,432370
2011-02-16 10:30:00,31.165,31.19,31.11,31.1316,582484
2011-02-16 10:45:00,31.137,31.14,31.0,31.01,706736
2011-02-16 11:00:00,31.0199,31.02,30.9,30.98,811530
2011-02-16 11:15:00,30.98,31.08,30.96,31.0,1074777
2011-02-16 11:30:00,31.0,31.16,30.99,31.136,1231473
