dt,open,high,low,close,volume
2010-01-04 09:45:00,25.32,25.48,24.93,25.16,233905
2010-01-04 10:00:00,25.17,25.2555,25.1,25.244,326254
2010-01-04 10:15:00,25.25,25.37,25.16,25.37,446463
2010-01-04 10:30:00,25.37,25.57,25.37,25.54,609909
2010-01-04 10:45:00,25.54,25.58,25.52,25.58,716076
2010-01-04 11:00:00,25.58,25.75,25.56,25.71,877443
2010-01-04 11:15:00,25.71,25.735,25.68,25.68,1078589
2010-01-04 11:30:00,25.68,25.75,25.66,25.74,1190171
2010-01-04 11:45:00,25.75,25.91,25.735,25.89,1353580
2010-01-04 12:00:00,25.89,25.89,25.79,25.8,1518868
2010-01-04 12:15:00,25.81,25.89,25.8,25.84,1594382
2010-01-04 12:30:00,25.84,25.84,25.79,25.83,1654629
2010-01-04 12:45:00,25.84,25.84,25.78,25.83,1717555
2010-01-04 13:00:00,25.84,25.9,25.83,25.89,1855869
2010-01-04 13:15:00,25.89,25.89,25.83,25.84,1932317
2010-01-04 13:30:00,25.85,25.88,25.8,25.875,2028516
2010-01-04 13:45:00,25.88,25.88,25.83,25.84,2094609
2010-01-04 14:00:00,25.84,25.85,25.81,25.83,2210575
2010-01-04 14:15:00,25.83,25.845,25.8,25.82,2298693
2010-01-04 14:30:00,25.82,25.86,25.81,25.85,2435458
2010-01-04 14:45:00,25.85,25.88,25.84,25.88,2577056
2010-01-04 15:00:00,25.88,25.885,25.81,25.84,2702280
2010-01-04 15:15:00,25.84,25.88,25.83,25.87,2823162
2010-01-04 15:30:00,25.87,25.875,25.81,25.84,2969568
2010-01-04 15:45:00,25.83,25.835,25.76,25.765,3131842
2010-01-04 16:00:00,25.76,25.91,25.76,25.89,3608686
2010-01-05 09:45:00,25.8,26.1,25.72,25.96,166874
2010-01-05 10:00:00,25.95,26.1,25.91,25.915,420820
2010-01-05 10:15:00,25.91,26.34,25.91,26.28,611730
2010-01-05 10:30:00,26.28,26.53,26.28,26.425,892984
2010-01-05 10:45:00,26.42,26.53,26.4,26.53,1090812
2010-01-05 11:00:00,26.525,26.53,26.46,26.5,1395132
2010-01-05 11:15:00,26.49,26.5,26.45,26.49,1513066
2010-01-05 11:30:00,26.49,26.61,26.48,26.52,1841576
2010-01-05 11:45:00,26.52,26.52,26.36,26.43,2023779
2010-01-05 12:00:00,26.43,26.5,26.42,26.46,2074759
2010-01-05 12:15:00,26.4569,26.47,26.33,26.34,2279389
2010-01-05 12:30:00,26.34,26.44,26.3,26.43,2334323
2010-01-05 12:45:00,26.43,26.44,26.37,26.43,2360348
2010-01-05 13:00:00,26.43,26.44,26.36,26.36,2395525
2010-01-05 13:15:00,26.37,26.4,26.36,26.37,2475318
2010-01-05 13:30:00,26.38,26.4,26.33,26.36,2533446
2010-01-05 13:45:00,26.363,26.38,26.33,26.37,2645589
2010-01-05 14:00:00,26.37,26.4,26.33,26.36,2747170
2010-01-05 14:15:00,26.36,26.39,26.22,26.23,2951149
2010-01-05 14:30:00,26.23,26.24,26.08,26.21,3061344
2010-01-05 14:45:00,26.22,26.36,26.22,26.34,3141305
2010-01-05 15:00:00,26.35,26.41,26.32,26.4,3251796
2010-01-05 15:15:00,26.41,26.49,26.38,26.4019,3517361
2010-01-05 15:30:00,26.41,26.46,26.4,26.43,3684238
2010-01-05 15:45:00,26.43,26.45,26.3,26.32,4172369
2010-01-05 16:00:00,26.32,26.45,26.32,26.43,4603216
2010-01-06 09:45:00,26.25,26.36,25.93,25.9424,265018
2010-01-06 10:00:00,25.97,26.24,25.97,26.18,356867
2010-01-06 10:15:00,26.17,26.26,26.06,26.1999,484016
2010-01-06 10:30:00,26.2,26.215,26.1,26.2,612831
2010-01-06 10:45:00,26.19,26.31,26.13,26.29,752833
2010-01-06 11:00:00,26.29,26.48,26.29,26.48,1039085
2010-01-06 11:15:00,26.48,26.56,26.285,26.35,1187694
2010-01-06 11:30:00,26.35,26.58,26.34,26.55,1356966
2010-01-06 11:45:00,26.56,26.77,26.53,26.76,1485254
2010-01-06 12:00:00,26.76,26.86,26.75,26.84,1712498
2010-01-06 12:15:00,26.83,26.93,26.83,26.85,1940212
2010-01-06 12:30:00,26.855,26.855,26.71,26.72,2018805
2010-01-06 12:45:00,26.71,26.745,26.64,26.69,2084521
2010-01-06 13:00:00,26.69,26.71,26.66,26.71,2122953
2010-01-06 13:15:00,26.71,26.78,26.69,26.725,2212913
2010-01-06 13:30:00,26.74,26.76,26.67,26.695,2275998
2010-01-06 13:45:00,26.7,26.7709,26.69,26.74,2372055
2010-01-06 14:00:00,26.75,26.76,26.695,26.725,2441970
2010-01-06 14:15:00,26.72,26.81,26.68,26.75,2568638
2010-01-06 14:30:00,26.74,26.75,26.65,26.66,2674302
2010-01-06 14:45:00,26.66,26.69,26.62,26.64,2786951
2010-01-06 15:00:00,26.64,26.7,26.63,26.66,2895133
2010-01-06 15:15:00,26.66,26.72,26.61,26.7,3191791
