dt,open,high,low,close,volume
2010-01-04 09:45:00,48.92,49.06,48.8,48.95,8954
2010-01-04 10:00:00,48.99,49.01,48.7,48.74,24897
2010-01-04 10:15:00,48.8,48.83,48.29,48.37,50424
2010-01-04 10:30:00,48.34,48.76,48.29,48.57,81531
2010-01-04 10:45:00,48.58,48.69,48.53,48.64,116839
2010-01-04 11:00:00,48.62,48.96,48.6,48.71,137739
2010-01-04 11:15:00,48.75,48.76,48.5,48.59,166439
2010-01-04 11:30:00,48.59,48.63,48.39,48.45,180417
2010-01-04 11:45:00,48.45,48.53,48.35,48.38,192717
2010-01-04 12:00:00,48.41,48.59,48.33,48.565,204831
2010-01-04 12:15:00,48.57,48.58,48.4,48.43,219982
2010-01-04 12:30:00,48.45,48.45,48.32,48.41,227149
2010-01-04 12:45:00,48.37,48.529,48.37,48.529,230049
2010-01-04 13:00:00,48.56,48.6,48.44,48.46,248479
2010-01-04 13:15:00,48.47,48.48,48.34,48.38,249679
2010-01-04 13:30:00,48.36,48.39,48.33,48.35,252972
2010-01-04 13:45:00,48.36,48.38,48.35,48.37,255395
2010-01-04 14:00:00,48.37,48.37,48.23,48.23,261293
2010-01-04 14:15:00,48.24,48.26,48.22,48.24,264893
2010-01-04 14:30:00,48.19,48.22,48.05,48.09,275048
2010-01-04 14:45:00,48.07,48.11,48.05,48.11,282248
2010-01-04 15:00:00,48.1399,48.2,48.01,48.01,292248
2010-01-04 15:15:00,48.0,48.12,47.96,48.1,310249
2010-01-04 15:30:00,48.1,48.12,48.0,48.08,316899
2010-01-04 15:45:00,48.09,48.1,47.94,48.04,337804
2010-01-04 16:00:00,48.03,48.19,48.03,48.19,361349
2010-01-05 09:45:00,48.1,48.3,47.94,48.19,18240
2010-01-05 10:00:00,48.19,48.37,48.0,48.0,28993
2010-01-05 10:15:00,48.0,48.33,48.0,48.02,48970
2010-01-05 10:30:00,48.0,48.32,48.0,48.24,61870
2010-01-05 10:45:00,48.2,48.245,48.0,48.15,82919
2010-01-05 11:00:00,48.18,48.19,48.04,48.12,89395
2010-01-05 11:15:00,48.09,48.1,47.91,47.96,104395
2010-01-05 11:30:00,47.9275,47.9275,47.72,47.78,114095
2010-01-05 11:45:00,47.72,47.87,47.7,47.85,122268
2010-01-05 12:00:00,47.845,47.845,47.77,47.81,125568
2010-01-05 12:15:00,47.84,48.04,47.84,48.04,137768
2010-01-05 12:30:00,48.04,48.1,47.96,48.0,143588
2010-01-05 12:45:00,47.98,48.0,47.84,47.85,155570
2010-01-05 13:00:00,47.85,47.87,47.82,47.8699,162555
2010-01-05 13:15:00,47.86,47.87,47.77,47.82,169733
2010-01-05 13:30:00,47.78,47.82,47.7,47.82,177425
2010-01-05 13:45:00,47.83,47.95,47.81,47.95,181525
2010-01-05 14:00:00,47.92,48.06,47.79,47.84,193711
2010-01-05 14:15:00,47.84,47.87,47.78,47.78,202033
2010-01-05 14:30:00,47.78,47.89,47.75,47.85,215733
2010-01-05 14:45:00,47.85,47.9,47.82,47.9,223063
2010-01-05 15:00:00,47.92,47.948,47.78,47.83,227949
2010-01-05 15:15:00,47.85,47.88,47.78,47.85,240849
2010-01-05 15:30:00,47.86,47.97,47.83,47.94,258528
2010-01-05 15:45:00,47.94,48.07,47.93,48.04,279806
2010-01-05 16:00:00,48.02,48.2,48.02,48.15,350103
2010-01-06 09:45:00,48.2,48.48,48.2,48.26,6587
2010-01-06 10:00:00,48.2,48.42,48.2,48.34,14487
2010-01-06 10:15:00,48.34,48.47,48.2,48.2,29379
2010-01-06 10:30:00,48.23,48.38,48.13,48.13,43934
2010-01-06 10:45:00,48.09,48.21,47.96,48.0,57530
2010-01-06 11:00:00,48.03,48.21,47.95,48.21,75481
2010-01-06 11:15:00,48.13,48.22,48.05,48.05,94578
2010-01-06 11:30:00,48.08,48.19,48.04,48.14,125978
2010-01-06 11:45:00,48.15,48.23,48.1,48.18,136929
2010-01-06 12:00:00,48.2316,48.26,48.11,48.18,149012
2010-01-06 12:15:00,48.17,48.29,48.17,48.22,156503
2010-01-06 12:30:00,48.21,48.21,48.04,48.04,167393
2010-01-06 12:45:00,48.07,48.14,48.04,48.14,173502
2010-01-06 13:00:00,48.14,48.2,48.12,48.15,180502
2010-01-06 13:15:00,48.2,48.2,48.06,48.09,192303
2010-01-06 13:30:00,48.1,48.13,48.04,48.07,199850
2010-01-06 13:45:00,48.03,48.09,47.97,48.05,213404
2010-01-06 14:00:00,48.01,48.07,47.96,47.98,217704
2010-01-06 14:15:00,48.01,48.12,47.97,48.06,228959
2010-01-06 14:30:00,48.06,48.12,48.01,48.09,236859
2010-01-06 14:45:00,48.12,48.22,48.07,48.11,242559
2010-01-06 15:00:00,48.12,48.22,48.11,48.12,250841
2010-01-06 15:15:00,48.11,48.16,47.97,48.06,261037
2010-01-06 15:30:00,48.08,48.183,48.02,48.183,274224
2010-01-06 15:45:00,48.2,48.29,48.11,48.21,295910
2010-01-06 16:00:00,48.2,48.36,48.1,48.31,336380
2010-01-07 09:45:00,48.09,48.32,48.05,48.09,5900
2010-01-07 10:00:00,48.09,48.1,47.85,47.9,25391
2010-01-07 10:15:00,47.91,47.91,47.6,47.7725,43191
2010-01-07 10:30:00,47.8,48.0,47.73,47.97,59091
2010-01-07 10:45:00,47.97,48.28,47.94,48.28,101684
2010-01-07 11:00:00,48.3,48.44,48.18,48.2,143476
2010-01-07 11:15:00,48.24,48.39,48.18,48.39,156864
2010-01-07 11:30:00,48.33,48.38,48.2,48.23,182508
2010-01-07 11:45:00,48.22,48.31,48.09,48.2,190226
2010-01-07 12:00:00,48.23,48.3,48.17,48.17,221837
2010-01-07 12:15:00,48.2,48.24,48.14,48.18,250633
2010-01-07 12:30:00,48.23,48.72,48.23,48.6,285471
2010-01-07 12:45:00,48.61,48.66,48.5,48.54,329469
2010-01-07 13:00:00,48.5,48.55,48.43,48.5,373453
2010-01-07 13:15:00,48.5,48.54,48.34,48.35,403017
2010-01-07 13:30:00,48.38,48.39,48.23,48.25,447292
2010-01-07 13:45:00,48.26,48.36,48.15,48.35,499112
2010-01-07 14:00:00,48.37,48.47,48.34,48.44,529672
2010-01-07 14:15:00,48.42,48.46,48.37,48.44,559326
2010-01-07 14:30:00,48.44,48.48,48.41,48.46,570008
2010-01-07 14:45:00,48.46,48.55,48.46,48.48,572508
2010-01-07 15:00:00,48.48,48.62,48.47,48.47,578811
2010-01-07 15:15:00,48.48,48.55,48.35,48.55,582260
2010-01-07 15:30:00,48.51,48.64,48.5,48.55,589683
2010-01-07 15:45:00,48.59,48.615,48.49,48.53,599783
2010-01-07 16:00:00,48.55,48.61,48.49,48.54,626993
2010-01-08 09:45:00,48.3,48.57,48.2,48.49,18786
2010-01-08 10:00:00,48.48,48.74,48.38,48.6,74078
2010-01-08 10:15:00,48.62,48.65,48.49,48.59,105504
2010-01-08 10:30:00,48.63,48.68,48.54,48.62,149711
2010-01-08 10:45:00,48.65,48.66,48.55,48.59,167011
2010-01-08 11:00:00,48.55,48.55,48.45,48.54,177611
2010-01-08 11:15:00,48.53,48.58,48.5,48.55,193011
2010-01-08 11:30:00,48.54,48.65,48.5,48.5,208111
2010-01-08 11:45:00,48.53,48.56,48.308,48.45,225575
2010-01-08 12:00:00,48.45,48.48,48.39,48.45,236075
2010-01-08 12:15:00,48.45,48.59,48.45,48.52,244075
2010-01-08 12:30:00,48.52,48.53,48.46,48.53,249575
2010-01-08 12:45:00,48.44,48.47,48.39,48.47,250475
2010-01-08 13:00:00,48.42,48.47,48.37,48.41,258185
2010-01-08 13:15:00,48.44,48.44,48.31,48.31,259085
2010-01-08 13:30:00,48.31,48.31,48.145,48.19,265181
2010-01-08 13:45:00,48.22,48.38,48.22,48.34,268481
2010-01-08 14:00:00,48.29,48.335,48.23,48.28,270664
2010-01-08 14:15:00,48.26,48.28,48.25,48.25,271564
2010-01-08 14:30:00,48.25,48.31,48.23,48.26,279325
2010-01-08 14:45:00,48.27,48.36,48.17,48.17,283225
2010-01-08 15:00:00,48.21,48.21,48.06,48.08,287125
2010-01-08 15:15:00,48.1,48.2481,48.09,48.2,291225
2010-01-08 15:30:00,48.215,48.23,48.14,48.15,297425
2010-01-08 15:45:00,48.13,48.23,48.1,48.12,315225
2010-01-08 16:00:00,48.11,48.32,48.05,48.23,344532
2010-01-11 09:45:00,48.48,48.82,48.36,48.45,29846
2010-01-11 10:00:00,48.44,48.61,48.39,48.43,66967
2010-01-11 10:15:00,48.51,48.66,48.26,48.37,113157
2010-01-11 10:30:00,48.4,48.53,48.33,48.44,145550
2010-01-11 10:45:00,48.49,48.57,48.38,48.53,175576
2010-01-11 11:00:00,48.53,48.59,48.49,48.54,211976
2010-01-11 11:15:00,48.58,48.58,48.27,48.29,249130
2010-01-11 11:30:00,48.29,48.35,48.23,48.26,299304
2010-01-11 11:45:00,48.27,48.35,48.24,48.33,322604
2010-01-11 12:00:00,48.32,48.43,48.26,48.4299,329504
2010-01-11 12:15:00,48.4,48.46,48.3699,48.4599,333569
2010-01-11 12:30:00,48.42,48.42,48.27,48.3799,337569
2010-01-11 12:45:00,48.32,48.35,48.27,48.27,341569
2010-01-11 13:00:00,48.26,48.37,48.25,48.35,343469
2010-01-11 13:15:00,48.37,48.41,48.36,48.38,344769
2010-01-11 13:30:00,48.37,48.47,48.33,48.43,356945
