dt,open,high,low,close,volume
2010-01-04 09:45:00,20.34,20.34,20.19,20.2,255479
2010-01-04 10:00:00,20.2,20.22,20.15,20.15,495857
2010-01-04 10:15:00,20.16,20.19,20.14,20.15,621846
2010-01-04 10:30:00,20.14,20.18,20.14,20.18,719942
2010-01-04 10:45:00,20.1725,20.19,20.14,20.19,829072
2010-01-04 11:00:00,20.19,20.21,20.16,20.18,952976
2010-01-04 11:15:00,20.18,20.2,20.18,20.18,1050789
2010-01-04 11:30:00,20.18,20.22,20.18,20.195,1106216
2010-01-04 11:45:00,20.19,20.22,20.19,20.2105,1163748
2010-01-04 12:00:00,20.2173,20.22,20.21,20.21,1201393
2010-01-04 12:15:00,20.21,20.22,20.16,20.16,1267653
2010-01-04 12:30:00,20.16,20.17,20.15,20.15,1309276
2010-01-04 12:45:00,20.15,20.16,20.1,20.1,1396404
2010-01-04 13:00:00,20.1,20.11,20.09,20.1,1437128
2010-01-04 13:15:00,20.105,20.11,20.1,20.1,1469265
2010-01-04 13:30:00,20.11,20.13,20.1,20.12,1510608
2010-01-04 13:45:00,20.12,20.13,20.09,20.1,1567989
2010-01-04 14:00:00,20.09,20.1,20.04,20.04,1702844
2010-01-04 14:15:00,20.04,20.06,20.02,20.025,1812785
2010-01-04 14:30:00,20.02,20.03,20.02,20.025,1849041
2010-01-04 14:45:00,20.03,20.03,20.02,20.03,1932327
2010-01-04 15:00:00,20.03,20.03,20.02,20.025,1963765
2010-01-04 15:15:00,20.025,20.03,19.99,19.99,2083448
2010-01-04 15:30:00,19.995,20.0,19.98,20.0,2191875
2010-01-04 15:45:00,20.0,20.0,19.96,19.96,2421018
2010-01-04 16:00:00,19.9699,19.98,19.96,19.98,2834767
2010-01-05 09:45:00,19.9,20.06,19.85,19.94,95773
2010-01-05 10:00:00,19.93,19.94,19.82,19.84,156452
2010-01-05 10:15:00,19.81,19.96,19.77,19.95,324300
2010-01-05 10:30:00,19.955,19.98,19.87,19.87,490527
2010-01-05 10:45:00,19.87,19.87,19.77,19.79,691556
2010-01-05 11:00:00,19.79,19.8,19.66,19.66,907701
2010-01-05 11:15:00,19.66,19.71,19.61,19.71,1127925
2010-01-05 11:30:00,19.71,19.73,19.65,19.66,1362725
2010-01-05 11:45:00,19.6503,19.6503,19.48,19.49,1554629
2010-01-05 12:00:00,19.49,19.49,19.45,19.47,1759213
2010-01-05 12:15:00,19.4703,19.48,19.4,19.41,1944266
2010-01-05 12:30:00,19.41,19.42,19.35,19.37,2428431
2010-01-05 12:45:00,19.38,19.46,19.38,19.46,2616267
2010-01-05 13:00:00,19.46,19.46,19.38,19.39,2774625
2010-01-05 13:15:00,19.38,19.47,19.36,19.36,2959704
2010-01-05 13:30:00,19.36,19.36,19.33,19.33,3096890
2010-01-05 13:45:00,19.33,19.475,19.33,19.47,3337566
2010-01-05 14:00:00,19.4603,19.52,19.46,19.52,3448203
2010-01-05 14:15:00,19.52,19.54,19.52,19.53,3536704
2010-01-05 14:30:00,19.54,19.54,19.53,19.5305,3573025
2010-01-05 14:45:00,19.53,19.57,19.53,19.53,3694337
2010-01-05 15:00:00,19.5375,19.56,19.53,19.55,3850196
2010-01-05 15:15:00,19.555,19.59,19.54,19.56,4060889
2010-01-05 15:30:00,19.56,19.57,19.56,19.56,4222648
2010-01-05 15:45:00,19.57,19.59,19.56,19.57,4501688
2010-01-05 16:00:00,19.57,19.59,19.54,19.58,5022252
2010-01-06 09:45:00,19.5,19.58,19.41,19.43,112389
2010-01-06 10:00:00,19.43,19.46,19.38,19.391,228514
2010-01-06 10:15:00,19.39,19.4,19.22,19.22,684268
2010-01-06 10:30:00,19.23,19.23,19.19,19.2,965563
2010-01-06 10:45:00,19.19,19.32,19.19,19.295,1258813
2010-01-06 11:00:00,19.29,19.37,19.29,19.36,1611374
2010-01-06 11:15:00,19.35,19.44,19.32,19.4075,2137547
2010-01-06 11:30:00,19.41,19.55,19.41,19.5,2529106
2010-01-06 11:45:00,19.5,19.57,19.49,19.57,2723976
2010-01-06 12:00:00,19.56,19.56,19.48,19.51,3008142
2010-01-06 12:15:00,19.5,19.52,19.49,19.5,3216709
2010-01-06 12:30:00,19.49,19.51,19.48,19.48,3421155
2010-01-06 12:45:00,19.485,19.54,19.48,19.54,3565275
2010-01-06 13:00:00,19.5398,19.55,19.5,19.5,3693269
2010-01-06 13:15:00,19.5,19.51,19.49,19.5,3759025
2010-01-06 13:30:00,19.49,19.52,19.49,19.5,4032317
2010-01-06 13:45:00,19.5,19.51,19.47,19.5,4129312
2010-01-06 14:00:00,19.49,19.5,19.44,19.45,4240892
2010-01-06 14:15:00,19.45,19.49,19.43,19.45,4407322
2010-01-06 14:30:00,19.44,19.49,19.44,19.45,4635486
2010-01-06 14:45:00,19.46,19.48,19.44,19.44,4848218
2010-01-06 15:00:00,19.44,19.45,19.43,19.45,4941348
2010-01-06 15:15:00,19.44,19.49,19.44,19.49,5126317
2010-01-06 15:30:00,19.49,19.5,19.44,19.46,5359517
2010-01-06 15:45:00,19.455,19.49,19.44,19.45,5640953
2010-01-06 16:00:00,19.45,19.5,19.44,19.5,6009429
2010-01-07 09:45:00,19.7,19.94,19.64,19.79,853164
2010-01-07 10:00:00,19.79,19.84,19.67,19.7,1339447
2010-01-07 10:15:00,19.7,19.81,19.67,19.79,2265426
2010-01-07 10:30:00,19.7901,19.8,19.76,19.7927,2544156
2010-01-07 10:45:00,19.8,19.85,19.76,19.81,2990898
2010-01-07 11:00:00,19.8,19.89,19.79,19.8598,3344562
2010-01-07 11:15:00,19.86,19.93,19.85,19.93,3504277
2010-01-07 11:30:00,19.93,19.97,19.91,19.9589,3712942
2010-01-07 11:45:00,19.96,20.0,19.88,19.9,3947053
2010-01-07 12:00:00,19.9,19.92,19.88,19.92,4070787
2010-01-07 12:15:00,19.91,19.92,19.86,19.87,4162265
2010-01-07 12:30:00,19.87,19.93,19.87,19.91,4259604
2010-01-07 12:45:00,19.9073,19.95,19.88,19.88,4399316
2010-01-07 13:00:00,19.88,19.92,19.86,19.9,4520962
2010-01-07 13:15:00,19.91,19.91,19.87,19.9,4644391
2010-01-07 13:30:00,19.9,19.91,19.88,19.9,4747788
2010-01-07 13:45:00,19.9,19.91,19.86,19.87,5943481
2010-01-07 14:00:00,19.87,19.93,19.87,19.9,6071700
2010-01-07 14:15:00,19.9027,20.0,19.9001,19.99,6223614
2010-01-07 14:30:00,19.981,20.01,19.98,20.0,7188883
2010-01-07 14:45:00,19.9999,20.07,19.99,20.02,7595812
2010-01-07 15:00:00,20.02,20.04,20.0,20.02,7766261
2010-01-07 15:15:00,20.02,20.05,19.99,20.0,8053934
2010-01-07 15:30:00,20.0,20.03,19.9927,20.02,8437025
2010-01-07 15:45:00,20.02,20.04,19.99,20.0,8948597
2010-01-07 16:00:00,20.0,20.02,19.98,20.0,9589786
2010-01-08 09:45:00,19.91,20.06,19.77,19.8,154971
2010-01-08 10:00:00,19.8,19.91,19.79,19.88,287543
2010-01-08 10:15:00,19.89,19.89,19.78,19.82,487107
2010-01-08 10:30:00,19.81,19.86,19.81,19.84,563413
2010-01-08 10:45:00,19.84,19.85,19.83,19.84,598485
2010-01-08 11:00:00,19.849,19.85,19.81,19.82,641252
