dt,open,high,low,close,volume
2010-01-04 09:45:00,42.81,43.98,42.8,43.91,259902
2010-01-04 10:00:00,43.91,44.16,43.87,44.02,437906
2010-01-04 10:15:00,44.02,44.36,43.93,44.275,557304
2010-01-04 10:30:00,44.2837,44.35,44.05,44.32,676615
2010-01-04 10:45:00,44.34,44.42,44.28,44.41,763871
2010-01-04 11:00:00,44.41,44.42,44.07,44.0958,897213
2010-01-04 11:15:00,44.1,44.35,44.09,44.33,945151
2010-01-04 11:30:00,44.33,44.34,44.19,44.25,1010665
2010-01-04 11:45:00,44.23,44.35,44.23,44.31,1053651
2010-01-04 12:00:00,44.3,44.32,44.22,44.23,1146613
2010-01-04 12:15:00,44.25,44.25,44.09,44.11,1225281
2010-01-04 12:30:00,44.1,44.13,44.0501,44.0501,1265159
2010-01-04 12:45:00,44.07,44.19,44.04,44.16,1327762
2010-01-04 13:00:00,44.17,44.25,44.15,44.23,1413556
2010-01-04 13:15:00,44.22,44.3,44.2,44.27,1512563
2010-01-04 13:30:00,44.27,44.29,44.2,44.24,1551287
2010-01-04 13:45:00,44.25,44.29,44.2,44.28,1585695
2010-01-04 14:00:00,44.28,44.3,44.19,44.24,1687827
2010-01-04 14:15:00,44.24,44.3,44.23,44.24,1729353
2010-01-04 14:30:00,44.23,44.28,44.16,44.2,1781478
2010-01-04 14:45:00,44.2,44.27,44.19,44.25,1853166
2010-01-04 15:00:00,44.26,44.27,44.21,44.23,1915004
2010-01-04 15:15:00,44.23,44.26,44.17,44.23,2038216
2010-01-04 15:30:00,44.23,44.27,44.14,44.15,2167304
2010-01-04 15:45:00,44.15,44.23,44.07,44.08,2345631
2010-01-04 16:00:00,44.0701,44.22,44.01,44.2,2983424
2010-01-05 09:45:00,44.48,44.95,44.43,44.88,228874
2010-01-05 10:00:00,44.88,45.12,44.8,44.83,455973
2010-01-05 10:15:00,44.83,45.59,44.79,45.5732,743025
2010-01-05 10:30:00,45.59,45.91,45.589,45.87,965086
2010-01-05 10:45:00,45.87,46.07,45.74,46.01,1170925
2010-01-05 11:00:00,46.02,46.07,45.59,45.61,1398228
2010-01-05 11:15:00,45.63,45.66,45.39,45.39,1648196
2010-01-05 11:30:00,45.39,45.68,45.37,45.5998,1832417
2010-01-05 11:45:00,45.59,45.649,45.38,45.6,1912758
2010-01-05 12:00:00,45.6,45.6,45.475,45.5,1987202
2010-01-05 12:15:00,45.49,45.58,45.49,45.53,2112233
2010-01-05 12:30:00,45.53,45.56,45.49,45.535,2216138
2010-01-05 12:45:00,45.53,45.725,45.49,45.725,2356009
2010-01-05 13:00:00,45.73,45.87,45.65,45.87,2442096
2010-01-05 13:15:00,45.86,45.87,45.6,45.66,2534144
2010-01-05 13:30:00,45.66,45.67,45.5,45.59,2620501
2010-01-05 13:45:00,45.59,45.6,45.26,45.32,2720215
2010-01-05 14:00:00,45.3185,45.53,45.24,45.527,2849409
2010-01-05 14:15:00,45.52,45.68,45.42,45.46,2923250
2010-01-05 14:30:00,45.45,45.59,45.2832,45.57,3024123
2010-01-05 14:45:00,45.585,45.59,45.32,45.37,3107945
2010-01-05 15:00:00,45.37,45.73,45.36,45.7101,3226263
2010-01-05 15:15:00,45.71,45.88,45.71,45.82,3394035
2010-01-05 15:30:00,45.82,45.99,45.82,45.94,3519264
2010-01-05 15:45:00,45.95,45.99,45.88,45.95,3678862
2010-01-05 16:00:00,45.94,46.11,45.91,45.93,4051129
2010-01-06 09:45:00,46.27,47.91,46.27,47.6,754162
2010-01-06 10:00:00,47.61,47.89,47.244,47.47,1081818
2010-01-06 10:15:00,47.47,48.1599,47.46,47.99,1402506
2010-01-06 10:30:00,47.97,48.16,47.68,47.74,1739882
2010-01-06 10:45:00,47.77,47.77,46.81,47.115,2078955
2010-01-06 11:00:00,47.16,47.4,47.1,47.26,2268647
2010-01-06 11:15:00,47.3,47.54,47.13,47.27,2394189
2010-01-06 11:30:00,47.26,47.64,47.24,47.47,2515550
2010-01-06 11:45:00,47.46,47.63,47.33,47.48,2610413
2010-01-06 12:00:00,47.46,47.49,47.05,47.07,2686669
2010-01-06 12:15:00,47.07,47.35,47.03,47.285,2799778
2010-01-06 12:30:00,47.31,47.49,47.29,47.33,2921912
2010-01-06 12:45:00,47.33,47.5,47.29,47.5,3009701
2010-01-06 13:00:00,47.49,47.64,47.48,47.62,3129847
2010-01-06 13:15:00,47.63,47.79,47.44,47.58,3207081
2010-01-06 13:30:00,47.58,48.04,47.575,47.995,3378345
2010-01-06 13:45:00,48.0,48.06,47.91,48.0,3517310
2010-01-06 14:00:00,48.01,48.02,47.815,47.84,3632907
2010-01-06 14:15:00,47.84,48.2698,47.84,48.12,3778957
2010-01-06 14:30:00,48.13,48.16,48.06,48.16,3871046
2010-01-06 14:45:00,48.17,48.41,48.145,48.25,4021298
2010-01-06 15:00:00,48.25,48.31,48.0,48.0,4121558
2010-01-06 15:15:00,48.01,48.09,47.935,48.04,4250624
2010-01-06 15:30:00,48.04,48.18,48.0,48.1699,4376924
2010-01-06 15:45:00,48.17,48.37,48.11,48.25,4717840
2010-01-06 16:00:00,48.25,48.25,48.0,48.0946,5079046
2010-01-07 09:45:00,48.0,48.0,47.65,47.71,190994
2010-01-07 10:00:00,47.67,47.72,46.85,46.9,411471
2010-01-07 10:15:00,46.94,47.2554,46.91,47.13,572890
2010-01-07 10:30:00,47.13,47.29,46.86,47.07,754441
2010-01-07 10:45:00,47.1,47.4,47.03,47.3,952056
2010-01-07 11:00:00,47.33,47.66,47.25,47.29,1153475
2010-01-07 11:15:00,47.29,47.35,47.12,47.235,1238345
