dt,open,high,low,close,volume
2011-06-23 09:45:00,38.0,38.0,38.0,38.0,8500
2011-06-23 10:00:00,38.05,38.05,38.0,38.05,86100
2011-06-23 10:15:00,38.0,38.01,37.0,37.5,370500
2011-06-23 10:30:00,37.5,37.9,36.5,36.99,691273
2011-06-23 10:45:00,36.99,37.5,36.74,37.24,822000
2011-06-23 11:00:00,37.49,37.6,37.0,37.5,914823
2011-06-23 11:15:00,37.25,37.4,37.25,37.25,1076173
2011-06-23 11:30:00,37.05,37.5,36.79,37.1,1281373
2011-06-23 11:45:00,37.35,37.45,37.21,37.25,1481973
2011-06-23 12:00:00,37.44,37.45,37.25,37.45,1612873
2011-06-23 12:15:00,37.5,37.5,37.35,37.35,1642673
2011-06-23 12:30:00,37.5,37.5,37.25,37.25,1650998
2011-06-23 12:45:00,37.35,37.5,37.25,37.25,1991698
2011-06-23 13:00:00,37.45,37.45,37.45,37.45,1992598
2011-06-23 13:15:00,37.5,37.85,37.45,37.75,2007398
2011-06-23 13:30:00,37.75,37.76,37.7,37.75,2009430
2011-06-23 13:45:00,37.76,37.76,37.7,37.7,2010330
2011-06-23 14:00:00,37.7,37.8,37.56,37.8,2013530
2011-06-23 14:15:00,37.95,38.0,37.95,38.0,2064430
2011-06-23 14:30:00,37.95,38.0,37.95,38.0,2071921
2011-06-23 14:45:00,38.0,38.0,38.0,38.0,2104421
2011-06-23 15:00:00,38.05,38.15,38.05,38.15,2106521
2011-06-23 15:15:00,38.15,38.2,38.0,38.0,2108470
2011-06-23 15:30:00,38.16,38.75,38.05,38.5,2380688
2011-06-23 15:45:00,38.5,38.5,38.5,38.5,2386608
2011-06-23 16:00:00,38.5,39.0,38.5,39.0,2548871
2011-06-24 09:45:00,38.75,38.75,38.15,38.49,900
2011-06-24 10:00:00,38.65,38.65,38.5,38.5,26000
2011-06-24 10:15:00,38.81,38.81,38.25,38.5,124198
2011-06-24 10:30:00,38.5,39.15,38.39,38.65,255013
2011-06-24 10:45:00,38.65,39.03,38.62,38.75,263113
2011-06-24 11:00:00,38.73,38.78,38.53,38.7,265282
2011-06-24 11:15:00,38.56,38.71,38.28,38.55,274473
2011-06-24 11:30:00,38.55,38.55,38.35,38.5,291120
2011-06-24 11:45:00,38.5,38.62,38.49,38.62,303370
2011-06-24 12:00:00,38.6,39.1,38.5,38.96,428490
2011-06-24 12:15:00,38.96,38.98,38.68,38.68,432381
2011-06-24 12:30:00,38.59,38.59,38.02,38.3,479481
2011-06-24 12:45:00,38.3,38.4,37.78,37.99,615879
2011-06-24 13:00:00,37.99,38.0,37.62,38.0,631687
2011-06-24 13:15:00,38.0,38.13,37.9,38.13,638737
2011-06-24 13:30:00,38.16,38.16,37.78,37.81,640746
2011-06-24 13:45:00,37.94,38.0,37.75,37.85,665596
2011-06-24 14:00:00,37.85,37.85,37.67,37.73,672346
2011-06-24 14:15:00,37.7,37.7,37.41,37.41,712746
2011-06-24 14:30:00,37.25,37.25,36.87,37.0,725856
2011-06-24 14:45:00,37.0,37.34,37.0,37.26,730131
2011-06-24 15:00:00,37.34,37.34,37.31,37.31,730331
2011-06-24 15:15:00,37.4,37.4,37.24,37.24,731831
2011-06-24 15:30:00,37.48,37.5,37.0,37.0,738056
2011-06-24 15:45:00,37.0,37.28,37.0,37.2,753256
2011-06-24 16:00:00,37.28,37.5,36.84,37.5,835656
2011-06-27 09:45:00,36.69,37.09,36.59,37.09,550
2011-06-27 10:00:00,37.19,37.81,37.19,37.57,3200
2011-06-27 10:15:00,37.5,37.51,37.24,37.24,29300
2011-06-27 10:30:00,37.24,37.5,37.24,37.5,31600
2011-06-27 10:45:00,37.5,37.5,37.48,37.48,59050
2011-06-27 11:00:00,37.48,37.58,37.43,37.5,100504
2011-06-27 11:15:00,37.25,37.29,37.25,37.29,102604
2011-06-27 11:30:00,37.18,37.5,37.12,37.5,174004
2011-06-27 11:45:00,37.46,37.5,37.22,37.45,178454
2011-06-27 12:00:00,37.43,37.5,37.42,37.5,179504
2011-06-27 12:15:00,37.5,37.5,37.35,37.35,180354
2011-06-27 12:30:00,37.4,37.4,37.4,37.4,205354
2011-06-27 12:45:00,37.4,37.5,37.4,37.48,206958
2011-06-27 13:00:00,37.5,37.6,37.38,37.38,212958
2011-06-27 13:15:00,37.4,37.6,37.4,37.6,215458
2011-06-27 13:30:00,37.6,37.6,37.4,37.6,219458
2011-06-27 13:45:00,37.6,37.6,37.5,37.5,233467
2011-06-27 14:00:00,37.5,37.5,37.5,37.5,280459
2011-06-27 14:15:00,37.5,37.5,37.5,37.5,285209
2011-06-27 14:30:00,37.5,37.75,37.5,37.75,288459
2011-06-27 14:45:00,37.76,37.9,37.75,37.75,296617
2011-06-27 15:00:00,37.95,37.95,37.75,37.88,311417
2011-06-27 15:15:00,37.88,37.95,37.88,37.9,346292
2011-06-27 15:30:00,37.85,37.85,37.75,37.75,364192
2011-06-27 15:45:00,37.75,37.8,37.5,37.5,414792
2011-06-27 16:00:00,37.5,37.7,37.26,37.7,447450
2011-06-28 09:45:00,38.34,39.99,37.7,38.5,40414
2011-06-28 10:00:00,38.54,38.54,38.0,38.37,109386
2011-06-28 10:15:00,38.34,38.58,38.26,38.5,301636
2011-06-28 10:30:00,38.5,38.52,38.05,38.29,376803
2011-06-28 10:45:00,38.28,38.49,38.18,38.45,416794
2011-06-28 11:00:00,38.45,38.46,38.13,38.25,515923
2011-06-28 11:15:00,38.29,38.5,38.25,38.35,560343
2011-06-28 11:30:00,38.35,38.5,38.3,38.4,651199
2011-06-28 11:45:00,38.4,38.5,38.4,38.5,657679
2011-06-28 12:00:00,38.5,38.59,38.49,38.5,705279
2011-06-28 12:15:00,38.535,38.59,38.35,38.5,913857
2011-06-28 12:30:00,38.5,38.9,38.5,38.55,959837
2011-06-28 12:45:00,38.59,38.75,38.59,38.6875,1013537
2011-06-28 13:00:00,38.7,38.75,38.62,38.715,1096037
2011-06-28 13:15:00,38.715,38.75,38.64,38.75,1381837
2011-06-28 13:30:00,38.55,38.75,38.55,38.57,1654437
2011-06-28 13:45:00,38.72,38.72,38.57,38.7,1714037
2011-06-28 14:00:00,38.7,38.82,38.6,38.7,1797324
2011-06-28 14:15:00,38.7,38.82,38.65,38.705,1819775
2011-06-28 14:30:00,38.705,38.83,38.7,38.79,1830075
2011-06-28 14:45:00,38.81,38.9,38.75,38.85,1890875
2011-06-28 15:00:00,38.86,39.25,38.86,38.95,1940615
2011-06-28 15:15:00,39.1,39.11,38.85,38.99,1955886
2011-06-28 15:30:00,38.92,39.0,38.78,38.81,1997260
2011-06-28 15:45:00,38.81,38.84,38.75,38.76,2040001
2011-06-28 16:00:00,38.81,38.85,38.75,38.77,2074851
2011-06-29 09:45:00,39.0,39.5,39.0,39.34,9250
2011-06-29 10:00:00,39.28,39.5,38.81,38.81,75844
2011-06-29 10:15:00,38.97,39.13,38.7,39.0,353479
2011-06-29 10:30:00,39.04,39.04,38.7,38.82,391148
2011-06-29 10:45:00,38.81,39.0,38.72,38.98,398898
2011-06-29 11:00:00,38.92,39.1,38.85,39.1,470448
2011-06-29 11:15:00,39.02,39.1,38.91,38.92,482748
2011-06-29 11:30:00,38.93,39.1,38.93,39.05,561398
2011-06-29 11:45:00,39.01,39.3,38.96,39.2,664398
2011-06-29 12:00:00,39.1,39.11,39.0,39.09,668508
2011-06-29 12:15:00,39.09,39.25,39.08,39.12,723408
2011-06-29 12:30:00,39.135,39.18,38.95,39.02,730851
2011-06-29 12:45:00,39.04,39.1,38.95,39.1,750345
2011-06-29 13:00:00,39.09,39.1,38.96,39.0,857745
2011-06-29 13:15:00,39.0,39.2,39.0,39.2,1091845
2011-06-29 13:30:00,39.2,39.34,39.15,39.29,1096845
2011-06-29 13:45:00,39.255,39.26,39.22,39.24,1099630
2011-06-29 14:00:00,39.24,39.25,39.03,39.15,1289580
2011-06-29 14:15:00,39.12,39.35,39.1,39.16,1299080
2011-06-29 14:30:00,39.16,39.33,39.16,39.27,1301380
2011-06-29 14:45:00,39.29,39.49,39.28,39.45,1353915
2011-06-29 15:00:00,39.43,39.87,39.42,39.67,1419715
2011-06-29 15:15:00,39.67,39.77,39.38,39.38,1513015
2011-06-29 15:30:00,39.44,39.5,39.05,39.09,1584456
2011-06-29 15:45:00,39.11,39.4,39.07,39.38,1646410
2011-06-29 16:00:00,39.37,40.97,39.34,40.07,1812080
2011-06-30 09:45:00,40.67,41.0,40.2,40.2,9750
