dt,open,high,low,close,volume
2010-01-04 09:45:00,36.82,37.0,36.55,36.97,989599
2010-01-04 10:00:00,36.97,37.075,36.89,36.92,1838882
2010-01-04 10:15:00,36.93,37.05,36.82,37.05,2852126
2010-01-04 10:30:00,37.05,37.05,36.96,37.03,3442431
2010-01-04 10:45:00,37.03,37.18,37.03,37.17,3892066
2010-01-04 11:00:00,37.18,37.21,37.13,37.17,4299494
2010-01-04 11:15:00,37.17,37.2,37.14,37.15,4532232
2010-01-04 11:30:00,37.155,37.22,37.14,37.2,4872077
2010-01-04 11:45:00,37.21,37.25,37.18,37.225,5218288
2010-01-04 12:00:00,37.2295,37.23,37.03,37.04,5699089
2010-01-04 12:15:00,37.03,37.04,36.98,36.9827,5977838
2010-01-04 12:30:00,36.9884,37.01,36.94,37.0,6197486
2010-01-04 12:45:00,36.99,37.005,36.9778,37.0,6431343
2010-01-04 13:00:00,36.995,37.005,36.99,37.0,6816707
2010-01-04 13:15:00,37.0,37.05,36.96,36.97,7160493
2010-01-04 13:30:00,36.97,37.04,36.97,37.02,7527220
2010-01-04 13:45:00,37.0111,37.02,36.97,37.01,7862439
2010-01-04 14:00:00,37.01,37.02,36.96,36.9975,8169462
2010-01-04 14:15:00,37.0,37.03,36.99,37.01,8415086
2010-01-04 14:30:00,37.02,37.05,37.0,37.0401,8768943
2010-01-04 14:45:00,37.04,37.05,36.98,37.0,9216339
2010-01-04 15:00:00,37.005,37.05,36.99,36.991,9546925
2010-01-04 15:15:00,37.0,37.09,36.99,37.08,9979322
2010-01-04 15:30:00,37.07,37.08,36.99,37.0,10429997
2010-01-04 15:45:00,37.0099,37.03,36.99,37.03,10829357
2010-01-04 16:00:00,37.03,37.11,37.02,37.03,11993363
2010-01-05 09:45:00,37.31,37.38,36.94,37.04,1249093
2010-01-05 10:00:00,37.04,37.155,36.97,36.97,2827126
2010-01-05 10:15:00,36.97,37.07,36.93,37.02,3376321
2010-01-05 10:30:00,37.03,37.14,36.98,37.14,3886789
2010-01-05 10:45:00,37.14,37.19,37.0,37.19,4547138
2010-01-05 11:00:00,37.19,37.35,37.18,37.3401,5026936
2010-01-05 11:15:00,37.3461,37.45,37.32,37.36,5591620
2010-01-05 11:30:00,37.36,37.385,37.15,37.19,6600520
2010-01-05 11:45:00,37.1805,37.22,37.1,37.17,7112337
2010-01-05 12:00:00,37.18,37.3,37.175,37.28,7498402
2010-01-05 12:15:00,37.2794,37.4,37.27,37.39,7812113
2010-01-05 12:30:00,37.39,37.39,37.23,37.23,8127368
2010-01-05 12:45:00,37.23,37.28,37.23,37.2798,8331570
2010-01-05 13:00:00,37.28,37.305,37.26,37.2975,8530808
2010-01-05 13:15:00,37.3,37.3,37.21,37.2175,8816767
2010-01-05 13:30:00,37.22,37.22,37.16,37.19,9299947
2010-01-05 13:45:00,37.2,37.32,37.19,37.29,9600183
2010-01-05 14:00:00,37.29,37.33,37.26,37.28,9830362
2010-01-05 14:15:00,37.28,37.32,37.28,37.28,10146341
2010-01-05 14:30:00,37.29,37.29,37.18,37.18,10728367
2010-01-05 14:45:00,37.18,37.21,37.16,37.19,11205539
