dt,open,high,low,close,volume
2010-01-04 09:45:00,30.7,30.99,30.63,30.74,2620869
2010-01-04 10:00:00,30.7413,30.9,30.7,30.88,3821836
2010-01-04 10:15:00,30.88,30.91,30.66,30.73,5320888
2010-01-04 10:30:00,30.73,30.8,30.66,30.7825,5782098
2010-01-04 10:45:00,30.7825,30.9,30.77,30.89,6204500
2010-01-04 11:00:00,30.89,30.99,30.87,30.93,6677670
2010-01-04 11:15:00,30.921,30.97,30.87,30.9,7040412
2010-01-04 11:30:00,30.9,30.97,30.89,30.96,7386198
2010-01-04 11:45:00,30.95,31.968,30.93,31.06,8366478
2010-01-04 12:00:00,31.06,31.23,30.98,31.2,8967172
2010-01-04 12:15:00,31.2,31.25,31.13,31.2,9530401
2010-01-04 12:30:00,31.2,31.23,31.14,31.17,9830617
2010-01-04 12:45:00,31.17,31.24,31.16,31.2298,10186214
2010-01-04 13:00:00,31.2201,31.3599,31.21,31.33,10764996
2010-01-04 13:15:00,31.33,31.33,31.17,31.21,11214685
2010-01-04 13:30:00,31.21,31.25,31.19,31.235,11885987
2010-01-04 13:45:00,31.235,31.24,31.05,31.1,13005108
2010-01-04 14:00:00,31.1,31.19,31.03,31.05,13611809
2010-01-04 14:15:00,31.05,31.07,30.99,31.05,14190551
2010-01-04 14:30:00,31.04,31.05,30.9,30.9399,14873024
2010-01-04 14:45:00,30.93,31.0001,30.93,31.0,15279736
2010-01-04 15:00:00,31.0,31.0,30.95,30.97,15720857
2010-01-04 15:15:00,30.96,31.01,30.96,30.99,16366074
2010-01-04 15:30:00,30.98,30.99,30.95,30.98,16775555
2010-01-04 15:45:00,30.975,30.98,30.9,30.95,17778806
2010-01-04 16:00:00,30.96,31.01,30.91,30.92,19466208
2010-01-05 09:45:00,31.01,31.23,30.93,31.17,1635243
2010-01-05 10:00:00,31.17,31.32,31.15,31.205,2883212
2010-01-05 10:15:00,31.21,31.75,31.12,31.75,4871249
2010-01-05 10:30:00,31.75,31.85,31.64,31.6599,6625534
2010-01-05 10:45:00,31.66,31.82,31.64,31.8,7487112
2010-01-05 11:00:00,31.79,31.8,31.67,31.69,8115120
2010-01-05 11:15:00,31.695,31.73,31.6,31.67,8534125
2010-01-05 11:30:00,31.67,31.73,31.62,31.7,9100684
2010-01-05 11:45:00,31.71,31.77,31.68,31.759,9450234
2010-01-05 12:00:00,31.7599,31.85,31.7599,31.84,9879219
2010-01-05 12:15:00,31.84,31.94,31.82,31.89,10533469
2010-01-05 12:30:00,31.9,31.91,31.8,31.83,10888533
2010-01-05 12:45:00,31.8225,31.88,31.74,31.875,11548338
2010-01-05 13:00:00,31.875,31.875,31.73,31.7904,12233253
2010-01-05 13:15:00,31.795,31.82,31.68,31.71,13045387
2010-01-05 13:30:00,31.71,31.71,31.52,31.5775,13689544
2010-01-05 13:45:00,31.56,31.73,31.56,31.72,14078589
2010-01-05 14:00:00,31.71,31.76,31.63,31.7203,14506419
2010-01-05 14:15:00,31.725,31.77,31.57,31.61,14786823
2010-01-05 14:30:00,31.61,31.63,31.54,31.59,15090175
2010-01-05 14:45:00,31.5902,31.72,31.59,31.69,15453238
2010-01-05 15:00:00,31.7,31.78,31.69,31.76,15850520
2010-01-05 15:15:00,31.77,31.81,31.74,31.745,16314698
2010-01-05 15:30:00,31.75,31.92,31.7425,31.91,17072751
2010-01-05 15:45:00,31.92,32.02,31.91,31.96,18421303
2010-01-05 16:00:00,31.96,32.13,31.95,32.07,21505853
2010-01-06 09:45:00,31.93,32.04,31.79,31.95,1372686
2010-01-06 10:00:00,31.96,32.01,31.89,31.95,1962029
2010-01-06 10:15:00,31.98,32.12,31.97,32.0101,2737419
2010-01-06 10:30:00,32.01,32.1,31.9699,32.05,3253765
2010-01-06 10:45:00,32.04,32.065,31.94,31.96,3604403
2010-01-06 11:00:00,31.95,32.025,31.91,32.02,4131636
2010-01-06 11:15:00,32.02,32.02,31.84,31.89,5503622
2010-01-06 11:30:00,31.895,32.08,31.89,32.06,6600739
2010-01-06 11:45:00,32.0601,32.33,32.04,32.31,7448708
2010-01-06 12:00:00,32.31,32.31,32.15,32.18,7869626
2010-01-06 12:15:00,32.1895,32.2,32.09,32.16,8215833
2010-01-06 12:30:00,32.15,32.23,32.12,32.21,8572469
2010-01-06 12:45:00,32.21,32.27,32.16,32.17,8840531
2010-01-06 13:00:00,32.179,32.27,32.16,32.25,9059918
2010-01-06 13:15:00,32.25,32.35,32.25,32.28,9520359
2010-01-06 13:30:00,32.29,32.37,32.28,32.36,9966754
2010-01-06 13:45:00,32.37,32.53,32.35,32.5,10826872
