dt,open,high,low,close,volume
2010-01-04 09:45:00,105.48,105.48,105.05,105.37,7167
2010-01-04 10:00:00,105.44,105.6,105.11,105.11,11667
2010-01-04 10:15:00,105.24,105.28,104.83,105.15,22741
2010-01-04 10:30:00,105.16,105.87,105.13,105.87,27800
2010-01-04 10:45:00,105.96,106.11,105.9,106.06,34097
2010-01-04 11:00:00,106.11,106.15,105.9,106.08,36160
2010-01-04 11:15:00,106.09,106.21,106.04,106.04,37360
2010-01-04 11:30:00,106.01,106.06,105.97,106.02,38460
2010-01-04 11:45:00,105.99,105.99,105.38,105.38,44656
2010-01-04 12:00:00,105.28,105.31,105.265,105.31,45956
2010-01-04 12:15:00,105.28,105.59,105.28,105.57,47775
2010-01-04 12:30:00,105.62,105.74,105.34,105.49,51775
2010-01-04 12:45:00,105.4,105.45,105.23,105.33,55351
2010-01-04 13:00:00,105.37,105.43,105.33,105.35,56491
2010-01-04 13:15:00,105.2707,105.52,105.27,105.52,58635
2010-01-04 13:30:00,105.533,105.5372,105.37,105.44,59729
2010-01-04 13:45:00,105.44,105.51,105.29,105.42,60929
2010-01-04 14:00:00,105.48,105.52,105.29,105.29,62189
2010-01-04 14:15:00,105.335,105.35,104.91,105.0,65417
2010-01-04 14:30:00,104.99,105.24,104.93,105.24,66317
2010-01-04 14:45:00,105.29,105.29,105.24,105.28,67917
2010-01-04 15:00:00,105.28,105.28,104.9675,104.9675,72102
2010-01-04 15:15:00,105.01,105.24,105.01,105.22,75115
2010-01-04 15:30:00,105.24,105.5,105.24,105.5,77515
2010-01-04 15:45:00,105.4697,105.51,105.3,105.48,82620
2010-01-04 16:00:00,105.45,105.8,105.45,105.61,92316
2010-01-05 09:45:00,104.73,104.73,102.8,102.8,37150
2010-01-05 10:00:00,102.69,103.02,101.69,101.7,55401
2010-01-05 10:15:00,101.69,101.71,101.31,101.48,88207
2010-01-05 10:30:00,101.5299,101.98,101.4,101.8181,122662
2010-01-05 10:45:00,101.91,102.16,101.9,102.16,140603
2010-01-05 11:00:00,102.12,102.2,101.87,101.99,157967
2010-01-05 11:15:00,101.99,102.1,101.37,101.53,173021
2010-01-05 11:30:00,101.53,101.92,101.49,101.92,181338
2010-01-05 11:45:00,101.94,102.02,101.82,101.84,192138
2010-01-05 12:00:00,101.84,102.0,101.8,101.84,195638
2010-01-05 12:15:00,101.72,102.01,101.67,102.01,203638
2010-01-05 12:30:00,102.05,102.13,101.95,102.06,210483
2010-01-05 12:45:00,102.04,102.07,101.78,101.82,219763
2010-01-05 13:00:00,101.8,101.8,101.45,101.71,225710
2010-01-05 13:15:00,101.71,101.72,101.38,101.4,237520
2010-01-05 13:30:00,101.53,101.7,101.38,101.66,246932
2010-01-05 13:45:00,101.68,101.875,101.65,101.85,249532
2010-01-05 14:00:00,101.8272,101.94,101.78,101.89,254504
2010-01-05 14:15:00,101.93,102.08,101.9,101.94,260885
2010-01-05 14:30:00,101.9054,102.28,101.89,102.27,266251
2010-01-05 14:45:00,102.3,102.8,102.3,102.68,274351
2010-01-05 15:00:00,102.77,102.82,102.61,102.82,278051
