dt,open,high,low,close,volume
2010-01-04 09:45:00,10.83,10.9,10.81,10.86,2532808
2010-01-04 10:00:00,10.86,10.93,10.82,10.93,5677271
2010-01-04 10:15:00,10.93,11.0,10.91,10.91,8582155
2010-01-04 10:30:00,10.9111,11.0,10.91,10.99,10109969
2010-01-04 10:45:00,10.99,11.04,10.95,11.0225,12210737
2010-01-04 11:00:00,11.0225,11.03,10.9,10.91,13734738
2010-01-04 11:15:00,10.9175,11.01,10.91,10.97,14709236
2010-01-04 11:30:00,10.97,10.98,10.9,10.92,15879846
2010-01-04 11:45:00,10.92,10.93,10.78,10.8291,17571191
2010-01-04 12:00:00,10.8298,10.87,10.82,10.85,18280273
2010-01-04 12:15:00,10.85,10.9,10.82,10.86,19295539
2010-01-04 12:30:00,10.86,10.92,10.86,10.8999,20075784
2010-01-04 12:45:00,10.9,10.94,10.88,10.92,20759880
2010-01-04 13:00:00,10.9212,10.93,10.86,10.8701,21590849
2010-01-04 13:15:00,10.8701,10.88,10.83,10.83,22310589
2010-01-04 13:30:00,10.83,10.86,10.8,10.84,22964590
2010-01-04 13:45:00,10.8425,10.86,10.81,10.82,23524463
2010-01-04 14:00:00,10.83,10.85,10.8,10.8,24267199
2010-01-04 14:15:00,10.8,10.82,10.8,10.8,24773951
2010-01-04 14:30:00,10.8,10.89,10.79,10.89,25714161
2010-01-04 14:45:00,10.89,10.95,10.88,10.94,26615227
2010-01-04 15:00:00,10.9494,10.97,10.9,10.9,27674655
2010-01-04 15:15:00,10.9,10.91,10.84,10.85,28479275
2010-01-04 15:30:00,10.85,10.86,10.8,10.81,29603223
2010-01-04 15:45:00,10.81,10.88,10.8,10.88,31048932
2010-01-04 16:00:00,10.87,10.9,10.82,10.84,33565798
2010-01-05 09:45:00,10.86,10.86,10.66,10.67,2288060
2010-01-05 10:00:00,10.6688,10.77,10.64,10.67,4594304
2010-01-05 10:15:00,10.685,10.71,10.63,10.6899,6990321
2010-01-05 10:30:00,10.69,10.9,10.67,10.87,12507979
2010-01-05 10:45:00,10.87,10.99,10.86,10.93,15786495
2010-01-05 11:00:00,10.93,10.96,10.89,10.94,18622390
2010-01-05 11:15:00,10.9301,10.94,10.89,10.91,20255052
2010-01-05 11:30:00,10.905,10.975,10.89,10.96,21894566
2010-01-05 11:45:00,10.97,11.1,10.95,11.1,24348425
2010-01-05 12:00:00,11.1,11.19,11.08,11.18,27152437
2010-01-05 12:15:00,11.175,11.25,11.17,11.24,29799996
2010-01-05 12:30:00,11.25,11.265,11.19,11.2,32713160
2010-01-05 12:45:00,11.19,11.19,10.7,11.15,35201078
2010-01-05 13:00:00,11.15,11.17,11.11,11.15,37300444
2010-01-05 13:15:00,11.15,11.21,11.14,11.21,39019471
2010-01-05 13:30:00,11.2001,11.26,11.16,11.17,41209933
