dt,open,high,low,close,volume
2010-01-04 09:45:00,53.04,53.66,52.87,53.24,203024
2010-01-04 10:00:00,53.27,53.39,53.23,53.31,302673
2010-01-04 10:15:00,53.32,53.454,53.275,53.44,365138
2010-01-04 10:30:00,53.45,53.68,53.415,53.67,448910
2010-01-04 10:45:00,53.68,53.74,53.62,53.64,568725
2010-01-04 11:00:00,53.65,53.69,53.56,53.65,642587
2010-01-04 11:15:00,53.65,53.66,53.5,53.55,736582
2010-01-04 11:30:00,53.5519,53.57,53.51,53.54,798712
2010-01-04 11:45:00,53.54,53.61,53.49,53.56,903435
2010-01-04 12:00:00,53.568,53.57,53.49,53.5,1006432
2010-01-04 12:15:00,53.49,53.5,53.36,53.37,1085180
2010-01-04 12:30:00,53.37,53.4073,53.34,53.4073,1127608
2010-01-04 12:45:00,53.4,53.43,53.3,53.3,1178743
2010-01-04 13:00:00,53.29,53.32,53.2,53.22,1220185
2010-01-04 13:15:00,53.22,53.26,53.2,53.24,1257954
2010-01-04 13:30:00,53.238,53.33,53.238,53.295,1307879
2010-01-04 13:45:00,53.32,53.35,53.29,53.31,1360500
2010-01-04 14:00:00,53.3001,53.34,53.21,53.3,1428138
2010-01-04 14:15:00,53.301,53.32,53.26,53.3,1490706
2010-01-04 14:30:00,53.3,53.3,53.23,53.2581,1555652
2010-01-04 14:45:00,53.25,53.3055,53.22,53.3,1647369
2010-01-04 15:00:00,53.3,53.32,53.21,53.23,1720143
2010-01-04 15:15:00,53.23,53.31,53.22,53.29,1843178
2010-01-04 15:30:00,53.3,53.3065,53.07,53.07,1964658
2010-01-04 15:45:00,53.07,53.23,53.04,53.23,2154432
2010-01-04 16:00:00,53.23,53.31,53.22,53.26,2445522
2010-01-05 09:45:00,53.3,53.38,53.16,53.3065,67923
2010-01-05 10:00:00,53.28,53.42,53.0275,53.03,141143
2010-01-05 10:15:00,53.035,53.22,52.935,52.9575,237619
2010-01-05 10:30:00,52.96,53.0,52.91,52.967,308301
2010-01-05 10:45:00,52.965,53.06,52.94,53.03,374093
2010-01-05 11:00:00,53.04,53.06,52.84,52.85,500958
2010-01-05 11:15:00,52.85,52.89,52.8,52.83,613743
2010-01-05 11:30:00,52.82,52.84,52.75,52.765,725570
2010-01-05 11:45:00,52.7695,52.77,52.67,52.7,808511
2010-01-05 12:00:00,52.71,52.79,52.69,52.745,870767
2010-01-05 12:15:00,52.74,52.75,52.65,52.66,956705
2010-01-05 12:30:00,52.67,52.69,52.61,52.61,1036090
2010-01-05 12:45:00,52.61,52.635,52.48,52.505,1161760
2010-01-05 13:00:00,52.5,52.5,52.26,52.48,1314090
2010-01-05 13:15:00,52.49,52.56,52.46,52.52,1394600
2010-01-05 13:30:00,52.51,52.58,52.46,52.56,1464877
2010-01-05 13:45:00,52.555,52.63,52.53,52.63,1525395
2010-01-05 14:00:00,52.62,52.65,52.5801,52.62,1577650
2010-01-05 14:15:00,52.61,52.67,52.58,52.65,1661499
2010-01-05 14:30:00,52.65,52.68,52.62,52.66,1747065
2010-01-05 14:45:00,52.665,52.71,52.65,52.7074,1804339
2010-01-05 15:00:00,52.71,52.75,52.685,52.7,1866931
2010-01-05 15:15:00,52.71,52.74,52.685,52.725,1942683
2010-01-05 15:30:00,52.72,52.75,52.67,52.72,2095089
2010-01-05 15:45:00,52.73,52.74,52.68,52.7089,2253044
2010-01-05 16:00:00,52.7,52.78,52.69,52.76,2564047
2010-01-06 09:45:00,52.64,52.82,52.63,52.7,107666
2010-01-06 10:00:00,52.7,52.82,52.7,52.82,174496
2010-01-06 10:15:00,52.81,52.96,52.75,52.89,274243
2010-01-06 10:30:00,52.88,53.01,52.87,53.0,330353
2010-01-06 10:45:00,52.97,53.06,52.95,53.04,489236
2010-01-06 11:00:00,53.04,53.045,52.9,52.97,683870
2010-01-06 11:15:00,52.98,53.09,52.9501,53.07,856603
2010-01-06 11:30:00,53.09,53.12,52.95,52.95,1027618
2010-01-06 11:45:00,52.96,52.97,52.825,52.865,1126182
2010-01-06 12:00:00,52.87,52.95,52.84,52.93,1276919
2010-01-06 12:15:00,52.93,53.0,52.89,52.96,1387879
2010-01-06 12:30:00,52.96,53.1,52.94,53.1,1432487
2010-01-06 12:45:00,53.1,53.26,53.1,53.215,1615329
2010-01-06 13:00:00,53.21,53.32,53.21,53.25,1753095
2010-01-06 13:15:00,53.26,53.32,53.25,53.311,1797613
2010-01-06 13:30:00,53.31,53.34,53.2,53.2054,1845999
2010-01-06 13:45:00,53.21,53.22,52.99,53.08,2016992
2010-01-06 14:00:00,53.07,53.1462,53.01,53.03,2076781
2010-01-06 14:15:00,53.03,53.1,52.98,53.08,2180445
2010-01-06 14:30:00,53.08,53.09,52.89,52.89,2264022
2010-01-06 14:45:00,52.9,53.14,52.85,53.0901,2371319
2010-01-06 15:00:00,53.1,53.16,53.03,53.13,2472481
2010-01-06 15:15:00,53.14,53.19,53.05,53.127,2578001
2010-01-06 15:30:00,53.13,53.25,53.12,53.18,2690870
2010-01-06 15:45:00,53.17,53.29,53.12,53.255,2876914
2010-01-06 16:00:00,53.26,53.33,53.2,53.24,3201988
2010-01-07 09:45:00,53.19,53.195,52.83,53.01,100695
2010-01-07 10:00:00,53.01,53.06,52.97,53.02,184182
2010-01-07 10:15:00,53.03,53.036,52.7,52.71,334486
2010-01-07 10:30:00,52.7,52.79,52.65,52.7,412104
2010-01-07 10:45:00,52.69,52.8424,52.67,52.81,481086
2010-01-07 11:00:00,52.81,52.94,52.81,52.91,574363
2010-01-07 11:15:00,52.91,53.1,52.86,53.06,647073
2010-01-07 11:30:00,53.07,53.17,53.05,53.16,908111
2010-01-07 11:45:00,53.16,53.16,53.1,53.115,959921
2010-01-07 12:00:00,53.119,53.14,53.03,53.05,1134987
2010-01-07 12:15:00,53.06,53.07,53.0,53.05,1162739
2010-01-07 12:30:00,53.041,53.156,53.03,53.13,1249277
2010-01-07 12:45:00,53.137,53.17,53.03,53.1,1306423
2010-01-07 13:00:00,53.1,53.12,53.03,53.03,1376774
2010-01-07 13:15:00,53.03,53.14,53.02,53.1,1427153
2010-01-07 13:30:00,53.11,53.16,53.08,53.13,1452036
2010-01-07 13:45:00,53.13,53.16,53.0844,53.092,1483361
2010-01-07 14:00:00,53.1,53.14,53.03,53.08,1534182
2010-01-07 14:15:00,53.07,53.08,52.92,53.0,1625713
2010-01-07 14:30:00,53.0,53.05,52.92,53.05,1685485
2010-01-07 14:45:00,53.04,53.17,53.04,53.12,1781650
2010-01-07 15:00:00,53.11,53.13,53.07,53.0915,1846271
2010-01-07 15:15:00,53.1,53.1,52.96,53.025,1952414
2010-01-07 15:30:00,53.01,53.1,52.96,53.02,2035296
2010-01-07 15:45:00,53.03,53.13,53.025,53.1195,2134063
2010-01-07 16:00:00,53.12,53.18,53.08,53.13,2338029
2010-01-08 09:45:00,52.98,53.18,52.7,52.76,142419
2010-01-08 10:00:00,52.76,53.04,52.75,53.026,197524
2010-01-08 10:15:00,53.02,53.0282,52.82,52.99,377056
2010-01-08 10:30:00,52.99,53.03,52.92,52.94,444730
2010-01-08 10:45:00,52.94,52.98,52.86,52.9,488703
2010-01-08 11:00:00,52.91,53.01,52.85,52.93,542040
2010-01-08 11:15:00,52.9206,52.93,52.86,52.9,565575
2010-01-08 11:30:00,52.89,52.92,52.82,52.9,609952
2010-01-08 11:45:00,52.9,52.92,52.83,52.92,647151
2010-01-08 12:00:00,52.92,53.0,52.91,53.0,680431
2010-01-08 12:15:00,52.99,53.0,52.91,52.96,730409
2010-01-08 12:30:00,52.96,52.98,52.93,52.9698,759277
2010-01-08 12:45:00,52.95,52.98,52.915,52.94,786364
2010-01-08 13:00:00,52.94,52.94,52.77,52.78,823060
2010-01-08 13:15:00,52.7754,52.87,52.75,52.7599,860642
2010-01-08 13:30:00,52.76,52.83,52.74,52.77,919391
2010-01-08 13:45:00,52.78,52.91,52.66,52.66,1178868
2010-01-08 14:00:00,52.67,52.69,52.6,52.63,1236470
2010-01-08 14:15:00,52.62,52.71,52.6,52.71,1298245
2010-01-08 14:30:00,52.705,52.72,52.63,52.65,1360577
2010-01-08 14:45:00,52.65,52.6598,52.55,52.58,1419388
2010-01-08 15:00:00,52.59,52.6,52.56,52.57,1476454
2010-01-08 15:15:00,52.55,52.57,52.49,52.5,1625422
2010-01-08 15:30:00,52.5,52.51,52.47,52.47,1720156
2010-01-08 15:45:00,52.47,52.62,52.45,52.56,1908112
2010-01-08 16:00:00,52.57,52.65,52.52,52.63,2207430
2010-01-11 09:45:00,52.77,53.38,52.7,53.34,250891
2010-01-11 10:00:00,53.33,53.64,53.28,53.51,456284
2010-01-11 10:15:00,53.51,53.75,53.5,53.54,624473
2010-01-11 10:30:00,53.55,53.62,53.48,53.554,708022
2010-01-11 10:45:00,53.56,53.57,53.43,53.45,771692
2010-01-11 11:00:00,53.45,53.49,53.27,53.35,898236
2010-01-11 11:15:00,53.3555,53.43,53.26,53.42,968611
2010-01-11 11:30:00,53.404,53.45,53.32,53.34,1030681
2010-01-11 11:45:00,53.35,53.35,53.09,53.1,1167557
2010-01-11 12:00:00,53.11,53.11,52.75,52.75,1401254
2010-01-11 12:15:00,52.76,52.94,52.74,52.93,1613730
2010-01-11 12:30:00,52.93,53.05,52.85,52.85,2046128
2010-01-11 12:45:00,52.85,52.858,52.19,52.2176,2442896
2010-01-11 13:00:00,52.21,52.21,51.9,51.95,2761260
2010-01-11 13:15:00,51.9405,51.98,51.92,51.9625,2990608
2010-01-11 13:30:00,51.9625,51.98,51.92,51.94,3256313
2010-01-11 13:45:00,51.945,51.96,51.93,51.93,3366667
2010-01-11 14:00:00,51.93,52.03,51.93,52.0,3577332
2010-01-11 14:15:00,52.0,52.06,51.94,52.06,3741053
2010-01-11 14:30:00,52.05,52.09,51.96,51.9927,3934426
2010-01-11 14:45:00,52.0,52.28,51.99,52.26,4216466
2010-01-11 15:00:00,52.26,52.49,52.26,52.35,4484755
2010-01-11 15:15:00,52.33,52.53,52.33,52.35,4915320
2010-01-11 15:30:00,52.369,52.48,52.36,52.45,5217846
2010-01-11 15:45:00,52.45,52.61,52.4,52.61,5493102
2010-01-11 16:00:00,52.61,52.66,52.57,52.59,5954492
2010-01-12 09:45:00,52.2,52.2,51.35,51.595,460584
2010-01-12 10:00:00,51.57,51.79,51.42,51.68,663917
2010-01-12 10:15:00,51.675,51.78,51.51,51.51,821382
2010-01-12 10:30:00,51.51,51.69,51.48,51.63,970927
2010-01-12 10:45:00,51.63,51.67,51.6,51.64,1068365
2010-01-12 11:00:00,51.63,51.67,51.5,51.65,1250092
2010-01-12 11:15:00,51.64,51.66,51.56,51.6,1472430
2010-01-12 11:30:00,51.6,51.73,51.59,51.7,1773176
2010-01-12 11:45:00,51.7,51.76,51.64,51.73,2217065
2010-01-12 12:00:00,51.73,51.77,51.7,51.74,2314994
2010-01-12 12:15:00,51.75,51.76,51.67,51.67,2477276
2010-01-12 12:30:00,51.67,51.67,51.4,51.48,2617127
2010-01-12 12:45:00,51.49,51.55,51.4,51.41,2709124
2010-01-12 13:00:00,51.405,51.42,51.2,51.23,2858760
2010-01-12 13:15:00,51.24,51.3,51.22,51.26,2986251
2010-01-12 13:30:00,51.25,51.28,51.18,51.2395,3132947
2010-01-12 13:45:00,51.23,51.24,51.2,51.225,3197603
2010-01-12 14:00:00,51.22,51.225,51.13,51.14,3323653
2010-01-12 14:15:00,51.135,51.32,51.02,51.31,3626414
2010-01-12 14:30:00,51.31,51.56,51.3,51.56,3879526
2010-01-12 14:45:00,51.554,51.63,51.46,51.55,4086543
2010-01-12 15:00:00,51.55,51.59,51.5,51.51,4183852
2010-01-12 15:15:00,51.51,51.53,51.42,51.52,4546984
2010-01-12 15:30:00,51.52,51.53,51.37,51.37,4668494
2010-01-12 15:45:00,51.375,51.4,51.24,51.295,5044677
2010-01-12 16:00:00,51.29,51.365,51.26,51.33,5477760
2010-01-13 09:45:00,51.19,51.43,51.03,51.27,267572
2010-01-13 10:00:00,51.28,51.43,51.11,51.25,604586
2010-01-13 10:15:00,51.255,51.4,51.03,51.07,910321
2010-01-13 10:30:00,51.05,51.18,51.0,51.18,1288687
2010-01-13 10:45:00,51.17,51.23,51.03,51.07,1426575
2010-01-13 11:00:00,51.07,51.1,50.62,50.63,1600105
2010-01-13 11:15:00,50.63,50.68,50.58,50.61,1854778
2010-01-13 11:30:00,50.62,50.81,50.61,50.7901,2045050
2010-01-13 11:45:00,50.8,51.05,50.8,51.02,2263642
2010-01-13 12:00:00,51.02,51.18,50.79,51.16,2524388
2010-01-13 12:15:00,51.16,51.27,51.07,51.07,2619865
2010-01-13 12:30:00,51.0605,51.18,51.04,51.1701,2734843
2010-01-13 12:45:00,51.18,51.18,50.95,51.15,2886210
2010-01-13 13:00:00,51.15,51.21,51.12,51.14,2975499
2010-01-13 13:15:00,51.131,51.24,51.06,51.21,3093751
2010-01-13 13:30:00,51.2,51.21,51.17,51.1954,3160636
2010-01-13 13:45:00,51.2,51.2,51.13,51.14,3223659
2010-01-13 14:00:00,51.14,51.1419,51.02,51.12,3297892
2010-01-13 14:15:00,51.12,51.17,51.08,51.12,3381628
2010-01-13 14:30:00,51.1198,51.25,51.1185,51.25,3682896
2010-01-13 14:45:00,51.25,51.32,51.21,51.31,3959942
2010-01-13 15:00:00,51.3105,51.73,51.31,51.61,4336821
2010-01-13 15:15:00,51.61,51.62,51.51,51.5275,4448323
2010-01-13 15:30:00,51.53,51.75,51.26,51.3,4941362
2010-01-13 15:45:00,51.31,51.59,51.26,51.48,5277165
2010-01-13 16:00:00,51.49,51.64,51.48,51.5,5712004
2010-01-14 09:45:00,50.5,50.59,49.65,50.12,1514671
2010-01-14 10:00:00,50.12,50.41,49.9,50.38,2246177
2010-01-14 10:15:00,50.41,50.64,50.33,50.4,2558377
2010-01-14 10:30:00,50.4,50.45,50.08,50.28,2898540
2010-01-14 10:45:00,50.2899,50.49,50.25,50.32,3065087
2010-01-14 11:00:00,50.31,50.45,50.25,50.395,3219906
2010-01-14 11:15:00,50.391,50.46,49.99,50.0175,3592895
2010-01-14 11:30:00,50.01,50.16,49.93,50.1,4031073
2010-01-14 11:45:00,50.09,50.15,49.96,49.975,4203273
2010-01-14 12:00:00,49.9705,50.07,49.91,49.93,4404635
2010-01-14 12:15:00,49.935,50.075,49.93,50.03,4549155
2010-01-14 12:30:00,50.03,50.23,50.03,50.1,4734085
2010-01-14 12:45:00,50.1,50.17,50.02,50.045,4819048
2010-01-14 13:00:00,50.04,50.06,50.0,50.03,4931132
2010-01-14 13:15:00,50.045,50.05,49.98,50.03,5073224
2010-01-14 13:30:00,50.02,50.04,50.0,50.04,5176272
2010-01-14 13:45:00,50.04,50.135,50.0,50.08,5395828
2010-01-14 14:00:00,50.0837,50.3695,50.08,50.34,5583487
2010-01-14 14:15:00,50.35,50.43,50.25,50.25,5741039
2010-01-14 14:30:00,50.25,50.32,50.21,50.3,5876827
2010-01-14 14:45:00,50.3,50.35,50.24,50.32,6025963
2010-01-14 15:00:00,50.32,50.42,50.31,50.36,6170426
2010-01-14 15:15:00,50.36,50.46,50.36,50.4,6393408
2010-01-14 15:30:00,50.4,50.43,50.29,50.3,6559830
2010-01-14 15:45:00,50.29,50.31,50.12,50.12,7006312
2010-01-14 16:00:00,50.12,50.17,49.96,50.06,7875241
2010-01-15 09:45:00,49.71,50.01,49.71,49.93,622415
2010-01-15 10:00:00,49.93,50.04,49.88,50.02,962657
2010-01-15 10:15:00,49.99,50.02,49.71,49.76,1264738
2010-01-15 10:30:00,49.75,49.85,49.7,49.73,1399727
2010-01-15 10:45:00,49.73,49.76,49.53,49.595,1647072
2010-01-15 11:00:00,49.59,49.595,49.41,49.48,1787245
2010-01-15 11:15:00,49.49,49.69,49.49,49.69,1933501
2010-01-15 11:30:00,49.68,49.75,49.64,49.7145,2053709
2010-01-15 11:45:00,49.73,49.8,49.69,49.78,2263461
2010-01-15 12:00:00,49.78,49.92,49.72,49.82,2415691
2010-01-15 12:15:00,49.81,49.87,49.7,49.71,2539494
2010-01-15 12:30:00,49.71,49.7299,49.62,49.6225,2641842
2010-01-15 12:45:00,49.62,49.72,49.56,49.58,2714222
2010-01-15 13:00:00,49.5795,49.6073,49.52,49.58,2845142
2010-01-15 13:15:00,49.59,49.63,49.5101,49.63,3029295
2010-01-15 13:30:00,49.63,49.73,49.61,49.66,3108888
2010-01-15 13:45:00,49.66,49.83,49.66,49.83,3185762
2010-01-15 14:00:00,49.83,49.86,49.78,49.83,3295239
2010-01-15 14:15:00,49.84,49.91,49.78,49.88,3395486
2010-01-15 14:30:00,49.88,49.935,49.81,49.82,3558387
2010-01-15 14:45:00,49.81,49.92,49.78,49.87,3678634
2010-01-15 15:00:00,49.87,50.03,49.85,49.99,3931061
2010-01-15 15:15:00,49.97,50.25,49.97,50.25,4232088
2010-01-15 15:30:00,50.25,50.325,50.14,50.24,4464365
2010-01-15 15:45:00,50.25,50.44,50.23,50.435,4838961
2010-01-15 16:00:00,50.44,50.63,50.32,50.54,5818361
2010-01-19 09:45:00,50.24,50.6688,50.24,50.38,183941
2010-01-19 10:00:00,50.42,50.55,50.3,50.3,264858
2010-01-19 10:15:00,50.35,50.41,50.13,50.4,383170
2010-01-19 10:30:00,50.4,50.4,50.25,50.275,477257
2010-01-19 10:45:00,50.28,50.5,50.26,50.5,612499
2010-01-19 11:00:00,50.497,50.84,50.495,50.81,773147
2010-01-19 11:15:00,50.81,50.88,50.78,50.835,892527
2010-01-19 11:30:00,50.84,50.84,50.74,50.75,996548
2010-01-19 11:45:00,50.75,50.775,50.67,50.68,1161312
2010-01-19 12:00:00,50.68,50.75,50.64,50.6599,1322719
2010-01-19 12:15:00,50.65,50.72,50.62,50.624,1421614
2010-01-19 12:30:00,50.63,50.75,50.59,50.73,1515732
2010-01-19 12:45:00,50.73,50.76,50.72,50.76,1592548
2010-01-19 13:00:00,50.76,50.83,50.73,50.76,1705236
2010-01-19 13:15:00,50.76,50.77,50.66,50.6999,1792180
2010-01-19 13:30:00,50.69,50.7,50.61,50.65,1895513
2010-01-19 13:45:00,50.65,50.67,50.605,50.651,2044703
2010-01-19 14:00:00,50.66,50.69,50.61,50.632,2129942
2010-01-19 14:15:00,50.64,50.662,50.59,50.6,2244175
2010-01-19 14:30:00,50.61,50.62,50.56,50.56,2378002
2010-01-19 14:45:00,50.57,50.63,50.56,50.6081,2502519
2010-01-19 15:00:00,50.6095,50.64,50.58,50.61,2648632
2010-01-19 15:15:00,50.61,50.76,50.6,50.68,2779911
2010-01-19 15:30:00,50.67,50.81,50.65,50.78,2901896
2010-01-19 15:45:00,50.78,50.85,50.68,50.82,3143687
2010-01-19 16:00:00,50.82,50.9,50.78,50.87,3483071
2010-01-20 09:45:00,50.58,50.58,49.88,49.88,299979
2010-01-20 10:00:00,49.87,50.0599,49.65,50.02,469588
2010-01-20 10:15:00,50.0,50.21,49.96,50.131,661959
2010-01-20 10:30:00,50.14,50.17,49.65,49.66,758515
2010-01-20 10:45:00,49.6695,49.69,49.56,49.67,889332
2010-01-20 11:00:00,49.67,49.77,49.58,49.61,986790
2010-01-20 11:15:00,49.625,49.74,49.55,49.63,1082948
2010-01-20 11:30:00,49.64,49.71,49.58,49.69,1202293
2010-01-20 11:45:00,49.69,49.7,49.5,49.5395,1336291
2010-01-20 12:00:00,49.54,49.59,49.5,49.5,1444217
2010-01-20 12:15:00,49.5,49.61,49.38,49.61,1620088
2010-01-20 12:30:00,49.62,49.62,49.465,49.49,1710881
2010-01-20 12:45:00,49.49,49.61,49.43,49.56,1881125
2010-01-20 13:00:00,49.56,49.68,49.52,49.68,2021526
2010-01-20 13:15:00,49.68,49.72,49.64,49.65,2089008
2010-01-20 13:30:00,49.66,49.72,49.62,49.71,2153909
2010-01-20 13:45:00,49.72,49.8,49.7,49.73,2236944
2010-01-20 14:00:00,49.74,49.84,49.73,49.7624,2353917
2010-01-20 14:15:00,49.77,49.825,49.76,49.775,2487357
2010-01-20 14:30:00,49.78,49.835,49.71,49.735,2616266
2010-01-20 14:45:00,49.735,49.86,49.71,49.84,2712627
2010-01-20 15:00:00,49.85,50.05,49.84,50.04,2923833
2010-01-20 15:15:00,50.04,50.05,49.94,49.95,3075844
2010-01-20 15:30:00,49.96,50.06,49.9,49.97,3256190
2010-01-20 15:45:00,49.98,49.99,49.9,49.94,3492168
2010-01-20 16:00:00,49.94,50.01,49.91,50.0,3828929
