dt,open,high,low,close,volume
2010-01-04 09:45:00,47.38,47.81,47.32,47.81,301932
2010-01-04 10:00:00,47.82,48.09,47.78,48.07,669261
2010-01-04 10:15:00,48.06,48.28,47.99,48.23,1056778
2010-01-04 10:30:00,48.24,48.24,48.07,48.14,1299543
2010-01-04 10:45:00,48.15,48.17,47.98,48.05,1505906
2010-01-04 11:00:00,48.06,48.08,47.94,47.985,1681982
2010-01-04 11:15:00,47.99,48.05,47.985,48.0,1781678
2010-01-04 11:30:00,48.0,48.04,47.93,48.03,1886515
2010-01-04 11:45:00,48.04,48.12,47.995,48.1,2000420
2010-01-04 12:00:00,48.1,48.2,48.05,48.08,2149326
2010-01-04 12:15:00,48.08,48.0982,47.99,48.0,2272235
2010-01-04 12:30:00,48.0,48.05,47.98,48.0016,2356057
2010-01-04 12:45:00,48.0,48.05,47.95,48.0,2504782
2010-01-04 13:00:00,48.0,48.04,47.99,48.01,2632643
2010-01-04 13:15:00,48.0,48.01,47.902,47.92,2747989
2010-01-04 13:30:00,47.9119,48.04,47.9,48.02,2853036
2010-01-04 13:45:00,48.02,48.05,47.99,48.04,2949688
2010-01-04 14:00:00,48.03,48.04,47.926,47.93,3074855
2010-01-04 14:15:00,47.92,47.96,47.7601,47.7601,3154353
2010-01-04 14:30:00,47.76,47.83,47.74,47.76,3280847
2010-01-04 14:45:00,47.755,47.82,47.73,47.78,3395301
2010-01-04 15:00:00,47.79,47.79,47.69,47.69,3477031
2010-01-04 15:15:00,47.69,48.01,47.65,47.99,3774332
2010-01-04 15:30:00,48.0,48.05,47.92,47.92,3964733
2010-01-04 15:45:00,47.91,47.98,47.795,47.8,4176799
2010-01-04 16:00:00,47.8,47.83,47.71,47.8199,4777613
2010-01-05 09:45:00,47.77,48.12,47.77,48.02,170691
2010-01-05 10:00:00,48.01,48.1,47.8,47.81,354350
2010-01-05 10:15:00,47.82,48.11,47.77,48.11,521521
2010-01-05 10:30:00,48.11,48.19,48.04,48.13,611303
2010-01-05 10:45:00,48.12,48.16,47.99,48.14,734689
2010-01-05 11:00:00,48.13,48.2,48.051,48.2,826580
2010-01-05 11:15:00,48.2,48.26,48.0,48.01,919327
2010-01-05 11:30:00,48.01,48.03,47.7505,47.7505,1063575
2010-01-05 11:45:00,47.7501,47.7501,47.39,47.4132,1245625
2010-01-05 12:00:00,47.43,47.545,47.42,47.515,1312047
2010-01-05 12:15:00,47.52,47.72,47.52,47.72,1410297
2010-01-05 12:30:00,47.71,47.88,47.71,47.8,1491520
2010-01-05 12:45:00,47.812,47.85,47.77,47.8225,1567617
2010-01-05 13:00:00,47.82,47.98,47.72,47.97,1764028
2010-01-05 13:15:00,47.97,48.02,47.91,47.93,1938478
2010-01-05 13:30:00,47.925,48.01,47.83,47.929,2119594
2010-01-05 13:45:00,47.93,47.98,47.81,47.97,2225632
2010-01-05 14:00:00,47.98,47.98,47.87,47.95,2369207
2010-01-05 14:15:00,47.9555,48.05,47.9,47.9,2384939
