dt,open,high,low,close,volume
2013-06-19 09:45:00,15.28,15.73,15.2,15.6,9961127
2013-06-19 10:00:00,15.65,16.08,15.6,15.9,13549220
2013-06-19 10:15:00,15.9,16.0,15.88,15.95,15479677
2013-06-19 10:30:00,15.95,15.95,15.79,15.94,16305279
2013-06-19 10:45:00,15.93,15.97,15.89,15.95,18283205
2013-06-19 11:00:00,15.95,15.96,15.82,15.86,18839151
2013-06-19 11:15:00,15.85,15.91,15.82,15.875,19648119
2013-06-19 11:30:00,15.875,15.93,15.85,15.9,20237347
2013-06-19 11:45:00,15.9,15.93,15.87,15.89,20664088
2013-06-19 12:00:00,15.9,15.91,15.84,15.85,21132021
2013-06-19 12:15:00,15.85,15.86,15.79,15.81,21531117
2013-06-19 12:30:00,15.82,15.84,15.62,15.67,22337989
2013-06-19 12:45:00,15.68,15.745,15.65,15.6899,22860324
2013-06-19 13:00:00,15.685,15.7,15.62,15.62,23365428
2013-06-19 13:15:00,15.64,15.66,15.59,15.59,23906165
2013-06-19 13:30:00,15.59,15.7,15.5,15.61,24251498
2013-06-19 13:45:00,15.61,15.7,15.6,15.66,24505515
2013-06-19 14:00:00,15.66,15.75,15.65,15.7,24991433
2013-06-19 14:15:00,15.7,15.81,15.64,15.78,25622027
2013-06-19 14:30:00,15.73,15.81,15.73,15.74,25984632
2013-06-19 14:45:00,15.75,15.79,15.74,15.74,26464374
2013-06-19 15:00:00,15.745,15.79,15.63,15.67,27279940
2013-06-19 15:15:00,15.675,15.79,15.65,15.78,27936384
2013-06-19 15:30:00,15.78,15.8,15.74,15.78,28548152
2013-06-19 15:45:00,15.79,15.79,15.75,15.75,29453291
2013-06-19 16:00:00,15.755,16.25,15.73,15.8,31880643
2013-06-20 09:45:00,16.37,16.39,15.66,15.94,811963
2013-06-20 10:00:00,15.94,15.95,15.81,15.83,1273751
2013-06-20 10:15:00,15.83,15.93,15.83,15.91,1988711
2013-06-20 10:30:00,15.9,15.91,15.7,15.75,2215253
2013-06-20 10:45:00,15.74,15.88,15.7,15.7301,2669595
2013-06-20 11:00:00,15.735,15.75,15.7,15.72,3218147
2013-06-20 11:15:00,15.73,15.73,15.66,15.71,3308470
2013-06-20 11:30:00,15.7,15.7,15.68,15.7,3327164
2013-06-20 11:45:00,15.695,15.705,15.68,15.68,3508434
2013-06-20 12:00:00,15.685,15.72,15.65,15.66,3837544
2013-06-20 12:15:00,15.66,15.74,15.66,15.68,3964577
2013-06-20 12:30:00,15.685,15.76,15.62,15.745,5237114
2013-06-20 12:45:00,15.75,15.75,15.65,15.687,5332543
2013-06-20 13:00:00,15.68,15.69,15.56,15.59,5832135
2013-06-20 13:15:00,15.59,15.6,15.55,15.555,5959496
2013-06-20 13:30:00,15.555,15.56,15.42,15.53,6205003
2013-06-20 13:45:00,15.54,15.55,15.46,15.5,6461053
2013-06-20 14:00:00,15.49,15.5,15.42,15.46,6775765
2013-06-20 14:15:00,15.445,15.505,15.42,15.43,6892885
2013-06-20 14:30:00,15.43,15.48,15.36,15.39,7102194
2013-06-20 14:45:00,15.39,15.48,15.3,15.425,7380708
2013-06-20 15:00:00,15.42,15.43,15.25,15.2901,7788845
2013-06-20 15:15:00,15.29,15.41,15.29,15.4,8045790
2013-06-20 15:30:00,15.405,15.47,15.36,15.445,8290805
2013-06-20 15:45:00,15.44,15.46,15.36,15.37,8688549
2013-06-20 16:00:00,15.37,15.43,15.3,15.3,9209028
2013-06-21 09:45:00,15.7,15.7,15.51,15.51,125791
2013-06-21 10:00:00,15.61,15.63,15.5,15.5,213980
2013-06-21 10:15:00,15.51,15.57,15.45,15.55,469457
2013-06-21 10:30:00,15.55,15.63,15.53,15.57,1770892
2013-06-21 10:45:00,15.57,15.63,15.55,15.6,1843706
2013-06-21 11:00:00,15.6,15.62,15.5,15.5801,2559353
2013-06-21 11:15:00,15.58,15.62,15.5,15.55,3652295
