dt,open,high,low,close,volume
2010-01-04 09:45:00,6.59,6.7,6.53,6.64,252309
2010-01-04 10:00:00,6.64,6.67,6.58,6.61,494469
2010-01-04 10:15:00,6.61,6.65,6.57,6.58,688171
2010-01-04 10:30:00,6.575,6.58,6.5,6.54,963946
2010-01-04 10:45:00,6.545,6.61,6.54,6.595,1460635
2010-01-04 11:00:00,6.6,6.62,6.59,6.6,1605110
2010-01-04 11:15:00,6.6,6.61,6.59,6.595,1679644
2010-01-04 11:30:00,6.595,6.61,6.58,6.6,2004804
2010-01-04 11:45:00,6.6,6.61,6.565,6.5701,2239960
2010-01-04 12:00:00,6.57,6.61,6.55,6.61,2452513
2010-01-04 12:15:00,6.61,6.61,6.57,6.57,2610198
2010-01-04 12:30:00,6.58,6.58,6.55,6.55,2688493
2010-01-04 12:45:00,6.56,6.56,6.53,6.55,2845926
2010-01-04 13:00:00,6.555,6.56,6.54,6.55,2950071
2010-01-04 13:15:00,6.545,6.55,6.52,6.53,3108646
2010-01-04 13:30:00,6.535,6.545,6.53,6.5389,3218109
2010-01-04 13:45:00,6.54,6.54,6.53,6.535,3248456
2010-01-04 14:00:00,6.535,6.54,6.52,6.531,3343035
2010-01-04 14:15:00,6.53,6.54,6.52,6.538,3452097
2010-01-04 14:30:00,6.535,6.54,6.49,6.525,3722391
2010-01-04 14:45:00,6.525,6.53,6.48,6.48,3985060
2010-01-04 15:00:00,6.49,6.5,6.48,6.495,4117928
2010-01-04 15:15:00,6.4975,6.52,6.49,6.51,4254709
2010-01-04 15:30:00,6.51,6.52,6.49,6.5,4489669
2010-01-04 15:45:00,6.5,6.505,6.46,6.47,4737461
2010-01-04 16:00:00,6.46,6.47,6.43,6.46,5618198
2010-01-05 09:45:00,6.5,6.54,6.49,6.52,250975
2010-01-05 10:00:00,6.51,6.59,6.5,6.55,469341
2010-01-05 10:15:00,6.55,6.64,6.55,6.64,740790
2010-01-05 10:30:00,6.64,6.7,6.64,6.685,970054
2010-01-05 10:45:00,6.69,6.695,6.65,6.685,1179847
2010-01-05 11:00:00,6.69,6.7,6.67,6.69,1377046
2010-01-05 11:15:00,6.68,6.72,6.68,6.72,1492789
2010-01-05 11:30:00,6.72,6.73,6.665,6.67,1647992
2010-01-05 11:45:00,6.67,6.7,6.645,6.69,1772534
2010-01-05 12:00:00,6.69,6.7,6.68,6.7,1824837
2010-01-05 12:15:00,6.7,6.71,6.68,6.685,2022895
2010-01-05 12:30:00,6.71,6.71,6.68,6.68,2066102
2010-01-05 12:45:00,6.69,6.72,6.68,6.7102,2158426
2010-01-05 13:00:00,6.72,6.75,6.71,6.74,2247597
2010-01-05 13:15:00,6.75,6.75,6.72,6.72,2285621
2010-01-05 13:30:00,6.72,6.73,6.72,6.73,2311369
2010-01-05 13:45:00,6.73,6.75,6.72,6.74,2399377
2010-01-05 14:00:00,6.74,6.745,6.72,6.735,2457920
2010-01-05 14:15:00,6.74,6.75,6.73,6.74,2531259
2010-01-05 14:30:00,6.74,6.74,6.72,6.73,2622124
2010-01-05 14:45:00,6.7375,6.74,6.72,6.73,2693637
2010-01-05 15:00:00,6.73,6.75,6.72,6.75,2894145
2010-01-05 15:15:00,6.75,6.76,6.74,6.74,3009693
2010-01-05 15:30:00,6.75,6.78,6.74,6.78,3171354
2010-01-05 15:45:00,6.77,6.8,6.75,6.76,3436915
2010-01-05 16:00:00,6.75,6.77,6.75,6.77,3914953
2010-01-06 09:45:00,6.78,6.84,6.66,6.69,243809
2010-01-06 10:00:00,6.6912,6.71,6.68,6.69,430657
2010-01-06 10:15:00,6.69,6.705,6.65,6.68,651789
2010-01-06 10:30:00,6.68,6.69,6.65,6.68,758837
2010-01-06 10:45:00,6.67,6.675,6.62,6.64,879513
2010-01-06 11:00:00,6.64,6.65,6.63,6.6302,908645
2010-01-06 11:15:00,6.64,6.66,6.63,6.659,954773
2010-01-06 11:30:00,6.65,6.67,6.65,6.651,1023098
2010-01-06 11:45:00,6.657,6.69,6.65,6.69,1117760
2010-01-06 12:00:00,6.7,6.73,6.67,6.68,1237650
2010-01-06 12:15:00,6.6798,6.73,6.6798,6.7,1365990
2010-01-06 12:30:00,6.7,6.71,6.69,6.69,1452081
2010-01-06 12:45:00,6.69,6.71,6.69,6.7,1498698
2010-01-06 13:00:00,6.7,6.705,6.68,6.7,1598036
2010-01-06 13:15:00,6.7,6.71,6.68,6.68,1633610
2010-01-06 13:30:00,6.6802,6.69,6.65,6.66,1681204
2010-01-06 13:45:00,6.66,6.66,6.64,6.64,1777200
2010-01-06 14:00:00,6.64,6.65,6.6,6.618,1836636
2010-01-06 14:15:00,6.62,6.65,6.62,6.62,1915460
2010-01-06 14:30:00,6.62,6.63,6.6,6.63,2013802
2010-01-06 14:45:00,6.63,6.66,6.62,6.65,2113404
2010-01-06 15:00:00,6.66,6.66,6.64,6.66,2149909
2010-01-06 15:15:00,6.66,6.66,6.61,6.61,2248548
2010-01-06 15:30:00,6.61,6.62,6.6,6.62,2328269
2010-01-06 15:45:00,6.62,6.62,6.6,6.62,2474716
2010-01-06 16:00:00,6.62,6.62,6.6,6.6,2729407
2010-01-07 09:45:00,6.62,6.79,6.62,6.74,311488
2010-01-07 10:00:00,6.74,6.77,6.6599,6.67,651208
2010-01-07 10:15:00,6.67,6.67,6.65,6.6525,732622
2010-01-07 10:30:00,6.65,6.71,6.65,6.7,968010
2010-01-07 10:45:00,6.69,6.71,6.675,6.7,1103145
2010-01-07 11:00:00,6.7,6.74,6.69,6.72,1446579
2010-01-07 11:15:00,6.71,6.73,6.71,6.72,1514470
2010-01-07 11:30:00,6.71,6.72,6.67,6.69,1610360
2010-01-07 11:45:00,6.69,6.73,6.68,6.73,1730568
2010-01-07 12:00:00,6.73,6.74,6.72,6.7396,1776316
2010-01-07 12:15:00,6.74,6.74,6.72,6.73,1841399
2010-01-07 12:30:00,6.73,6.74,6.73,6.7325,1872397
2010-01-07 12:45:00,6.73,6.74,6.71,6.71,1942437
2010-01-07 13:00:00,6.71,6.74,6.71,6.74,1971426
2010-01-07 13:15:00,6.74,6.74,6.72,6.725,2004653
2010-01-07 13:30:00,6.73,6.73,6.71,6.73,2055619
2010-01-07 13:45:00,6.72,6.76,6.72,6.76,2204316
2010-01-07 14:00:00,6.76,6.78,6.7525,6.765,2333559
2010-01-07 14:15:00,6.765,6.81,6.76,6.8,2470839
2010-01-07 14:30:00,6.81,6.84,6.8,6.8399,2558749
2010-01-07 14:45:00,6.835,6.85,6.83,6.85,2663164
2010-01-07 15:00:00,6.845,6.9,6.845,6.9,3026996
2010-01-07 15:15:00,6.89,6.92,6.86,6.92,3374443
2010-01-07 15:30:00,6.92,6.93,6.89,6.93,3629110
2010-01-07 15:45:00,6.93,6.97,6.92,6.962,4010374
2010-01-07 16:00:00,6.97,6.98,6.94,6.98,4654486
2010-01-08 09:45:00,6.85,6.921,6.77,6.78,227137
2010-01-08 10:00:00,6.78,6.8525,6.77,6.82,398471
2010-01-08 10:15:00,6.83,6.89,6.82,6.82,677848
2010-01-08 10:30:00,6.82,6.87,6.81,6.83,861032
2010-01-08 10:45:00,6.82,6.86,6.8,6.8,1024401
2010-01-08 11:00:00,6.806,6.84,6.775,6.83,1141903
2010-01-08 11:15:00,6.83,6.83,6.79,6.8,1243777
2010-01-08 11:30:00,6.8,6.83,6.8,6.82,1351152
2010-01-08 11:45:00,6.82,6.83,6.79,6.81,1445866
2010-01-08 12:00:00,6.81,6.85,6.81,6.84,1519871
2010-01-08 12:15:00,6.84,6.86,6.84,6.85,1573033
2010-01-08 12:30:00,6.86,6.88,6.85,6.87,1643314
2010-01-08 12:45:00,6.87,6.9,6.87,6.88,1685804
2010-01-08 13:00:00,6.88,6.9,6.86,6.88,1869733
2010-01-08 13:15:00,6.8801,6.92,6.88,6.91,1960752
2010-01-08 13:30:00,6.92,6.92,6.89,6.89,2060634
2010-01-08 13:45:00,6.89,6.92,6.85,6.865,2156829
2010-01-08 14:00:00,6.86,6.87,6.85,6.85,2227592
2010-01-08 14:15:00,6.85,6.86,6.84,6.845,2302498
2010-01-08 14:30:00,6.84,6.85,6.8398,6.84,2370995
2010-01-08 14:45:00,6.84,6.88,6.82,6.83,2546612
2010-01-08 15:00:00,6.8325,6.86,6.83,6.83,2640831
2010-01-08 15:15:00,6.835,6.91,6.83,6.91,2841321
2010-01-08 15:30:00,6.92,6.99,6.91,6.98,3318313
2010-01-08 15:45:00,6.99,7.02,6.95,7.0,3875829
2010-01-08 16:00:00,7.01,7.08,6.99,7.06,5306777
2010-01-11 09:45:00,7.06,7.06,6.94,6.97,142405
2010-01-11 10:00:00,6.96,6.99,6.9,6.9,274173
2010-01-11 10:15:00,6.9,6.93,6.885,6.91,406086
2010-01-11 10:30:00,6.91,6.97,6.91,6.95,520171
2010-01-11 10:45:00,6.96,6.965,6.94,6.95,661404
2010-01-11 11:00:00,6.95,6.975,6.95,6.96,727957
2010-01-11 11:15:00,6.96,6.97,6.9,6.9,950935
2010-01-11 11:30:00,6.9,6.91,6.88,6.9,1067532
2010-01-11 11:45:00,6.9,6.9,6.88,6.89,1171675
2010-01-11 12:00:00,6.9,6.925,6.88,6.91,1264149
2010-01-11 12:15:00,6.91,6.93,6.91,6.93,1297849
2010-01-11 12:30:00,6.9294,6.94,6.91,6.935,1393545
2010-01-11 12:45:00,6.91,6.9182,6.88,6.88,1436544
2010-01-11 13:00:00,6.87,6.88,6.845,6.86,1595503
2010-01-11 13:15:00,6.86,6.86,6.82,6.84,1702989
2010-01-11 13:30:00,6.84,6.85,6.83,6.84,1750119
2010-01-11 13:45:00,6.835,6.86,6.83,6.86,1788103
2010-01-11 14:00:00,6.8595,6.87,6.85,6.87,1827882
2010-01-11 14:15:00,6.87,6.87,6.86,6.86,1865089
2010-01-11 14:30:00,6.87,6.87,6.86,6.869,1889239
2010-01-11 14:45:00,6.87,6.895,6.86,6.88,1957076
2010-01-11 15:00:00,6.88,6.885,6.83,6.85,2114782
2010-01-11 15:15:00,6.84,6.86,6.84,6.86,2268946
2010-01-11 15:30:00,6.86,6.87,6.84,6.86,2361037
2010-01-11 15:45:00,6.86,6.87,6.85,6.86,2468535
2010-01-11 16:00:00,6.87,6.87,6.85,6.86,2679652
2010-01-12 09:45:00,6.78,6.82,6.74,6.75,197867
2010-01-12 10:00:00,6.75,6.75,6.67,6.71,413526
2010-01-12 10:15:00,6.71,6.77,6.71,6.71,500232
2010-01-12 10:30:00,6.71,6.72,6.6789,6.68,625733
2010-01-12 10:45:00,6.68,6.705,6.675,6.695,702741
2010-01-12 11:00:00,6.69,6.72,6.67,6.67,824997
2010-01-12 11:15:00,6.66,6.661,6.65,6.65,908175
2010-01-12 11:30:00,6.65,6.66,6.63,6.64,1026873
2010-01-12 11:45:00,6.64,6.67,6.61,6.61,1200919
2010-01-12 12:00:00,6.61,6.62,6.5827,6.6,1430735
2010-01-12 12:15:00,6.6,6.6001,6.58,6.59,1604754
2010-01-12 12:30:00,6.59,6.59,6.56,6.56,1763115
2010-01-12 12:45:00,6.57,6.57,6.54,6.56,2008744
2010-01-12 13:00:00,6.56,6.58,6.54,6.55,2119345
2010-01-12 13:15:00,6.5522,6.58,6.53,6.53,2220709
2010-01-12 13:30:00,6.53,6.54,6.46,6.47,2471842
2010-01-12 13:45:00,6.48,6.48,6.45,6.45,2716017
2010-01-12 14:00:00,6.45,6.54,6.44,6.53,2908795
2010-01-12 14:15:00,6.54,6.55,6.52,6.52,3039537
2010-01-12 14:30:00,6.53,6.53,6.49,6.51,3299007
2010-01-12 14:45:00,6.5,6.52,6.47,6.51,3472540
2010-01-12 15:00:00,6.5,6.61,6.5,6.57,3674646
2010-01-12 15:15:00,6.57,6.58,6.53,6.54,3794281
2010-01-12 15:30:00,6.55,6.55,6.5,6.51,4030823
2010-01-12 15:45:00,6.52,6.53,6.48,6.4801,4286361
2010-01-12 16:00:00,6.49,6.53,6.48,6.52,4820524
2010-01-13 09:45:00,6.57,6.62,6.5,6.59,204403
2010-01-13 10:00:00,6.595,6.62,6.5795,6.61,288883
2010-01-13 10:15:00,6.62,6.62,6.56,6.57,376147
2010-01-13 10:30:00,6.56,6.56,6.5,6.5001,443646
2010-01-13 10:45:00,6.5,6.51,6.5,6.5,499341
2010-01-13 11:00:00,6.5,6.51,6.46,6.47,656125
2010-01-13 11:15:00,6.48,6.52,6.47,6.49,764230
2010-01-13 11:30:00,6.49,6.56,6.47,6.52,897468
2010-01-13 11:45:00,6.52,6.53,6.52,6.52,930199
2010-01-13 12:00:00,6.52,6.56,6.52,6.53,1023666
2010-01-13 12:15:00,6.53,6.59,6.53,6.54,1111818
2010-01-13 12:30:00,6.53,6.57,6.53,6.55,1163218
2010-01-13 12:45:00,6.55,6.58,6.54,6.58,1243359
2010-01-13 13:00:00,6.58,6.6,6.55,6.55,1346194
2010-01-13 13:15:00,6.55,6.56,6.52,6.53,1437967
2010-01-13 13:30:00,6.53,6.55,6.52,6.55,1493307
2010-01-13 13:45:00,6.5401,6.59,6.54,6.59,1558491
2010-01-13 14:00:00,6.59,6.62,6.58,6.5975,1688294
2010-01-13 14:15:00,6.59,6.62,6.59,6.59,1785546
2010-01-13 14:30:00,6.59,6.62,6.59,6.61,1844352
2010-01-13 14:45:00,6.61,6.63,6.61,6.61,1889097
2010-01-13 15:00:00,6.61,6.62,6.6,6.61,1936671
2010-01-13 15:15:00,6.61,6.62,6.61,6.61,1980280
2010-01-13 15:30:00,6.62,6.64,6.6,6.63,2153524
2010-01-13 15:45:00,6.63,6.67,6.63,6.6625,2566447
