dt,open,high,low,close,volume
2010-01-04 09:45:00,82.66,82.75,82.2,82.3375,301238
2010-01-04 10:00:00,82.33,82.91,82.33,82.91,626660
2010-01-04 10:15:00,82.91,82.99,82.85,82.9,883593
2010-01-04 10:30:00,82.915,83.26,82.772,83.26,1061556
2010-01-04 10:45:00,83.26,83.46,83.26,83.45,1191959
2010-01-04 11:00:00,83.45,83.51,83.17,83.1899,1330322
2010-01-04 11:15:00,83.172,83.25,83.07,83.11,1386458
2010-01-04 11:30:00,83.12,83.18,83.03,83.12,1458361
2010-01-04 11:45:00,83.11,83.38,83.085,83.33,1556923
2010-01-04 12:00:00,83.335,83.37,83.215,83.29,1618176
2010-01-04 12:15:00,83.29,83.32,83.22,83.25,1682707
2010-01-04 12:30:00,83.26,83.41,83.21,83.3,1741754
2010-01-04 12:45:00,83.3,83.3225,83.12,83.13,1789379
2010-01-04 13:00:00,83.15,83.2,83.123,83.2,1894756
2010-01-04 13:15:00,83.2,83.2,83.08,83.1409,1999081
2010-01-04 13:30:00,83.15,83.19,83.06,83.15,2085905
2010-01-04 13:45:00,83.14,83.19,83.115,83.18,2144425
2010-01-04 14:00:00,83.18,83.2,83.0,83.04,2218719
2010-01-04 14:15:00,83.04,83.09,83.0,83.02,2268114
2010-01-04 14:30:00,83.03,83.07,82.94,82.94,2356293
2010-01-04 14:45:00,82.94,83.05,82.92,82.9925,2445886
2010-01-04 15:00:00,82.99,83.14,82.99,83.06,2548987
2010-01-04 15:15:00,83.06,83.14,83.02,83.1,2641766
2010-01-04 15:30:00,83.1,83.15,83.0275,83.0625,2741437
2010-01-04 15:45:00,83.05,83.13,82.98,83.02,2913586
2010-01-04 16:00:00,83.01,83.12,82.98,83.1,3205786
2010-01-05 09:45:00,83.18,83.18,82.48,82.78,129272
2010-01-05 10:00:00,82.78,82.96,82.6,82.65,282286
2010-01-05 10:15:00,82.62,82.85,82.55,82.7401,389989
2010-01-05 10:30:00,82.745,83.1,82.745,83.02,476456
2010-01-05 10:45:00,83.03,83.14,82.976,83.14,570324
2010-01-05 11:00:00,83.13,83.16,83.0,83.155,644106
2010-01-05 11:15:00,83.1522,83.23,83.12,83.16,732738
2010-01-05 11:30:00,83.15,83.17,82.8,82.81,830543
2010-01-05 11:45:00,82.82,82.91,82.75,82.88,901747
2010-01-05 12:00:00,82.9,83.04,82.89,82.92,967292
2010-01-05 12:15:00,82.9154,82.95,82.81,82.89,1037320
2010-01-05 12:30:00,82.89,82.9,82.66,82.68,1168891
2010-01-05 12:45:00,82.68,82.72,82.53,82.66,1275522
2010-01-05 13:00:00,82.66,82.72,82.61,82.64,1421941
2010-01-05 13:15:00,82.63,82.66,82.55,82.6,1550971
2010-01-05 13:30:00,82.59,82.65,82.43,82.44,1644486
2010-01-05 13:45:00,82.44,82.505,82.21,82.47,1771534
2010-01-05 14:00:00,82.46,82.47,82.27,82.29,1845830
2010-01-05 14:15:00,82.29,82.33,82.165,82.19,1952792
2010-01-05 14:30:00,82.18,82.26,82.03,82.2,2145342
2010-01-05 14:45:00,82.21,82.28,82.17,82.25,2225785
2010-01-05 15:00:00,82.24,82.31,82.205,82.265,2334276
2010-01-05 15:15:00,82.27,82.47,82.26,82.32,2485540
2010-01-05 15:30:00,82.33,82.4499,82.32,82.41,2643399
2010-01-05 15:45:00,82.43,82.55,82.28,82.29,2860040
2010-01-05 16:00:00,82.29,82.51,82.29,82.44,3153088
2010-01-06 09:45:00,82.4,82.56,82.17,82.22,202203
2010-01-06 10:00:00,82.22,82.35,82.08,82.3092,344015
2010-01-06 10:15:00,82.3,82.46,82.2,82.405,502086
2010-01-06 10:30:00,82.41,82.71,82.3,82.53,635223
