dt,open,high,low,close,volume
2010-01-04 09:45:00,111.77,111.77,110.75,110.78,74620
2010-01-04 10:00:00,110.91,111.29,110.81,111.15,106818
2010-01-04 10:15:00,111.19,111.34,110.88,111.04,187730
2010-01-04 10:30:00,111.05,111.1,110.81,110.82,244744
2010-01-04 10:45:00,110.82,111.06,110.78,110.8225,291124
2010-01-04 11:00:00,110.86,110.9,110.64,110.66,332003
2010-01-04 11:15:00,110.67,111.53,110.67,111.48,368183
2010-01-04 11:30:00,111.53,111.87,111.507,111.74,389525
2010-01-04 11:45:00,111.76,111.9,111.67,111.685,454698
2010-01-04 12:00:00,111.685,111.91,111.67,111.7501,477969
2010-01-04 12:15:00,111.77,111.99,111.73,111.94,502805
2010-01-04 12:30:00,111.9315,111.96,111.86,111.9,518814
2010-01-04 12:45:00,111.92,111.93,111.8,111.82,550290
2010-01-04 13:00:00,111.82,111.91,111.79,111.85,566190
2010-01-04 13:15:00,111.86,111.99,111.81,111.84,583882
2010-01-04 13:30:00,111.88,112.04,111.8405,112.04,599798
2010-01-04 13:45:00,112.04,112.33,112.02,112.32,619415
2010-01-04 14:00:00,112.29,112.4,112.24,112.32,651301
2010-01-04 14:15:00,112.318,112.39,112.28,112.35,661098
2010-01-04 14:30:00,112.35,112.47,112.35,112.4,676253
2010-01-04 14:45:00,112.41,112.56,112.4,112.56,698869
2010-01-04 15:00:00,112.57,112.67,112.53,112.58,732256
2010-01-04 15:15:00,112.59,112.7,112.51,112.55,757355
2010-01-04 15:30:00,112.53,112.59,112.435,112.52,779601
2010-01-04 15:45:00,112.48,112.59,112.33,112.57,826896
2010-01-04 16:00:00,112.57,112.66,112.4,112.56,890236
2010-01-05 09:45:00,112.11,112.34,111.75,112.22,25510
2010-01-05 10:00:00,112.22,112.48,112.07,112.255,51896
2010-01-05 10:15:00,112.21,112.91,111.97,112.91,74100
2010-01-05 10:30:00,112.92,113.4,112.92,113.31,101873
2010-01-05 10:45:00,113.31,113.48,113.26,113.405,141983
2010-01-05 11:00:00,113.405,113.41,113.09,113.1825,162583
2010-01-05 11:15:00,113.16,113.21,113.0,113.03,181088
2010-01-05 11:30:00,113.0,113.15,112.96,113.009,212847
2010-01-05 11:45:00,113.009,114.01,112.92,114.0,286985
2010-01-05 12:00:00,114.0,114.24,113.65,113.96,362967
2010-01-05 12:15:00,113.87,114.14,113.83,114.125,401084
2010-01-05 12:30:00,114.09,114.28,114.01,114.265,431123
2010-01-05 12:45:00,114.26,114.54,114.21,114.5,555588
2010-01-05 13:00:00,114.54,114.67,114.45,114.61,585348
2010-01-05 13:15:00,114.6,114.61,113.91,113.91,619411
2010-01-05 13:30:00,113.924,114.12,113.81,114.12,664512
2010-01-05 13:45:00,114.15,114.33,113.98,114.3,731037
2010-01-05 14:00:00,114.3,114.3,114.02,114.17,756862
2010-01-05 14:15:00,114.16,114.2,114.03,114.17,837284
2010-01-05 14:30:00,114.17,114.27,113.89,114.0156,891352
2010-01-05 14:45:00,114.03,114.0799,113.75,113.86,945906
2010-01-05 15:00:00,113.9099,114.24,113.9099,114.19,982179
2010-01-05 15:15:00,114.2,114.3,114.09,114.21,1002396
2010-01-05 15:30:00,114.23,114.33,114.2,114.22,1024305
2010-01-05 15:45:00,114.16,114.32,114.14,114.1501,1062525
2010-01-05 16:00:00,114.16,114.52,114.16,114.33,1180847
2010-01-06 09:45:00,113.47,113.5,112.31,113.42,80612
2010-01-06 10:00:00,113.41,113.82,113.39,113.6,110171
2010-01-06 10:15:00,113.53,114.36,113.53,114.25,155332
2010-01-06 10:30:00,114.23,114.48,114.09,114.42,187074
2010-01-06 10:45:00,114.36,114.3696,114.15,114.2,218550
2010-01-06 11:00:00,114.19,114.27,114.14,114.21,249914
2010-01-06 11:15:00,114.21,114.2599,114.0,114.0,285318
2010-01-06 11:30:00,114.02,114.15,113.98,114.01,327587
2010-01-06 11:45:00,114.01,114.15,113.98,114.06,371344
2010-01-06 12:00:00,114.031,114.24,114.0,114.2,403444
2010-01-06 12:15:00,114.17,114.33,114.15,114.24,426934
2010-01-06 12:30:00,114.21,114.24,114.1,114.24,453089
2010-01-06 12:45:00,114.24,114.27,114.15,114.2,477191
2010-01-06 13:00:00,114.16,114.3425,114.14,114.31,491768
2010-01-06 13:15:00,114.33,114.46,114.25,114.37,518244
2010-01-06 13:30:00,114.38,114.54,114.36,114.51,536305
2010-01-06 13:45:00,114.51,114.51,114.35,114.36,552362
2010-01-06 14:00:00,114.4,114.42,114.1,114.22,596860
2010-01-06 14:15:00,114.25,114.4,114.25,114.36,628625
2010-01-06 14:30:00,114.33,114.73,114.33,114.71,656960
2010-01-06 14:45:00,114.71,115.0,114.66,114.99,726493
2010-01-06 15:00:00,114.9899,115.0,114.9,114.9,856261
2010-01-06 15:15:00,114.94,114.97,114.82,114.905,888333
2010-01-06 15:30:00,114.91,114.95,114.74,114.87,986695
2010-01-06 15:45:00,114.83,114.88,114.62,114.71,1038884
2010-01-06 16:00:00,114.72,114.89,114.58,114.89,1145840
2010-01-07 09:45:00,114.67,114.86,114.27,114.86,19759
2010-01-07 10:00:00,114.84,115.0,114.56,114.83,168031
2010-01-07 10:15:00,114.9,114.97,114.79,114.81,185969
2010-01-07 10:30:00,114.82,114.99,114.48,114.95,234689
2010-01-07 10:45:00,114.95,115.39,114.93,115.04,285699
2010-01-07 11:00:00,115.1,115.2,114.82,114.89,332177
2010-01-07 11:15:00,114.9,115.06,114.7159,115.0,359608
2010-01-07 11:30:00,114.95,115.07,114.8,114.91,375608
2010-01-07 11:45:00,114.91,115.04,114.79,115.02,433891
2010-01-07 12:00:00,115.03,115.19,115.0,115.11,482980
2010-01-07 12:15:00,115.09,115.115,114.88,114.9,512889
2010-01-07 12:30:00,114.91,115.13,114.85,115.02,522024
2010-01-07 12:45:00,115.03,115.08,114.9,115.0,549272
2010-01-07 13:00:00,115.0,115.19,114.91,115.182,564761
2010-01-07 13:15:00,115.135,115.19,114.99,115.08,593508
2010-01-07 13:30:00,115.08,115.41,115.08,115.4,615942
2010-01-07 13:45:00,115.41,115.47,115.2,115.4,641947
2010-01-07 14:00:00,115.35,115.55,115.26,115.46,681498
2010-01-07 14:15:00,115.42,115.57,115.22,115.56,697544
2010-01-07 14:30:00,115.55,115.61,115.4,115.6,712591
2010-01-07 14:45:00,115.59,115.76,115.54,115.69,729504
2010-01-07 15:00:00,115.68,115.76,115.61,115.7149,751262
2010-01-07 15:15:00,115.66,115.695,115.06,115.43,784693
2010-01-07 15:30:00,115.47,115.58,115.24,115.48,808310
2010-01-07 15:45:00,115.51,115.74,115.42,115.67,853344
2010-01-07 16:00:00,115.66,115.76,115.405,115.67,930119
2010-01-08 09:45:00,114.9,115.3,114.41,115.17,47482
2010-01-08 10:00:00,115.1,116.15,115.04,116.14,75161
2010-01-08 10:15:00,116.03,116.13,115.65,115.78,96479
2010-01-08 10:30:00,115.82,116.57,115.81,116.36,135042
