dt,open,high,low,close,volume
2010-01-04 09:45:00,61.11,61.12,60.63,60.98,721464
2010-01-04 10:00:00,60.98,61.28,60.87,60.885,1207978
2010-01-04 10:15:00,60.89,61.17,60.85,61.1525,1633325
2010-01-04 10:30:00,61.16,61.23,61.11,61.21,1959939
2010-01-04 10:45:00,61.21,61.27,61.13,61.23,2216982
2010-01-04 11:00:00,61.24,61.28,61.19,61.1999,2654881
2010-01-04 11:15:00,61.2,61.24,61.17,61.19,2844721
2010-01-04 11:30:00,61.1983,61.25,61.17,61.25,3024967
2010-01-04 11:45:00,61.25,61.31,61.205,61.27,3357680
2010-01-04 12:00:00,61.27,61.27,61.12,61.13,3589751
2010-01-04 12:15:00,61.13,61.14,60.99,61.0,3921257
2010-01-04 12:30:00,61.0,61.06,60.94,61.02,4157957
2010-01-04 12:45:00,61.012,61.18,61.01,61.13,4380973
2010-01-04 13:00:00,61.13,61.25,61.12,61.25,4572700
2010-01-04 13:15:00,61.25,61.27,61.14,61.15,4871898
2010-01-04 13:30:00,61.145,61.26,61.13,61.25,5062184
2010-01-04 13:45:00,61.252,61.26,61.16,61.21,5195521
2010-01-04 14:00:00,61.2,61.21,61.04,61.072,5643480
2010-01-04 14:15:00,61.08,61.08,61.01,61.0199,5772742
2010-01-04 14:30:00,61.015,61.16,61.015,61.12,5970142
2010-01-04 14:45:00,61.12,61.15,61.08,61.14,6107179
2010-01-04 15:00:00,61.14,61.19,61.06,61.1,6270973
2010-01-04 15:15:00,61.1,61.14,61.06,61.11,6499816
2010-01-04 15:30:00,61.12,61.18,61.09,61.15,7140026
2010-01-04 15:45:00,61.15,61.22,61.11,61.12,7475898
2010-01-04 16:00:00,61.11,61.15,61.06,61.12,8233369
2010-01-05 09:45:00,61.13,61.13,60.76,60.8,595663
2010-01-05 10:00:00,60.8,60.85,60.67,60.71,1029322
2010-01-05 10:15:00,60.68,60.93,60.6,60.81,1433140
2010-01-05 10:30:00,60.8,60.99,60.78,60.9305,1627455
2010-01-05 10:45:00,60.93,61.01,60.89,61.0,1823529
2010-01-05 11:00:00,61.0,61.12,60.97,61.12,2162026
2010-01-05 11:15:00,61.11,61.19,61.08,61.14,2387446
2010-01-05 11:30:00,61.14,61.18,61.04,61.115,2729347
2010-01-05 11:45:00,61.115,61.24,61.11,61.23,2958940
2010-01-05 12:00:00,61.23,61.28,61.18,61.2,3180983
2010-01-05 12:15:00,61.2082,61.27,61.16,61.22,3429560
2010-01-05 12:30:00,61.2225,61.23,61.16,61.17,3619116
2010-01-05 12:45:00,61.17,61.2,61.16,61.1673,3859932
2010-01-05 13:00:00,61.1685,61.21,61.12,61.1508,4039855
2010-01-05 13:15:00,61.16,61.16,60.97,60.99,4236594
2010-01-05 13:30:00,61.0,61.04,60.92,60.99,4371192
2010-01-05 13:45:00,61.0,61.06,60.95,61.05,4551289
2010-01-05 14:00:00,61.04,61.06,60.98,61.029,4751815
2010-01-05 14:15:00,61.0233,61.08,60.98,61.02,5082731
2010-01-05 14:30:00,61.01,61.09,60.9,61.075,5286645
2010-01-05 14:45:00,61.08,61.11,61.02,61.0722,5481766
2010-01-05 15:00:00,61.0778,61.14,61.03,61.075,5740678
2010-01-05 15:15:00,61.08,61.12,61.04,61.0927,6012565
2010-01-05 15:30:00,61.1,61.18,61.09,61.165,6328648
2010-01-05 15:45:00,61.14,61.2,61.13,61.14,6806314
2010-01-05 16:00:00,61.14,61.17,61.09,61.12,7315448
2010-01-06 09:45:00,60.94,60.96,60.5,60.65,760039
2010-01-06 10:00:00,60.65,60.8117,60.63,60.81,1160275
2010-01-06 10:15:00,60.81,60.87,60.71,60.78,1626852
2010-01-06 10:30:00,60.775,60.89,60.72,60.75,1901652
2010-01-06 10:45:00,60.75,60.81,60.7,60.79,2141370
2010-01-06 11:00:00,60.7992,60.8,60.71,60.75,2397035
2010-01-06 11:15:00,60.755,60.79,60.66,60.77,2766172
2010-01-06 11:30:00,60.78,60.8,60.6498,60.669,3111620
2010-01-06 11:45:00,60.665,60.7,60.53,60.54,3399789
2010-01-06 12:00:00,60.54,60.64,60.52,60.61,3727296
2010-01-06 12:15:00,60.615,60.72,60.6,60.66,4014526
2010-01-06 12:30:00,60.655,60.69,60.58,60.66,4403610
2010-01-06 12:45:00,60.65,60.8,60.65,60.76,4590774
2010-01-06 13:00:00,60.76,60.82,60.74,60.82,4807942
2010-01-06 13:15:00,60.83,60.91,60.78,60.86,5096784
2010-01-06 13:30:00,60.86,60.91,60.79,60.89,5264514
2010-01-06 13:45:00,60.89,60.91,60.8,60.805,5464310
2010-01-06 14:00:00,60.81,60.87,60.79,60.8566,5650109
2010-01-06 14:15:00,60.86,60.91,60.78,60.79,5975265
2010-01-06 14:30:00,60.8,60.835,60.77,60.82,6195427
2010-01-06 14:45:00,60.83,60.83,60.74,60.8034,6453515
2010-01-06 15:00:00,60.81,60.84,60.75,60.78,6676907
2010-01-06 15:15:00,60.78,60.84,60.755,60.825,7033822
2010-01-06 15:30:00,60.83,60.83,60.71,60.8025,7392070
2010-01-06 15:45:00,60.805,60.84,60.76,60.77,7860696
2010-01-06 16:00:00,60.76,60.94,60.76,60.83,8997823
2010-01-07 09:45:00,60.58,60.7,60.5,60.5956,619076
2010-01-07 10:00:00,60.598,60.69,60.32,60.35,1026691
2010-01-07 10:15:00,60.35,60.45,60.33,60.33,1333616
2010-01-07 10:30:00,60.34,60.49,60.32,60.39,1719244
2010-01-07 10:45:00,60.39,60.45,60.34,60.4,2258708
2010-01-07 11:00:00,60.4,60.49,60.34,60.38,2684117
2010-01-07 11:15:00,60.38,60.42,60.36,60.391,3162719
2010-01-07 11:30:00,60.39,60.41,60.25,60.25,3635259
2010-01-07 11:45:00,60.25,60.37,60.24,60.33,3919999
2010-01-07 12:00:00,60.325,60.5,60.31,60.47,4283326
2010-01-07 12:15:00,60.46,60.5,60.45,60.48,4551133
2010-01-07 12:30:00,60.48,60.49,60.41,60.41,4745453
2010-01-07 12:45:00,60.41,60.48,60.35,60.36,4964049
2010-01-07 13:00:00,60.36,60.39,60.34,60.34,5128516
