dt,open,high,low,close,volume
2010-01-04 09:45:00,54.66,54.66,54.17,54.37,96486
2010-01-04 10:00:00,54.41,54.68,54.41,54.65,127401
2010-01-04 10:15:00,54.65,54.91,54.65,54.87,176425
2010-01-04 10:30:00,54.9,54.94,54.76,54.93,207000
2010-01-04 10:45:00,54.91,55.04,54.81,54.85,271757
2010-01-04 11:00:00,54.85,54.88,54.76,54.78,297419
2010-01-04 11:15:00,54.79,54.8,54.67,54.68,321094
2010-01-04 11:30:00,54.68,54.79,54.66,54.7,351124
2010-01-04 11:45:00,54.77,54.77,54.66,54.69,401688
2010-01-04 12:00:00,54.69,54.7,54.6,54.61,432495
2010-01-04 12:15:00,54.6,54.65,54.54,54.65,469161
2010-01-04 12:30:00,54.64,54.66,54.62,54.63,549075
2010-01-04 12:45:00,54.63,54.67,54.62,54.635,581207
2010-01-04 13:00:00,54.64,54.655,54.62,54.64,600041
2010-01-04 13:15:00,54.65,54.65,54.53,54.54,616038
2010-01-04 13:30:00,54.54,54.55,54.5,54.52,628829
2010-01-04 13:45:00,54.51,54.53,54.5,54.52,644131
2010-01-04 14:00:00,54.52,54.55,54.43,54.44,661014
2010-01-04 14:15:00,54.44,54.4585,54.43,54.4499,672063
2010-01-04 14:30:00,54.44,54.46,54.39,54.41,711326
2010-01-04 14:45:00,54.4002,54.51,54.4002,54.4953,734259
2010-01-04 15:00:00,54.5,54.55,54.44,54.44,747659
2010-01-04 15:15:00,54.45,54.56,54.445,54.51,767322
2010-01-04 15:30:00,54.52,54.57,54.48,54.57,791147
2010-01-04 15:45:00,54.56,54.58,54.45,54.46,831344
2010-01-04 16:00:00,54.47,54.59,54.45,54.55,904341
2010-01-05 09:45:00,54.35,54.47,54.145,54.15,28104
2010-01-05 10:00:00,54.15,54.22,54.08,54.11,51867
2010-01-05 10:15:00,54.12,54.47,54.08,54.45,113684
2010-01-05 10:30:00,54.46,54.71,54.46,54.69,159028
2010-01-05 10:45:00,54.7,54.82,54.66,54.82,202658
2010-01-05 11:00:00,54.82,54.82,54.57,54.6,246803
2010-01-05 11:15:00,54.6,54.6,54.41,54.44,279104
2010-01-05 11:30:00,54.44,54.46,54.39,54.4,310832
2010-01-05 11:45:00,54.43,54.49,54.322,54.48,369374
2010-01-05 12:00:00,54.46,54.55,54.42,54.445,424849
