dt,open,high,low,close,volume
2010-01-04 09:45:00,24.4,24.42,24.28,24.4,89460
2010-01-04 10:00:00,24.4,24.47,24.33,24.33,138001
2010-01-04 10:15:00,24.34,24.39,24.28,24.35,223793
2010-01-04 10:30:00,24.35,24.44,24.33,24.44,265885
2010-01-04 10:45:00,24.45,24.46,24.41,24.46,288185
2010-01-04 11:00:00,24.46,24.47,24.405,24.42,359854
2010-01-04 11:15:00,24.41,24.5,24.41,24.48,391089
2010-01-04 11:30:00,24.48,24.65,24.475,24.65,471908
2010-01-04 11:45:00,24.66,24.684,24.61,24.64,515640
2010-01-04 12:00:00,24.63,24.64,24.59,24.61,540140
2010-01-04 12:15:00,24.61,24.64,24.59,24.6,576671
2010-01-04 12:30:00,24.59,24.6,24.59,24.6,600045
2010-01-04 12:45:00,24.59,24.6,24.58,24.6,638959
2010-01-04 13:00:00,24.6,24.61,24.58,24.6,693686
2010-01-04 13:15:00,24.6,24.61,24.57,24.6,742304
2010-01-04 13:30:00,24.59,24.6,24.55,24.55,787333
2010-01-04 13:45:00,24.55,24.55,24.5,24.52,823959
2010-01-04 14:00:00,24.53,24.53,24.5,24.51,853182
2010-01-04 14:15:00,24.52,24.52,24.5,24.51,881881
2010-01-04 14:30:00,24.51,24.55,24.51,24.53,930067
2010-01-04 14:45:00,24.53,24.54,24.48,24.51,977591
2010-01-04 15:00:00,24.51,24.52,24.46,24.46,1015669
2010-01-04 15:15:00,24.45,24.49,24.45,24.49,1056218
2010-01-04 15:30:00,24.48,24.51,24.46,24.49,1101754
2010-01-04 15:45:00,24.48,24.49,24.46,24.47,1160294
2010-01-04 16:00:00,24.46,24.5,24.46,24.5,1274128
2010-01-05 09:45:00,24.47,24.55,24.39,24.41,40525
2010-01-05 10:00:00,24.39,24.45,24.31,24.31,85745
2010-01-05 10:15:00,24.31,24.45,24.3,24.42,124414
2010-01-05 10:30:00,24.4265,24.61,24.415,24.55,181339
2010-01-05 10:45:00,24.56,24.56,24.49,24.51,204194
2010-01-05 11:00:00,24.5,24.52,24.46,24.515,226976
2010-01-05 11:15:00,24.52,24.52,24.5,24.51,255171
2010-01-05 11:30:00,24.5,24.5,24.44,24.4495,275753
2010-01-05 11:45:00,24.45,24.45,24.4,24.405,296198
2010-01-05 12:00:00,24.4,24.41,24.37,24.375,318613
2010-01-05 12:15:00,24.375,24.375,24.36,24.37,333185
2010-01-05 12:30:00,24.37,24.4,24.36,24.4,375178
2010-01-05 12:45:00,24.4,24.42,24.4,24.41,391267
2010-01-05 13:00:00,24.41,24.41,24.37,24.38,419878
2010-01-05 13:15:00,24.38,24.38,24.29,24.295,450149
2010-01-05 13:30:00,24.29,24.2985,24.23,24.2325,483822
2010-01-05 13:45:00,24.24,24.26,24.23,24.235,527683
2010-01-05 14:00:00,24.23,24.235,24.17,24.175,551579
2010-01-05 14:15:00,24.175,24.18,24.1,24.12,622924
2010-01-05 14:30:00,24.11,24.13,24.1005,24.11,671499
2010-01-05 14:45:00,24.11,24.12,24.08,24.085,725725
2010-01-05 15:00:00,24.0818,24.09,23.99,24.08,894415
2010-01-05 15:15:00,24.09,24.21,24.09,24.2,980782
2010-01-05 15:30:00,24.21,24.23,24.17,24.21,1073845
2010-01-05 15:45:00,24.21,24.29,24.205,24.28,1230657
2010-01-05 16:00:00,24.28,24.3,24.2,24.22,1402397
2010-01-06 09:45:00,24.09,24.21,24.05,24.16,114976
2010-01-06 10:00:00,24.15,24.16,23.99,24.03,174642
2010-01-06 10:15:00,24.02,24.08,23.96,24.039,252636
2010-01-06 10:30:00,24.04,24.1,23.94,24.0,305592
2010-01-06 10:45:00,24.0,24.04,23.96,24.01,366018
2010-01-06 11:00:00,24.005,24.0189,23.94,23.98,483144
2010-01-06 11:15:00,23.9735,23.98,23.91,23.94,527378
2010-01-06 11:30:00,23.935,23.97,23.87,23.87,638279
2010-01-06 11:45:00,23.87,23.87,23.81,23.85,732149
2010-01-06 12:00:00,23.85,23.91,23.84,23.91,813428
2010-01-06 12:15:00,23.92,23.97,23.9199,23.96,895467
2010-01-06 12:30:00,23.955,24.08,23.94,24.04,979273
2010-01-06 12:45:00,24.04,24.05,23.99,24.0,1019057
2010-01-06 13:00:00,24.0,24.02,23.98,24.01,1081824
2010-01-06 13:15:00,24.01,24.01,24.0,24.0,1103075
2010-01-06 13:30:00,24.0001,24.004,23.96,24.0025,1147251
2010-01-06 13:45:00,24.0,24.06,24.0,24.02,1192055
2010-01-06 14:00:00,24.02,24.03,23.99,24.0,1264327
2010-01-06 14:15:00,24.0,24.03,23.99,24.01,1340602
2010-01-06 14:30:00,24.01,24.05,24.0,24.01,1413394
2010-01-06 14:45:00,24.01,24.03,23.995,24.0,1489648
2010-01-06 15:00:00,24.0,24.01,24.0,24.0,1535476
2010-01-06 15:15:00,24.0,24.01,23.95,23.95,1588417
2010-01-06 15:30:00,23.95,24.01,23.95,24.0,1643819
2010-01-06 15:45:00,24.0,24.04,23.98,24.01,1731072
2010-01-06 16:00:00,24.01,24.04,24.0,24.03,1827240
2010-01-07 09:45:00,23.9,24.15,23.87,24.04,42032
2010-01-07 10:00:00,24.04,24.04,23.97,24.0,113092
2010-01-07 10:15:00,24.01,24.12,24.01,24.07,145999
2010-01-07 10:30:00,24.065,24.105,24.05,24.06,191541
2010-01-07 10:45:00,24.06,24.1,24.01,24.07,231456
2010-01-07 11:00:00,24.07,24.13,24.04,24.08,273306
2010-01-07 11:15:00,24.08,24.11,24.0,24.009,299006
2010-01-07 11:30:00,24.0,24.01,23.995,24.0,323076
2010-01-07 11:45:00,24.01,24.04,23.98,23.99,396985
2010-01-07 12:00:00,23.99,24.07,23.9801,24.06,414707
2010-01-07 12:15:00,24.06,24.065,24.01,24.04,432852
2010-01-07 12:30:00,24.04,24.07,24.03,24.04,460724
2010-01-07 12:45:00,24.05,24.06,23.99,24.05,489809
2010-01-07 13:00:00,24.05,24.07,24.04,24.04,513630
2010-01-07 13:15:00,24.03,24.05,23.99,24.04,530694
2010-01-07 13:30:00,24.05,24.07,24.04,24.06,548539
2010-01-07 13:45:00,24.07,24.09,24.06,24.0825,574038
2010-01-07 14:00:00,24.08,24.1,24.08,24.09,589738
2010-01-07 14:15:00,24.1,24.14,24.09,24.12,648867
2010-01-07 14:30:00,24.12,24.17,24.1,24.17,693339
2010-01-07 14:45:00,24.18,24.23,24.17,24.2,742442
2010-01-07 15:00:00,24.2,24.27,24.2,24.25,810352
2010-01-07 15:15:00,24.24,24.33,24.18,24.31,943299
2010-01-07 15:30:00,24.32,24.36,24.3,24.31,1003889
2010-01-07 15:45:00,24.32,24.39,24.31,24.355,1099039
2010-01-07 16:00:00,24.35,24.36,24.32,24.34,1228974
2010-01-08 09:45:00,24.3,24.45,24.18,24.2,20691
2010-01-08 10:00:00,24.17,24.51,24.17,24.46,94433
2010-01-08 10:15:00,24.47,24.55,24.4,24.55,178007
2010-01-08 10:30:00,24.55,24.59,24.51,24.53,265458
2010-01-08 10:45:00,24.53,24.6,24.53,24.57,372941
2010-01-08 11:00:00,24.57,24.69,24.57,24.69,423503
2010-01-08 11:15:00,24.68,24.71,24.62,24.68,524968
2010-01-08 11:30:00,24.6725,24.75,24.67,24.72,579563
2010-01-08 11:45:00,24.71,24.76,24.64,24.74,679927
2010-01-08 12:00:00,24.73,24.83,24.72,24.83,758308
2010-01-08 12:15:00,24.83,24.83,24.7,24.71,785103
2010-01-08 12:30:00,24.7,24.78,24.7,24.78,811242
2010-01-08 12:45:00,24.78,24.83,24.7688,24.82,848754
2010-01-08 13:00:00,24.81,24.82,24.75,24.79,896690
2010-01-08 13:15:00,24.79,24.79,24.75,24.77,926941
2010-01-08 13:30:00,24.77,24.78,24.75,24.76,951602
2010-01-08 13:45:00,24.76,24.81,24.75,24.76,991006
2010-01-08 14:00:00,24.75,24.76,24.69,24.71,1082324
2010-01-08 14:15:00,24.72,24.77,24.7,24.77,1121599
2010-01-08 14:30:00,24.761,24.77,24.7105,24.74,1167500
2010-01-08 14:45:00,24.74,24.78,24.74,24.77,1206370
2010-01-08 15:00:00,24.76,24.8,24.75,24.78,1238961
2010-01-08 15:15:00,24.77,24.775,24.75,24.77,1282673
2010-01-08 15:30:00,24.76,24.77,24.71,24.72,1337046
2010-01-08 15:45:00,24.7199,24.81,24.7,24.81,1431483
2010-01-08 16:00:00,24.81,24.85,24.79,24.83,1649020
2010-01-11 09:45:00,24.89,25.0,24.62,24.68,123122
2010-01-11 10:00:00,24.69,24.73,24.595,24.69,224148
2010-01-11 10:15:00,24.69,24.79,24.48,24.57,546930
2010-01-11 10:30:00,24.58,24.64,24.55,24.57,574132
2010-01-11 10:45:00,24.564,24.57,24.48,24.52,641010
2010-01-11 11:00:00,24.53,24.63,24.53,24.61,667684
2010-01-11 11:15:00,24.62,24.62,24.53,24.5319,689127
2010-01-11 11:30:00,24.53,24.54,24.48,24.51,717127
2010-01-11 11:45:00,24.505,24.56,24.5,24.5,734936
2010-01-11 12:00:00,24.5,24.6,24.5,24.6,751885
2010-01-11 12:15:00,24.61,24.62,24.585,24.585,777758
2010-01-11 12:30:00,24.59,24.61,24.58,24.61,789817
2010-01-11 12:45:00,24.6127,24.65,24.595,24.605,813824
2010-01-11 13:00:00,24.61,24.61,24.515,24.52,843871
2010-01-11 13:15:00,24.52,24.53,24.5,24.5,854938
2010-01-11 13:30:00,24.51,24.52,24.5,24.51,884248
2010-01-11 13:45:00,24.51,24.52,24.47,24.49,919203
2010-01-11 14:00:00,24.49,24.49,24.47,24.4725,948196
2010-01-11 14:15:00,24.47,24.515,24.44,24.48,1034794
2010-01-11 14:30:00,24.4705,24.55,24.46,24.53,1070924
2010-01-11 14:45:00,24.535,24.535,24.5,24.5,1096646
2010-01-11 15:00:00,24.5,24.52,24.48,24.52,1137592
2010-01-11 15:15:00,24.515,24.59,24.51,24.56,1195615
2010-01-11 15:30:00,24.56,24.575,24.5,24.51,1253865
2010-01-11 15:45:00,24.5,24.52,24.47,24.475,1375203
2010-01-11 16:00:00,24.48,24.48,24.43,24.46,1497123
2010-01-12 09:45:00,24.23,24.41,24.23,24.31,43639
2010-01-12 10:00:00,24.29,24.41,24.24,24.4,103801
2010-01-12 10:15:00,24.41,24.44,24.37,24.41,136447
2010-01-12 10:30:00,24.41,24.49,24.33,24.4799,177175
2010-01-12 10:45:00,24.47,24.47,24.4,24.46,211011
2010-01-12 11:00:00,24.46,24.46,24.38,24.4,242822
2010-01-12 11:15:00,24.4,24.43,24.37,24.4,281459
2010-01-12 11:30:00,24.4,24.405,24.34,24.37,342403
2010-01-12 11:45:00,24.38,24.41,24.36,24.36,395829
2010-01-12 12:00:00,24.37,24.4,24.31,24.31,452066
2010-01-12 12:15:00,24.31,24.32,24.26,24.32,485888
2010-01-12 12:30:00,24.32,24.32,24.24,24.3,547661
2010-01-12 12:45:00,24.31,24.34,24.24,24.34,587867
2010-01-12 13:00:00,24.34,24.37,24.2899,24.3,606768
2010-01-12 13:15:00,24.3,24.32,24.29,24.32,634588
2010-01-12 13:30:00,24.315,24.49,24.29,24.485,781399
2010-01-12 13:45:00,24.485,24.49,24.365,24.41,902048
2010-01-12 14:00:00,24.435,24.45,24.4,24.42,980848
2010-01-12 14:15:00,24.41,24.43,24.37,24.4,1049064
2010-01-12 14:30:00,24.4,24.435,24.4,24.43,1081080
2010-01-12 14:45:00,24.43,24.43,24.4,24.4,1116028
2010-01-12 15:00:00,24.405,24.45,24.4,24.4,1197224
2010-01-12 15:15:00,24.39,24.44,24.39,24.44,1270630
2010-01-12 15:30:00,24.43,24.48,24.39,24.48,1467567
2010-01-12 15:45:00,24.47,24.48,24.43,24.43,1534578
2010-01-12 16:00:00,24.4301,24.52,24.43,24.52,1693743
2010-01-13 09:45:00,24.5,24.7,24.42,24.69,39081
2010-01-13 10:00:00,24.69,24.74,24.6,24.6901,88058
2010-01-13 10:15:00,24.691,24.71,24.51,24.55,186492
2010-01-13 10:30:00,24.54,24.545,24.47,24.47,266291
2010-01-13 10:45:00,24.45,24.58,24.4,24.56,324151
2010-01-13 11:00:00,24.55,24.56,24.51,24.52,359588
2010-01-13 11:15:00,24.52,24.53,24.46,24.475,377743
2010-01-13 11:30:00,24.48,24.52,24.43,24.5,408433
2010-01-13 11:45:00,24.5,24.51,24.44,24.44,418333
2010-01-13 12:00:00,24.45,24.46,24.42,24.45,437279
2010-01-13 12:15:00,24.4546,24.52,24.43,24.48,454275
2010-01-13 12:30:00,24.49,24.6,24.48,24.6,470690
2010-01-13 12:45:00,24.6,24.66,24.58,24.625,496698
2010-01-13 13:00:00,24.625,24.6485,24.59,24.59,503040
2010-01-13 13:15:00,24.58,24.584,24.54,24.58,511340
2010-01-13 13:30:00,24.58,24.6,24.57,24.6,521719
2010-01-13 13:45:00,24.6,24.66,24.6,24.65,527328
2010-01-13 14:00:00,24.65,24.68,24.63,24.63,551144
2010-01-13 14:15:00,24.63,24.7,24.62,24.67,570246
2010-01-13 14:30:00,24.67,24.71,24.66,24.6818,580579
2010-01-13 14:45:00,24.69,24.69,24.67,24.69,589181
2010-01-13 15:00:00,24.69,24.75,24.69,24.75,611278
2010-01-13 15:15:00,24.75,24.75,24.68,24.68,660042
2010-01-13 15:30:00,24.68,24.72,24.65,24.66,700578
2010-01-13 15:45:00,24.67,24.71,24.66,24.675,771107
2010-01-13 16:00:00,24.68,24.68,24.63,24.65,874137
2010-01-14 09:45:00,24.53,24.655,24.52,24.6,17289
2010-01-14 10:00:00,24.6,24.6,24.45,24.45,38098
2010-01-14 10:15:00,24.4501,24.56,24.41,24.54,67443
2010-01-14 10:30:00,24.5401,24.55,24.49,24.55,94535
2010-01-14 10:45:00,24.55,24.6,24.53,24.535,122535
2010-01-14 11:00:00,24.52,24.54,24.48,24.49,148279
2010-01-14 11:15:00,24.49,24.55,24.484,24.535,163825
2010-01-14 11:30:00,24.535,24.54,24.5,24.52,190697
2010-01-14 11:45:00,24.52,24.59,24.515,24.585,209726
2010-01-14 12:00:00,24.585,24.67,24.56,24.565,268139
2010-01-14 12:15:00,24.565,24.57,24.5525,24.563,277377
2010-01-14 12:30:00,24.563,24.57,24.54,24.57,295806
2010-01-14 12:45:00,24.565,24.61,24.55,24.5501,324855
2010-01-14 13:00:00,24.56,24.58,24.53,24.565,346096
2010-01-14 13:15:00,24.5601,24.59,24.55,24.565,360375
2010-01-14 13:30:00,24.563,24.57,24.53,24.56,380655
2010-01-14 13:45:00,24.56,24.585,24.5525,24.5675,393655
2010-01-14 14:00:00,24.56,24.59,24.5201,24.5201,418919
2010-01-14 14:15:00,24.5201,24.55,24.5,24.5,442594
2010-01-14 14:30:00,24.492,24.53,24.48,24.4919,461356
2010-01-14 14:45:00,24.4901,24.51,24.46,24.475,505244
2010-01-14 15:00:00,24.47,24.55,24.46,24.55,541001
2010-01-14 15:15:00,24.55,24.6,24.548,24.595,591570
2010-01-14 15:30:00,24.6,24.6,24.57,24.57,620859
