dt,open,high,low,close,volume
2010-01-04 09:45:00,40.92,40.99,40.52,40.96,98754
2010-01-04 10:00:00,40.98,41.17,40.96,41.17,125894
2010-01-04 10:15:00,41.2,41.36,41.13,41.18,155669
2010-01-04 10:30:00,41.17,41.25,41.06,41.24,194529
2010-01-04 10:45:00,41.24,41.28,41.11,41.12,208076
2010-01-04 11:00:00,41.13,41.16,41.1,41.1,220838
2010-01-04 11:15:00,41.11,41.32,41.08,41.32,228208
2010-01-04 11:30:00,41.3,41.42,41.26,41.42,235708
2010-01-04 11:45:00,41.41,41.51,41.41,41.49,248070
2010-01-04 12:00:00,41.49,41.55,41.45,41.55,260270
2010-01-04 12:15:00,41.55,41.55,41.48,41.5,272770
2010-01-04 12:30:00,41.49,41.49,41.43,41.44,279804
2010-01-04 12:45:00,41.43,41.47,41.3,41.3,294404
2010-01-04 13:00:00,41.3,41.37,41.295,41.37,305677
2010-01-04 13:15:00,41.36,41.37,41.29,41.3,312677
2010-01-04 13:30:00,41.3,41.31,41.29,41.3,318631
2010-01-04 13:45:00,41.29,41.3,41.2,41.21,325756
2010-01-04 14:00:00,41.21,41.21,41.07,41.072,335722
2010-01-04 14:15:00,41.08,41.12,41.07,41.1,347011
2010-01-04 14:30:00,41.1,41.13,41.0,41.01,358303
2010-01-04 14:45:00,41.01,41.1,40.985,41.07,375722
2010-01-04 15:00:00,41.07,41.12,41.01,41.02,391486
2010-01-04 15:15:00,41.02,41.14,40.995,41.13,414764
2010-01-04 15:30:00,41.1,41.14,41.05,41.1,431713
2010-01-04 15:45:00,41.07,41.09,41.0,41.01,450312
2010-01-04 16:00:00,41.0,41.08,41.0,41.06,489485
2010-01-05 09:45:00,41.03,41.36,41.0,41.215,12350
2010-01-05 10:00:00,41.23,41.31,41.15,41.17,26600
2010-01-05 10:15:00,41.1575,41.53,41.08,41.44,62593
2010-01-05 10:30:00,41.43,41.85,41.43,41.84,81092
2010-01-05 10:45:00,41.86,42.18,41.85,42.18,123896
2010-01-05 11:00:00,42.17,42.4,42.17,42.37,152761
2010-01-05 11:15:00,42.34,42.34,42.11,42.12,177944
2010-01-05 11:30:00,42.14,42.17,41.96,42.06,243465
2010-01-05 11:45:00,42.06,42.06,41.75,41.77,258935
2010-01-05 12:00:00,41.76,41.81,41.75,41.8,269379
2010-01-05 12:15:00,41.81,41.85,41.785,41.85,279879
2010-01-05 12:30:00,41.86,41.9,41.83,41.86,319400
2010-01-05 12:45:00,41.86,42.0,41.86,42.0,339230
2010-01-05 13:00:00,42.0,42.28,41.99,42.28,374745
2010-01-05 13:15:00,42.27,42.28,42.19,42.26,402945
2010-01-05 13:30:00,42.26,42.42,42.25,42.42,415470
2010-01-05 13:45:00,42.43,42.55,42.42,42.53,432470
2010-01-05 14:00:00,42.53,42.54,42.47,42.51,446720
2010-01-05 14:15:00,42.51,42.6,42.45,42.48,495129
2010-01-05 14:30:00,42.49,42.53,42.4401,42.45,548329
2010-01-05 14:45:00,42.45,42.5,42.41,42.45,596799
2010-01-05 15:00:00,42.45,42.54,42.44,42.52,651200
2010-01-05 15:15:00,42.52,42.54,42.5,42.515,664226
2010-01-05 15:30:00,42.51,42.59,42.5,42.57,696269
2010-01-05 15:45:00,42.57,42.64,42.57,42.57,726949
2010-01-05 16:00:00,42.56,42.72,42.56,42.67,800228
2010-01-06 09:45:00,42.51,43.12,42.51,42.82,60676
2010-01-06 10:00:00,42.805,43.16,42.79,43.05,109928
2010-01-06 10:15:00,43.05,43.25,43.045,43.16,152972
2010-01-06 10:30:00,43.16,43.55,43.04,43.5,223809
2010-01-06 10:45:00,43.47,43.62,43.38,43.3899,287915
2010-01-06 11:00:00,43.38,43.39,43.25,43.25,333255
2010-01-06 11:15:00,43.25,43.26,43.17,43.17,363985
2010-01-06 11:30:00,43.21,43.35,43.17,43.265,440310
2010-01-06 11:45:00,43.25,43.4,43.23,43.39,474251
2010-01-06 12:00:00,43.38,43.42,43.27,43.33,608651
2010-01-06 12:15:00,43.32,43.39,43.295,43.32,647046
2010-01-06 12:30:00,43.32,43.385,43.31,43.36,656666
2010-01-06 12:45:00,43.36,43.395,43.33,43.395,670586
2010-01-06 13:00:00,43.39,43.48,43.39,43.47,684142
2010-01-06 13:15:00,43.48,43.49,43.4,43.4,694752
2010-01-06 13:30:00,43.41,43.45,43.405,43.43,721279
2010-01-06 13:45:00,43.42,43.43,43.35,43.35,744020
2010-01-06 14:00:00,43.34,43.37,43.26,43.31,769458
2010-01-06 14:15:00,43.32,43.4,43.32,43.36,785916
2010-01-06 14:30:00,43.38,43.47,43.35,43.43,814672
2010-01-06 14:45:00,43.43,43.545,43.43,43.48,838563
2010-01-06 15:00:00,43.47,43.51,43.45,43.5,854303
2010-01-06 15:15:00,43.495,43.5,43.355,43.455,875810
2010-01-06 15:30:00,43.45,43.56,43.41,43.55,899092
2010-01-06 15:45:00,43.56,43.6,43.5,43.5301,951570
2010-01-06 16:00:00,43.53,43.76,43.5,43.66,1080326
2010-01-07 09:45:00,43.45,44.5,43.45,44.13,34208
2010-01-07 10:00:00,44.13,44.14,43.65,43.69,52908
2010-01-07 10:15:00,43.7093,43.7093,43.57,43.66,74008
2010-01-07 10:30:00,43.66,44.08,43.64,43.89,122615
2010-01-07 10:45:00,43.89,44.21,43.88,44.15,143915
2010-01-07 11:00:00,44.15,44.35,44.07,44.17,158333
2010-01-07 11:15:00,44.12,44.19,43.99,44.095,171194
2010-01-07 11:30:00,44.09,44.11,44.01,44.07,178394
2010-01-07 11:45:00,44.08,44.12,43.73,43.86,213668
2010-01-07 12:00:00,43.85,43.87,43.77,43.82,224443
2010-01-07 12:15:00,43.81,43.82,43.75,43.76,234572
2010-01-07 12:30:00,43.76,44.0,43.75,43.96,248372
2010-01-07 12:45:00,43.92,43.98,43.9,43.91,263672
2010-01-07 13:00:00,43.93,43.95,43.9,43.91,275571
2010-01-07 13:15:00,43.92,43.92,43.82,43.88,291758
2010-01-07 13:30:00,43.87,43.88,43.73,43.76,300479
2010-01-07 13:45:00,43.75,43.8,43.7,43.79,310779
2010-01-07 14:00:00,43.78,43.79,43.6975,43.715,324379
2010-01-07 14:15:00,43.715,43.8,43.63,43.77,335379
2010-01-07 14:30:00,43.76,43.765,43.64,43.64,344958
2010-01-07 14:45:00,43.64,43.89,43.64,43.89,380753
2010-01-07 15:00:00,43.88,43.94,43.74,43.77,395851
2010-01-07 15:15:00,43.78,43.79,43.65,43.79,411653
2010-01-07 15:30:00,43.79,43.86,43.75,43.79,425333
2010-01-07 15:45:00,43.81,43.84,43.71,43.71,440133
2010-01-07 16:00:00,43.72,43.75,43.64,43.68,464665
2010-01-08 09:45:00,43.39,43.73,43.26,43.34,28417
2010-01-08 10:00:00,43.31,43.515,43.24,43.5,40994
2010-01-08 10:15:00,43.5,43.54,43.41,43.41,50277
2010-01-08 10:30:00,43.41,43.48,43.34,43.36,57977
2010-01-08 10:45:00,43.35,43.36,43.24,43.3,67892
2010-01-08 11:00:00,43.3,43.46,43.27,43.45,76992
2010-01-08 11:15:00,43.44,43.44,43.28,43.3,82092
2010-01-08 11:30:00,43.29,43.44,43.29,43.31,94515
2010-01-08 11:45:00,43.31,43.31,43.23,43.29,101715
2010-01-08 12:00:00,43.31,43.31,43.14,43.26,121931
2010-01-08 12:15:00,43.28,43.43,43.25,43.43,151840
2010-01-08 12:30:00,43.43,43.56,43.41,43.54,158493
2010-01-08 12:45:00,43.52,43.54,43.47,43.53,170701
2010-01-08 13:00:00,43.53,43.54,43.48,43.52,184601
2010-01-08 13:15:00,43.53,43.54,43.5,43.51,192101
2010-01-08 13:30:00,43.54,43.54,43.5,43.51,195201
2010-01-08 13:45:00,43.5,43.57,43.49,43.57,200701
2010-01-08 14:00:00,43.54,43.55,43.41,43.48,214001
2010-01-08 14:15:00,43.5,43.598,43.5,43.598,221001
2010-01-08 14:30:00,43.6,43.6,43.55,43.57,227601
2010-01-08 14:45:00,43.57,43.6,43.52,43.52,232501
2010-01-08 15:00:00,43.52,43.53,43.48,43.52,239629
2010-01-08 15:15:00,43.51,43.5175,43.46,43.48,257091
2010-01-08 15:30:00,43.49,43.5,43.46,43.49,266491
2010-01-08 15:45:00,43.49,43.5,43.46,43.49,287556
2010-01-08 16:00:00,43.47,43.61,43.45,43.61,324301
2010-01-11 09:45:00,43.84,43.87,43.49,43.61,16204
2010-01-11 10:00:00,43.6,43.79,43.55,43.62,52327
2010-01-11 10:15:00,43.65,43.75,43.27,43.41,63019
2010-01-11 10:30:00,43.4,43.58,43.34,43.57,68619
2010-01-11 10:45:00,43.59,43.68,43.57,43.65,77119
2010-01-11 11:00:00,43.65,43.77,43.61,43.62,84991
2010-01-11 11:15:00,43.61,43.62,43.47,43.53,102992
