dt,open,high,low,close,volume
2010-01-04 09:45:00,31.23,31.4,31.04,31.375,208759
2010-01-04 10:00:00,31.39,31.5,31.35,31.48,322468
2010-01-04 10:15:00,31.49,31.5,31.39,31.434,412669
2010-01-04 10:30:00,31.43,31.43,31.27,31.35,534183
2010-01-04 10:45:00,31.36,31.43,31.36,31.38,604150
2010-01-04 11:00:00,31.38,31.42,31.32,31.345,699965
2010-01-04 11:15:00,31.35,31.39,31.249,31.26,774588
2010-01-04 11:30:00,31.26,31.3,31.21,31.3,852027
2010-01-04 11:45:00,31.3,31.35,31.29,31.3499,912799
2010-01-04 12:00:00,31.35,31.4,31.34,31.365,1009842
2010-01-04 12:15:00,31.365,31.39,31.35,31.39,1044574
2010-01-04 12:30:00,31.39,31.39,31.34,31.34,1080229
2010-01-04 12:45:00,31.35,31.35,31.27,31.29,1138869
2010-01-04 13:00:00,31.29,31.295,31.22,31.25,1169572
2010-01-04 13:15:00,31.25,31.26,31.18,31.19,1199565
2010-01-04 13:30:00,31.18,31.22,31.17,31.18,1239992
2010-01-04 13:45:00,31.1701,31.19,31.13,31.15,1285732
2010-01-04 14:00:00,31.1401,31.15,31.08,31.09,1328497
2010-01-04 14:15:00,31.0901,31.11,31.09,31.1,1361364
2010-01-04 14:30:00,31.105,31.11,31.09,31.1,1389337
2010-01-04 14:45:00,31.1,31.1,31.07,31.09,1433675
2010-01-04 15:00:00,31.08,31.09,31.07,31.07,1489195
2010-01-04 15:15:00,31.07,31.08,31.07,31.07,1560136
2010-01-04 15:30:00,31.07,31.07,31.03,31.03,1629624
2010-01-04 15:45:00,31.03,31.09,31.03,31.05,1804969
2010-01-04 16:00:00,31.06,31.12,31.055,31.09,1972697
2010-01-05 09:45:00,31.17,31.28,31.02,31.15,166276
2010-01-05 10:00:00,31.14,31.32,31.14,31.25,262409
2010-01-05 10:15:00,31.25,31.35,31.21,31.26,368801
2010-01-05 10:30:00,31.26,31.26,31.16,31.21,459894
2010-01-05 10:45:00,31.215,31.25,31.16,31.235,493445
2010-01-05 11:00:00,31.235,31.25,31.17,31.2099,565392
2010-01-05 11:15:00,31.205,31.21,31.09,31.09,645802
2010-01-05 11:30:00,31.1,31.12,31.03,31.03,693121
2010-01-05 11:45:00,31.03,31.04,30.95,31.0,746228
